Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,816.70166674,878.17657723,801.15571743,868.15549824,5161090414.21,16242749868.31
14-04-2021,746.97278246,846.23856994,746.97278246,818.70342056,7265770869.49,15316687359.15
13-04-2021,674.61809177,752.53074367,670.95663652,746.86536957,4536646605.78,13971829860.16
12-04-2021,694.90534046,698.58484159,657.99003517,674.78625341,2934933651.65,12622846875.22
11-04-2021,676.8784467,718.59272602,675.52343522,696.6084423,3830293616.18,13030518062.53
10-04-2021,635.45768144,685.50940596,630.32699163,673.95757543,3288833579.65,12606153199.91
09-04-2021,647.59244335,651.72003517,630.77301147,635.70669622,2599328081.19,11889987870.79
08-04-2021,619.05403242,647.64713981,613.77236246,647.56411271,3400288881.39,12111201378.02
07-04-2021,667.35676117,697.18839252,601.89071485,618.59755917,6575528211.33,11568922628.11
06-04-2021,649.07888292,677.27028686,626.13160603,667.74856745,5604369782.7,12487536745.81
05-04-2021,566.64023108,648.56099196,562.16223735,648.56099196,4920959551.31,12128029747.09
04-04-2021,536.57377211,568.2909432,532.04836991,566.51306543,2212661583.94,10593146374.15
03-04-2021,585.6561254,598.50740776,536.67608839,536.67884282,3188458791.7,10034797523.36
02-04-2021,561.59021931,602.2165296,551.83290735,585.70748519,3469842740.21,10950969189.97
01-04-2021,543.25717742,563.75315651,533.94688928,561.65823431,3271470706.06,10500685120.59
31-03-2021,527.76574244,546.30080719,509.53272009,543.23787607,3098623014.68,10155760793.2
30-03-2021,520.62038946,537.11130722,514.73119017,527.6982268,2059097801.05,9864754372.55
29-03-2021,500.93429106,525.89286538,496.18302012,520.63582166,2112034391.26,9732294223.98
28-03-2021,503.65918758,508.33031406,494.22002409,501.00360465,1929011914,9364900285.32
27-03-2021,509.01765816,512.13035856,490.59137902,503.65879676,1806636009.47,9414081738.08
26-03-2021,478.21070822,510.24791477,475.36966015,509.0152878,2244829964.53,9513727967.22
25-03-2021,480.0242368,485.10788873,460.62351277,478.29221849,2428634156.95,8939090246.71
24-03-2021,516.17339581,532.38412491,461.57922452,480.12331484,2544422047.68,8972856587.94
23-03-2021,513.40776514,536.69964162,511.60336002,516.25320371,2812731004.54,9647665659.54
22-03-2021,526.6030024,540.37015094,512.01953942,513.33925279,2541092748.47,9592725699.65
21-03-2021,539.12200753,546.20891208,518.13049221,526.56108062,1943933987.36,9839336807.46
20-03-2021,535.08196157,553.53459977,532.9406193,539.13760088,2007491932.59,10073829877.36
19-03-2021,529.70510991,550.22689505,519.77487692,535.14126212,2257159269.93,9998612787.7
18-03-2021,540.87426899,546.60520954,525.38657337,529.75736736,2482168467.52,9897483382.25
17-03-2021,528.19202952,540.84551076,513.75358857,540.84551076,2658649337.81,10104200902.6
16-03-2021,523.89474897,537.9750128,505.47362645,528.1639988,3487143846.04,9866826422.12
15-03-2021,557.57544472,567.66669188,519.75335957,523.93472947,3867342609.39,9787349615.5
14-03-2021,596.08011535,601.43095279,557.75710825,557.75710825,3841351549.29,10418853978.45
13-03-2021,539.24444722,607.07239271,522.94246945,596.23477387,4596011006.49,11136976179.43
12-03-2021,549.81584894,562.45410839,515.49315767,539.21648369,4017236782.97,10071394489.56
11-03-2021,546.69675826,562.51522001,532.01558833,549.7832005,4102967092.18,10268232112.84
10-03-2021,545.02998009,566.94157087,519.54009652,546.8395902,3942104354.98,10212830870.57
09-03-2021,529.0134659,546.5261915,524.48799426,545.02602811,2777424541.69,10178599523.78
08-03-2021,516.18182035,528.99687564,502.26276013,528.99687564,2792447504.25,9878874484.62
07-03-2021,501.22882853,517.91397408,500.79765533,516.1735222,2256359239.57,9638804979.86
06-03-2021,498.91356193,505.06454903,484.01961927,501.21269756,2326475342.75,9358988072.59
05-03-2021,506.81577119,506.81577119,474.87049408,498.98982185,3088964787.76,9317016324.76
04-03-2021,523.49026021,537.86336735,495.01765152,506.87325058,3715844937.4,9463725918.95
03-03-2021,517.03706995,554.68490392,512.71594158,523.57867856,3715621943.68,9775181205.04
02-03-2021,500.84324695,548.09116199,494.74872362,517.01418242,4725184970.42,9652202398.4
01-03-2021,459.9558673,506.007424,458.76420237,500.95138182,3643964253.22,9351791705.27
28-02-2021,483.71921458,485.22081186,436.74294222,459.91447596,4580690977.18,8585347124.76
27-02-2021,484.58249011,501.27450251,475.10772968,483.74533044,3648759169.02,9029808023.39
26-02-2021,497.30747712,506.29914988,460.48435033,484.5122315,5217285975.62,9043635803.25
25-02-2021,527.0341105,555.28729256,496.91265417,496.91265417,4752439090.46,9274644867.97
24-02-2021,513.56013636,555.81582904,498.77731367,527.04140367,5749984570.05,9836460295.5
23-02-2021,630.23641889,630.45163832,417.31636856,513.18738113,8300802305.01,9577401196.88
22-02-2021,707.52811099,708.53441124,545.14958288,630.34984044,7444078950.64,11763612360.49
21-02-2021,681.87000641,735.33342126,668.6374035,707.59243087,5369155548.31,13204647699.54
20-02-2021,720.70593551,748.77167083,637.59998879,682.18240918,6495825727.11,12729826473.75
19-02-2021,706.00591085,740.16036849,684.86398566,720.82189946,5251329015.63,13450266335.8
18-02-2021,716.66474361,727.39942464,692.51991983,705.98849026,4289327501.12,13172893629.56
17-02-2021,707.30274243,726.06650413,678.71866174,716.69826563,8767701436.98,13372124884.59
16-02-2021,712.14099244,743.4059072,672.88101585,707.29152156,10739148110.63,13196026329.21
15-02-2021,723.89247415,767.51003272,622.75156461,712.43052021,15323317080.94,13291473358.3
14-02-2021,663.94905893,744.55832711,652.93683643,724.01571154,14673194770.75,13506911307.48
