Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,0.65942489,0.72755986,0.64438334,0.72002169,102757924.82,482414532.19
14-04-2021,0.70294185,0.70294185,0.623131,0.65961053,86247216.6,441939052.18
13-04-2021,0.64282609,0.70243422,0.60912176,0.70243422,106298462.34,470630929.12
12-04-2021,0.65809806,0.65809806,0.61505652,0.63937359,95099543.11,428380306.16
11-04-2021,0.59519125,0.65401426,0.55445549,0.65401426,102936237.78,438189553.86
10-04-2021,0.59592574,0.63503228,0.57346172,0.59437297,82945365.73,398229888.08
09-04-2021,0.58492123,0.61167646,0.56358738,0.5958821,69341976.37,399241008.98
08-04-2021,0.53511662,0.58666679,0.53266323,0.58498327,64312997.73,391938793.34
07-04-2021,0.6073975,0.60874223,0.49930871,0.53562306,107995316.77,358867448.46
06-04-2021,0.61674439,0.62748517,0.57784276,0.60798061,147105997.36,407347005.37
05-04-2021,0.65191026,0.71684383,0.60568572,0.61592906,158462597.95,412672469.41
04-04-2021,0.61871073,0.65568999,0.60890873,0.65149377,84003898.15,436500828.44
03-04-2021,0.71981389,0.73028974,0.61637858,0.61791349,200840791.51,414002035.44
02-04-2021,0.55684593,0.81539199,0.53365627,0.71920914,576364937.52,481870124.88
01-04-2021,0.58062123,0.59173219,0.54075423,0.55788335,104161179.22,373781846.74
31-03-2021,0.52345046,0.58699868,0.48206018,0.58167957,142401000.6,389725314.21
30-03-2021,0.50261257,0.55979896,0.49133934,0.52313965,92766865.8,350503564.98
29-03-2021,0.49797912,0.50639752,0.47013962,0.50217401,67387368.83,336456584.23
28-03-2021,0.46210561,0.51296356,0.44677956,0.49561336,101533113.02,332060948.29
27-03-2021,0.44480499,0.46835727,0.43210232,0.46221224,67906407.26,309682199.45
26-03-2021,0.41528362,0.44569217,0.41322461,0.44522013,53609121.25,298297485.65
25-03-2021,0.44514679,0.45699406,0.40953826,0.41480165,81371417,277917106.77
24-03-2021,0.47453451,0.55660308,0.43593571,0.44689773,189383036.4,299421482.01
23-03-2021,0.43567667,0.47510341,0.41026726,0.47510341,115051877.19,318319283.8
22-03-2021,0.43401783,0.50806694,0.41934987,0.43555744,160090988.3,291823481.75
21-03-2021,0.4249051,0.43404225,0.40633049,0.43352214,42241540.83,290459834.27
20-03-2021,0.44111248,0.47177676,0.42313328,0.4243791,53199085.65,284333999.24
19-03-2021,0.4313783,0.46933556,0.41732665,0.44088164,64973237.09,295390697.27
18-03-2021,0.42752713,0.45433204,0.41815752,0.43159648,56856279.07,289169641.8
17-03-2021,0.41961841,0.42901591,0.39331998,0.42863961,45794898.24,287188540.73
16-03-2021,0.43161331,0.43815462,0.39974204,0.4195848,52214059.55,281121817.95
15-03-2021,0.45500169,0.47688672,0.41567319,0.43272909,72831349.96,289928491.39
14-03-2021,0.44088464,0.47958229,0.42404926,0.4561113,107482629.86,305594569.24
13-03-2021,0.43017721,0.46598463,0.41082457,0.44050133,80439809.16,295135888.53
12-03-2021,0.43123419,0.44488625,0.41226004,0.43031698,66839554.53,288312377.93
11-03-2021,0.43618484,0.46745641,0.40972777,0.43091028,76020370.48,288709887.16
10-03-2021,0.48141089,0.48446978,0.4184128,0.43657878,75992985.87,292507780.55
09-03-2021,0.41021413,0.48244105,0.39877691,0.48116845,116679932.1,322382861.57
08-03-2021,0.40149865,0.41448321,0.383972,0.41052401,42449102.26,275051086.44
07-03-2021,0.39362186,0.4104932,0.38798537,0.40113376,43417112.18,268759616.91
06-03-2021,0.38054888,0.39380293,0.37075697,0.39380293,31226693.25,263847960.74
05-03-2021,0.38275094,0.3859677,0.36020629,0.38416635,35785647.35,257391451.99
04-03-2021,0.39377842,0.40622255,0.36544531,0.3824369,46140651.64,256232723.06
03-03-2021,0.38722894,0.40836528,0.37607963,0.39326489,54833114.36,263487477.68
02-03-2021,0.37262961,0.41199186,0.35530898,0.38580122,91368552.73,258486817.15
01-03-2021,0.33521533,0.37414668,0.33521533,0.37278358,50489998.42,249765001.6
28-02-2021,0.37477236,0.38631048,0.3092399,0.33427619,44698886.19,223965048.54
27-02-2021,0.34400981,0.40708733,0.34207632,0.37551558,57247001.49,251595438.9
26-02-2021,0.34551188,0.36215726,0.31687669,0.34197728,33882803.45,229124780.34
25-02-2021,0.36235859,0.39850118,0.34286853,0.34286853,39411666.71,229721912.1
24-02-2021,0.34309722,0.39581199,0.31955981,0.36164649,64210210.63,242303146.63
23-02-2021,0.42119063,0.4234199,0.26627779,0.34127532,102428133.49,228654462
22-02-2021,0.46349782,0.48082405,0.34400329,0.41996413,109401332.05,281375965.42
21-02-2021,0.45507638,0.46892618,0.43913115,0.46364173,50980333.83,310639958.38
20-02-2021,0.51261883,0.51261883,0.42745257,0.45512798,95946954.53,304935749.19
19-02-2021,0.44684323,0.536206,0.43990817,0.51226226,177007143.43,343215711.93
18-02-2021,0.43331257,0.46203595,0.42219348,0.44642222,90745219.16,299102887.55
17-02-2021,0.44958499,0.45552941,0.39976972,0.43340622,80702581.32,290382166.24
16-02-2021,0.46103909,0.48844173,0.4265429,0.44855948,84734241.67,300534848.65
15-02-2021,0.45081699,0.51667306,0.3917898,0.46062561,164555557.02,308619155.72
14-02-2021,0.49232877,0.56948178,0.43848618,0.45169957,254923340.43,302638712.26
13-02-2021,0.34561897,0.58704065,0.34047758,0.49293873,792447008.51,330268950.48
12-02-2021,0.26910074,0.38257591,0.26451095,0.34476635,188947124.45,230993452.84
11-02-2021,0.24341749,0.27730673,0.23531031,0.26998251,71324216.08,180888282.6
10-02-2021,0.24620103,0.26101973,0.22299628,0.24338898,44388694.79,163070617.54
09-02-2021,0.23767771,0.24629537,0.23328207,0.24623503,35755069.27,164977468.5
08-02-2021,0.22964218,0.24799856,0.22405107,0.23799907,56992397.22,159459377.85
07-02-2021,0.24468283,0.25149454,0.21720214,0.22960071,82766382.61,153832475.71
06-02-2021,0.24453576,0.28492187,0.21566805,0.24428099,250413141.85,163668263.39
05-02-2021,0.17503659,0.2913833,0.17244401,0.2445654,195030189.81,163858818.48
04-02-2021,0.18138165,0.18903228,0.16586847,0.17491203,39399542.92,117191062.12
03-02-2021,0.17535608,0.18228478,0.16464099,0.18096149,43389324.14,121244198.28
02-02-2021,0.15442656,0.17717306,0.15291556,0.17519944,52463678.87,117383625.15
01-02-2021,0.15158612,0.15440905,0.14769907,0.15440905,19924676.04,103454064.88
31-01-2021,0.15434689,0.1574747,0.14854393,0.15143099,19825617.98,101458766.61
30-01-2021,0.15541027,0.16501013,0.15237019,0.15411426,31273591.8,103256554.62
29-01-2021,0.15217082,0.1650268,0.14634177,0.15546386,52170075.37,104160785.72
28-01-2021,0.1353595,0.15731421,0.1353595,0.15197351,42000274.41,101822251.48
27-01-2021,0.14847812,0.14873923,0.13083238,0.13536005,18570229.28049509,90691234.761275
26-01-2021,0.15116824,0.15238324,0.14061319,0.14857506,17465919.26179001,99545293.3700983
25-01-2021,0.15611449,0.15815769,0.14798848,0.15064186,23819188.93890383,100930043.081016
24-01-2021,0.14802842,0.16443943,0.14615134,0.15589421,45101665.6222556,104449122.1237031
23-01-2021,0.14510475,0.16025646,0.14395654,0.14749413,41654134.25284863,98821063.9774449
22-01-2021,0.1324616,0.14616176,0.11735402,0.14518394,38300918.36374453,97273237.953078
21-01-2021,0.15798116,0.15804872,0.13001849,0.13271757,23558178.87422304,88920772.0422276
20-01-2021,0.15994784,0.16632207,0.14655184,0.1579715,30797077.40499633,105840906.4330764
19-01-2021,0.16640996,0.16693597,0.15734493,0.16004686,33943513.28492962,107231397.7789957
18-01-2021,0.15471284,0.16930539,0.14991308,0.16627467,54129238.29832473,111404025.9753629
17-01-2021,0.15344581,0.16461053,0.14697467,0.15455143,43137196.51603968,103549459.337222
16-01-2021,0.15594237,0.16452756,0.14892776,0.15348645,45243189.69652538,102835922.2066088
15-01-2021,0.16561964,0.16647673,0.14164621,0.15601878,56610158.24172488,104532580.2860947
14-01-2021,0.17200199,0.17412155,0.15831597,0.16528072,85571393.03839633,110738081.453491
13-01-2021,0.17270961,0.1789455,0.1529663,0.17179124,144977223.87743723,115100129.9802148
12-01-2021,0.12112354,0.19205789,0.11819013,0.17274162,171542196.53442356,115736883.4563903
11-01-2021,0.14232922,0.14271565,0.09939456,0.12121228,33106732.99700948,81212225.1230569
10-01-2021,0.15367749,0.16973925,0.12936724,0.14248078,77943187.45316769,95462123.6069229
09-01-2021,0.16797972,0.1737777,0.1455808,0.15374176,83880362.10174018,103006976.4722826
08-01-2021,0.18560944,0.21290535,0.15282906,0.16835533,260489217.79215047,112798074.3108477
07-01-2021,0.1045712,0.1969925,0.10244371,0.1969925,212011755.0073789,131984974.2487491
06-01-2021,0.09207893,0.11528474,0.0902133,0.10512893,43041500.33658984,70436380.2303833
05-01-2021,0.08555201,0.09491641,0.08225549,0.09210797,16715952.12534255,61712341.6665555
04-01-2021,0.08808222,0.09722173,0.08079678,0.08540404,23937539.31166503,57220708.0618445
03-01-2021,0.08562734,0.08922854,0.08279727,0.08800216,20418673.60509871,58961444.3738127
02-01-2021,0.08589761,0.08737281,0.08184304,0.08561386,11643594.4842437,57361284.8763212
01-01-2021,0.08459812,0.08895614,0.0837172,0.08590434,9846253.84567168,57555906.1332343
31-12-2020,0.08663798,0.08674752,0.08214718,0.08460047,9339541.06716029,56682311.9963406
30-12-2020,0.08405283,0.09141635,0.08346903,0.08653189,20428414.19129622,57976367.6626661
29-12-2020,0.08647893,0.08717428,0.08168587,0.08397984,11248809.87938423,56266493.5239752
28-12-2020,0.08687122,0.09020689,0.08541671,0.08647786,18085121.03320355,57940167.7505475
27-12-2020,0.0891632,0.09198633,0.08434222,0.08699866,25543593.81923522,58289102.6990227
26-12-2020,0.09135642,0.09172053,0.08725276,0.08919311,18151092.73954416,59759386.4340355
25-12-2020,0.09112898,0.09598846,0.08687819,0.09124208,27896325.37535254,61132191.6583802
24-12-2020,0.08084284,0.09553236,0.07779461,0.09103121,66064948.33952021,60990908.4315341
23-12-2020,0.08963146,0.10344949,0.07635628,0.08050763,42864006.56526537,53940114.2272701
22-12-2020,0.08996577,0.09324027,0.08680641,0.08957739,14058892.55755532,60016853.2314023
21-12-2020,0.09568316,0.09865407,0.08785959,0.08978728,29887708.78545152,60157476.5727091
20-12-2020,0.10332936,0.10332936,0.09417398,0.09568012,20256679.72997092,64105677.3347634
19-12-2020,0.0996468,0.10835957,0.09702271,0.10334677,39350430.33757981,69242337.4377036
18-12-2020,0.09353307,0.1001521,0.09299305,0.0999526,23711766.28719232,66968243.576443
