Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,6.52548333,7.18162437,6.34792138,6.92428664,90239334.86,405238239.39
14-04-2021,6.48079554,6.66397227,6.0911395,6.52413804,67159916.62,381819868.08
13-04-2021,6.57298273,6.80847791,6.2599904,6.4862825,57547762.6,379604403.34
12-04-2021,7.00549008,7.02744785,6.48096052,6.59597728,55962668.82,386024201
11-04-2021,7.01965583,7.27383901,6.62598094,7.00914234,59785205.65,410204349.85
10-04-2021,7.01101287,7.36421285,6.7376956,7.00990202,68134598.31,410248809.86
09-04-2021,7.24336401,7.35851522,6.88844472,7.01650064,60223460.55,410634988.67
08-04-2021,6.52343768,7.81165403,6.48824285,7.2242007,126069873.38,422790465.33
07-04-2021,7.42383799,7.4564008,6.23706466,6.51233774,109125505.81,381129265.28
06-04-2021,6.93196794,8.20207634,6.82977089,7.46172926,232914414.27,436691631.17
05-04-2021,7.06883248,8.01580316,6.78709018,6.94283264,162243671.4,406323628.62
04-04-2021,6.37869805,7.13099504,6.27574331,7.06195858,86539645.04,413295377.38
03-04-2021,7.12739325,7.39241976,6.36734516,6.37343444,132128258.12,373000062.86
02-04-2021,7.2543057,7.36554728,6.86139027,7.11188204,109556625.99,416217107.21
01-04-2021,6.11578325,7.53056437,5.96091706,7.25968618,225117959.96,424867224.56
31-03-2021,6.73577465,6.77152092,6.01447299,6.11705818,107104812.07,357995850.52
30-03-2021,6.14374242,6.9367465,6.07699599,6.7230815,136104354.58,393462871.99
29-03-2021,5.68366334,6.27807084,5.56589603,6.14035065,94160445.94,359359023.51
28-03-2021,5.9028346,6.02702721,5.42998194,5.67613864,73614163.54,332191393.76
27-03-2021,5.21565146,6.25276067,5.05652382,5.89701311,124403534.54,345117892.2
26-03-2021,4.74761037,5.29063378,4.74761037,5.21478523,56212174.73,305191060.9
25-03-2021,4.77140823,4.92184107,4.45126549,4.75256705,63259804.73,278140118.24
24-03-2021,5.28407848,5.6344528,4.61143749,4.78686145,79538710.04,280147170.14
23-03-2021,5.37719705,5.5969411,5.06911764,5.30131593,96381373.72,310255199.82
22-03-2021,5.96594635,6.07408436,5.36925197,5.37985861,80120084.3,314851846.08
21-03-2021,5.74758142,6.00049718,5.44705095,5.96960092,78369435,349366034.34
20-03-2021,6.20719653,6.33381923,5.73474593,5.74193531,83765408.21,336042089.84
19-03-2021,5.92254783,6.38031732,5.76824253,6.23618608,101749930.87,364967713.86
18-03-2021,6.25852366,6.51334923,5.89425366,5.9212895,119920086.49,346538648.04
17-03-2021,6.2309814,6.98108008,6.0681011,6.27942554,261162895.82,367498268.41
16-03-2021,5.41913936,6.537309,5.28715364,6.2314483,211874513.74,364690439.26
15-03-2021,5.54879369,6.06899189,5.08864751,5.43169368,128892606.62,317885451.21
14-03-2021,6.24924643,6.25824429,5.61972706,5.62086272,107787000.22,328956415.09
13-03-2021,5.85371091,6.50704044,5.52917574,6.25525827,223554361.44,366083898.35
12-03-2021,5.29715392,7.23344291,5.0643825,5.85354118,540593524.21,342573732.75
