Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,0.2050117,0.22288367,0.2019767,0.21599461,200830.21,269006229.53
14-04-2021,0.21028679,0.21079264,0.19318462,0.20493735,319507.97,255235187.66
13-04-2021,0.1618197,0.21083051,0.16088601,0.21063628,283165.52,262332811.37
12-04-2021,0.19538692,0.19606286,0.14718321,0.16194869,178007.1,201695808.24
11-04-2021,0.21162025,0.21214211,0.18603052,0.19542876,156448.17,243392897.04
10-04-2021,0.26272785,0.2638042,0.20927748,0.2114411,116019.68,263335159.18
09-04-2021,0.26522048,0.26740266,0.23328885,0.26280838,60240.72,327309517.73
08-04-2021,0.17778594,0.26803244,0.17778594,0.26517329,108914.29,330254852.79
07-04-2021,0.3235405,0.32702689,0.17512286,0.1783039,313862.99,222065077.97
06-04-2021,0.30833566,0.34757458,0.23962606,0.32241941,153974336.89,401550903.62
05-04-2021,0.36174685,0.36357806,0.28606387,0.30744731,117329416.98,382904202.63
04-04-2021,0.33882083,0.36621266,0.32929116,0.36109471,86030252.66,449718293.08
03-04-2021,0.37769848,0.37769848,0.32752984,0.33882894,142775720.85,421987834.52
02-04-2021,0.41248443,0.41605176,0.36294606,0.37589669,299463803.25,468153124.02
01-04-2021,0.36418289,0.44658304,0.35449988,0.40911316,763172306.47,509521931.53
31-03-2021,0.27868884,0.42420423,0.27324668,0.36152911,1106330402.96,450259315.15
30-03-2021,0.23300221,0.28188012,0.22675242,0.27868302,180834732.73,347080283.69
29-03-2021,0.22760421,0.23731566,0.2223852,0.23385342,67139094.77,291248141.75
28-03-2021,0.22674967,0.23193845,0.22224976,0.22845688,65918540.21,284527127.29
27-03-2021,0.21511599,0.23119041,0.21343494,0.2267879,83324653.08,282448522.31
26-03-2021,0.20694408,0.21598409,0.20379943,0.21511586,55037389.94,267911810.49
25-03-2021,0.18664247,0.21352342,0.18327856,0.20605592,156252118.51,256628286.34
24-03-2021,0.19857951,0.21052064,0.18234267,0.18673224,85258974,232561986.58
23-03-2021,0.21661827,0.22323542,0.17358757,0.1985082,158301006.34,247228131.45
22-03-2021,0.2513977,0.2513977,0.21215794,0.2140253,133543850.84,266553592.7
21-03-2021,0.20560838,0.2496571,0.19852928,0.2496571,195548089.99,310930513.82
20-03-2021,0.23973295,0.26115654,0.19150287,0.2055596,218479629.22,256010157.04
19-03-2021,0.2278949,0.25228006,0.21325426,0.23966397,205223748.69,298484775
18-03-2021,0.21547022,0.26201511,0.19713201,0.22878352,465810298.09,284933931.81
17-03-2021,0.18914132,0.2269171,0.13810664,0.2146051,742422199.8,267275696.29
16-03-2021,0.12970219,0.19541373,0.12104485,0.18382504,532016924.97,228941281.54
15-03-2021,0.11875637,0.13492832,0.08995555,0.13049553,191249058.23,162523087.66
14-03-2021,0.10979181,0.12655663,0.10433336,0.11875651,120214998.19,147902953.48
13-03-2021,0.10282736,0.14407656,0.09636035,0.10989618,319366230.69,136868030.4
12-03-2021,0.07397191,0.11350014,0.06847255,0.10207005,478758215.99,127121129.28
11-03-2021,0.06839793,0.0763795,0.06137886,0.07411172,104614268.49,92300986.93
10-03-2021,0.07684807,0.08259448,0.06565624,0.06847956,158191628.4,85286520.61
09-03-2021,0.03779496,0.08283366,0.02651077,0.07668898,1170336454.07,95510785.62
08-03-2021,0.03443339,0.03821524,0.02623349,0.03753502,40496389.16,46747252.89
07-03-2021,0.03319265,0.03774083,0.03214336,0.03443807,105894.79,42890216.19
06-03-2021,0.02947582,0.03740437,0.02846242,0.03321307,71998.85,41364567.15
05-03-2021,0.03056578,0.03063419,0.02814988,0.02939005,14038933.98,36603262.69
