Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,5.45911326,5.82615372,5.41448964,5.70513679,44615135.09,760199762.97
14-04-2021,5.74595486,5.78598769,5.2464933,5.46454501,49216970.5,728141317.25
13-04-2021,5.71786387,5.92395437,5.3805382,5.75684826,60320986.91,767090227.67
12-04-2021,5.84437571,6.1525577,5.58684194,5.70144302,55878416.86,759707574.3
11-04-2021,6.05953303,6.14456117,5.81201241,5.84551891,34174003.82,778905441.53
10-04-2021,6.18375262,6.27687694,5.86207806,6.05946524,55933377.12,807413425.53
09-04-2021,5.84351409,6.42734271,5.76050678,6.16628796,62893271.05,821647370.19
08-04-2021,5.25963223,6.02066187,5.21651286,5.83852354,56916612.71,777973320.16
07-04-2021,5.7642066,6.24661641,5.13292786,5.28443698,60798638.11,704142228.82
06-04-2021,5.70160199,5.91846346,5.41759206,5.76370911,52421889.7,768004423.83
05-04-2021,5.4142894,5.87247885,5.22905151,5.68629902,60993913.03,757689662.02
04-04-2021,5.04383714,5.45448836,4.96783057,5.41396174,40563250.6,721401182.36
03-04-2021,5.12801624,5.78962616,5.03652494,5.04534981,80590651.54,672284270.54
02-04-2021,5.12401735,5.24378321,5.02928388,5.12149221,47583919.21,682430115.65
01-04-2021,5.21744563,5.30239861,4.97250209,5.12462466,47389691.88,682847509.54
31-03-2021,4.8686441,5.52259975,4.65272074,5.21570636,108026744.11,694983991.57
30-03-2021,4.78900852,4.97202166,4.73924822,4.86812642,36976507.11,648669555.57
29-03-2021,4.54381338,4.93433987,4.47568756,4.78979722,39685055.08,638232323.62
28-03-2021,4.4676594,4.73543837,4.37230768,4.54498764,35186522.95,605611864.15
27-03-2021,4.47801719,4.54746382,4.41576858,4.46914955,31052075.62,595506566.82
26-03-2021,4.17081942,4.53350047,4.16520706,4.48172735,32274545.31,597182537.47
25-03-2021,4.53234883,4.55904191,4.134591,4.17150819,38878091.59,555846363.1
24-03-2021,4.87577147,5.09111253,4.53362436,4.53362436,32443211.63,604097726.58
23-03-2021,4.77871361,5.05963739,4.6604966,4.87542836,34438523.75,649642527.27
22-03-2021,5.0035804,5.23980662,4.72385011,4.7786512,43871825.55,636747134.66
21-03-2021,5.06986119,5.12544698,4.88069797,4.99912587,30922830.03,666125008.99
20-03-2021,5.10669372,5.37821246,5.07129824,5.07129824,30155356.28,675741855.58
19-03-2021,5.03763241,5.24286525,4.94736585,5.10879671,25403981.91,680738462.45
18-03-2021,5.19296558,5.27933582,4.78490786,5.03783135,32883703.02,671282448.37
17-03-2021,4.96090449,5.21953828,4.81879845,5.19415634,32243078.86,692112487.7
16-03-2021,4.93479368,5.02696503,4.70912878,4.96041852,30091316.62,660967320.69
15-03-2021,5.05565681,5.20963439,4.71495529,4.9331261,35965692.66,657330652.41
14-03-2021,5.34688122,5.39737409,4.99006882,5.05477456,29459632.42,673540102.31
13-03-2021,5.06323387,5.4224138,4.96496432,5.35254632,30639750.68,713217682.48
12-03-2021,5.50838315,5.52135916,4.91159618,5.06526207,60036015.23,674937545.82
11-03-2021,5.65191264,5.70388276,5.26292535,5.50524196,54022153.9,733564116.94
10-03-2021,5.91689,5.97271566,5.52286685,5.65328475,40779604.92,753290566.95
09-03-2021,5.75384843,6.2501146,5.63036457,5.91781844,79101140.63,788539230.69
08-03-2021,5.19918486,5.77844654,5.07171372,5.75426509,50647994.37,766746024.54
07-03-2021,5.11518225,5.30383831,5.09993448,5.20518189,26578638.03,693581623.19
06-03-2021,5.16165985,5.2171241,5.01607295,5.11517564,21049099.2,681588443.95
05-03-2021,5.13412621,5.39293827,4.81312794,5.16619362,31899517.86,688386502.72
04-03-2021,5.4150573,5.66382,4.96115685,5.13460919,41948819.9,684177931.03
03-03-2021,5.08274265,5.65327352,5.01830566,5.42345604,38305724.6,722666281.97
02-03-2021,5.31832575,5.36867224,4.94815154,5.07661592,32039920.8,676450426.96
01-03-2021,4.95005136,5.37667213,4.95005136,5.32172137,38126345.91,709110310.96
28-02-2021,5.15333355,5.17221847,4.66932324,4.94541725,41108139.41,658968427.85
27-02-2021,5.14225886,5.46017816,4.98846546,5.15340333,34435597.46,686682218.52
26-02-2021,5.19228702,5.45040288,4.76136399,5.14604329,75323888.71,685701506.28
25-02-2021,5.79607516,6.08145401,5.13804848,5.14034307,66796874.29,684941961.65
24-02-2021,5.16443388,6.18427073,4.89746807,5.7973298,88191128.21,772484323.84
23-02-2021,6.34721971,6.36158221,4.23655606,5.15573396,129730692.98,686992771.62
