Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,5.8863008,6.88752699,5.65585911,6.12529332,15741534.96,326185626.45
14-04-2021,6.25261146,6.25261146,5.24385736,5.8984872,16232678.11,314107691.61
13-04-2021,7.09147899,7.26101554,5.8878042,6.25834178,23944599.65,333270756.22
12-04-2021,5.18746333,7.9775287,5.18533107,7.1002156,114610768.95,378102427.93
11-04-2021,4.62162189,7.28948775,4.33370285,5.19772903,67428378.78,276790745.02
10-04-2021,5.0426056,5.06987694,4.44623134,4.62940217,10158731.5,246526063.25
09-04-2021,4.41386808,5.10022224,4.35958628,5.04934339,11566586.93,268888876.33
08-04-2021,4.59603637,5.01821055,4.36216633,4.42591934,15509797.64,235690145.53
07-04-2021,4.0049694,4.83910171,3.84401036,4.60016436,26195975.54,244969084.37
06-04-2021,4.17561337,4.4956617,3.88931604,4.00591878,12289620.96,213324172.18
05-04-2021,4.260576,4.74674361,4.05505737,4.16668842,21645784.06,221885516.58
04-04-2021,3.48441376,5.51762307,3.39474521,4.26800727,52990136.72,227280973.23
03-04-2021,3.05887065,4.73194423,3.01923986,3.48773412,33413794.62,185729675.14
02-04-2021,3.01314708,3.06867571,2.93481306,3.05715199,5284308.34,162800209.76
01-04-2021,3.07769648,3.15360489,2.97850992,3.01362978,6024899.31,160482554.46
31-03-2021,2.96367135,3.20080672,2.88924137,3.07521312,7095890.86,163762005.72
30-03-2021,3.05948784,3.06204747,2.82103963,2.96519076,7446848.5,157903067.9
29-03-2021,2.91377151,3.09228238,2.84628892,3.06101665,6379158.26,163006011.71
28-03-2021,3.28026989,3.3004272,2.84918297,2.91162779,7959388.01,155050719.37
27-03-2021,2.85635031,3.30627457,2.82926269,3.28186431,8135547.9,174766645.46
26-03-2021,2.5875631,2.85500893,2.58415745,2.85140457,4848578.39,151843697.82
25-03-2021,2.75137855,2.80010584,2.54141121,2.58735589,5304931.09,137782512.43
24-03-2021,2.92853792,3.04162132,2.69353445,2.74944698,6450701.14,146414226.69
23-03-2021,2.88712842,3.16325888,2.7236721,2.93460178,7098499.63,156274135.93
