Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,2.36907061,2.4569159,2.35742249,2.42272574,5809479.09,315589086.07
14-04-2021,2.50686691,2.56487831,2.2783111,2.37421302,8100211.48,309190490.56
13-04-2021,2.53662529,2.60402593,2.40709363,2.50693381,12076070.24,326390468.53
12-04-2021,2.45208405,2.96837939,2.38447894,2.55043792,27930225.65,331961847.3
11-04-2021,2.38728071,2.49080452,2.30141268,2.4516984,7307964.56,319034394.26
10-04-2021,2.42521605,2.57917561,2.33180028,2.374345,9001921.16,308889106.29
09-04-2021,2.51849264,2.5280408,2.39127149,2.41712032,8194887.98,314372795.51
08-04-2021,2.42378013,2.62318162,2.35083383,2.51820986,11553271.7,327435963.19
07-04-2021,2.52103617,2.53361699,2.03494946,2.43309306,14745748.25,316287085.94
06-04-2021,2.42465516,2.67205069,2.27219622,2.514157,60584268.9,326740451.9
05-04-2021,2.25002536,2.60260625,2.05963962,2.42045991,31463107.97,314482388.48
04-04-2021,1.99876362,2.30749722,1.95966787,2.24978699,57693875.16,292232135.45
03-04-2021,2.10023744,2.30363402,1.99528762,1.99906785,32149940.79,259598267.14
02-04-2021,2.06993952,2.25303648,1.96013694,2.10111376,59532652.56,272779266.36
01-04-2021,1.90557308,2.09253459,1.85281055,2.06631974,97462313.44,268192879.11
31-03-2021,1.97307263,1.97728458,1.78079705,1.90403251,18599766.6,247065220.55
30-03-2021,1.84693349,1.97950334,1.78756488,1.97238054,41076084.06,255867739.98
29-03-2021,1.67810628,1.85718114,1.63327654,1.847322,52948857.83,239582563.06
28-03-2021,1.62622964,1.78998999,1.62595715,1.68278546,25737648.9,218187118.35
27-03-2021,1.50403257,1.65451046,1.46862503,1.62730644,9935790.56,210939466.61
26-03-2021,1.40717506,1.51206832,1.40717506,1.50199527,6680318.12,194645648.97
25-03-2021,1.51060224,2.00436425,1.37071576,1.40835506,10875205.2,182463583.72
24-03-2021,1.60757625,1.77144624,1.47075398,1.5112338,15864788.18,195741635.67
23-03-2021,1.62108253,2.31100688,1.51712247,1.60312866,38753119.39,207590445.35
22-03-2021,1.64898608,2.18068512,1.55171,1.62213515,36774888.8,209997214.18
21-03-2021,1.50593351,1.93757406,1.45484735,1.64678267,9549720.68,213132792.32
20-03-2021,1.57206061,1.63308607,1.50537957,1.50537957,13638767.72,194781309.91
19-03-2021,1.59955522,1.87720271,1.55122147,1.56977467,10029267.61,203061044.09
18-03-2021,1.48917419,1.99632222,1.47054806,1.60886871,10622421.24,208063998.62
17-03-2021,1.52971966,1.73428131,1.41037133,1.48798744,16924839.98,192381538.43
16-03-2021,1.40480306,1.74948601,1.3411959,1.5292824,16125862.34,197669133.71
15-03-2021,1.436017,1.4627776,1.28658719,1.4064604,5723693.46,181746548.21
14-03-2021,1.49847585,1.56984844,1.43644792,1.44237317,4644353.25,186339027.51
13-03-2021,1.3173057,1.54409018,1.25844518,1.50060711,7547408.59,193811983.31
12-03-2021,1.40073116,1.41806504,1.27266865,1.31478661,3793982.76,169768184.84
11-03-2021,1.40102293,1.4492298,1.35961535,1.40036722,3640324.43,180771508.95
10-03-2021,1.48911603,1.49729842,1.37957532,1.40030948,3046416.83,180717097.34
09-03-2021,1.50997772,1.54576843,1.45561534,1.48828145,4539201.61,192020367.18
08-03-2021,1.52933509,1.5468423,1.4644089,1.50851256,4740257.96,194580111.21
07-03-2021,1.51373724,1.71503226,1.4487215,1.52632546,11112827.11,196826470
06-03-2021,1.26978998,1.5859486,1.24651395,1.51245391,11531597.57,194986871.53
