Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,3.12470505,3.34496349,3.08893149,3.26406228,46210904.52,264646211.88
14-04-2021,3.13151693,3.28271167,2.96462413,3.12976166,24307637.31,253723831.18
13-04-2021,3.11845581,3.22588134,3.00314602,3.13583432,26105838.3,254183360.45
12-04-2021,3.28391614,3.31237,3.06095119,3.12509894,30970527.81,253279776.39
11-04-2021,3.45393476,3.60270368,3.24642561,3.28586062,27683771.78,266274685.38
10-04-2021,3.10171933,3.63212894,3.04913424,3.45373249,58385268.6,279841524.04
09-04-2021,3.17553316,3.24205563,3.04389751,3.10174068,26352948.44,251287947.33
08-04-2021,2.88564146,3.17711614,2.84571875,3.17627602,33181697.06,257293246.18
07-04-2021,2.99734812,3.03466901,2.7377606,2.87699156,28542152.49,233019738.02
06-04-2021,3.09296597,3.19563762,2.90332459,3.00085909,30511283.1,243020222.09
05-04-2021,3.20251523,3.41359001,3.04786341,3.08663129,39536980.89,249934104.33
04-04-2021,2.58460273,3.29393,2.55178713,3.20381492,58366939.98,259389345.87
03-04-2021,2.80871053,2.90729102,2.58010312,2.58303379,24662885.31,209102267.92
02-04-2021,2.93481636,3.09058859,2.73448056,2.81085052,35989595.4,227515827.34
01-04-2021,2.67576516,2.97749465,2.60871434,2.9422035,34953739.08,238116353.98
31-03-2021,2.77439669,2.81346408,2.56550245,2.67121244,23792647.63,216156781.43
30-03-2021,2.65727577,2.77589783,2.59064204,2.77189368,25310242.54,224274368.14
29-03-2021,2.58412405,2.6739357,2.52930472,2.65848876,20058538.54,215070976.33
28-03-2021,2.54290446,2.66424336,2.46190255,2.58684327,19480734.48,209247844.46
27-03-2021,2.49389423,2.64780206,2.40862848,2.54334243,20274982.88,205702515.87
26-03-2021,2.22756452,2.49853963,2.22756452,2.49178849,27394297.13,201506263.47
25-03-2021,2.40577018,2.45172562,2.17685078,2.23327367,29328708.06,180577316.22
24-03-2021,2.38306339,2.73953935,2.31005545,2.4103718,33100362.79,194871298.79
23-03-2021,2.52976949,2.65841025,2.35482425,2.39103219,31619528.37,193282763.39
22-03-2021,2.83880481,3.05986368,2.50557707,2.53999958,40034871.65,205297625.31
21-03-2021,2.46676187,2.93795359,2.40932995,2.83510371,51856431.54,229120040.16
20-03-2021,2.41970013,2.61943321,2.40883324,2.46553916,18647891.54,199227183.04
19-03-2021,2.45585186,2.52328048,2.37169193,2.42539189,16548435.74,195957172.92
18-03-2021,2.4007174,2.62549616,2.35270047,2.45629942,28467312.16,198428648.05
17-03-2021,2.39177437,2.44528773,2.26721391,2.40525552,18368535.34,194279433.56
16-03-2021,2.30221015,2.48809239,2.10871409,2.39362689,32122730.47,193315141.76
15-03-2021,2.53106072,2.73878403,2.22892893,2.30732184,41501205.58,186320276.47
14-03-2021,2.38865449,2.70553594,2.22248192,2.52906922,36094989.2,204200336.71
13-03-2021,2.29740213,2.48531903,2.15795344,2.39135923,28884412.37,193056463.07
12-03-2021,2.47645785,2.53627755,2.20740529,2.29637503,39121279.56,185364310.89
11-03-2021,2.60273235,2.6839651,2.44006956,2.47698559,35116406.46,199919859.99
10-03-2021,2.59632631,2.8777329,2.39239497,2.61221518,41615328.04,210806450.95
09-03-2021,2.55485294,2.72663697,2.47400344,2.59968774,36355502.75,209768315.99
08-03-2021,2.77640593,2.77851195,2.3683696,2.55396063,87761710.95,206051915.83
07-03-2021,2.05577002,2.9711671,2.04031586,2.78841502,255920272.02,224937744.72
06-03-2021,1.86677445,2.08859615,1.77427311,2.03995369,28398210.64,164539043.96
05-03-2021,1.88527364,1.92662064,1.75144003,1.87064016,19863979.49,150862966.52
04-03-2021,2.03858917,2.11073543,1.75982395,1.8898998,35897047.36,152396015.59
03-03-2021,1.78305602,2.26399759,1.75539546,2.04528904,49990116.66,164904778.37
02-03-2021,1.79103035,1.93862519,1.70468511,1.779953,25054303.81,143493025.19
01-03-2021,1.69596785,1.8433374,1.69113017,1.78905887,18584764.34,144207984.62
28-02-2021,1.81915308,1.81915308,1.53597693,1.69118743,24942811.97,136300933.92
27-02-2021,1.87709643,2.11864165,1.7422628,1.82041095,26757407.91,146696655.57
26-02-2021,1.86034452,2.10686181,1.72752595,1.87994655,42424551.39,151474202.2
25-02-2021,2.11313708,2.38593854,1.84334319,1.84334319,46759430.55,148505234.04
24-02-2021,2.33173315,2.67978712,2.02234054,2.12120395,109387491.77,170867856.64
23-02-2021,2.06088681,2.3406087,1.4616202,2.32559959,141839847.09,187307541
22-02-2021,2.0018596,2.17636983,1.45974816,2.07347181,72995907.38,166978603.22
21-02-2021,1.90751426,2.06295244,1.86692078,2.00096531,28696493.56,161118202.16
20-02-2021,2.0855356,2.21489783,1.80653836,1.91202419,37757618.38,153936207.41
19-02-2021,2.15800856,2.20868592,1.96804444,2.08565633,23990172.41,167892962.49
18-02-2021,1.99143553,2.24023851,1.95003762,2.15553562,47576321.81,173496663.84
17-02-2021,1.91902499,2.02894474,1.72313533,1.99078883,60904251.4,160215574.38
16-02-2021,1.9503295,2.0719099,1.84535758,1.91175597,37634468.92,153835155.66
15-02-2021,2.15425677,2.23767122,1.73285042,1.94877702,41062973.83,156793337.56
14-02-2021,2.38855739,2.41001058,2.01182773,2.1667383,48169493.21,174306756.76
13-02-2021,2.2479207,2.45763849,1.95099798,2.39079542,67233197.62,192305840.96
12-02-2021,1.90941808,2.3016389,1.90474707,2.25102448,51117788.79,181039178.03
11-02-2021,1.94772282,2.07267117,1.84975531,1.91596848,30900031.04,154071742.87
10-02-2021,1.97630142,2.02211121,1.67090485,1.94868522,51418161.83,156681818.57
09-02-2021,1.68499459,2.05007108,1.63791037,1.97081196,49009408.06,158439830.94
08-02-2021,1.64662302,1.78839657,1.60404056,1.68603659,31537073.55,135527815.23
