Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,0.62247482,0.62967895,0.59056037,0.60816156,22454948.26,281754447.05
14-04-2021,0.6187994,0.65090069,0.59607626,0.62175763,34151529.29,288053351.24
13-04-2021,0.61118929,0.63313441,0.59410058,0.61932333,30755461.35,286925567.38
12-04-2021,0.55410931,0.663486,0.5478561,0.6112664,91724765.09,283192882.21
11-04-2021,0.54172403,0.55903691,0.53503773,0.55399766,18699259.41,256660917.77
10-04-2021,0.49653232,0.55106734,0.49635435,0.54153912,29889509.63,250889015.59
09-04-2021,0.49919838,0.51080701,0.49182732,0.49645852,10657985.63,230003678.54
08-04-2021,0.47488852,0.50096705,0.47114798,0.49897563,12162950.71,231169824.95
07-04-2021,0.51790922,0.52679411,0.4525575,0.47543585,21001179.09,220264110.99
06-04-2021,0.49709136,0.53563806,0.4801423,0.51890405,32310608.02,240402440.14
05-04-2021,0.47324196,0.51364067,0.47014924,0.49629175,25527793.53,229926415.96
04-04-2021,0.43142171,0.48764793,0.43003084,0.47305509,12787882.94,219161127.54
03-04-2021,0.46920125,0.47165434,0.43016977,0.43147852,13568723.82,199899168.46
02-04-2021,0.45613553,0.47940535,0.44753087,0.46890875,22474029.95,217240178.14
01-04-2021,0.42230858,0.51394738,0.41858241,0.45598394,28190502.34,211252258.84
31-03-2021,0.42508907,0.42628649,0.40676536,0.42231554,11474905.81,195654063.82
30-03-2021,0.40039169,0.43230206,0.40039169,0.42505333,20987913.76,196922450.7
29-03-2021,0.39402963,0.40251674,0.39147209,0.4004454,8818592.85,185521870.58
28-03-2021,0.39123985,0.40409635,0.38854266,0.39416159,9093697.7,182610653.9
27-03-2021,0.39215196,0.39642201,0.38369508,0.39135234,6792664.91,181309160.41
26-03-2021,0.37250718,0.40174539,0.37208592,0.39226081,10611320.35,181730046.18
25-03-2021,0.38166407,0.38190179,0.36380175,0.37257971,10084946.47,172612010.76
24-03-2021,0.40027148,0.40730168,0.37913283,0.38183982,10351167.32,176902116.15
23-03-2021,0.40464151,0.40658374,0.39614432,0.40049085,7241266.02,185542927.49
22-03-2021,0.40770933,0.41167175,0.40368368,0.40485585,8357186.82,187565182.89
21-03-2021,0.4140466,0.41426787,0.40326768,0.40766535,8306011.82,188866793.39
20-03-2021,0.41237788,0.41995248,0.41138909,0.41437402,10770286.31,191974844.51
19-03-2021,0.40991888,0.4135904,0.40677548,0.41241895,7975971.41,191069082.37
18-03-2021,0.41294551,0.41675065,0.39911549,0.40991103,13000619.41,189907194.23
17-03-2021,0.41376751,0.41670248,0.40269118,0.41279404,10979544.49,191242861.51
16-03-2021,0.41086428,0.41814422,0.39986683,0.41309835,11017721.06,191383844.28
15-03-2021,0.4177218,0.41892402,0.40296837,0.41071783,8531292.1,190280973.52
14-03-2021,0.42905029,0.43267917,0.41348742,0.41836786,13208913.52,193825147.55
13-03-2021,0.41163008,0.43086582,0.40357815,0.42905425,21203934.79,198776033.83
12-03-2021,0.41326649,0.41712663,0.39978857,0.41146069,10351141.07,190625132.2
11-03-2021,0.42020296,0.42031557,0.40547239,0.41320013,10356967.58,191430995.83
10-03-2021,0.42849331,0.44066422,0.41235104,0.42006047,15609053.74,194609314.06
09-03-2021,0.41118798,0.43402414,0.40807393,0.42844672,24203069.43,198494570.12
08-03-2021,0.41353872,0.41656587,0.39780589,0.41127746,12858833.96,190540243.55
07-03-2021,0.40663398,0.41543072,0.40495158,0.41397659,12562116.18,191790719.6
06-03-2021,0.40043907,0.4159438,0.39634148,0.40670401,16144883.68,188421417.41
05-03-2021,0.41236806,0.41480952,0.38892279,0.40038585,13159613.38,185494286.12
