Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,236.70321654,254.56450528,235.84871263,252.5044683,958612836.05,2919638150.11
14-04-2021,226.15832257,241.83595067,218.9968105,236.61843506,1020220098.32,2734267988.13
13-04-2021,221.00606838,231.17403019,218.18516874,226.02654107,872733030.42,2610239256.27
12-04-2021,222.10165082,236.69423744,209.78479703,220.87204092,1108595235.37,2549128398.69
11-04-2021,206.02505087,230.38326464,206.02505087,223.07983022,1065044571.78,2573019492.76
10-04-2021,194.99007533,209.31037258,194.04833498,205.44461664,819893149.02,2368134415.43
09-04-2021,181.41903248,198.32688404,181.41903248,194.91156465,717653089.22,2245327624.1
08-04-2021,171.50863439,183.91570174,170.67373284,181.41955446,510737112.38,2088596022.37
07-04-2021,191.10289951,193.64777773,164.9708124,171.338809,881257647.63,1971321533.12
06-04-2021,197.20958621,199.79540171,183.41868783,191.09420818,689859183.42,2197244201.85
05-04-2021,188.84524438,199.82827495,185.08836789,196.65372929,809567319.73,2259755377.82
04-04-2021,173.20659873,194.31990564,172.42616611,188.8391664,1190701392.66,2168607742.54
03-04-2021,169.76207869,177.36761239,165.10162751,173.17097982,647695539.31,1987440042.62
02-04-2021,164.20879092,177.56546504,164.02184321,169.8288462,706367744.01,1947879548.69
01-04-2021,156.9245154,165.25897034,153.54413806,164.19693254,703320711.39,1882087840.84
31-03-2021,154.33054318,157.23173912,148.50049979,156.9161308,602069418.95,1797521353.12
30-03-2021,149.9428107,154.56404392,146.48070523,154.3550844,584603454.1,1767077265.33
29-03-2021,144.16895799,158.91157452,142.44435686,149.95036575,706953752.11,1715580260.23
28-03-2021,133.77230392,144.31200606,130.97243763,144.14402986,482818819.22,1648104999.62
27-03-2021,132.79330799,134.73919209,127.211295,133.77473959,340221278.09,1528601308.58
26-03-2021,123.73237185,132.80718174,123.57872269,132.80718174,309417357.76,1516586631.6
25-03-2021,128.42808991,128.71272289,118.74065293,123.75475436,467349962.88,1412328703.58
24-03-2021,136.91925667,141.55620519,127.60013336,128.46861585,355137343.46,1465205439.9
23-03-2021,140.93028855,143.05252578,136.1346064,136.94798702,404112958.39,1560919461.21
22-03-2021,148.51288787,149.61851141,140.94235894,140.94235894,336591141.74,1605450626.64
21-03-2021,156.11853367,156.24010753,146.65895808,148.54068505,327001394.75,1690940739.66
20-03-2021,151.06608907,160.40766532,150.85599386,156.00644245,431326796.02,1774808267.56
19-03-2021,143.53848195,153.17265628,141.6962401,151.08345233,320282255.89,1717708373.21
18-03-2021,144.66139428,149.88518199,140.60400756,143.54801762,388073123.06,1631009622.49
17-03-2021,137.75063191,145.65982865,135.33409338,144.6720045,463267376.25,1642739760.66
16-03-2021,135.20173169,138.43421724,131.28806607,137.7366419,391337768.51,1563007865
15-03-2021,144.87572794,146.96878564,134.8833116,135.23186328,519817551.52,1533618920.74
14-03-2021,155.53325296,156.58475383,144.92253296,144.92253296,474526146.07,1642467752.37
13-03-2021,146.40292884,157.61530381,138.42682681,155.55728191,619018517.35,1761889414.33
12-03-2021,152.11705066,155.26079379,143.89982284,146.42091099,593222079.61,1657355679
11-03-2021,139.56648261,157.65116583,138.59895103,152.07384403,882969307.61,1720249819.04
10-03-2021,136.21826734,140.86599943,132.56500995,139.61609346,531571047.76,1578333758.56
09-03-2021,127.94956991,136.47816663,127.21470228,136.23444066,419896238.59,1539127325.6
08-03-2021,128.4714523,131.33491221,124.89426061,127.95221503,339525585.77,1444642084.72
07-03-2021,123.92940479,128.46708916,123.41877906,128.46708916,285081993.9,1449541539.24
06-03-2021,121.03231802,124.60320227,119.44041321,123.91897101,343036871.59,1397326581.52
05-03-2021,121.20353543,122.82281161,115.42196192,121.06919618,468430616.44,1364329528.43
04-03-2021,123.23723386,128.42352786,118.51887598,121.21816453,475794203.26,1365141543.84
03-03-2021,119.51887421,126.15788614,118.96187022,123.2719005,483575543.46,1387389799.5
02-03-2021,122.13702525,125.99664113,117.1329901,119.50303343,510700653.25,1344119331.23
01-03-2021,109.74044392,124.86549246,109.43659016,122.09708739,582948057.24,1372421627.35
