Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,2.15670118,2.24662556,2.10819337,2.2057746,242026037.17,1723917974.12
14-04-2021,2.29576189,2.34798418,2.05878138,2.15746297,331274985.01,1686160136.27
13-04-2021,2.13381175,2.39944414,2.09767709,2.30109133,395799971.04,1798412540.05
12-04-2021,2.13418817,2.18077076,2.0461669,2.13051518,272347393.22,1665099150.6
11-04-2021,2.17957896,2.24885118,2.03324044,2.136688,350213661.73,1669923506.91
10-04-2021,2.16201321,2.36919712,2.08688674,2.18347855,558443917.52,1706492552.64
09-04-2021,1.86025165,2.36305063,1.8350141,2.16233124,709723216.81,1644555961.96
08-04-2021,1.71447853,1.86265572,1.7084452,1.86047518,203577728.3,1414980043.38
07-04-2021,1.94395555,1.96564382,1.60401653,1.71310826,347575974.5,1302900477.13
06-04-2021,1.81607552,1.96392523,1.75577789,1.94647576,392729191.05,1480387579.16
05-04-2021,1.87918713,1.90861659,1.78308477,1.8163714,250271241.86,1381437014.55
04-04-2021,1.76698544,1.89778821,1.74237496,1.87893226,258036566.6,1429017529.52
03-04-2021,2.01379677,2.01379677,1.76307856,1.76695986,304127219.75,1343857183.97
02-04-2021,2.0056296,2.07974141,1.91439691,2.01662962,349818502.77,1533742937.73
01-04-2021,1.91068231,2.09254525,1.86737223,2.00673952,523102989.19,1526221046.38
31-03-2021,1.87075427,2.03357973,1.77706662,1.91086175,685315364.55,1453301427.38
30-03-2021,1.60747864,1.94465815,1.57478835,1.86845462,669768881.23,1421048790.96
29-03-2021,1.46716567,1.61579872,1.46558878,1.60571799,263982518.49,1221225061.02
28-03-2021,1.4242743,1.49678204,1.39799213,1.46669017,184437051.06,1115487775.26
27-03-2021,1.39463029,1.44440432,1.36588346,1.42466487,190679089.97,1083525532.88
26-03-2021,1.32256175,1.40007689,1.32204465,1.39439218,131183282.27,1060501709.01
25-03-2021,1.39135582,1.41160717,1.27972222,1.32281949,250654406.73,1006067266.53
24-03-2021,1.51226074,1.6121091,1.36805465,1.39333511,303399722.91,1059697755.36
23-03-2021,1.43042765,1.53821134,1.36562554,1.512495,250003324.27,1150324533.43
22-03-2021,1.46347306,1.57286838,1.41192216,1.43052533,237302503.17,1087982688
21-03-2021,1.50370806,1.52965103,1.42267911,1.46371585,185181206.51,1113225663.39
20-03-2021,1.56471026,1.62807359,1.49895863,1.50043425,219005434.74,1141151758.11
19-03-2021,1.52360281,1.65327903,1.46974922,1.5650771,294587936.17,1190315725.3
18-03-2021,1.45061422,1.74034706,1.42597812,1.52539628,606472101.84,1160136573.65
17-03-2021,1.42652133,1.45154695,1.34390544,1.45077337,191119676.21,1103382290.08
16-03-2021,1.32970479,1.43708372,1.28423388,1.42566604,182422690.8,1084086766.36
15-03-2021,1.33090272,1.37447498,1.26414443,1.32956833,158962954.63,1011013369.32
14-03-2021,1.39328043,1.39848407,1.31943406,1.33146148,127097149.03,1012452940.42
13-03-2021,1.34174293,1.41903983,1.29410159,1.39363513,132596511.06,1059730229.92
12-03-2021,1.37661296,1.38610233,1.30641215,1.34176762,128427523.89,1020289804.09
11-03-2021,1.393687,1.40584389,1.33618549,1.37601334,130710270.97,1046330497.64
10-03-2021,1.47255214,1.4797577,1.36966707,1.39462611,176950386.3,1060483782.58
09-03-2021,1.42140077,1.47337301,1.39322671,1.47337301,173715933.9,1120363493.49
08-03-2021,1.41545476,1.46637608,1.37155566,1.4216513,207852371.98,1081033927.05
07-03-2021,1.37360425,1.4245819,1.35806084,1.41538473,160884652.95,1076268783.48
06-03-2021,1.34475845,1.40472408,1.3205773,1.37387982,139697735.83,1044708148.11
05-03-2021,1.37827284,1.38991579,1.29547689,1.34530683,158103129.43,1022981042.85
04-03-2021,1.4658031,1.49715399,1.36317379,1.37950329,188180550.43,1048984279.02
03-03-2021,1.36103069,1.52312273,1.34255076,1.46563343,262252025.02,1099821924.76
02-03-2021,1.34129886,1.42866681,1.29004592,1.3609457,263572514.59,1021263492.71
01-03-2021,1.20962994,1.37333512,1.20658505,1.34122333,214940702.55,1006328513.93
28-02-2021,1.33697655,1.34644776,1.14093078,1.2085791,190988675.32,906804698.19
27-02-2021,1.32087924,1.39945599,1.30170067,1.33665535,192079134.75,1002901133.91
26-02-2021,1.39503938,1.41710078,1.25210891,1.32006756,318032413.33,990455205.5
25-02-2021,1.52641902,1.5852484,1.39091427,1.39091427,269654917.05,1043611946.61
24-02-2021,1.58503138,1.66644321,1.4288598,1.52474303,455674146.75,1144024534.73
23-02-2021,1.55617642,1.87179886,1.20906696,1.58504979,1075392679.83,1189273083.34
22-02-2021,1.72662931,1.90805034,1.33883231,1.55557417,689883597.86,1167157334.73
21-02-2021,1.53516032,1.74501155,1.50210233,1.72635278,345019542.75,1295293630.42
20-02-2021,1.55488148,1.68882297,1.48166317,1.537567,367304156.72,1153646437.08
19-02-2021,1.61349831,1.63056693,1.51432689,1.55456517,240961583.97,1166400277.85
18-02-2021,1.56217359,1.62892793,1.51889327,1.61305555,241320751.01,1210285987.99
17-02-2021,1.58567838,1.59759716,1.42441916,1.56098837,348196329.77,1171219644.2
16-02-2021,1.61005989,1.6990491,1.51315093,1.58576744,305494975.26,1189811542.88
15-02-2021,1.79970757,1.80894877,1.44965335,1.61061014,384502851.25,1208451179.91
14-02-2021,1.88445071,2.00201588,1.68710853,1.80060702,492231583.04,1351007060.76
13-02-2021,1.8042181,1.92447978,1.66499501,1.88363164,478092748.41,1413300969.02
12-02-2021,1.76033991,2.00616581,1.72511193,1.80527848,762009464.95,1354512085.86
11-02-2021,1.50336934,1.8050592,1.46525535,1.75959125,679820825.4,1320232662.69
10-02-2021,1.51418594,1.6295817,1.38838471,1.50703881,490370002.66,1130740937.42
09-02-2021,1.47107793,1.5748073,1.43189124,1.51513552,447578099.83,1136815951.45
08-02-2021,1.40926951,1.65685729,1.40926951,1.4712702,726459382.72,1103903520.75
07-02-2021,1.44111629,1.49181142,1.26271729,1.40916702,532870680.71,1057307105.79
06-02-2021,1.58911034,1.65353093,1.35426345,1.43822654,1053050245.62,1079110648.12
05-02-2021,1.03392201,1.96016423,1.00207422,1.59757506,3091929098.48,1198670869.89
04-02-2021,0.76393175,1.11097966,0.72283752,1.02919532,863026128.24,772140985.17
03-02-2021,0.68303154,0.76688118,0.67182026,0.76358105,153056045.63,572867184.77
02-02-2021,0.68404521,0.69105538,0.65917081,0.68310098,103635748.93,512488014.67
01-02-2021,0.70113703,0.70586393,0.64420267,0.68296247,141168214.54,512384099.02
31-01-2021,0.65292955,0.7800867,0.62949416,0.70000806,425603439.23,525172343.09
30-01-2021,0.60054693,0.65382133,0.57740929,0.65267805,128791104.92,489663589.39
29-01-2021,0.62062253,0.62062253,0.57629056,0.60053692,177241169.94,450545354.1
28-01-2021,0.58698531,0.67516716,0.58047406,0.61165334,248749104.13,458885312.63
