Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,1.46472628,1.62489173,1.44869394,1.57437783,421373868.82,4387370448.32
14-04-2021,1.51454683,1.52699929,1.38762196,1.46611957,377957612.98,4062682358.27
13-04-2021,1.48139701,1.54905576,1.42344529,1.51523601,395401452.52,4162927733.73
12-04-2021,1.52356627,1.59785218,1.43935031,1.48237899,440923375.44,4039064299.45
11-04-2021,1.39087043,1.54644067,1.36622382,1.52048847,377203337.96,4102251115.5
10-04-2021,1.39489511,1.47583695,1.35574716,1.39340659,335532482.16,3734827323.53
09-04-2021,1.35006571,1.42791176,1.32239639,1.39424518,281543641.67,3714584414.18
08-04-2021,1.30507667,1.37923119,1.29707433,1.34912933,252938906.94,3580896687.52
07-04-2021,1.39996515,1.48300449,1.25547931,1.30387032,545441816.05,3440619290.6
06-04-2021,1.40311041,1.48831467,1.36171138,1.40085017,441199749.01,3673149597.29
05-04-2021,1.31534948,1.42922985,1.28300979,1.40501064,363893377.98,3680673032.45
04-04-2021,1.26893692,1.35545273,1.25183088,1.31493235,259162074.88,3443490562.35
03-04-2021,1.36126775,1.47025071,1.26954661,1.26954661,457515567.1,3323474733.92
02-04-2021,1.3258469,1.36956355,1.30839764,1.36127044,256028255.86,3561439672.78
01-04-2021,1.36938051,1.39884322,1.30314725,1.32610881,312332954.29,3468241464.86
31-03-2021,1.32639399,1.37245229,1.25533973,1.36968291,369677699.9,3576821900.22
30-03-2021,1.40329682,1.42690157,1.30466613,1.32609543,418633321.19,3461669313.39
29-03-2021,1.2365372,1.44987094,1.21936987,1.40106787,565200987.18,3651285476.98
28-03-2021,1.15956853,1.26920961,1.14891998,1.2367428,368338602.82,3221922851.53
27-03-2021,1.11780092,1.21701421,1.09550165,1.15959266,350800206.16,3019881246.15
26-03-2021,1.04520273,1.12563726,1.04246597,1.11780817,204442462.33,2910052075.84
25-03-2021,1.03188876,1.07711434,0.9881144,1.04524731,371973363.95,2720201986.58
24-03-2021,1.11262141,1.18489037,1.00406735,1.03346095,355602690.98,2688516869.29
23-03-2021,1.1076752,1.15941351,1.06920733,1.11312485,305034133.83,2894750171.81
22-03-2021,1.18168289,1.22755191,1.09173181,1.10854035,287231850.91,2881771865.9
21-03-2021,1.20927549,1.23585481,1.15572179,1.18177136,278155215.12,3071084074.43
20-03-2021,1.25364042,1.31691964,1.20683009,1.20683009,284449960.65,3135078849.6
19-03-2021,1.26069026,1.31120468,1.21750328,1.25320794,295857156.42,3254127465.67
18-03-2021,1.29084072,1.37776559,1.24356171,1.26233485,602618871.71,3269117703.64
17-03-2021,1.20287995,1.29504117,1.15783898,1.29504117,443468959.68,3352613057.98
16-03-2021,1.19476632,1.24548958,1.13122059,1.2005642,632910987.67,3106912766.31
15-03-2021,1.1272119,1.33769307,1.11738887,1.19681499,1215427012.23,3096093412.53
14-03-2021,1.13925434,1.16919115,1.09112176,1.13039026,404746122.68,2919810939.76
13-03-2021,1.05235208,1.16836351,1.01751593,1.13964117,424560367.86,2942646242.83
12-03-2021,1.08373972,1.15028164,1.03453394,1.05210507,455285822.6,2714751054.02
11-03-2021,1.10785719,1.12457546,1.05454236,1.08289718,331685163.54,2790223403.25
10-03-2021,1.18080106,1.22851312,1.08467872,1.10999535,439787737.91,2853328265.71
09-03-2021,1.15369042,1.18433511,1.11932854,1.18061837,404449001.37,2705098217.07
08-03-2021,1.10484131,1.16474102,1.06483861,1.15290794,379936907.53,2619042791.29
07-03-2021,1.053932,1.13685413,1.05262641,1.10364906,319268549.6,2470106263.12
06-03-2021,1.05670662,1.07073077,1.00930783,1.05403429,269458489.99,2357401178.45
05-03-2021,1.09225466,1.09481505,1.00910756,1.05803625,415618857.23,2369067166.76
04-03-2021,1.1821104,1.24789321,1.0532925,1.09343138,558601275.75,2421958820.81
03-03-2021,1.08139646,1.22184045,1.06015816,1.18214361,638690035.16,2584380629.14
02-03-2021,1.08864093,1.16585876,1.04342664,1.08069135,552897939.8,2337232099.26
01-03-2021,1.01940114,1.10537134,1.01067458,1.08845807,425868521.06,2276907404.03
28-02-2021,1.09849889,1.12764653,0.95266098,1.01722423,598035360.8,2106497641.84
27-02-2021,0.97210477,1.18467819,0.97210477,1.09862776,546790290.44,2219617065.92
26-02-2021,0.97892319,1.04889302,0.90426962,0.9712856,490080857.99,1960685816.12
25-02-2021,1.06188613,1.14560573,0.97600935,0.97600935,529090407.18,1950259104.06
24-02-2021,1.00226286,1.17524264,0.95651762,1.06176056,604870974.16,2093117125.5
23-02-2021,1.14419706,1.14663233,0.84170049,0.99979761,879735912.37,1947265608.24
22-02-2021,1.30848214,1.31371596,0.94946357,1.14445016,786990095.87,2193856182.18
21-02-2021,1.31225605,1.35176493,1.27152578,1.30816443,408227702.9,2455331968.96
20-02-2021,1.37392633,1.48783314,1.25458272,1.31399702,801624384.65,2410314585.57
19-02-2021,1.4008677,1.42586239,1.30717173,1.3744611,587922600.84,2405797222.26
18-02-2021,1.36862977,1.44699713,1.35602059,1.40066938,613260929.34,2443528728.03
17-02-2021,1.31381372,1.41502565,1.20498326,1.36926104,918368742.88,2332973250.72
16-02-2021,1.35001242,1.46597194,1.27541531,1.31352803,849383981.7,2189280104.47
15-02-2021,1.47158573,1.54416651,1.22273699,1.35087699,1282829302.15,2194439503.52
14-02-2021,1.67122811,1.6848091,1.415224,1.47209159,958023564.43,2318886352.81
13-02-2021,1.71773448,1.79311811,1.37626931,1.66969514,1617380782.05,2529547858.88
12-02-2021,1.2454403,1.8246085,1.18159482,1.71242439,2098583771.26,2487520455.02
11-02-2021,1.03219733,1.29878823,1.03219733,1.24971719,1240723517.97,1762446381.89
10-02-2021,1.02902231,1.04767308,0.92183615,1.03208994,629613749.14,1423236936.92
09-02-2021,1.0074704,1.0763832,0.9666878,1.02901728,730369062.07,1389112457.63
08-02-2021,0.84474703,1.08622657,0.84430421,1.0106071,987137197.93,1356864341.54
07-02-2021,0.81076878,0.87489055,0.77414626,0.84504033,453238754.36,1117307658.75
06-02-2021,0.83358344,0.86272921,0.74614801,0.81086512,439952225.54,1057229824.28
05-02-2021,0.70763892,0.88854205,0.70037872,0.83411598,538956814.06,1073207784.49
04-02-2021,0.74252771,0.75698831,0.67507557,0.70750568,357906068.86,901348056.52
03-02-2021,0.65235236,0.74798724,0.64891938,0.74083444,314896934.34,932052142.21
02-02-2021,0.6436713,0.67150106,0.62764432,0.65265561,218901998.8,816410468.28
01-02-2021,0.65095799,0.66522623,0.61975817,0.6434478,253555579.44,801318349.48
31-01-2021,0.66422637,0.69730566,0.62430788,0.65124836,309348318.19,809696071.64
30-01-2021,0.64057331,0.70031597,0.61508221,0.66379187,382878779.25,823929237.39
29-01-2021,0.56447151,0.67913225,0.55336925,0.64094995,377660792.57,794256970.47
28-01-2021,0.54318638,0.57780209,0.52834815,0.56116732,200013864.17,694236152.88
27-01-2021,0.60098581,0.60145699,0.52631808,0.54315348,211490313.94876844,670631654.839225
26-01-2021,0.55742158,0.61911605,0.53862516,0.6016223,234028040.2081675,741589790.869811
25-01-2021,0.56342911,0.63262978,0.55155303,0.55824693,277194482.54560524,684967198.4297364
24-01-2021,0.55698666,0.58089067,0.55206515,0.56344919,189233849.61007175,689909449.3001273
23-01-2021,0.50998124,0.57002401,0.5034639,0.55705699,196103379.39229986,680937964.5639405
22-01-2021,0.46148041,0.53851937,0.43226608,0.51102374,185139632.85224065,623878178.8188936
21-01-2021,0.54652852,0.54939545,0.45157978,0.46153943,182613767.490872,562521176.2886076
20-01-2021,0.5226935,0.54774505,0.48637429,0.54602533,197111759.14621258,664366557.8662754
19-01-2021,0.56618451,0.57169979,0.51752308,0.52348612,182636173.85203898,635871444.9951605
18-01-2021,0.5847899,0.60381291,0.54317868,0.56610002,261142096.85179767,686427451.3999909
17-01-2021,0.51909593,0.58431129,0.48840576,0.5840573,300743172.1068808,707003043.9643648
16-01-2021,0.48799539,0.549804,0.48528063,0.51889247,296573002.41341573,627060022.402201
15-01-2021,0.45440737,0.49680639,0.43007519,0.48837019,274399566.93332773,589206169.9758973
14-01-2021,0.45049681,0.46589432,0.43061606,0.45364786,116642595.06638107,546411275.0652306
13-01-2021,0.39770163,0.45195207,0.38222485,0.45074602,128842016.74448115,550898424.350634
12-01-2021,0.41677478,0.4298604,0.39230921,0.39769009,137219407.5380608,483689141.6855827
11-01-2021,0.46110463,0.46110463,0.37481227,0.41698696,258262716.88550493,506326645.0851047
10-01-2021,0.48603639,0.51387397,0.42043907,0.46203059,257910312.72910112,560098975.4142863
09-01-2021,0.45487843,0.49321571,0.43691117,0.48624174,204728848.97418484,588479031.6497447
08-01-2021,0.46282941,0.48212023,0.41390019,0.45476855,248294641.3716944,549484633.9925709
07-01-2021,0.51184285,0.51904094,0.45164649,0.46282342,295341181.70500153,558294123.4781972
06-01-2021,0.47987823,0.52818391,0.46002368,0.51131531,374099919.9506756,615773195.4716219
05-01-2021,0.4416057,0.49341963,0.40544934,0.47942898,423192878.56318784,576420575.5928104
04-01-2021,0.42407663,0.45952156,0.37007647,0.43866586,257108477.69268474,526536585.8972164
03-01-2021,0.40799124,0.43437619,0.3991095,0.42276677,263098397.60989958,506613483.19005257
02-01-2021,0.3986411,0.46071355,0.38509082,0.40809098,417148719.45726496,488214115.65193415
01-01-2021,0.33420665,0.43128567,0.3323871,0.39812911,341885747.4483497,475506413.99473405
31-12-2020,0.33554321,0.33615689,0.31922746,0.33403989,63753450.28013244,398296169.58195823
30-12-2020,0.3459735,0.35848453,0.32818717,0.33554274,76007918.93294972,399527468.57297736
29-12-2020,0.35652865,0.36083076,0.32089406,0.3459178,114394972.91932288,411303174.1830739
28-12-2020,0.31917023,0.356278,0.31695313,0.35623898,77096645.65682122,421590539.1303604
27-12-2020,0.30930408,0.33508203,0.30215614,0.31912327,92973623.06100932,377131299.76897764
26-12-2020,0.3096714,0.32120104,0.30154767,0.30932047,61623354.67727874,365030730.8763015
25-12-2020,0.31379693,0.3287925,0.3044592,0.30974376,70992652.07135119,365011423.87507945
24-12-2020,0.28955278,0.31390628,0.28247023,0.31390628,70852889.47316101,369393255.491952
23-12-2020,0.33676487,0.35067943,0.26963043,0.28888604,113589407.57840277,339466637.63687134
