Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,1.61409197,1.74690273,1.60989643,1.6665237,140003824.76,416885960.41
14-04-2021,1.5306769,1.62580271,1.39666966,1.61567221,127380898.14,404165306.73
13-04-2021,1.63250153,1.65631562,1.51925387,1.53026736,100734331.27,382801025.16
12-04-2021,1.57462975,1.65814967,1.51145528,1.63185588,117564514.12,408213701.96
11-04-2021,1.58788275,1.6268576,1.51454556,1.57464386,98624028.58,393901940.4
10-04-2021,1.68912626,1.73398146,1.53042336,1.58794702,124797369,397229766.86
09-04-2021,1.75240322,1.78746704,1.68662699,1.68874025,88641425.9,422443498.41
08-04-2021,1.73793741,1.81686778,1.70788768,1.75245921,89150361.89,438382989.46
07-04-2021,1.96339611,1.98420684,1.68371362,1.73523962,92307626.71,434075457.63
06-04-2021,1.90696653,2.1412652,1.90696653,1.96418758,125418857.36,491347484.64
05-04-2021,1.92360955,2.0928478,1.82522786,1.90905597,99677954.93,477556144.32
04-04-2021,1.81601084,1.9445967,1.79435889,1.92609871,72311174.98,481819436.97
03-04-2021,1.85694749,2.016532,1.77974648,1.81385805,110306811.14,453742097.09
02-04-2021,1.80283885,1.86041717,1.76045952,1.85568596,66923662.91,464205473.93
01-04-2021,1.74228731,1.86572747,1.71639948,1.80461125,74618265.85,451428981.91
31-03-2021,1.83663618,1.86925541,1.72516265,1.74095816,74282117.5,435505968.36
30-03-2021,1.83961604,1.92410635,1.82158193,1.83661904,72133228.9,459435827.71
29-03-2021,1.80319328,1.87288664,1.76335426,1.84110285,57596780.36,460557465.81
28-03-2021,1.86069824,1.9678181,1.7530937,1.80225115,59956987.33,450838594.46
27-03-2021,1.93841117,1.95382623,1.81041051,1.86405096,58845093.26,466298004.84
26-03-2021,1.64164,1.970853,1.63904031,1.93729801,107989213.27,484620976.33
25-03-2021,1.79781137,1.85719396,1.63374225,1.64277487,97885150.47,410945120.62
24-03-2021,2.14167975,2.29411699,1.7309964,1.80486312,213307977.05,451491987.59
23-03-2021,1.69180009,2.17469329,1.68331804,2.15793708,221001580.88,539814509.39
22-03-2021,1.7492786,1.88827595,1.66919133,1.69526082,77535027.66,424074640.28
21-03-2021,1.86082573,1.87232119,1.7261182,1.74941359,57318188.05,437621119.45
20-03-2021,1.76052967,1.97404779,1.76052967,1.86138973,93729184.06,465632289.45
19-03-2021,1.73475373,1.80311992,1.65736559,1.76197567,50803903.66,440763561.36
18-03-2021,1.81027743,1.8713383,1.72686716,1.73670122,70416533.71,434441081.36
17-03-2021,1.66296759,1.90444662,1.66296759,1.81172808,164070262.98,453209278.04
16-03-2021,1.65635734,1.68083449,1.53730851,1.66396942,84720671.66,416247001.41
15-03-2021,1.51117408,1.74687963,1.47956402,1.65926169,132943232.01,415069347.86
14-03-2021,1.54275988,1.57422739,1.45341407,1.51716653,52442229.86,379523812.02
13-03-2021,1.48841577,1.58762108,1.41036233,1.54449448,66164778.98,386359982.19
12-03-2021,1.59936536,1.68790806,1.43941053,1.48833085,67113528.04,372310479.7
11-03-2021,1.62649649,1.69916235,1.54600431,1.59760827,71153652.96,278201820.01
10-03-2021,1.84680457,1.84997855,1.59044089,1.62824556,80581672.86,283536888.46
09-03-2021,1.62315343,1.84977972,1.6193262,1.84693122,106748031.42,321618031.58
08-03-2021,1.68822215,1.72088154,1.53091288,1.62930979,72448213.67,283722209.4
07-03-2021,1.7058905,1.73525739,1.61258153,1.68994837,69608351.47,294281596.99
06-03-2021,1.82773803,1.88733905,1.62404569,1.7047579,72387732.55,296860474.82
05-03-2021,1.7189607,1.89642066,1.55428387,1.83176796,151486231.88,318977554.51
04-03-2021,1.83664674,2.07844254,1.68625801,1.72283306,189630445.6,300008018.53
03-03-2021,1.51588853,1.92578336,1.49312946,1.84040825,222439855.11,320482144.94
02-03-2021,1.57464023,1.67724277,1.43226786,1.51341926,149699827.19,263541444.58
01-03-2021,1.24369602,1.58352716,1.22995256,1.57360473,133358280.48,274021928.57
28-02-2021,1.22191541,1.28190468,1.08143019,1.24033822,91289602.12,215988085.38
27-02-2021,1.28038678,1.37032136,1.18246633,1.22328812,53288551.32,213019040.62
26-02-2021,1.40718683,1.43684421,1.17575779,1.27683494,150772599.77,222343493.78
25-02-2021,1.51658233,1.7748482,1.40855502,1.40855502,176423267.96,245280759.26
24-02-2021,1.22622295,1.52716768,1.16436812,1.51897453,114882187.85,264508819.9
23-02-2021,1.47148277,1.47535855,0.99211329,1.22585808,69781124.41,213466564.7
22-02-2021,1.60388091,1.77956077,1.21134432,1.47241806,226778327.18,256401642.09
21-02-2021,1.57287551,1.65083196,1.49933221,1.60497465,89025357.45,279484574.87
20-02-2021,1.55624005,1.79563118,1.46769364,1.57664781,144079946.02,274551840.54
19-02-2021,1.63233685,1.68709253,1.52543316,1.55407537,118400436.73,270621156.39
18-02-2021,1.6733341,1.8525757,1.57058187,1.63189679,137647710.98,284172700.48
17-02-2021,1.60157526,1.72973594,1.41231612,1.67308084,44189372.5,291344344.86
16-02-2021,1.59945702,1.76369697,1.50237376,1.60084772,69375537.77,278765925.54
15-02-2021,1.68374844,1.812334,1.33266175,1.5942555,23822726.3,277617980.09
14-02-2021,1.86736357,1.89622568,1.58119042,1.69522587,160667572.3,295200601.45
13-02-2021,2.17007001,2.31574523,1.74843628,1.86886776,378003883.25,325437982.47
12-02-2021,2.13397946,2.40451636,2.05203947,2.16942873,158986952.02,377776600.06
11-02-2021,2.18672904,2.2613471,2.04725785,2.13437825,143141629.45,371673033.85
10-02-2021,2.10298936,2.41964252,1.97284526,2.19780105,217900294.86,382717254.76
09-02-2021,2.24996389,2.58391182,2.0042306,2.10430505,241087127.44,366436193.97
08-02-2021,2.23518122,2.45349586,2.112472,2.24932588,165782502.25,391689606.39
07-02-2021,2.43557432,2.45599051,1.94657352,2.23814332,210688127.51,389742314.61
06-02-2021,2.61836597,2.63538964,2.29310309,2.44010975,198179282.18,424912029.26
05-02-2021,2.31243879,2.92412364,2.30605059,2.61912134,235260311.56,456084471.47
04-02-2021,2.11498373,2.49339006,1.95099178,2.31808225,325628117.57,403662596.04
03-02-2021,1.92183166,2.135474,1.83290645,2.11359898,185353030.93,368054605.95
02-02-2021,2.08275423,2.11302808,1.85589227,1.92118085,177095009.22,334547598.37
01-02-2021,2.0350097,2.17194858,1.75187866,2.08455953,275001096.96,362997778.96
31-01-2021,2.15626828,2.31825366,1.9930267,2.04421745,140871493.16,355972753.64
30-01-2021,2.12783452,2.36277332,1.90804723,2.15361931,307752491.83,375023604.8
29-01-2021,1.61713111,2.15792335,1.37802513,2.12882649,392067201.07,370706270.03
28-01-2021,1.47257863,1.85557289,1.39683511,1.6672787,262098048.44,290333981.23
27-01-2021,1.42753764,1.75452416,1.24745539,1.47081377,462456745.8244378,256122276.12296578
26-01-2021,0.93718524,1.43962072,0.93099182,1.42542559,252963792.88155004,248218540.09118667
25-01-2021,1.09032858,1.09767717,0.93064007,0.93737459,112324738.56890585,163231076.49400985
24-01-2021,0.89992295,1.09127283,0.89660608,1.09127283,145557360.6722586,190030367.17663154
23-01-2021,0.80103629,1.01058847,0.77968358,0.89999047,93559874.5041727,156721138.21859106
22-01-2021,0.64958412,0.84507203,0.59208201,0.80149396,105073423.85811634,139569305.66564876
21-01-2021,0.71729271,0.78341755,0.63851746,0.65092307,106640649.85143769,113349427.1256209
20-01-2021,0.58078084,0.72372924,0.56135247,0.7165546,96453904.20936447,124778268.9698481
19-01-2021,0.5440025,0.64664822,0.54399286,0.58323655,78531999.33911973,101562738.35733144
18-01-2021,0.48958678,0.54421574,0.48883184,0.54421574,47803236.56667654,94767793.02366851
17-01-2021,0.47564785,0.51328829,0.44470014,0.49025634,49654744.60989545,85371495.49161267
16-01-2021,0.43390125,0.5482448,0.42874138,0.475864,78042081.00093701,82865264.06298108
15-01-2021,0.43719321,0.49432242,0.39455275,0.4338946,57405020.41755939,75556860.98210885
14-01-2021,0.4591713,0.47739429,0.4147063,0.43713836,55102320.57825065,76121718.98729163
13-01-2021,0.3833118,0.46887783,0.36864011,0.45956664,51061610.56894714,80027299.7860375
12-01-2021,0.35285181,0.41262779,0.33285134,0.38284466,46717519.33110017,66667206.62444719
11-01-2021,0.42472395,0.42472395,0.30365495,0.35275014,49014268.81193155,61426654.80962956
10-01-2021,0.45671808,0.48920268,0.39495766,0.42501888,51814997.8555978,74011276.05507454
09-01-2021,0.38415731,0.47973846,0.3735053,0.45621711,35921788.29873987,79444025.071535
08-01-2021,0.41269938,0.45108819,0.35543795,0.38354884,84810876.70764488,66789829.76009161
07-01-2021,0.2949051,0.45708999,0.2949051,0.41225391,146673192.8193756,71788429.2448991
06-01-2021,0.28745738,0.3050785,0.2716245,0.29473902,32838009.38834899,51324804.05677916
05-01-2021,0.25627482,0.28845346,0.24325008,0.2875721,31095586.36830942,50076783.16576114
04-01-2021,0.28629539,0.31838109,0.24388468,0.25572432,44368428.71306822,44530923.03217756
03-01-2021,0.23509464,0.30454737,0.22732968,0.28677721,44645302.29113984,49938362.70742781
02-01-2021,0.21757365,0.24369337,0.21033283,0.2353713,35834369.12399789,40986720.58941307
01-01-2021,0.18446037,0.2195371,0.1821207,0.21757614,20910635.38012738,37887934.06418689
31-12-2020,0.18029762,0.18620162,0.17515921,0.18441702,14692642.98761909,32113724.1452868
30-12-2020,0.19318405,0.19354914,0.17888488,0.18031388,17320459.40160751,31399217.21414087
29-12-2020,0.18451669,0.19414945,0.17211272,0.19305851,16935080.26378935,33618522.61694933
28-12-2020,0.17408914,0.1923976,0.17408708,0.18450162,14951994.00736515,32128456.51693078
27-12-2020,0.16651048,0.18726259,0.15566605,0.17427921,20114409.49402035,30348361.29232625
26-12-2020,0.16879937,0.1747404,0.16360976,0.16642909,15005853.13502551,28981370.04857291
25-12-2020,0.18186213,0.18480686,0.167925,0.16886941,13029914.10527844,29406318.16834508
24-12-2020,0.17291535,0.18202145,0.16094612,0.18194866,15495248.98266958,31683892.96006659
23-12-2020,0.2067623,0.20845823,0.16136625,0.17289976,5232090.36130349,30108148.84616886
22-12-2020,0.20633084,0.21679709,0.18882183,0.20674877,27325876.05503992,36002495.55130823
