Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,10.48034493,11.20239906,10.26975531,11.19068942,82338945.48,443257867.99
14-04-2021,10.99666985,11.09092716,10.02935664,10.47737588,67661839.24,415003858.97
13-04-2021,10.55052026,11.30082178,10.21772592,10.99705606,73453571.16,435588142.72
12-04-2021,11.23896019,11.62855824,10.26245626,10.52789589,78239108.93,417004932.23
11-04-2021,11.63467948,11.67790431,10.84489234,11.24435593,64809328.27,445383572.58
10-04-2021,12.21897911,12.34487687,11.25014107,11.63249235,67759881.16,460757471.24
09-04-2021,12.11927848,12.97745796,11.63116989,12.21906861,98944164.85,483991476.63
08-04-2021,11.11282528,12.32262651,10.99070957,12.12296624,89546468.14,480184907.89
07-04-2021,12.55393794,12.82371118,10.58488736,11.10363303,127565838.13,439809605.97
06-04-2021,13.08338889,14.78906837,12.28853898,12.51133846,205754385.48,495568146.28
05-04-2021,11.42505094,13.27916394,11.34346072,13.09957535,154537076.48,518867928.59
04-04-2021,10.75713487,11.97518888,10.60166406,11.4415097,146308270.34,453192739.48
03-04-2021,11.67881828,12.39953308,10.65226274,10.75008249,93814147.8,425805637.77
02-04-2021,11.79989253,13.54927617,11.45434676,11.66644596,196946211.95,462102357.21
01-04-2021,10.80929826,12.57745655,10.54386504,11.81995781,165816183.99,468182888.45
31-03-2021,11.76129356,11.83472698,10.6136732,10.80584265,122080093.24,428014270.75
30-03-2021,9.31810184,13.15817409,9.31810184,11.76241507,315664150.8,465903648.01
29-03-2021,9.27877442,9.85999665,9.08548871,9.31981324,84187980.26,369153355.2
28-03-2021,10.03277074,10.16867681,9.16177919,9.28467641,104359292.66,367761602.06
27-03-2021,9.90966625,10.65741904,9.35069026,10.03246985,190225157.45,397381343.47
26-03-2021,10.15201061,11.69045508,9.6308373,9.89987441,372967602.39,392129301.4
25-03-2021,8.24229216,13.56454259,8.0974139,10.13622391,959927430.65,401490992.2
24-03-2021,6.46894372,9.91386528,6.2450792,8.29095467,315460735.13,328400757.97
23-03-2021,6.7957446,6.95202975,6.25086974,6.47396816,48909945.58,256430789.43
