Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,2.47976707,2.63436001,2.44942024,2.60990468,7330539.62,335439245.23
14-04-2021,2.76804362,2.76804362,2.39625819,2.47619846,6580833.65,318201098.47
13-04-2021,2.6388247,2.78430105,2.51308778,2.77152655,10122792.28,356092115.59
12-04-2021,2.7134689,2.74041994,2.53752885,2.64829493,5529894.83,340201850.93
11-04-2021,2.89497404,2.89497404,2.49902908,2.70948356,9146358.26,348003666.51
10-04-2021,2.98649479,3.27080667,2.80575619,2.88562186,16600725.97,370564442.35
09-04-2021,2.70437508,3.16401398,2.56979911,2.97771599,26848951.88,382326630.32
08-04-2021,2.50612616,2.7163596,2.21099136,2.70388064,18352461.86,347108907.62
07-04-2021,2.56693669,2.71683281,1.97255302,2.51257334,15950565.26,322495696.12
06-04-2021,2.78585049,2.78585049,2.45631771,2.56596827,21491902.11,329293729.21
05-04-2021,2.94971572,3.07318509,2.70187093,2.77300583,30439969.81,355803212.15
04-04-2021,2.6894212,2.95004988,2.58895642,2.94577383,28549870.52,377907390.04
03-04-2021,2.99084234,3.0677928,2.55382907,2.68888368,41462548.92,344893395.64
02-04-2021,2.92778095,3.07539677,2.69253655,2.99061607,39935181.19,383530946.87
01-04-2021,3.10753736,3.23536525,2.87629951,2.92782056,39836537.67,375414513.57
31-03-2021,3.21767384,3.56244253,2.82398865,3.09163215,115246091.47,396352254.38
30-03-2021,2.54527608,3.97927119,2.37904245,3.20134608,295989220.28,410348666.95
29-03-2021,1.9748257,2.91598234,1.9467186,2.55187216,198748950.26,327044136.98
28-03-2021,1.86131381,2.08135317,1.82200194,1.97473999,37638210.01,253037138.18
27-03-2021,1.84558363,1.90961712,1.77454645,1.85965561,17981612.67,238250410.19
26-03-2021,1.61637368,1.92747675,1.61637368,1.83768683,46870547.51,235396188.8
25-03-2021,1.71760223,1.8222363,1.53115574,1.61971594,17515683.61,207440560.05
24-03-2021,1.94043519,2.05096161,1.6596246,1.73311949,24914586.47,221368938.97
23-03-2021,1.67623678,1.93888389,1.5231602,1.93888389,46092155.58,247650939.88
22-03-2021,1.72843012,1.87595288,1.57861382,1.66944235,27095993.28,213235546.57
21-03-2021,1.52978303,1.73999099,1.48620361,1.7254915,31869910.67,220394626.72
20-03-2021,1.49193829,1.81158157,1.49193829,1.51428909,35711219.8,193418036.23
19-03-2021,1.41689789,1.53108776,1.37528611,1.49501026,11775962.63,190955578.53
18-03-2021,1.40136842,1.44587536,1.36280001,1.41391723,14674484.18,180597679.24
17-03-2021,1.38050131,1.40289413,1.2598017,1.39318811,13999800.33,177949977.11
16-03-2021,1.38547651,1.40794902,1.29447546,1.37833175,14453532.94,176052394.73
15-03-2021,1.47515634,1.5188088,1.28861357,1.38294327,24577340.37,176641418.69
14-03-2021,1.56346976,1.57997654,1.39213377,1.47868843,19800967.46,188870813.9
13-03-2021,1.61221243,1.62392544,1.46511287,1.55930215,24092997.61,199167491.71
12-03-2021,1.41192498,1.60964384,1.3828307,1.60894663,32087857.31,205508512.69
11-03-2021,1.38563601,1.42655012,1.31522189,1.41081746,14192580.22,180201749.77
10-03-2021,1.43381451,1.43381451,1.33285743,1.38654902,14502527.87,177101975.54
09-03-2021,1.38811215,1.43403982,1.36758595,1.43098712,18005390.88,182775413.32
08-03-2021,1.41839636,1.41839636,1.34513322,1.38916623,11930169.74,177403764.88
07-03-2021,1.45457911,1.45457911,1.37761419,1.41849382,13556125.91,181118419.46
06-03-2021,1.30544809,1.46745089,1.28308344,1.45527249,42157855.11,185783030.86
05-03-2021,1.31562556,1.31562556,1.2098028,1.30544186,12227280.94,166627144.14
04-03-2021,1.38882051,1.40900686,1.24216667,1.31753411,15253065.01,168142153.26
03-03-2021,1.32814365,1.39086765,1.29985038,1.38621412,17531668.51,176877080.73
02-03-2021,1.36061256,1.36318228,1.23526842,1.32677925,13867136.59,169264982.47
01-03-2021,1.27925746,1.41086105,1.26399063,1.36591534,30120239.32,174228623.14
28-02-2021,1.34985291,1.57445924,1.18612322,1.27244578,84292692.77,162278686.8
27-02-2021,1.18262244,1.71714601,1.16048294,1.35021424,126382350.43,172167564.03
26-02-2021,1.14495057,1.23865953,1.05087831,1.18197306,20242872.76,150689373.53
25-02-2021,1.08929324,1.39286439,1.07983019,1.14080727,41428735.46,145416539.38
24-02-2021,1.07417582,1.17547322,0.99299752,1.08838498,10900299.24,138710851.23
23-02-2021,1.46630704,1.46630704,0.86642167,1.07492481,35828293.59,136972191.96
22-02-2021,1.42153891,1.80946104,1.29918786,1.46642334,119647733.3,186827193
21-02-2021,1.06260211,2.11376856,1.04771346,1.41878389,217130306.1,180727556.61
20-02-2021,1.11618592,1.1785526,1.02995404,1.06512569,12735316.27,135654846.49
19-02-2021,1.13692651,1.18286586,0.98321089,1.11662112,12029396.17,142189210.73
18-02-2021,0.8164783,1.19077533,0.81501897,1.13411554,59777754.37,144392451.23
17-02-2021,0.78029608,0.86708767,0.74983485,0.81715064,13919148.37,104019700.63
16-02-2021,0.78034017,0.79728504,0.74517753,0.77881396,6379412.96,99122789.52
15-02-2021,0.83393377,0.83393377,0.68267818,0.78046591,11590601.92,99316188.14
14-02-2021,0.79571928,0.89622905,0.74266591,0.8350069,42144313.38,106238621.88
13-02-2021,0.75459711,0.80388914,0.70303803,0.79388904,10678698.91,100990023.58
12-02-2021,0.70841136,0.77278327,0.67807378,0.75363781,10693959.26,95853413.54
11-02-2021,0.63048979,0.73007164,0.61105323,0.70815478,10335980.38,90053251.54
10-02-2021,0.59081505,0.64398853,0.56742553,0.63127263,8742766.17,80262811.97
09-02-2021,0.57835133,0.60081619,0.5618045,0.59080163,6262907.5,75104412.26
08-02-2021,0.55417852,0.58429501,0.55144654,0.57769417,6595714.85,73425678.74
07-02-2021,0.58428103,0.64663859,0.52604963,0.55463991,12389877.91,70483477.4
06-02-2021,0.62673907,0.62673907,0.55970694,0.58535635,8597358.59,74374265.37
05-02-2021,0.52228155,0.74485912,0.50486236,0.62537469,54095714.82,79445415.38
04-02-2021,0.48772046,0.55719596,0.47537891,0.52222291,15795745.89,66330149.46
03-02-2021,0.4594379,0.54341992,0.44667163,0.48671304,14348228.19,61809731.35
02-02-2021,0.42956154,0.47526641,0.41751202,0.46000576,4195658.76,58408731.71
01-02-2021,0.41602904,0.44043789,0.40331409,0.42982188,4721117.59,54566885.17
31-01-2021,0.41393253,0.43626835,0.39254898,0.4161509,4121352.99,52822336.97
30-01-2021,0.41036262,0.42185367,0.39723671,0.4142706,3229413.84,52574718.38
29-01-2021,0.42083664,0.42777956,0.39479772,0.41005683,3739184.88,52031102.3
28-01-2021,0.38665695,0.41411038,0.37799337,0.41237639,3881118.63,52316519.77
27-01-2021,0.41839192,0.41891352,0.36714753,0.38632725,2176491.4526865,49003429.17575144
26-01-2021,0.42728358,0.42738156,0.39617697,0.4186329,2387396.39242579,53050330.06774805
25-01-2021,0.4328904,0.44938246,0.41991241,0.42707921,3266668.60023852,54111448.75717256
24-01-2021,0.41193106,0.44374744,0.40777192,0.43400944,4012355.60601667,54980145.72640557
23-01-2021,0.412503,0.43364415,0.39607605,0.41190229,3376052.71228713,52170730.19131735
22-01-2021,0.38026778,0.41362049,0.35207879,0.41099922,4822915.59814056,52047502.27163068
21-01-2021,0.45632639,0.49809476,0.38122684,0.38243304,8030950.54086749,48421720.90092444
20-01-2021,0.43147077,0.48465399,0.42433343,0.45562055,12854734.55355441,57678514.36417677
19-01-2021,0.42781574,0.44424566,0.41596433,0.43359481,3253134.92035812,54880832.21642149
18-01-2021,0.41562341,0.42872098,0.39710041,0.42872098,3879432.69411819,54254688.87965044
17-01-2021,0.42076873,0.42076873,0.38604417,0.41580029,2993427.41322087,52610613.33142951
16-01-2021,0.39182296,0.45010171,0.38784481,0.42077115,10916094.44635475,53230568.16165903
15-01-2021,0.4022682,0.4022682,0.36316593,0.39126411,2651551.84909836,49489297.33855737
14-01-2021,0.38329445,0.40525641,0.37703277,0.40074737,3092439.74068145,50680157.3551605
13-01-2021,0.35987474,0.38766569,0.34778358,0.38319009,2471612.43038031,48451516.78150558
12-01-2021,0.36822486,0.38696151,0.35045765,0.35947202,1945478.28158229,45444820.27343685
11-01-2021,0.42039291,0.42039291,0.33322296,0.37483087,3497356.29970433,47378443.94568472
10-01-2021,0.42539102,0.45137934,0.39491308,0.42029599,4612428.14949759,53116135.35582648
09-01-2021,0.3944601,0.43540923,0.38798509,0.42585737,2013979.910982,53809778.74243961
08-01-2021,0.41246199,0.4136674,0.37872626,0.39819216,2464149.21390217,50305505.97891913
07-01-2021,0.40077349,0.43182517,0.39094304,0.41157367,3210660.33133144,51987178.49897157
06-01-2021,0.37146729,0.40546954,0.35975302,0.40034484,3062497.89482921,50560214.62260294
