Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,2.85267807,2.92232886,2.70931548,2.80910859,14550070.52,523878801.28
14-04-2021,3.22525879,3.2471381,2.7175833,2.85255429,24135232.04,531981116.81
13-04-2021,2.42742733,3.30061441,2.42530537,3.22355112,47950354.95,601169389.56
12-04-2021,2.83802201,2.85724212,2.41609706,2.42649128,16147621.49,452523389.99
11-04-2021,2.92795502,3.13412508,2.78061498,2.83795088,17441423.86,529257683.35
10-04-2021,2.89869538,3.31026494,2.83586088,2.92985607,26614462.92,546397349.43
09-04-2021,3.29247456,3.32944604,2.87238967,2.89994362,29808134.92,540818888.86
08-04-2021,3.56241545,3.7914098,2.8189403,3.29173018,71642682.62,613884299.67
07-04-2021,1.87972234,3.92062224,1.87626049,3.5776734,207846938.23,667210681.11
06-04-2021,1.4884788,2.10805846,1.45917252,1.87276971,43254500.75,349258250.69
05-04-2021,1.38706588,1.49926989,1.3226856,1.48961571,8777239.85,277802750.23
04-04-2021,1.22591292,1.40273716,1.21495161,1.38707401,7493729.19,258679451.81
03-04-2021,1.43665617,1.45717374,1.20605624,1.22582606,13170867.58,228607854.58
02-04-2021,1.23312672,1.55607754,1.21207376,1.44043854,17444343.87,268631556.88
01-04-2021,1.21579239,1.26089583,1.20204232,1.23345651,5850806.48,230030879.9
31-03-2021,1.231532,1.2602579,1.16820518,1.21770145,6316311.53,227092672.72
30-03-2021,1.13477044,1.24864053,1.1335566,1.23387298,7668179.05,230108546.97
29-03-2021,1.1141823,1.13810824,1.09433543,1.13472532,5419890.84,211618212.48
28-03-2021,1.10696581,1.12272751,1.09519491,1.11365043,3372592.79,207687896.35
27-03-2021,1.09992688,1.11420061,1.06351284,1.10620819,4672469.44,206299971.49
26-03-2021,1.0498536,1.12447558,1.04920027,1.09938681,4882711.2,205027833.1
25-03-2021,1.10463187,1.1387938,1.01690404,1.04982747,5283237.58,195785367.63
24-03-2021,1.26825239,1.27499295,1.08292019,1.10696567,8657157.55,206441235.07
23-03-2021,1.20325969,1.40931098,1.19241604,1.26408528,18247859.3,235742927.51
22-03-2021,1.18507863,1.33529076,1.14880266,1.19978615,8999477.83,223751595.63
21-03-2021,1.1797239,1.23073127,1.10498082,1.18404269,4946678.81,220815553.11
20-03-2021,1.1654993,1.23129197,1.16164361,1.18116892,5306045.93,220279614.01
19-03-2021,1.11312748,1.20821994,1.08671468,1.16590477,4232516.43,217432958.62
18-03-2021,1.14140086,1.15908372,1.0465853,1.1120685,3014056.53,207392877.24
17-03-2021,1.14987898,1.15377757,1.08555748,1.14115426,4421675.36,212817165.24
16-03-2021,1.05767582,1.15231283,0.99045059,1.14896604,5617424.66,214274006.33
15-03-2021,1.12697098,1.1403196,1.00113911,1.05772798,2889591.93,197258756.81
14-03-2021,1.15788968,1.17022661,1.10810476,1.12462967,3345179,209735445.58
13-03-2021,1.0842924,1.21144426,1.05844891,1.15755962,7878040.14,215876648.93
12-03-2021,1.14597854,1.15070871,1.07041428,1.08490742,3084528.26,202327528.87
11-03-2021,1.11230335,1.14724905,1.07008942,1.1435017,3671870.54,213254946.1
10-03-2021,1.10496078,1.19143479,1.06302464,1.11350083,3821711.86,207659996.83
09-03-2021,1.07651014,1.10626214,1.06581445,1.10484469,3821631.48,206045687.95
08-03-2021,1.05282017,1.07884619,1.01663612,1.07588352,2956019.59,200644636.12
07-03-2021,1.03433813,1.0571685,1.03373343,1.05092127,2360468.91,195989352.25
06-03-2021,1.0175692,1.04484182,0.99235026,1.03420538,1797635.94,192871957.59
05-03-2021,1.06506157,1.06506157,0.97684393,1.01677832,2847864.43,189621935.07
04-03-2021,1.09770657,1.12124949,1.0486293,1.06573807,3798794.62,198752581.21
03-03-2021,1.02934488,1.13585073,1.01977743,1.09679268,5012659.72,204544045.03
02-03-2021,1.02339622,1.051506,0.99396385,1.02507037,2889299.81,191168343.43
01-03-2021,0.92366827,1.03376093,0.92359373,1.02348386,2757627.85,190872471.5
28-02-2021,0.9775604,0.98527998,0.87648809,0.92516042,2815365.44,172535848.34
27-02-2021,0.97939564,1.03585556,0.96114516,0.97782938,2922769.98,182358234.95
