Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,7.55915347,8.19413039,7.46878139,8.08635392,250349177.42,1440575854.07
14-04-2021,7.16406461,7.68094779,7.02638052,7.53646509,181171492.45,1346599620.57
13-04-2021,6.94348769,7.23896994,6.89886034,7.16573253,129922054.75,1279599680.43
12-04-2021,7.10514479,7.11763921,6.84696602,6.94750557,111766928.25,1240514818.05
11-04-2021,7.131929,7.18458078,7.00558622,7.1047282,82923804.64,1270679457.73
10-04-2021,7.23259167,7.3977083,6.99519421,7.13135836,100386326.9,1273530180.03
09-04-2021,7.38837301,7.52296205,7.18181831,7.23004069,92221995.69,1272803227.61
08-04-2021,7.07970919,7.47869145,7.04538712,7.3862914,92512605.1,1293329156.81
07-04-2021,7.70008335,7.74018228,6.94313163,7.09073146,90748411.29,1239240507.68
06-04-2021,7.67944021,7.85896412,7.49576986,7.70680725,115486101.63,1348278574.19
05-04-2021,7.63086662,7.74087965,7.34410363,7.67794223,88349529.72,1336740445.54
04-04-2021,7.22960391,7.67882871,7.15957541,7.63124624,57149619.59,1326794099.96
03-04-2021,7.94886487,7.99854989,7.22483857,7.2286809,77251421.89,1256752758.42
02-04-2021,7.58964887,7.98109875,7.45829012,7.94832255,94157258.48,1377471392.02
01-04-2021,7.43108778,7.65810773,7.43108778,7.59211972,93182471.15,1315484166.64
31-03-2021,7.40246979,7.50341223,7.15110111,7.42785491,107959690.14,1286449611.52
30-03-2021,7.44072783,7.51341533,7.33682864,7.40188048,68024005.59,1277947926.58
29-03-2021,7.15028381,7.50232655,7.06597522,7.44069118,88921025.32,1281649284.75
28-03-2021,7.21597743,7.33147308,6.9852356,7.14901872,62697634.59,1238277421.73
27-03-2021,7.30107713,7.34637075,7.02552016,7.21654131,63665879.3,1250846142.92
26-03-2021,6.79438342,7.30422205,6.78853991,7.30047569,70875838.77,1259501707.87
25-03-2021,6.83991481,6.96997341,6.63681252,6.79409639,94925138.25,1164947249.09
24-03-2021,7.36345799,7.58723781,6.72312422,6.84157064,59490627.63,1167450741.31
23-03-2021,7.49394356,7.59518067,7.26989975,7.36329724,49873365.89,1255995954.88
22-03-2021,8.03919876,8.09520387,7.43355589,7.49861879,73723157.7,1262467349.52
21-03-2021,8.20661259,8.29374259,7.87848747,8.03705207,70814142.57,1349716916.97
20-03-2021,8.1662936,8.61334133,8.13522729,8.20426716,114023836.76,1382054662.52
19-03-2021,7.7065849,8.22373061,7.56912548,8.16797525,77956401.77,1360449540.02
18-03-2021,7.84177105,7.99955663,7.66829239,7.70667748,80068029.44,1279530883.82
17-03-2021,7.56157072,7.87112887,7.30434601,7.84470163,95152543.32,1281549633.89
16-03-2021,7.60034256,7.65645315,7.24046146,7.56214188,69512315.49,1233653704.13
15-03-2021,7.87076802,8.1619968,7.53995876,7.59839795,121292547.44,1236649758.33
14-03-2021,8.21317652,8.2682507,7.82599777,7.87641128,79553902.96,1264985530.96
13-03-2021,7.80137916,8.33597758,7.59969379,8.21485913,132782712.68,1310179457.02
12-03-2021,8.28898647,8.32814851,7.73203355,7.80134359,163340735.91,1240977228.62
11-03-2021,8.54807813,8.5971682,8.23968378,8.28972952,151685097.18,1316223258.48
10-03-2021,9.06873191,9.15503719,8.39078729,8.54708732,166992197.13,1351807024.56
09-03-2021,9.16727553,9.33076889,8.93255454,9.06420949,211526310.05,1437767799.47
08-03-2021,8.452078,9.2064583,8.08605613,9.15657959,319228060.2,1395454187.98
07-03-2021,8.49741961,8.84600618,8.00587017,8.45038792,346467247.11,1283540289.23
06-03-2021,7.27816301,8.54811366,7.2175219,8.49061018,463024486.19,1286833811.52
05-03-2021,6.81298315,7.3136828,6.28022412,7.28460291,247131088.87,1083681686.28
04-03-2021,6.53418349,7.15536802,6.48878116,6.81752783,290589711.31,1000950922.61
03-03-2021,5.52723025,6.83856435,5.47826212,6.53608968,205902118.49,951997985.61
02-03-2021,5.44384201,5.75216092,5.35256608,5.52380217,87615204.47,798731118.58
01-03-2021,4.80789536,5.44336951,4.79271859,5.44252828,93620253.14,780311573.32
28-02-2021,5.00220706,5.03844572,4.43560507,4.80304421,79373066.12,674903621.6
27-02-2021,4.93180138,5.17870977,4.91461644,5.00255598,54275418.43,699515291.34
26-02-2021,4.96765592,5.22129982,4.67216922,4.93139088,93161569.79,689305676.58
25-02-2021,5.64476529,5.76601763,4.95587377,4.95587377,105036690.28,690006120.59
24-02-2021,5.40396614,6.00719813,5.21921325,5.64669626,170974542.63,791227799.13
23-02-2021,6.35432347,6.38288188,4.80897853,5.40471175,302000722.76,748327364.43
22-02-2021,6.56383095,6.58427722,4.91552291,6.36338891,311384754.6,875079996.61
21-02-2021,5.51400275,6.77475883,5.46120046,6.56619155,312998225.51,893765224.67
20-02-2021,5.44595805,5.74229351,5.14481761,5.51683618,187203855.68,723991875.6
19-02-2021,5.96448554,6.1504796,5.30006849,5.44578304,298974853.79,691769214.43
18-02-2021,4.45357991,6.24933202,4.42039662,5.95169476,683687086.11,756034380.85
17-02-2021,3.64492347,4.48116267,3.53744573,4.45602345,242931177.77,566041617.8
16-02-2021,3.39626557,3.65559695,3.34210391,3.64550549,125133180.66,463082801.66
15-02-2021,3.53574063,3.54607094,2.96884126,3.39738396,115073474.58,431564316.98
14-02-2021,3.64223184,3.74462173,3.46857207,3.53779189,126154543.49,449400113.24
13-02-2021,3.48045363,3.67905001,3.32799309,3.64121531,184271545.03,460947137.82
12-02-2021,3.18134993,3.56872931,3.13102134,3.48413065,164739324.61,440475390.07
11-02-2021,2.76403967,3.19530535,2.73701041,3.18119213,141750871.57,383029919.38
10-02-2021,2.81483639,2.89576037,2.64188996,2.76512186,86316288.81,331604688.05
09-02-2021,2.59781677,2.84468177,2.56205045,2.81464848,91882321.35,337760433.48
08-02-2021,2.41400113,2.68016231,2.36699238,2.60112097,83943598.6,311199619.74
07-02-2021,2.46667996,2.48360282,2.25661574,2.41447913,55636266.51,286936774.44
06-02-2021,2.57035903,2.603705,2.39813212,2.46749258,79973180.18,292829815.1
05-02-2021,2.22190956,2.73544735,2.22116458,2.57144147,119170174.6,304754649
04-02-2021,2.20365954,2.3241462,2.09312211,2.22281023,89250675.99,264495511.19
03-02-2021,2.05567684,2.29222524,1.99162656,2.20781257,65786525.85,262894270.24
02-02-2021,1.97114069,2.07654553,1.9672995,2.05599431,62033304.33,244120802.31
01-02-2021,1.87977059,1.98043435,1.83375494,1.97160886,53330207.93,232875622.89
31-01-2021,1.9254328,1.95895031,1.84580883,1.87988597,40129693.89,221618942.41
30-01-2021,1.88874053,1.95522211,1.84216744,1.92509501,45778908.25,226427834.31
29-01-2021,1.97592237,1.98456309,1.84683725,1.88888332,65905470.94,221514387.1
28-01-2021,1.72383515,1.98190722,1.69519133,1.93979027,76806775.37,222652850.6
27-01-2021,1.89494118,1.9019507,1.65917678,1.72484353,62979665.14733805,194818779.50024843
26-01-2021,1.92808935,1.97362249,1.78816668,1.89372771,57222334.08252259,209931603.05420005
25-01-2021,1.85596914,2.09060908,1.85086017,1.93103073,100518460.72330925,199874656.34442413
24-01-2021,1.75211817,1.85729727,1.74940101,1.85721366,45237977.80637852,191551682.88625857
23-01-2021,1.68324332,1.79030638,1.66133679,1.75168793,39046880.70446502,177645962.17181203
22-01-2021,1.50751794,1.73063749,1.44553102,1.68348798,53679218.66480963,171005966.64783633
21-01-2021,1.77635183,1.77635183,1.46696023,1.50755882,47164435.99947468,151807575.2136538
20-01-2021,1.78012585,1.80911091,1.62669773,1.77668877,44953344.43060666,179079939.7241552
19-01-2021,1.78383159,1.88917135,1.75508718,1.78408245,50494004.01516123,181003818.519951
18-01-2021,1.80167393,1.83923348,1.73634462,1.7838327,41042808.29767449,180831185.62938085
17-01-2021,1.74012281,1.83684776,1.67679141,1.80094379,50366478.20195689,181861961.93251127
16-01-2021,1.69817497,1.85628926,1.690852,1.74026596,52891575.86076037,171945115.30539697
15-01-2021,1.65885726,1.77466504,1.5398024,1.69766355,65282394.13065407,168003195.92378086
14-01-2021,1.50971136,1.70831189,1.47419074,1.65430195,49292672.10195906,163835309.71227792
13-01-2021,1.37091329,1.51684309,1.33282708,1.5098909,39146481.48123463,150723485.619087
12-01-2021,1.39050403,1.46929515,1.3268187,1.37100035,40181445.20454124,136482719.8269932
11-01-2021,1.56767195,1.57214729,1.23191085,1.39069039,67869672.34545253,137708997.8379269
10-01-2021,1.6294957,1.72341736,1.48354393,1.56760949,54325715.16161031,154738484.67583358
09-01-2021,1.5663025,1.64995621,1.50968137,1.62912739,39056895.05292771,158474057.47588912
