Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,328.2047489,377.82688123,318.87178287,364.61149221,2672082901.01,6820721698.54
14-04-2021,297.90495063,346.19836263,285.93782145,328.52482513,3266575740.58,6145332533.68
13-04-2021,260.97880498,300.18321537,260.00064483,297.76019961,1764291256.79,5569573386.2
12-04-2021,276.87511301,277.89554066,252.82895571,261.03883849,1078055480.72,4882487179.22
11-04-2021,272.65971717,289.40383912,267.40597847,276.96023554,1341804113.89,5180001588.69
10-04-2021,259.14529373,280.5283522,255.19497785,272.7144999,1519216554.37,5100342819.38
09-04-2021,249.34119755,270.68697831,244.47741612,259.14306018,1294507756.37,4846281764.25
08-04-2021,239.70366955,251.03603893,236.19280578,249.27038346,1285117538.58,4661439151.31
07-04-2021,264.5335118,274.08505254,231.35369385,239.58727246,2256206677.09,4480150616.01
06-04-2021,248.27580975,280.98728501,243.84901093,264.59705202,2838159160.79,4947584949.53
05-04-2021,230.36086972,250.52007032,230.23873106,248.08092241,1667140482.57,4638527565.79
04-04-2021,220.23615316,232.76020215,219.02201059,230.27783951,1109180243.91,4305450453.05
03-04-2021,247.19843836,255.09083945,218.06198076,220.26101113,1801399520.97,4117953420.86
02-04-2021,229.58235409,267.53157941,226.9578403,247.17757641,2221351512.64,4620963569.45
01-04-2021,217.09375635,237.25683051,214.70042488,229.62564203,1534951325.6,4292616389
31-03-2021,209.0975366,219.1065352,201.63448876,217.08876449,1395169129.23,4058054199.62
30-03-2021,207.7646183,210.59527198,205.43221794,209.04614581,559617852.43,3907519645.09
29-03-2021,199.37896932,210.96078682,197.87123256,207.79088089,691044251.48,3883866449.32
28-03-2021,200.38978518,202.63821804,197.37277136,199.37229049,536704191.22,3726348185.96
27-03-2021,203.30004915,204.61100968,196.176802,200.37239586,538137963.15,3744866483.47
26-03-2021,193.80043189,204.14396575,192.67583228,203.27271776,715192536.36,3798877765.57
25-03-2021,194.70404897,197.01281187,187.9666169,193.84176604,948879637.46,3622475262.54
24-03-2021,215.12815993,221.48630219,188.61365903,194.73288145,1033186158.54,3638938380.51
23-03-2021,204.5388811,226.06377806,203.8161715,215.24173788,1479847055.5,4021981907.94
22-03-2021,202.18879253,222.55675037,197.71882323,204.58099446,1252024679.42,3822601332.35
21-03-2021,205.56116869,208.57786835,198.74401495,202.24088624,703968706.16,3778703179.15
20-03-2021,213.53373076,220.19998743,205.48569559,205.56370034,1059015287.95,3840577785.96
19-03-2021,204.11203235,228.90219158,198.52148423,213.63688467,1673281042.61,3991234062.73
18-03-2021,195.22592654,207.1540657,194.46612411,204.23237308,918333651.21,3815331672.89
17-03-2021,194.80907514,196.41505389,189.50823903,195.20860693,654194543.93,3646587382.5
16-03-2021,191.51587097,198.3670793,186.4577409,194.78005393,882739477.69,3638423554.61
15-03-2021,200.13906228,201.83460388,186.61038391,191.52104006,1149438259.96,3577369153.86
14-03-2021,218.3267563,224.6052507,198.74689097,200.48665558,1232085584.16,3744658756.61
13-03-2021,185.71867136,233.73874883,185.71867136,218.34704716,1822980823.17,4078038136.17
12-03-2021,187.14639951,189.82774069,178.90596002,185.70992299,626294112.23,3468329273.31
11-03-2021,188.25222626,190.23386912,184.48879929,187.11422473,549753556.44,3494379504.86
10-03-2021,190.00091941,194.35013547,184.76857831,188.36003243,658965501.58,3517480290.83
09-03-2021,185.90272405,189.98850399,184.56953753,189.98850399,550103407.83,3547715018.79
08-03-2021,185.40824808,187.6658192,179.5979235,185.89944384,567258415.75,3471205346.96
07-03-2021,181.26365156,185.80502383,181.26365156,185.41991181,464121277,3462087889.07
06-03-2021,181.04931399,182.55901423,176.29103749,181.1564434,556606230.76,3382315641.27
05-03-2021,181.83129675,181.91997333,176.28962167,181.07571936,584109720.99,3380642104.45
04-03-2021,189.10962023,191.52826211,180.0618487,181.82938742,680156618.48,3394553813.41
03-03-2021,185.48402232,193.89829713,184.15978966,189.16303484,687723014.5,3531295845.52
02-03-2021,185.76409534,191.30355036,180.80507984,185.44916055,681388563.18,3461791375.42
01-03-2021,177.48113501,188.96044164,176.15660666,185.8673307,697127288.4,3469425457.18
28-02-2021,184.68340432,185.23528031,171.65449483,177.44869077,816018175.69,3312116703.86
27-02-2021,180.5163514,194.63960882,180.30197265,184.69036865,803337938.76,3447140991.89
26-02-2021,183.72810851,187.37827396,171.97575113,180.41442197,1043923840.66,3367154712.76
25-02-2021,194.93803389,201.11276923,183.26633276,183.26633276,984668472.07,3420239162.68
24-02-2021,188.56197467,208.37477457,183.35645023,194.97810371,1315812290.94,3638635384.79
23-02-2021,216.25741438,216.27016274,169.49610226,188.52762327,1881160892.49,3518086008.66
22-02-2021,242.58583031,245.5464487,183.34653986,216.3104251,2239189382.31,4036338016.61
21-02-2021,228.45733402,249.47223714,225.30863691,242.59448001,1241260720.9,4526585963.57
20-02-2021,243.49697519,253.60646903,218.3417444,228.55588684,1583584356.87,4264457536.79
19-02-2021,240.58121506,252.67398893,231.98990853,243.51516828,1074792614.44,4543316164.01
18-02-2021,244.36309793,254.35442035,237.96479541,240.53597177,1003737862.2,4487531189.17
17-02-2021,236.83105435,251.81864263,228.05989942,244.37457266,1327157465.85,4558943988.2
16-02-2021,238.62871227,256.3243185,228.37129193,236.84608611,1997219511.34,4418270867.64
15-02-2021,262.25023809,273.42521632,214.44998302,238.63798019,2914637886.02,4451487649.39
14-02-2021,264.05283979,282.1379153,245.4319417,262.39900692,2666456602.82,4894524187.59
13-02-2021,235.50386292,266.8276378,222.78289611,263.89779152,2372839286.67,4922248431.14
12-02-2021,224.90032733,236.24590221,215.33936953,235.68293213,1328959607.9,4395756634.05
11-02-2021,211.91953029,228.26402963,207.98973847,224.99838802,1416914981.69,4196266712.44
10-02-2021,225.72089716,234.54997478,200.9132538,212.10480286,2040038624.38,3955598494.73
09-02-2021,194.04247129,234.85472882,193.76076275,225.95144911,2582374688.13,4213631962.91
08-02-2021,183.01279621,194.20083634,181.53405682,194.01065079,999068561.52,3617801803.94
07-02-2021,184.27553364,188.85287204,178.47122217,183.0600791,937245395.38,3413439218.9
06-02-2021,187.24404512,195.57015632,181.88746869,184.28709668,1041658708.44,3436151855.47
05-02-2021,176.56484898,187.81173996,176.32421477,187.24930239,766139512.21,3491201524.67
04-02-2021,182.95091507,187.27653263,175.75482629,176.57005417,753843850.39,3291934859.17
03-02-2021,180.68438425,186.77260722,180.17311376,182.98749122,725312651.03,3411410938.83
02-02-2021,178.73149722,181.83877892,177.25890336,180.68015116,717691783.79,3368232899.42
01-02-2021,173.85648081,185.66304484,172.7627157,178.71798839,928293220.74,3331497953.2
31-01-2021,178.7838628,180.97868477,171.55219011,173.8604648,716768480,3240799554.89
30-01-2021,172.98608403,192.72067943,168.05145084,178.85046653,1416389197.23,3333653383.92
29-01-2021,172.80834373,184.58751079,166.40636831,173.016546,1393447565.15,3224750794.03
28-01-2021,162.1209534,173.31020202,161.46651338,170.49822592,802541335.38,3177712115.46
27-01-2021,174.13823576,174.13823576,158.52217173,162.0761677,939154711.6379856,3020595570.263067
26-01-2021,181.71503508,181.71503508,172.29824829,174.15500926,868250783.2810074,3245548684.974173
25-01-2021,174.88574987,184.32791387,173.72734997,181.77093622,1009438243.1132885,3387311919.9505396
24-01-2021,174.65037312,176.96032746,171.92315313,174.9513285,706107055.9972416,3260068492.2230535
23-01-2021,178.32205148,178.32205148,171.26186665,174.71525497,1018021499.7630162,3255500208.3067408
22-01-2021,178.30796394,181.92327828,170.31890487,178.38898283,1205668212.0873618,3323788418.7291837
21-01-2021,200.83855959,200.83855959,175.94021371,178.35936107,1407712853.2955606,3323069286.6749864
20-01-2021,204.62259079,206.04352179,187.30621428,200.87618523,1284655436.9567413,3742402756.105585
19-01-2021,206.43476718,214.56941322,204.62083206,204.71743184,981563191.6999784,3813804204.7282987
18-01-2021,199.10032555,208.66070032,197.2252654,206.42826488,975120621.5131652,3845481526.192946
17-01-2021,207.07117864,207.3539106,195.0392178,199.09879993,890529795.0537497,3708781663.3468466
16-01-2021,208.74810218,213.94700143,201.73707207,207.11446794,1081992347.5609126,3857908590.139005
15-01-2021,220.65999559,221.62634443,191.58944535,208.85467923,1442962214.5652504,3890123682.7522235
14-01-2021,212.49399362,233.34942184,204.09737172,220.62807916,1780709460.5956028,4109212126.3312507
13-01-2021,188.74113832,220.03136053,188.74113832,212.43849314,2004783612.7863057,3956486711.321691
12-01-2021,191.10534466,204.19676425,181.30116405,188.73960617,1681782601.437191,3514945180.8836703
11-01-2021,253.70410794,253.70410794,163.85114492,191.36957328,3293931192.068086,3563744311.2649565
10-01-2021,284.77545487,299.4214633,233.47147243,253.70502528,4205155207.079184,4724425629.067496
09-01-2021,180.44019889,324.54220679,175.49321192,284.50982537,4666032960.653223,5297795689.414077
08-01-2021,176.21288054,184.28752728,166.35340254,180.46296464,1005129115.890924,3360165431.4667597
07-01-2021,179.79968319,188.7448967,171.91913513,176.24328334,1238845355.1927884,3281426616.9457154
06-01-2021,168.63915599,185.05014703,167.43255333,179.8541546,1085901649.632588,3348511456.9369264
05-01-2021,167.62491072,171.12719023,162.66719896,168.62797287,722843842.8434275,3139356733.5373993
04-01-2021,171.37952721,185.42275992,162.55851332,167.5882256,936306772.3420621,3119837347.2063565
03-01-2021,163.12300342,174.12185714,162.86928761,171.39066781,724762386.3985064,3190473983.6686697
02-01-2021,163.12415598,167.03956027,160.3823832,163.08938068,439843249.0410089,3035794926.9722047
01-01-2021,163.60523829,165.45535155,162.28273784,163.11580962,309676884.81216913,3036168624.293513
31-12-2020,166.8892041,166.90372118,159.54576545,163.63203734,360792705.3869091,3045638381.281185
30-12-2020,164.45661082,168.90766479,161.7995888,166.90309475,519932131.7150535,3106372509.1094794
29-12-2020,168.48205911,168.97622717,155.69554885,164.39670636,547058461.9928952,3059578125.0054836
28-12-2020,167.383846,173.57464615,166.75286026,168.48985476,505824696.809936,3135601739.33789
27-12-2020,164.19939406,175.07454654,159.64906419,167.30254212,738847387.4978695,3113350011.738459
26-12-2020,165.45337717,167.12765769,161.68678974,164.1349786,520607684.93753743,3054252675.3287396
25-12-2020,162.14722536,168.36152956,159.93076221,165.3999163,533110872.7953115,3077646134.549597
24-12-2020,153.74799587,162.33824265,151.90211241,162.17600036,544850335.3901285,3017508759.00674
23-12-2020,171.48306395,172.33362435,151.14624105,153.59865349,688312125.6454408,2857778080.1266904
22-12-2020,171.62464407,173.37771231,164.9585019,171.53178576,551081237.8552631,3191276255.17957
21-12-2020,182.90003492,192.42025981,171.06508914,171.65128582,931916881.2788402,3193341798.5679936
20-12-2020,176.89711235,193.26308536,173.6837196,182.79126584,820875475.1303073,3400418236.3059
19-12-2020,178.46063974,180.0989117,175.50369959,176.91659409,448869343.5858223,3290969602.2930126
18-12-2020,179.0793344,182.97715455,173.59247268,178.43699348,537203603.6802173,3319104578.7416387
17-12-2020,179.6222627,190.36111052,177.26068285,179.06691097,819753174.0818055,3330691843.6467447
16-12-2020,169.15329163,180.19753876,167.06149167,179.62428159,549757823.9517202,3340896299.8830066
15-12-2020,166.66272929,172.53755786,164.6314049,169.18199727,463001628.35652053,3146522137.906637
14-12-2020,168.6294009,169.23119033,164.45151295,166.63701295,315377355.1288484,3099037329.673805
13-12-2020,165.11614604,171.70233248,164.70201439,168.59535928,355436393.3004353,3135308111.698445
12-12-2020,161.62066303,166.39800787,161.28671954,165.09475656,328095197.1162152,3070046645.0101757
11-12-2020,166.43742946,166.68735184,159.65445664,161.65416611,396994619.9245051,3005926143.519504
10-12-2020,170.33543871,170.95721965,164.39111955,166.40974158,397472838.68757564,3094229248.9599743
09-12-2020,173.34857222,173.46735262,161.73987942,170.32228649,532350697.81967694,3166820649.5006366
08-12-2020,179.70559357,181.29967225,170.20901346,173.3684144,569515279.2072953,3223309187.6786547
07-12-2020,178.54707912,187.34373097,176.12284674,179.69573289,646595812.652039,3340782066.754292
06-12-2020,181.97563416,183.00226729,174.27604892,178.55229355,490738173.0828039,3319363315.5194955
