Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,63290.05228319,63807.79612001,61769.53604072,62849.8809554,166087569.08,3431479223.12
14-04-2021,63012.59022752,64785.83273076,61034.10606269,63091.59762822,166864889.68,3444675481.42
13-04-2021,59738.7583875,63890.56264019,59270.49506888,63068.57916364,125065251.96,3452716213.72
12-04-2021,60551.26841148,61820.64710605,58169.11279679,59835.21914218,92816173.44,3275585100.02
11-04-2021,59870.97299624,61121.15489258,58912.87242577,60464.34982423,98761837.14,2946997571.31
10-04-2021,58513.83529874,61655.29277157,58302.56928893,59844.78218535,62312893.56,2916786355.49
09-04-2021,58226.84708167,59290.73162094,57452.90830659,58377.42810033,64618989.1,2844984243.63
08-04-2021,56084.60357227,58294.46648558,55804.60595228,58228.66164338,73262046.78,2662983504.24
07-04-2021,57686.74012802,58675.92832733,55316.27490739,56193.82907009,90759664.81,2569532676.9
06-04-2021,58969.93032134,59450.1591045,56870.45396911,57706.62249183,91570222.38,2292138618.45
05-04-2021,58637.63717035,59769.75125058,56924.31632944,58906.86106383,58952070.25,2351396816.52
04-04-2021,57375.60914329,58840.82814187,56860.18557286,58636.77666754,40540417.43,2340663639.03
03-04-2021,59446.72682056,59995.67652573,56946.48477509,57358.74431956,45316014.16,1945453972.78
02-04-2021,58715.63463966,60133.10490392,58308.52130239,59448.55065501,61059915.16,1897407414.49
01-04-2021,58030.81928962,60229.3008374,57905.2860726,58644.76502865,49715656.47,1754452011.11
31-03-2021,59504.26193335,62931.3504568,55512.0420099,58015.66816998,48877272.91,1735609924.61
30-03-2021,56688.67437098,60701.12986427,54911.1820787,59482.17042036,53899888.75,1660358964.1
29-03-2021,56090.2065647,58961.87144767,54082.43366126,56687.8726097,25492255.73,1582254175.58
28-03-2021,55698.54947809,56860.22098322,53608.96357459,56068.30054302,32533871.69,1564944782.01
27-03-2021,55456.38701243,56948.45854401,52510.46269717,55736.03604387,32006475.4,1555656646.43
26-03-2021,50032.36890358,55438.60256042,50011.09001657,55438.60256042,27126703.13,1546999577.7
25-03-2021,52683.50364965,53427.0985595,49954.31453619,50068.56017412,48209129.77,1397337234.68
24-03-2021,54524.99658787,57446.19672071,52055.50058729,52636.123351,27026248.37,1468992051.87
23-03-2021,54326.41789774,55925.12892077,53303.15356022,54499.7376856,29025425.03,1357430747.36
22-03-2021,57756.55466546,58390.45752984,54226.95462049,54292.82658398,26196307.7,1352275343.11
21-03-2021,58863.87653918,59414.31595743,56135.01044941,57728.36569119,18657787.83,1437827834.98
20-03-2021,58469.06845675,60423.01989591,58350.25876432,58846.05855481,20685977.39,1465666295.19
19-03-2021,57987.81223089,59552.74231595,56897.94591506,58477.92204299,22310968.45,1456490189.65
18-03-2021,61493.33902133,62170.7888933,57697.87331989,58035.60269571,26249008.13,1445261879.81
17-03-2021,56259.79251397,61438.47908613,54696.28238195,61438.47908613,31665964.13,1531533042.43
16-03-2021,56100.59586929,56279.02882488,53087.08551766,56196.81002386,25473120.08,1400828354.71
15-03-2021,59551.06116012,60821.17860238,51867.67771264,56068.40169827,50093998.4,1397622961.14
14-03-2021,60956.8325887,61352.9028203,59014.39261206,59544.06996558,21198833.01,1506670768.36
13-03-2021,57184.66382564,61571.3988317,55925.37730041,60960.14946682,26659194.58,1542484312.8
12-03-2021,57753.44943326,58116.58482644,55411.70734744,57169.12297952,37060167.62,1446580772.67
11-03-2021,55782.32654238,58439.43778595,54053.62189266,57788.22874722,40206878.28,1462228421.83
10-03-2021,54395.64281761,56853.64598394,53063.43994378,55786.42532516,36434302.93,1411496484.84
09-03-2021,51788.48129386,54677.15059976,48532.67714355,54395.91542721,43318852.51,1376259040.83
08-03-2021,50685.53168199,51808.76188288,49250.429401,51808.76188288,17489241.1,1310698820.6
07-03-2021,49084.38117642,51031.09667722,48934.77861117,50688.96671679,23241046.54,1282328090.43
06-03-2021,48735.07054324,49297.69512399,47284.50709537,49112.72364189,17503617.62,1242431415.8
05-03-2021,48386.57638865,49219.05161907,46313.97571279,48717.78251142,22995279.83,1232421097.33
04-03-2021,50373.64953403,51526.75250463,47546.24501335,48377.87163723,30985973.31,1223754577.84
03-03-2021,48445.14395747,52200.6713246,48129.27712234,50261.25795612,27675862.09,1020089402.25
02-03-2021,49419.87621275,49827.19685647,47108.15484577,48435.49845562,29033350.38,789291741.52
01-03-2021,45135.30736966,49434.35036327,44870.57247544,49408.43933992,44257017.92,755602933.99
28-02-2021,45866.11809909,46346.6943591,43163.08042123,45134.0722515,35261723.29,690290554.22
27-02-2021,46249.94921248,48202.36032014,45137.82647004,45876.27889582,26818190.07,701533506.78
26-02-2021,46784.47777784,48242.32844421,41546.05507885,46214.84567453,37518204.28,660495689.77
25-02-2021,49703.52796833,51852.3448886,46866.51292019,46866.51292019,35919582.78,669683000.41
24-02-2021,48548.58530043,51498.70228158,47231.53894496,49692.61093367,59436400.53,710035085.75
23-02-2021,54039.89963759,54097.60406092,44974.86417174,48478.82964271,78135953.81,692394947.21
22-02-2021,57445.54153449,58012.61632746,46141.03742302,54037.02298608,65632588.66,771761563.15
21-02-2021,56007.15221663,58352.38803259,54549.65395078,57455.97421232,73418835.75,820482060.04
20-02-2021,55506.49524619,57900.62499186,52474.98000973,55995.0641198,103684894.14,799595935.53
19-02-2021,51480.06791858,56770.89678245,49605.37255102,55483.17253289,148830512.07,768280319.58
18-02-2021,52230.34849729,52590.86683665,50296.24375638,51450.29971708,48744629.03,635180645.41
17-02-2021,48868.84058826,52720.56253552,48092.39821607,52198.01122089,42074041.8,565921813.62
16-02-2021,48065.47537796,50188.04855361,47361.73171715,48964.70572807,17754829.07,481881297.77
15-02-2021,48515.54491076,48821.5362708,45815.49588433,48062.59769652,26641561.5,472928368.44
14-02-2021,47078.80242605,49526.54536657,47020.70579468,48530.11703797,25615001.59,428989509.74
13-02-2021,47374.0401965,48184.71854982,46285.88853924,47064.06596213,15921232.25,418333943.32
12-02-2021,47799.18973058,48729.12905662,46439.96306436,47371.27624127,22828543.45,421081894.27
11-02-2021,44823.34360682,48513.79708183,43666.10134019,47801.60098728,25101529.19,424916671.28
10-02-2021,46389.87673111,47090.7375696,43910.1577283,44842.94270221,52671005.25,398591989.28
09-02-2021,45920.05564672,47576.36922009,44786.71481993,46378.05941867,31404891.06,412185972.4
08-02-2021,38915.62194922,46124.84100293,37497.44815881,45906.54838406,17017484.28,362072633.25
07-02-2021,39197.38377936,40928.26554951,37401.79567756,38912.20607649,9436797.38,267998075.22
06-02-2021,39628.28768043,41039.66557368,37360.39374221,39192.54231642,16070425.42,269957458.14
05-02-2021,36861.87698384,39706.34943038,36501.1654293,39642.31968836,9134264.44,273127633.37
04-02-2021,37336.83404024,38205.94417031,34411.85365599,36745.63098449,5497650.78,252803306.06
03-02-2021,35607.41442132,37435.45449768,33715.52601159,37350.17259179,4892326.84,256937436.05
02-02-2021,33478.36297356,35969.33669663,33422.52086585,35610.50340479,5593439.09,244957350.35
01-02-2021,32727.24830678,34416.85449764,32059.2886315,33500.87060182,5785644.45,230439887.43
31-01-2021,34231.28871009,34231.28871009,31900.16095386,32720.08278596,2994656.69,225068763.55
30-01-2021,33110.17516522,34693.80700616,31279.80570904,34286.58598713,4037434.82,235843274.68
29-01-2021,33479.08296298,37732.70467334,30956.83605852,33112.55031016,996649.1,227563655.31
28-01-2021,30188.25450307,33634.29676087,29782.18722131,33275.07916299,4543601.36,228678017.79
27-01-2021,32615.82004579,32683.82426786,29396.52095578,30212.03344864,6356245.41674013,207621933.04854834
26-01-2021,32256.88629524,32774.09867366,30973.39957234,32600.55140217,5983992.72210102,224034848.98257688
25-01-2021,32201.57129919,34687.94283806,32119.20436667,32269.60246082,2094425.51240035,226598251.79371047
24-01-2021,32062.01807299,32726.22058503,31122.02572239,32209.11600252,2046971.10292244,226142321.9757395
23-01-2021,32796.53729433,33229.61244203,31616.53430189,32057.18975729,1993010.67917844,225072382.80447188
22-01-2021,30705.68115358,33599.03428043,28787.364484,32796.22383995,2645886.57677631,230265072.55725133
21-01-2021,34824.8078158,34824.8078158,30150.26503802,30720.23554775,1919870.15378483,215684740.39607018
20-01-2021,31842.60641194,35535.90348231,31526.61816054,34835.22234302,1553643.75487883,244571249.18125486
19-01-2021,35970.53416826,37032.4572145,31513.98824377,31829.8851607,763826.17835654,223469291.33274776
18-01-2021,35755.0606963,37374.40469969,30785.02599603,35962.60768833,2048547.30782513,252481312.27113155
17-01-2021,35790.09721386,36782.89712435,33065.19864905,35769.31706832,2442238.71298984,251123348.6228077
16-01-2021,36454.77547442,37670.20108014,34515.75988177,35790.7332504,2317065.58753242,251272667.6094884
15-01-2021,38395.71681699,38787.18714317,26538.22070175,36433.82787786,2220636.80395149,255791762.06310162
14-01-2021,36526.57825037,38380.42226874,27576.66511695,38380.42226874,2815701.68609279,269457919.79024506
13-01-2021,33072.79748176,36781.31784078,32045.94022575,36522.48063918,2409257.48040781,183403724.79610223
12-01-2021,35152.51421247,36045.26339222,32484.22550713,33083.3802602,1864333.60497598,166130327.39639145
11-01-2021,37619.12587735,37970.86803256,30410.13129359,35142.1235211,3579770.49281229,176486092.34747544
10-01-2021,39404.72624451,40964.22180672,29336.65593683,37629.35833181,2144073.10879688,188992388.0226044
09-01-2021,40018.43985533,40662.24989536,36157.48990972,39432.06189144,1961539.6930129,198046260.6905747
08-01-2021,38924.23171467,40512.74972002,30915.08514669,40011.43940771,2676382.25792791,200959819.71547264
07-01-2021,33157.66671035,39518.30790778,33157.66671035,38910.0874319,2861765.43723042,195449296.57763866
06-01-2021,34177.69623124,35625.43148795,24398.92131339,33191.42554158,540.30017386,166925972.72540304
05-01-2021,31970.50650707,34442.55280418,29628.675289,34176.20394105,21862.76860722,171929185.00530308
