Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,1.28895538,1.3427556,1.27815213,1.34071948,4246504.7,1004624242.67
14-04-2021,1.3069854,1.37324335,1.25874205,1.2888241,5858860.89,965738136.17
13-04-2021,1.42160072,1.42721068,1.26056954,1.30711054,5745068.89,979440483.53
12-04-2021,1.2399208,1.50317343,1.23226871,1.42107256,11541559.48,1064834188.08
11-04-2021,1.25211985,1.25312562,1.20534278,1.24003305,3525321.58,929178160.32
10-04-2021,1.23845656,1.26321519,1.2223245,1.25210463,4355428.76,938223602.46
09-04-2021,1.2379749,1.27291239,1.2289578,1.24116067,4365888.92,930023111.25
08-04-2021,1.24116793,1.27180432,1.22440526,1.23830796,4164378.74,927885525.89
07-04-2021,1.29098557,1.36986133,1.23131494,1.24136019,9471582.39,930172610.54
06-04-2021,1.26104449,1.29217622,1.19513457,1.29217622,8125817.32,968249936.57
05-04-2021,1.35144506,1.35297041,1.21473044,1.26076627,8434755.81,944713919.26
04-04-2021,1.12648009,1.39182,1.12574073,1.35141294,11281076.91,1012637033.28
03-04-2021,1.26245105,1.27328467,1.08402878,1.12662789,13076981.35,844201721.14
02-04-2021,1.38821981,1.44627943,1.23436112,1.26249211,16289079.24,946007122.7
01-04-2021,1.66001618,1.66743132,1.25196387,1.38836103,25932982.85,1040322877.58
31-03-2021,1.68574284,1.72752091,1.6366827,1.65976332,12964264.87,1243689297.69
30-03-2021,1.92056378,1.92056378,1.52935647,1.68618287,24659447.66,1113918161.51
29-03-2021,1.95489645,2.19805816,1.88967282,1.92032728,23319923.21,1268597529.94
28-03-2021,3.09371859,3.11409381,1.69742549,1.95503713,48135060.74,1291527389.38
27-03-2021,2.57058892,3.25635742,2.28934768,3.09471351,54867586.55,2044415014.17
26-03-2021,1.82181681,2.60413818,1.66329966,2.57643552,41402923.39,1702032658.95
25-03-2021,1.84561172,1.88117754,1.70889705,1.82184123,10876747.1,1203536144.49
24-03-2021,2.11700641,2.11889799,1.82113852,1.84608718,16324011.52,1219553387.13
23-03-2021,1.73971849,2.19264021,1.73717342,2.11673877,20075094.69,1398349960.58
22-03-2021,1.63369173,1.84098974,1.5970026,1.73961617,13997304.34,1149217013.03
21-03-2021,1.49036398,1.68468983,1.41082021,1.63353231,15942070.68,1079136397.4
20-03-2021,1.27674221,1.56061646,1.25590205,1.49055213,13523366.35,984681504.89
19-03-2021,1.28900799,1.41179059,1.11055126,1.27727596,11344445.64,843788008.07
18-03-2021,1.19620106,1.39935248,1.14894091,1.28907032,7160557.92,851579540.79
17-03-2021,1.18151367,1.29325478,1.09344038,1.19597457,13084385.45,790079067.99
16-03-2021,1.23010464,1.4109785,1.13906625,1.18135408,25384017.3,780420547.1
15-03-2021,1.25300315,1.33902463,1.08771497,1.23005783,13692513.21,812594988.66
14-03-2021,1.3667154,1.47256388,1.21114178,1.25316893,16854881.23,827862538.21
13-03-2021,1.16273948,1.44080542,1.0386685,1.36678985,13734456.92,902922250.28
12-03-2021,1.07689754,1.25086104,1.06220728,1.16278817,11341845.66,768155623.53
11-03-2021,0.98219762,1.19911151,0.94376839,1.07687521,20708461.41,711400209.63
10-03-2021,0.85205909,1.02080428,0.77015266,0.98267314,15542374.61,649168882.56
09-03-2021,0.73939539,0.86091222,0.73566001,0.85155338,9461954.23,562549166.54
08-03-2021,0.77022214,0.77389699,0.71805777,0.7394021,4287858.92,488460322.5
07-03-2021,0.72076588,0.80877682,0.72054612,0.77019841,12904419.54,508804834.92
06-03-2021,0.67949534,0.75301754,0.67381224,0.72100999,5971138.78,476310210.91
05-03-2021,0.69286394,0.69807664,0.65894795,0.67949366,3251234.64,448883892.47
04-03-2021,0.70631882,0.74230676,0.6719034,0.69284295,5599238.81,457702635.37
03-03-2021,0.69989643,0.7811778,0.69026442,0.70630991,7141864.94,466599111.85
02-03-2021,0.65754962,0.71129719,0.64338302,0.69987529,4444502.85,462348308.05
01-03-2021,0.53956875,0.67177448,0.52989669,0.65786045,6041023,434592664.22
28-02-2021,0.69502125,0.70709981,0.48173556,0.53943349,9936796.94,356358001.95
27-02-2021,0.71388755,0.77224745,0.65410064,0.6949968,1052549.93,459125500.03
26-02-2021,0.69314358,0.72506644,0.65863874,0.71292153,1138042.59,470966853.7
25-02-2021,0.75354836,0.77374417,0.66941073,0.69312259,6310630.14,457887370.18
24-02-2021,0.47481626,0.82100901,0.47136293,0.75374492,17603460.72,497935408.91
23-02-2021,0.5376154,0.53774188,0.4461686,0.47479718,7187602.63,313658267.53
22-02-2021,0.57268124,0.57494671,0.48826116,0.53771044,9480449.61,355219728.31
21-02-2021,0.53299558,0.57380363,0.52488929,0.57268662,5433880.8,378325531.51
20-02-2021,0.51933407,0.5557058,0.49299502,0.53338904,9776748.43,352364949.95
19-02-2021,0.42185444,0.5201104,0.37700466,0.51930131,10770225.05,343058375.02
18-02-2021,0.3334423,0.46197157,0.32948134,0.42187734,10807791.26,278698616.33
17-02-2021,0.27423003,0.33884587,0.26892164,0.33339912,10028427.99,220248549.33
16-02-2021,0.26994668,0.27870186,0.2270776,0.27426289,9317399.85,181182252.21
15-02-2021,0.28874794,0.28933746,0.26975195,0.26993893,5576825.44,178325777.12
14-02-2021,0.28852096,0.29179411,0.27594412,0.28875907,6286124.69,190758652.66
13-02-2021,0.29485043,0.29616748,0.27857638,0.28852441,6001762.71,190603631.11
12-02-2021,0.3143476,0.31640972,0.25615146,0.29465545,14023350.61,194653887.68
11-02-2021,0.26927739,0.3178798,0.26592426,0.31434116,6950679.22,207658568.85
10-02-2021,0.25109043,0.27123907,0.2248829,0.26929059,17406948.92,177897476.21
09-02-2021,0.2109452,0.25383563,0.21013433,0.25114582,13484120.44,165910765.13
08-02-2021,0.17488068,0.21093675,0.17366237,0.21093675,9300538.23,139348041.32
07-02-2021,0.16178854,0.17591016,0.1586806,0.17536317,2348408.19,115847591.63
06-02-2021,0.14722701,0.16861084,0.13935229,0.16178115,6114454.79,106875101.66
05-02-2021,0.13275989,0.14739784,0.12292239,0.14125971,31131.03,93318323.04
04-02-2021,0.10049696,0.13550716,0.09835814,0.13276132,13501427.86,87704157.84
03-02-2021,0.08043328,0.10656373,0.0795573,0.10048858,7064344.3,66384290.75
02-02-2021,0.06564857,0.08094733,0.06552565,0.08042987,2437959.13,53133202.6
01-02-2021,0.065641,0.06649336,0.06331675,0.06563923,1917472.37,43362279.02
31-01-2021,0.06654382,0.06685626,0.064561,0.06564099,1680896.84,43363443.85
30-01-2021,0.06201108,0.06657054,0.06195718,0.06654407,1567421.57,43960032.03
29-01-2021,0.05638675,0.06240715,0.05434716,0.06201406,2140669.85,40967433.53
28-01-2021,0.05610935,0.05728397,0.0554187,0.05663644,1674531.21,37414896.81
27-01-2021,0.05809529,0.05888382,0.05552058,0.05610946,1417756.3240409,37066763.56998535
26-01-2021,0.06037102,0.06049248,0.05388203,0.05809302,3531364.80327774,38377139.46140862
25-01-2021,0.06481659,0.06491458,0.05763278,0.06036579,3316714.99445371,39878560.07296265
24-01-2021,0.06598871,0.06750008,0.06481667,0.06482157,1428781.35327479,42822118.12110731
23-01-2021,0.06704549,0.06717148,0.06548427,0.06598761,1250236.92770734,43592422.22119901
22-01-2021,0.06518273,0.06779909,0.06441558,0.06702964,1569261.38689219,44280803.63763238
21-01-2021,0.06856247,0.06903515,0.06488291,0.06517878,1679942.06537765,43058097.77421609
20-01-2021,0.07100216,0.07100216,0.06614801,0.0685642,2473622.42856348,45294560.44044514
19-01-2021,0.07291506,0.07325066,0.06859937,0.07113657,3821901.06235532,46993902.62996702
18-01-2021,0.07112827,0.07528448,0.07004462,0.07320513,5180285.98189734,48360426.53062901
17-01-2021,0.07291376,0.07477873,0.06998875,0.07120199,4321233.7431799,47037125.36167495
16-01-2021,0.06554915,0.07513005,0.0654326,0.07293131,5436429.3464955,48179539.48697144
15-01-2021,0.06745819,0.06772318,0.06412482,0.065429,5101593.31409808,43223394.44753208
14-01-2021,0.06378819,0.06866047,0.06291135,0.06745912,4807662.31835401,44564523.40444476
13-01-2021,0.06066644,0.06471988,0.06038785,0.06376468,4516260.19617028,42123924.61105974
12-01-2021,0.05159087,0.06269376,0.05151976,0.0606171,5679956.86482607,40044582.52383071
11-01-2021,0.05490337,0.05665019,0.05057876,0.05164831,4176697.10166047,34119661.46889993
10-01-2021,0.05467375,0.05625107,0.05300853,0.05492126,5518574.08054817,36281825.48304566
09-01-2021,0.0596184,0.05962853,0.05311614,0.0546738,5009648.28193824,36118350.55034668
08-01-2021,0.039654,0.06378951,0.03794461,0.05967778,10062442.17939572,39424051.44760753
07-01-2021,0.03870121,0.04045682,0.03811687,0.03964175,4714051.97005462,26187944.30464812
06-01-2021,0.03647107,0.03889295,0.03610229,0.03872696,4894542.01110564,25583624.16972924
05-01-2021,0.03623786,0.03726686,0.03591475,0.03647136,1490967.11862472,24093538.75936922
04-01-2021,0.03577444,0.03726961,0.03531736,0.03623819,88644.03850379,23939503.81790386
03-01-2021,0.03647145,0.03682175,0.03535594,0.03574268,3789035.65722027,23612162.77705253
02-01-2021,0.03632261,0.03706716,0.03588833,0.03647061,5115423.87424303,24093043.88589434
01-01-2021,0.03650999,0.03721523,0.03613712,0.03632131,1729922.09741866,23994415.11972267
