Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,6.86574666,7.09908352,6.7441811,6.99270795,12512686.68,1670302833.12
14-04-2021,7.07778473,7.43320335,6.7156852,6.86458872,17747217.75,1639699823.93
13-04-2021,7.06641657,7.45065754,7.02160276,7.07528212,14559880.19,1690026790.18
12-04-2021,7.07464315,7.21339397,7.04000399,7.06697368,8650227.35,1688042207.31
11-04-2021,7.23665596,7.48931014,7.04985724,7.07517328,7083567.16,1690000793.15
10-04-2021,7.54315764,7.56344325,6.89363714,7.23654903,11990558.05,1728547572.44
09-04-2021,7.73018348,7.95056798,7.47540382,7.54231594,15094380.18,1801584131.95
08-04-2021,7.47658219,7.77911441,7.01755061,7.73054398,15673317.57,1846544945.19
07-04-2021,6.70051747,7.62994656,6.69992577,7.49071317,21768891.36,1789258113.01
06-04-2021,6.19094399,6.71828569,6.18856574,6.70053059,12111798.85,1600512321.73
05-04-2021,5.99604935,6.20405934,5.85534571,6.18842133,11578749.07,1478188101.41
04-04-2021,5.46591935,6.03294325,5.37409117,5.99798191,15263051.72,1432699071.23
03-04-2021,5.00435321,5.50386519,4.99956362,5.47164596,13740489.6,1306976613.54
02-04-2021,4.76302131,5.01742175,4.7136188,5.00103369,7203864,1194564508.98
01-04-2021,4.8169264,4.91347511,4.72568583,4.75338769,6086711.88,1135410915.3
31-03-2021,4.80038446,4.86173348,4.59105689,4.82174483,8302398.8,1151738941.1
30-03-2021,4.83127454,4.9357763,4.78445188,4.80085486,4615061.56,1146749090.96
29-03-2021,4.7745931,5.04465997,4.69310598,4.82969035,8283257.34,1153636836.14
28-03-2021,4.89634064,4.89860392,4.73877699,4.77454295,4653402.12,1140464134.94
27-03-2021,4.87665866,4.98213774,4.74067945,4.89668208,7933886.34,1169638716.12
26-03-2021,4.83721769,4.98796636,4.79695356,4.8778129,6557312.95,1165131557.25
25-03-2021,4.76160742,4.88635611,4.44848396,4.83932268,10836709.13,1155937649.86
24-03-2021,4.95082689,5.06817293,4.67231343,4.76401581,6408060.38,1137949586.03
23-03-2021,4.87010921,5.033547,4.8443805,4.95087398,5297557.93,1182583185.8
22-03-2021,4.97375068,5.09479107,4.7706508,4.87030554,11358626.33,1163338323.81
21-03-2021,5.00878145,5.04814355,4.91775801,4.96813122,3846037.21,1186705310.37
20-03-2021,5.27173535,5.34875956,4.99717244,5.0148421,4818442.38,1197862836.13
19-03-2021,5.05737278,5.27311188,4.86315926,5.27070898,7077151.29,1258980099.03
18-03-2021,5.04685127,5.23205056,4.99746525,5.05736324,4994419.5,1208019585.44
17-03-2021,4.91434516,5.17171993,4.75678506,5.04560551,6305331.48,1205211092.96
16-03-2021,4.80062472,4.95103605,4.56605116,4.91516315,6645346.8,1174053170.49
15-03-2021,5.01164307,5.1268063,4.67147325,4.80291067,8691820.91,1147240147.99
14-03-2021,5.26950201,5.26950201,4.95761543,5.01351327,7831833.46,1197545425.33
13-03-2021,5.62848614,5.76400502,5.13838908,5.26946121,10895407.79,1258682053.07
