Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,4.3605885,4.52792656,4.33682194,4.49766253,24140031.2,920929542.19
14-04-2021,4.58817922,4.63239969,4.24103709,4.36683352,35799990.01,894141338.15
13-04-2021,4.83003537,5.01433005,4.50212389,4.5891924,33613149.41,939670956.57
12-04-2021,4.70413955,4.83664831,4.50080465,4.82038247,25055071.63,987008827.48
11-04-2021,4.36495633,4.71937646,4.24988005,4.69486459,20703529.72,961308116.5
10-04-2021,4.37320629,4.48551711,4.29614029,4.36491033,15058025,893747550.92
09-04-2021,4.45113726,4.57407612,4.36532893,4.37737319,11623599.11,896299412.37
08-04-2021,4.24715498,4.55690603,4.22446335,4.45195953,13149560.73,911571516.77
07-04-2021,4.57020318,4.69968095,4.21667724,4.24953274,17514268.8,870123139.07
06-04-2021,4.65558944,4.70180648,4.47344292,4.57302894,18720167.09,936361368.88
05-04-2021,4.43781124,4.72521391,4.26457579,4.6411861,19994263.45,950317050.21
04-04-2021,4.3133029,4.52502822,4.2756874,4.44099033,14743079.1,909325490.71
03-04-2021,4.46289445,4.66519136,4.31027324,4.31292049,16704376.02,883102246.91
02-04-2021,4.58171003,4.63242577,4.43223748,4.46442831,17286015.94,914124590.21
01-04-2021,4.6379134,4.76513087,4.52896005,4.57777257,21945525.92,937332662.48
31-03-2021,4.33423852,4.98755832,4.2314545,4.63574644,53473970.97,855052847.39
30-03-2021,4.44026135,4.99786974,4.12854134,4.33416296,76570096.54,799426463.63
29-03-2021,3.56970902,4.4975005,3.5565236,4.4765112,46426459.33,825682271.51
28-03-2021,3.55882524,3.73317553,3.50685968,3.56825217,16831559.53,658155965.8
27-03-2021,3.62467347,3.62789963,3.48938651,3.56029936,13445418.53,656689089.23
26-03-2021,3.32569291,3.7276593,3.3155585,3.62543851,18349995.17,668703855.61
25-03-2021,3.55896829,3.68484898,3.26415305,3.27215855,25394987.44,603542174.47
24-03-2021,3.82869636,3.98900081,3.52772304,3.56508593,20854151.04,657571961.05
23-03-2021,3.9621989,4.02956074,3.75571637,3.82718099,22385454.35,705914796.57
22-03-2021,3.89561149,4.24594275,3.73807791,3.95982158,35280714.76,730380050.89
21-03-2021,3.97928858,4.05442334,3.85464771,3.89618936,15176829.74,718643231.74
20-03-2021,4.07052001,4.17049283,3.95978402,3.9869571,17780987.6,735385134.49
19-03-2021,4.1107681,4.23546211,4.02288713,4.07121387,19730994.4,750926103.24
18-03-2021,3.96334477,4.55264271,3.95972047,4.06465665,47275639.62,749716638.91
17-03-2021,3.76761978,4.04266437,3.67807643,3.95935386,24317888.96,730293780.28
16-03-2021,3.68711906,3.82311338,3.59866213,3.76260145,15099663.05,694003247.65
15-03-2021,3.85754161,3.91704205,3.65413381,3.6915533,14700041.33,680898578.43
14-03-2021,3.97307263,4.04117286,3.83671624,3.86189487,12490206.96,712317692.37
13-03-2021,3.79357409,4.13228092,3.70303586,3.97432866,21576841.88,733055847.33
12-03-2021,3.99895373,4.03857295,3.73964271,3.79081992,20213254.44,699208079.12
11-03-2021,4.16151811,4.33908105,3.95000525,4.00069266,25089400.36,737918627.98
10-03-2021,3.98171711,4.48748928,3.85118241,4.16938217,39601495.5,769033022.3
09-03-2021,3.87320446,4.00790898,3.82676518,3.98387103,18536450.93,734815916.46
08-03-2021,3.87740517,3.94629779,3.80056446,3.87165037,14869424.28,714117072.3
07-03-2021,3.81173026,3.953799,3.81130492,3.87845226,12134851.6,715371665.34
06-03-2021,3.77204444,3.92097544,3.7671272,3.81143527,8358659.46,703010534.22
05-03-2021,3.86905339,3.98967324,3.61317621,3.77575639,20082664.16,696429645.67
04-03-2021,4.0895721,4.2828037,3.82817284,3.86553919,16993316.26,712989878.83
03-03-2021,3.86680507,4.19546802,3.8666216,4.09687214,17373779.95,755658712.61
02-03-2021,3.98594487,4.13311666,3.80547417,3.86343033,14615602.42,712600904.97
01-03-2021,3.82019806,4.02507223,3.74273159,3.98388281,16618043.54,734818089.56
28-02-2021,3.93020697,3.98223463,3.56597175,3.81646997,9964667.88,703939173.32
27-02-2021,3.86497683,4.12722105,3.85853254,3.92530477,10608654.98,724013502.68
26-02-2021,4.05696739,4.20975963,3.71881285,3.86427481,16464777.49,712756666.49
25-02-2021,4.49759786,4.5649642,4.060898,4.06364108,14671429.52,749529319.51
24-02-2021,4.02461439,4.72167544,3.83778383,4.49810807,26052920.94,829665763.88
23-02-2021,4.57191252,4.57342493,3.39857802,4.03516981,37163223.41,744277859.93
22-02-2021,5.13223384,5.13223384,3.98598194,4.57277048,37697624.34,843437075.97
21-02-2021,5.07934219,5.31637356,4.97898806,5.11693546,26555571.79,943807063.19
20-02-2021,5.29153829,5.45082809,5.04029884,5.11412099,41191301.48,943287940.51
19-02-2021,5.22366282,5.74354473,4.9881055,5.31179629,98552144.77,979748698.79
18-02-2021,4.79236051,5.76404633,4.5421588,5.22161265,138609172.4,963114532.75
17-02-2021,4.58470181,5.21229342,4.20861714,4.7977259,125052856.18,884929589.87
16-02-2021,4.07648339,4.63191458,3.87961428,4.53959763,32000624.27,837318418.47
15-02-2021,4.36206328,4.40152001,3.75793289,4.07436687,28959100.79,751507666.7
14-02-2021,4.61013458,4.72766116,4.14820822,4.35861199,33302132.63,803936030.44
13-02-2021,4.84422706,5.44339244,4.53152652,4.60644275,56054770.77,849647848.5
12-02-2021,4.77779137,4.99065757,4.62445563,4.84080783,48567719.92,892875953.07
11-02-2021,4.92388308,5.21786336,4.30902107,4.77773834,116174172.62,881242928.46
10-02-2021,3.69646617,5.56675478,3.62515371,4.92301102,237838987.49,908038143.74
09-02-2021,3.5385283,3.74470356,3.44288864,3.69255882,24147038.59,681084043.32
08-02-2021,3.61051875,3.69876006,3.30990744,3.54482232,38641727.51,653834384.01
07-02-2021,3.09536134,3.81840108,3.09374671,3.62025195,112328858.27,667747207.69
06-02-2021,3.19793171,3.22754184,3.01668378,3.09169509,14869505.8,570256100.32
05-02-2021,2.96300396,3.26113125,2.93351481,3.20267157,30218861.19,590725459.94
04-02-2021,2.9589471,3.04144124,2.92139083,2.96242448,16425706.27,546412431.97
03-02-2021,2.87075291,3.1509838,2.87001522,2.96221223,32526903.2,546373282.79
02-02-2021,2.85770737,2.8956488,2.79903893,2.87061244,8681027.93,529477911.2
01-02-2021,2.81195065,2.94533537,2.76708232,2.86267835,11339162.27,528014486.64
31-01-2021,2.88212989,2.93016661,2.76381981,2.80757271,14125230.75,517850376.15
30-01-2021,2.89320378,2.97393313,2.85457132,2.88343357,14471674.53,531842738.27
29-01-2021,2.98876096,2.99920495,2.84810101,2.8948709,17647485.88,533952328.39
28-01-2021,2.94994717,3.05755252,2.85617529,2.97672239,20538129.22,549049649.18
27-01-2021,3.10192421,3.23454428,2.76339222,2.9531394,30302871.99092733,544699821.0283552
26-01-2021,3.1382389,3.5955485,3.04802372,3.10255485,76240613.60546438,572259158.199457
25-01-2021,2.78380548,3.40483595,2.77530139,3.1444408,91695066.90260582,579984926.7572883
24-01-2021,2.82207622,2.98592104,2.70840478,2.77487689,35521606.46577954,511819706.45162946
23-01-2021,3.14720324,3.14720324,2.71425865,2.81963766,48095010.80092202,520075729.68974406
22-01-2021,3.09128933,3.83640384,2.80868821,3.14072469,198798534.4678485,579299497.9334704
21-01-2021,2.27779411,3.52501738,2.22445505,3.0861742,165713249.4071484,569237785.949099
20-01-2021,2.16892857,2.58430528,2.11694097,2.275218,29766638.03378296,419658766.6176387
19-01-2021,2.2428854,2.24748537,2.15818245,2.16643706,9115668.74380334,269608145.7362653
18-01-2021,2.12313925,2.44281317,2.08237725,2.24321797,18052485.09493322,279163355.53356606
17-01-2021,2.06119985,2.19216154,2.02388091,2.12361688,6152938.68137368,264279273.01799697
16-01-2021,2.00259133,2.18841114,2.00117488,2.0604599,6979642.02877546,256419530.76546884
15-01-2021,2.08061529,2.14412143,1.95482689,2.00431809,5976237.30355306,249432810.13136417
14-01-2021,2.08619073,2.24387109,2.06083296,2.08283671,6672603.26439696,259204273.41756898
13-01-2021,1.9670674,2.13306257,1.90338072,2.0821404,5414378.16389275,259117619.5964086
12-01-2021,1.94214672,2.10612907,1.86144019,1.96708349,5222644.36332549,244799049.5765427
11-01-2021,2.13871218,2.17605777,1.74584816,1.94214038,11287319.80403214,241694935.83537072
10-01-2021,2.28572629,2.29985468,2.09949796,2.13704938,7856508.3644046,265950916.1620095
09-01-2021,2.30132284,2.37840088,2.15670318,2.29043341,11891806.23690478,285039208.5278419
08-01-2021,2.21728491,2.49736688,2.0036335,2.30526575,22151317.67616998,286885059.45549476
07-01-2021,2.31760747,2.51051807,2.13230775,2.22817871,20795306.1022537,277291753.13964635
06-01-2021,2.58030465,2.69785858,2.20411598,2.31852599,35249971.5655716,288535266.05375683
05-01-2021,1.49181372,3.30763523,1.49181372,2.56610537,180787706.1350672,319345954.4729501
04-01-2021,1.44253431,1.55967973,1.42610865,1.49107408,3568370.6999043,185560765.0911985
03-01-2021,1.43206417,1.47020555,1.37375266,1.4419959,3813416.64895939,179453097.86097363
02-01-2021,1.46094828,1.46480606,1.38215412,1.43367844,5387329.53841241,178418008.64462715
01-01-2021,1.47778607,1.52102125,1.4493955,1.46015193,2059227.17502562,181712574.24221748
31-12-2020,1.53328212,1.59378516,1.4772948,1.47761002,1307485.57127694,183885193.14311555
30-12-2020,1.54562664,1.59874065,1.49338558,1.53346539,1547081.30535853,190836266.42861438
29-12-2020,1.47355335,1.69363683,1.4486701,1.54487299,5475054.45203708,192255917.10657033
28-12-2020,1.49033052,1.54478235,1.43479909,1.47356065,2123280.90054786,183381258.3879298
27-12-2020,1.39681083,1.54741085,1.39681083,1.49332209,5451285.42815143,185840525.0815589
26-12-2020,1.4457021,1.57820104,1.39694165,1.39694165,2048086.14744042,173846198.71432555
