Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,0.32962143,0.39073426,0.32962143,0.37308872,104703318.64,249872528.71
14-04-2021,0.34667704,0.34792381,0.30690197,0.33069814,65261601.66,221481849.14
13-04-2021,0.35093895,0.35933208,0.34219442,0.34651371,49989145.13,232074172.86
12-04-2021,0.3646587,0.37680036,0.34125839,0.35121414,46127993.91,235222241.92
11-04-2021,0.3648079,0.37041916,0.34618756,0.36445499,46853929.08,244090170.82
10-04-2021,0.38535175,0.39285357,0.35115572,0.36458075,62403916.91,244174398.41
09-04-2021,0.38388175,0.40918964,0.35603796,0.38497437,70921741.99,257832824.96
08-04-2021,0.37023488,0.39905934,0.35577857,0.38390655,51881850.68,257117661.51
07-04-2021,0.43575899,0.44378337,0.33192127,0.36942117,98045035.08,247416219.44
06-04-2021,0.39133795,0.44892983,0.37901293,0.43667394,149564254.44,292458108.76
05-04-2021,0.39286918,0.40452678,0.37900396,0.39147788,72172812.28,262188487.63
04-04-2021,0.37600495,0.40953666,0.36976606,0.39270819,122153778.02,263012477.93
03-04-2021,0.41408357,0.42907758,0.37139612,0.37551463,100234154.34,251497254.71
02-04-2021,0.41957456,0.43133495,0.40899843,0.41480742,80894004.52,277813218.39
01-04-2021,0.45073498,0.4609161,0.40830916,0.41981819,104724559.3,281169134.43
31-03-2021,0.5099636,0.51579379,0.43967535,0.45037193,142036313.22,301632205.62
30-03-2021,0.47078773,0.52147041,0.464422,0.50963292,150863636.28,341321672.14
29-03-2021,0.45185176,0.48178242,0.44406064,0.47057591,103691328.45,315163619.1
28-03-2021,0.44141054,0.4802818,0.43175338,0.45169024,94256403.36,302515130.09
27-03-2021,0.45041869,0.47623493,0.43427006,0.44185954,85760152.75,295931113.14
26-03-2021,0.42863206,0.49743294,0.42863206,0.45051731,133700446.76,301729572.8
25-03-2021,0.41600389,0.45353482,0.38840595,0.4282929,167742728.28,286844985.55
24-03-2021,0.50097021,0.5163038,0.37602434,0.41964453,200872666.1,281052829.09
23-03-2021,0.49722426,0.57298018,0.48188839,0.50271027,246375848.36,336685294.61
22-03-2021,0.46538603,0.54911233,0.44331857,0.50164172,255218686.15,335969644.49
21-03-2021,0.44737159,0.49690213,0.42368065,0.46617084,206636179.37,312213366.4
20-03-2021,0.41317345,0.4670183,0.41130302,0.44723945,132583260.3,299534257.24
19-03-2021,0.38794178,0.43887525,0.37384558,0.41360643,134873881.48,277008868.5
18-03-2021,0.41143179,0.41877758,0.38161864,0.38905297,107342696.7,260564426.56
17-03-2021,0.36586659,0.41729147,0.36047714,0.41267018,123470739.25,276381827.56
16-03-2021,0.37594218,0.42063414,0.34897682,0.36592505,181178034.14,245074731.01
15-03-2021,0.35152121,0.41277425,0.32398481,0.37748139,187278060.78,252814477.15
14-03-2021,0.38660673,0.40577429,0.33596731,0.35212854,152026277.94,235834649.62
13-03-2021,0.34035575,0.39113057,0.31460026,0.38663668,189552081.84,258946144.76
12-03-2021,0.3714801,0.38836789,0.32521516,0.3404022,169847996.77,227981052.86
11-03-2021,0.40546336,0.42797472,0.36405217,0.3719395,222275465.13,249102847.12
