Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,0.3153781,0.33620658,0.3092843,0.32774745,8004916.87,347544865.08
14-04-2021,0.33334455,0.33495685,0.30657091,0.31532938,8916649.86,334376694.04
13-04-2021,0.33125634,0.33924759,0.32530538,0.33342584,8003654.41,353566264.9
12-04-2021,0.32001444,0.33684462,0.31541556,0.33126385,7899275.29,351273675.05
11-04-2021,0.31016077,0.32766046,0.30649631,0.31998931,8198776.67,339318104.59
10-04-2021,0.31521013,0.32104458,0.308516,0.30989375,8429256.23,328612721.18
09-04-2021,0.31152781,0.34790469,0.30112438,0.31490203,9489437.28,333923530.92
08-04-2021,0.25583096,0.33093989,0.25362393,0.30983799,10869839.73,328553593.1
07-04-2021,0.26464527,0.27722038,0.2523549,0.25561574,6782224.7,271056078.11
06-04-2021,0.26458961,0.27342873,0.2622113,0.26429176,6128874.84,280256174.65
05-04-2021,0.26674053,0.28223617,0.26312134,0.26513026,6572752.01,281145320.05
04-04-2021,0.27486058,0.29024717,0.26506794,0.26728876,7731067.29,283434205.4
03-04-2021,0.27046154,0.29238383,0.25788097,0.27530766,9471353.38,291937484.07
02-04-2021,0.27430546,0.2814571,0.26164128,0.27038329,7664670.93,286715660.24
01-04-2021,0.27276434,0.28536175,0.26783525,0.27408411,7731819.98,290640026.55
31-03-2021,0.27573803,0.31562519,0.2656681,0.27275537,13040599.43,289231021.98
30-03-2021,0.22359935,0.28348431,0.22338713,0.27591154,10067482.04,292577839.58
29-03-2021,0.22486672,0.23096607,0.21858825,0.22355707,6067527.61,237060917.28
28-03-2021,0.22358682,0.24112448,0.21701695,0.22531286,7902262.43,238922766.18
27-03-2021,0.20760897,0.23415375,0.19947442,0.22369065,9472030.69,237202574.13
26-03-2021,0.19423507,0.2116823,0.19367324,0.20726051,5797852.55,219779975.65
25-03-2021,0.21445022,0.22486947,0.19421266,0.19433074,8389502.77,206069185.15
24-03-2021,0.17952874,0.23567637,0.17653438,0.21351299,11752950.96,226410131.97
23-03-2021,0.17318521,0.18238887,0.17170693,0.17918205,5459894.82,190005452.5
22-03-2021,0.17275075,0.18330045,0.17136158,0.173382,5306193.94,183855049.21
21-03-2021,0.17417078,0.17669477,0.16803964,0.17234172,4911854.85,182751933.1
20-03-2021,0.1788646,0.19422361,0.17295685,0.17446388,7418503.85,185002284.58
19-03-2021,0.15322497,0.18756085,0.15125443,0.17894814,7067011.06,189757411.31
18-03-2021,0.15499238,0.1565852,0.14974784,0.15338852,3924684.88,162653876.69
17-03-2021,0.14779043,0.15562902,0.12421188,0.15487188,4233830.93,164226832.53
16-03-2021,0.1412207,0.15053911,0.13904896,0.14787308,3805610.26,156805283.15
15-03-2021,0.14885984,0.14958111,0.1370408,0.14093643,4132173.98,149449625
14-03-2021,0.15087197,0.15373224,0.14638437,0.14881922,4172851.45,157808574.63
13-03-2021,0.15227177,0.15720092,0.14772395,0.15074995,4360570.91,159855927.51
12-03-2021,0.15503433,0.15763899,0.14672035,0.15227649,5097735.52,161474672.36
11-03-2021,0.16273896,0.16345283,0.14826524,0.15518475,4751579.44,164558606.45
10-03-2021,0.13600149,0.16265389,0.13555612,0.16265389,5429463.2,172478919.63
09-03-2021,0.12904415,0.13915717,0.12829273,0.13598832,4248278.35,144202626.65
08-03-2021,0.12395371,0.12924032,0.123867,0.12914606,3313660.23,136947063.74
07-03-2021,0.12537317,0.12634095,0.12322337,0.12387808,3171442.95,131360872.81
06-03-2021,0.1255467,0.12862105,0.12366975,0.12536209,2898758.09,132934520.32
05-03-2021,0.12190882,0.12942288,0.11865667,0.12556815,3731805.31,133153030.53
04-03-2021,0.12446378,0.12997399,0.12071542,0.12193914,3858778.92,129304813.28
03-03-2021,0.11588377,0.12466527,0.11563942,0.12447488,3552549.74,131993718.33
02-03-2021,0.11923521,0.11971734,0.11385911,0.11585555,2945567.24,122853746.82
01-03-2021,0.11573863,0.12023131,0.11541519,0.11956824,2837955.02,126790701.08
28-02-2021,0.11534727,0.12006528,0.11155188,0.11587341,3766594.68,122872688.09
27-02-2021,0.11424674,0.11863061,0.11323164,0.11565264,2837350.67,122638574.43
26-02-2021,0.1133731,0.11478499,0.10845872,0.11427654,3088398.86,121179355.24
