Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,1.00213842,1.00494799,1.00081173,1.00173141,377419554.97,3335703338.86
14-04-2021,0.99983463,1.0046189,0.99938342,1.00213097,481363225.13,3284577269.95
13-04-2021,1.00010864,1.00215151,0.99931618,0.99978585,370795996.44,3304137243.73
12-04-2021,1.00312374,1.00312374,0.99983069,0.99995755,271473757.23,3263872319.41
11-04-2021,1.00152861,1.00341826,0.99931515,1.00321133,239449819.25,3283427603.32
10-04-2021,1.0022939,1.00326493,0.99802507,1.00176301,304029631.85,3257554688.01
09-04-2021,1.0060879,1.0060879,1.00094212,1.00219445,238416832.94,3197339503.52
08-04-2021,1.00213927,1.00720611,1.0005221,1.00611501,274811494.63,3198482686.54
07-04-2021,1.00158534,1.00359737,1.00022576,1.0022528,404924089.25,3181264516.01
06-04-2021,1.00021004,1.00409035,0.99967303,1.00135657,351473797.17,3193830103.52
05-04-2021,1.00668866,1.00881616,0.99960113,1.00020044,373221031.27,3172254273.49
04-04-2021,1.00329619,1.01292683,1.00242547,1.00671266,316257510.73,3206103303.31
03-04-2021,1.00521294,1.01105337,1.00046587,1.00366663,428124063.18,3183210637.45
02-04-2021,1.00450205,1.01025102,1.00134811,1.00478642,385816020.85,3158956436.36
01-04-2021,1.00332563,1.00784739,0.99929004,1.00351151,337707836.5,3062459337.93
31-03-2021,1.00387342,1.00857115,1.00142872,1.00380641,324719221.47,3027114382.28
30-03-2021,1.0031862,1.00461337,1.00111752,1.00392276,243945747.06,3025073804.28
29-03-2021,1.0014083,1.02338331,0.99930121,1.00336628,295091258.03,3016432493.08
28-03-2021,1.00370549,1.00405127,1.00071763,1.00146711,257575304.19,2989478008.46
27-03-2021,1.00495188,1.00639043,1.00085545,1.00362695,251211601.14,2976593863.36
26-03-2021,1.0024355,1.00615857,1.00064705,1.00509313,242079458.56,2971508898.99
25-03-2021,1.0015948,1.00657941,0.99845458,1.00243045,282784219.38,2942376138.36
24-03-2021,1.00433283,1.00751562,0.99885907,1.00191106,307223258.34,2923784400.14
23-03-2021,0.99955667,1.00721525,0.99792889,1.00452944,289970073.21,2931094320.86
22-03-2021,1.00099962,1.00664878,0.99772931,0.99962078,303031778.61,2910253619.09
21-03-2021,1.00388298,1.00654115,0.99886855,1.00042833,205061219.97,2888155180.16
20-03-2021,1.00367336,1.00749605,1.00267583,1.00437421,182019408.82,2876356980.46
19-03-2021,1.00235795,1.00636789,1.00042178,1.00367377,201291364.27,2874123859.07
18-03-2021,1.00559101,1.0060429,0.97978653,1.00237566,198666819.12,2868035135.25
17-03-2021,1.00126346,1.00824274,0.99981088,1.00526405,217950952.05,2861134334.88
16-03-2021,1.00241281,1.0030603,1.000951,1.0012243,281361723.32,2845438232.69
15-03-2021,1.00179662,1.00302774,1.00106293,1.0023797,330087934.08,2773838477.98
14-03-2021,1.00117565,1.00240132,1.00059954,1.00179988,243692915.73,2752612927.97
13-03-2021,1.00182444,1.00278902,1.00072881,1.00123579,285401737.55,2741108680.2
12-03-2021,1.00090684,1.00201683,1.00045699,1.00183293,276319937.83,2708872256.93
11-03-2021,1.00115399,1.00240718,1.00049397,1.00091212,342377294.22,2637226772.22
10-03-2021,1.00115927,1.00173593,1.00052151,1.00118564,295303873.36,2619436576.28
09-03-2021,1.00058334,1.00183855,1.00033349,1.00116393,478041983.78,2616987843.45
08-03-2021,1.00057182,1.00115675,1.00030221,1.00058614,334066347.73,2567499345.1
07-03-2021,1.00109005,1.00140636,1.00037065,1.00063958,284908277.63,2555921014.35
06-03-2021,1.00168974,1.00197689,1.00080072,1.00106768,246324482.11,2578917161.91
05-03-2021,1.001459,1.00220673,1.00108806,1.00169012,432706961.36,2551657209.04
04-03-2021,1.00098186,1.00198574,1.00078014,1.0014535,344253034.43,2545764219.28
03-03-2021,1.00119526,1.00150981,1.00051372,1.00095518,295066718.75,2531459606.9
02-03-2021,1.00128987,1.00239435,1.00012879,1.00124404,412208886.58,2517016510.33
01-03-2021,1.00317776,1.0034441,0.99872422,1.00132262,398569958.43,2464576229.89
28-02-2021,1.00191078,1.00852781,1.001249,1.00301402,623940938.45,2339382380.18
27-02-2021,1.0012143,1.00223199,1.00075014,1.00189771,301668905.58,2315557011.17
26-02-2021,1.00111312,1.00144883,0.99991746,1.00115663,527246364.83,2307470268.72
25-02-2021,1.001605,1.00193931,1.00058229,1.00110876,414868314.9,2326680913.28
24-02-2021,1.00132839,1.00196966,1.0005821,1.00161658,633193751.9,2319954213.94
23-02-2021,1.00051922,1.01932518,1.00003754,1.00132234,1303567115.56,2288351369.27
22-02-2021,1.00076635,1.01345682,0.99975064,1.00051032,840480067.64,2363613989.73
21-02-2021,1.00074197,1.00210559,1.00050004,1.00079656,294869049.81,2379406774.69
20-02-2021,1.00119056,1.00185163,1.00043167,1.00067667,409523225.94,2360117726.55
19-02-2021,1.00097127,1.00194326,0.99893235,1.00120384,353558289.29,2076146820.46
18-02-2021,1.00111587,1.00164645,1.00032257,1.00089125,310793845,2075498622.51
17-02-2021,1.00116359,1.00192492,1.00068388,1.00108284,299872020.26,2075895912
16-02-2021,1.0012138,1.00194261,1.00031341,1.00122848,262073091.62,2076197917.5
15-02-2021,1.00180445,1.01250581,0.99674189,1.00113565,345289782.38,2076005408.91
14-02-2021,1.00122995,1.00213756,1.0009765,1.0017999,254901718.22,2077382846.36
13-02-2021,1.00164508,1.00312499,1.00093628,1.00117869,251928654.4,2074963170.65
12-02-2021,1.00089745,1.00205359,1.00026937,1.00172482,271553254.8,2051392677.13
11-02-2021,1.00107684,1.00211063,1.00055803,1.00095137,288142015.55,2029871492.54
10-02-2021,1.00143663,1.00177368,0.99897928,1.00106998,362414223.1,1967418375.2
09-02-2021,1.00133477,1.00239402,1.00049116,1.00143964,359119291.69,1953848177.99
08-02-2021,1.00164527,1.0028474,0.99965306,1.00127978,880288777.41,1889591370.35
07-02-2021,1.00107945,1.00167626,1.00049092,1.00165541,330423303.91,1809709946.96
06-02-2021,1.00043731,1.00255918,1.00022058,1.0010592,265174710.82,1832951063.79
05-02-2021,1.00047221,1.0018529,0.99996294,1.00030624,260732731.58,1817894901.69
04-02-2021,1.00069825,1.00150314,0.99984759,1.00036173,329554138.75,1767090540.78
03-02-2021,1.00140591,1.00196705,1.00068425,1.0006945,287910065.76,1738367232.48
02-02-2021,1.00076815,1.00193063,1.00017645,1.00138392,362186001.8,1705910760.55
01-02-2021,1.00031283,1.00097264,0.99978492,1.0007981,226213887.32,1664001917.75
31-01-2021,1.00063198,1.00292993,0.9994208,1.00027682,219524280.93,1650031304.01
30-01-2021,0.99955363,1.00075656,0.99941495,1.00070566,207085084.63,1649474422.85
29-01-2021,1.00024098,1.00171866,0.9991492,0.9996591,410430767.21,1637265511.45
28-01-2021,1.00089293,1.00161306,0.99997115,1.00058975,238725114.15,1617747933.77
27-01-2021,1.00079329,1.00191002,0.99941887,1.00089692,340795071.6684461,1607574173.6213284
26-01-2021,1.00039339,1.00215715,0.99954048,1.00088623,313797531.31054276,1581526177.7904506
25-01-2021,1.00196979,1.00276346,1.00030758,1.00044659,351131613.8501991,1572649697.777781
24-01-2021,1.00319162,1.00370013,1.00178236,1.001979,301905575.6591001,1534097441.6705441
23-01-2021,1.00139527,1.00387702,1.00098265,1.00313715,297679711.6111264,1461615485.0925016
22-01-2021,1.00063347,1.00190445,1.00029784,1.00147709,452632735.5651234,1446115149.920391
21-01-2021,1.00092005,1.00139117,0.99918654,1.00041315,462420708.2419622,1404553482.4432108
20-01-2021,1.00021929,1.00091452,0.99922164,1.00091452,378694413.29512507,1409135520.102603
19-01-2021,1.00088204,1.00220367,0.99998166,1.00024194,466574610.33851874,1404599859.1026304
18-01-2021,1.000816,1.00149041,0.99996058,1.00085677,235553947.65649346,1402949912.6743486
17-01-2021,1.00073424,1.00133095,0.9999607,1.00068518,249817374.27176455,1381057071.222598
16-01-2021,1.00124015,1.00236046,1.00039788,1.00074558,321098273.85807496,1366839995.0143847
15-01-2021,1.00196409,1.00278919,1.00026191,1.00125318,411495877.85794824,1412122791.3236976
14-01-2021,1.00040619,1.00260409,1.00007217,1.00188849,399350087.4131369,1393451331.256005
13-01-2021,1.0004125,1.00215772,0.99967769,1.00040477,333395307.61036843,1363281085.8938928
12-01-2021,1.00095968,1.00157198,0.99934515,1.00058009,448764354.18930304,1365310691.131504
11-01-2021,0.99956848,1.01307608,0.99845315,1.00101562,958822243.411742,1365314929.0149605
10-01-2021,1.00126177,1.00768948,0.99946635,0.99969775,461427625.8617262,1422702198.2355819
09-01-2021,1.00011922,1.00169445,0.99929303,1.00124393,426771932.29034775,1407750980.091447
