Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,5.41155521,5.4798559,4.99517668,5.14706469,95601871.39,569018115.75
14-04-2021,4.94246176,5.65878722,4.67697114,5.41421192,206906304.01,598551766.68
13-04-2021,4.68669956,5.22465126,4.51604466,4.92989379,125375613.4,545009446.06
12-04-2021,4.79532815,5.4153231,4.46963894,4.68356043,230669831.34,517776808.44
11-04-2021,4.0579102,4.95824957,3.9734699,4.76897386,122339241.24,527219431.31
10-04-2021,4.03929145,4.39908901,3.87796731,4.04893323,68983622.57,447617524.71
09-04-2021,3.81318314,4.15024864,3.74898132,4.02341656,59325812.63,444796607.03
08-04-2021,3.47050953,3.85064527,3.45839012,3.81284873,39088851.63,803289673.41
07-04-2021,3.8685949,3.89133303,3.3415928,3.46053298,43964228.07,729063910.32
06-04-2021,3.9568423,4.08804377,3.68248154,3.87611417,43447389.3,816618413.28
05-04-2021,3.94519804,4.14186045,3.73731526,3.95757872,35157235.22,833781338.88
04-04-2021,3.64183229,3.94890868,3.58205262,3.94731194,26095872.78,831618335.53
03-04-2021,3.97684817,4.07598613,3.63844111,3.64232208,31832412.8,767363176.89
02-04-2021,4.03917546,4.17482935,3.88733569,3.97706322,30337080.81,837886325.71
01-04-2021,4.04920855,4.33628751,3.99743847,4.04316248,40394599.79,851812095.55
31-03-2021,4.16702112,4.25065951,3.78234552,4.03840486,58518605.86,850809761.89
30-03-2021,4.34175378,4.42312443,4.12418789,4.16894682,38920878.49,423926969.27
29-03-2021,4.06004413,4.66913591,4.03650394,4.34331668,91168070.37,441406821.78
28-03-2021,3.95631013,4.25805602,3.88319253,4.06232777,53123398.76,412012807.12
27-03-2021,3.42348227,4.27884563,3.39977886,3.96646319,79727869.97,401854356.31
26-03-2021,3.18621888,3.50506195,3.1830773,3.42454983,24099867.66,346118681.71
25-03-2021,3.22500254,3.32594675,2.99462541,3.18629466,36499470.4,321780606.09
24-03-2021,3.43325492,3.90864168,3.12737963,3.24014157,48380956.21,326679452.6
23-03-2021,3.57569995,3.66005616,3.35799577,3.43788444,27560951.92,346202561.68
22-03-2021,3.91963496,3.96736716,3.51724048,3.57326472,35431231.09,359575703.89
21-03-2021,4.06231116,4.14528932,3.86782461,3.92347156,22848678.67,394370196.48
20-03-2021,4.0731954,4.3940026,4.05499182,4.06494503,31818452.83,408350479.34
19-03-2021,4.09747775,4.25813221,4.00162073,4.07455942,23844509.77,408844967.06
18-03-2021,4.19429162,4.34910587,4.09638936,4.10007626,33946209.19,410975447.42
17-03-2021,4.29362417,4.43956789,3.98032573,4.19618153,32485366.13,420065143.67
16-03-2021,4.15172697,4.44393444,3.94658261,4.28605721,56935198.78,428762339.17
15-03-2021,4.09532658,5.05630511,4.07167275,4.16166882,139973153.04,415924668.89
14-03-2021,3.95303721,4.31231597,3.74014697,4.09694463,78508429.73,408948259.78
13-03-2021,3.42792419,4.15402914,3.31391124,3.96389963,72778827.53,394837867.54
12-03-2021,3.69426522,3.71350142,3.3279765,3.43285377,31848963.65,341600420.86
11-03-2021,3.65914868,3.81655508,3.51434643,3.69302092,48173861.45,367179397.87
10-03-2021,4.08328999,4.22514526,3.60065918,3.66264401,50739623.43,363836250.12
09-03-2021,3.97736934,4.08444114,3.90470642,4.08036033,62561853.55,404909645.19
08-03-2021,4.20969721,4.24582749,3.89707864,3.97989317,34524231.18,394328559.2
07-03-2021,3.95963708,4.31612575,3.94905611,4.20623167,32563970.88,416411100.34
06-03-2021,3.91806459,4.09143657,3.83985817,3.95951623,21930400.81,391587792.33
05-03-2021,4.14063663,4.14063663,3.81336831,3.92267816,35112042.63,387384923.84
04-03-2021,4.4108359,4.76490907,4.09412128,4.14443516,53183179.57,409055217.98
03-03-2021,4.07638118,4.75417295,4.02559132,4.42021854,76288670.39,435497487.84
02-03-2021,4.30563956,4.43379411,3.80192941,4.0731768,42361015.85,401097092.8
01-03-2021,3.61088675,4.36796644,3.6041735,4.30814417,68307242.87,423566961.89
28-02-2021,4.19156625,4.22829016,3.31508424,3.60661492,54289233.72,354103836.47
27-02-2021,3.97670014,4.60350933,3.96999308,4.19976266,61031025.66,411955989.38
26-02-2021,4.29363729,4.33832318,3.73116228,3.97232243,63699611.73,389339181.98
25-02-2021,4.85837394,5.24078009,4.27521539,4.27521539,63195631.46,418476131.03
24-02-2021,4.82182498,5.63268245,4.49258969,4.8606185,99121855.78,475396448.64
23-02-2021,5.69908397,5.714878,3.63501593,4.82295377,140030954.5,471258587.25
22-02-2021,6.8282249,6.96732888,4.55816901,5.6989515,152140541.49,556313790.41
21-02-2021,6.51348332,7.40948867,6.22951425,6.88250586,153636399.41,656998393.6
20-02-2021,6.23465938,8.51245353,5.80464474,6.54023893,461362133.07,624325871.52
19-02-2021,4.94241248,7.3922561,4.81504685,6.26194466,514590933.14,597760127.44
18-02-2021,2.43297674,5.12379472,2.38580829,4.9424325,97519366.08,471800573.27
17-02-2021,2.01012337,2.43804747,1.94330245,2.43290331,4918035.28,85268127.06
16-02-2021,2.18728327,2.28937171,1.91899236,2.01025127,4354989.79,70455064.87
15-02-2021,2.36714876,2.3984354,1.81372674,2.18736114,6314172.47,76662392.11
14-02-2021,2.37812291,2.58973935,2.22553561,2.3670797,5370615.43,82961148.43
13-02-2021,2.19890325,2.38849117,2.10576473,2.37809848,3637713.97,83347333.3
12-02-2021,2.20318237,2.31294757,1.97307957,2.19855276,379410.05,77054634.86
11-02-2021,2.13673166,2.53896055,2.05501974,2.20218213,5939822.69,77181836.47
10-02-2021,1.62087733,2.22013939,1.39142789,2.13648874,9474561.76,74844091.86
09-02-2021,1.4282593,1.64741639,1.39571474,1.62084476,2560345.03,56518412.08
08-02-2021,1.49861867,1.70788156,1.39144174,1.42803066,3799146.79,49639556.26
07-02-2021,1.61990372,1.649008,1.35372883,1.49821666,1940772.74,51910631.14
06-02-2021,1.6915369,1.80003148,1.49953029,1.61981647,4843257.23,55809305.51
05-02-2021,1.75293749,1.81961675,1.46509628,1.69500101,5407122.97,58089328.48
04-02-2021,1.79716334,1.97508185,1.72127878,1.75324034,3980302.23,59806653.67
03-02-2021,1.69512352,1.94747145,1.63526013,1.79720894,2113059,60937780.86
02-02-2021,1.75158899,1.87281248,1.43111911,1.69663637,6183702.43,57317589.63
01-02-2021,1.79475016,1.8102036,1.52680607,1.75146736,5069743.79,58887383.14
31-01-2021,1.55327239,2.03209036,1.52173524,1.79489324,7920875.44,60023575.89
30-01-2021,1.42882007,1.66197019,1.25877231,1.55319542,2732613.72,51469157.84
29-01-2021,1.20821168,1.55533513,1.20821168,1.42902524,3975377.33,47082922.67
28-01-2021,0.82739763,1.27490819,0.81077682,1.22960164,6544861.57,31297448.95
27-01-2021,0.85074169,0.90839043,0.73875995,0.82739741,1707990.14280049,21060014.37944992
26-01-2021,0.67916794,0.87596582,0.67018441,0.85074999,1240090.30193826,21654415.20657273
25-01-2021,0.78256099,0.81485274,0.6766985,0.67914759,1265533.91475924,17286563.57796603
24-01-2021,0.76380523,0.86589073,0.7399627,0.78255708,1597840.75846474,19918678.9553959
23-01-2021,0.56693965,0.87429372,0.56485467,0.76381506,2935609.77371803,19441632.27147007
22-01-2021,0.50339996,0.58185184,0.48353788,0.56700385,782159.05100935,14432132.8065511
21-01-2021,0.43040652,0.54433677,0.41206862,0.5033958,378045.26403067,12813096.33330363
20-01-2021,0.42066376,0.43468578,0.38630784,0.43040351,718764.1797578,10955200.03096058
19-01-2021,0.41054878,0.44920293,0.40298932,0.42068369,554873.70162419,10707798.2522992
18-01-2021,0.36497593,0.43174793,0.35186105,0.41054803,754682.18454203,10449812.00061497
17-01-2021,0.33889518,0.38265734,0.33866366,0.36499514,170618.49864335,9290339.43216098
16-01-2021,0.31536179,0.36251847,0.31525778,0.33888853,930851.93469584,8625839.64137534
15-01-2021,0.30903311,0.3306583,0.30086436,0.31537141,651130.15002392,8027250.68782304
14-01-2021,0.30066907,0.30978377,0.28793792,0.30903872,300698.15415803,7866062.78451409
13-01-2021,0.28681378,0.30164882,0.27938354,0.30067695,286896.99496292,7653227.9469576
12-01-2021,0.28513031,0.29246249,0.28244136,0.28682931,218210.22733833,7300759.45998059
11-01-2021,0.28799986,0.29276233,0.26407253,0.28512334,463899.37235919,7257336.75512813
10-01-2021,0.31347764,0.32601919,0.27584931,0.28799974,516537.1791735,7330550.58928461
09-01-2021,0.2749572,0.32323922,0.26673007,0.31345633,444770.62164773,7978505.43116503
08-01-2021,0.2762176,0.28133839,0.25737739,0.27494929,250329.24711827,6998373.28954892
07-01-2021,0.29768437,0.31375968,0.26199876,0.27621311,665843.09742641,7030541.73927768
06-01-2021,0.19333152,0.2994928,0.19237515,0.29766013,404521.15607482,7576439.72529889
05-01-2021,0.22801974,0.2345885,0.19280289,0.19332937,20969.61314437,4920875.16532773
04-01-2021,0.20016597,0.22804182,0.19880808,0.22802338,324327.56333476,5803952.8737685
03-01-2021,0.19604813,0.21672965,0.19186691,0.20015941,197156.53947598,5094722.30494457
02-01-2021,0.19506016,0.20614266,0.1929639,0.19601607,174095.32262152,4989260.60081356
01-01-2021,0.16391352,0.20368675,0.16391352,0.19505432,366684.47124021,4964780.78904995
31-12-2020,0.17410249,0.1745204,0.16097897,0.16391376,129011.81646564,4172150.00614266
30-12-2020,0.16899466,0.17671173,0.16452312,0.17410254,125483.3721102,4431488.46801373
