Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,226.02205513,233.51567951,218.64091151,226.83053993,191206975.32,3924053981.56
14-04-2021,212.54739391,238.45075662,210.0620537,226.65100504,289699597.53,3919749826.14
13-04-2021,225.02400634,226.17944573,209.2611143,212.38404513,224585920.36,3671892293.1
12-04-2021,237.60377271,245.55738281,217.30504441,225.55190351,316610492.95,3898359164.17
11-04-2021,208.96859728,242.90449367,205.19164974,239.23618688,493018183.24,4136301419.67
10-04-2021,194.35270458,214.14500942,188.37281106,209.29126502,290475782.26,3617444536.68
09-04-2021,180.48395006,197.14893142,180.30004316,194.30374614,184242856.17,3357355251.73
08-04-2021,173.61861631,184.20032531,172.8513571,180.45283539,115877348.76,3117060438.86
07-04-2021,193.14861791,195.5299312,167.46987451,173.24873734,236230941.54,2991692348.73
06-04-2021,166.91144349,194.49139677,162.54668594,192.16619928,376135464.54,3317333757.79
05-04-2021,168.86328659,170.87569125,160.41308827,166.73832318,131572873.02,2877290907.57
04-04-2021,160.20210053,172.20650922,157.20640334,168.69484514,135110584.57,2909860750.4
03-04-2021,168.02525104,186.4531389,156.50203067,158.69137989,267613693.23,2736458492.41
02-04-2021,150.53962197,173.08316092,150.53962197,167.62653547,258165788.56,2889637602.8
01-04-2021,139.7930539,150.23455346,138.06248694,150.08520196,112577180.03,2586447092.96
31-03-2021,142.9283828,144.66458676,133.95189379,139.91643892,74541236.55,2410458117.41
30-03-2021,143.61757843,146.21865338,141.92640122,142.90167868,70809134.19,2461122828.95
29-03-2021,141.71683463,148.7862262,138.60986313,143.58461287,88759567.68,2472115643.34
28-03-2021,146.47521907,148.40826924,138.7495054,141.41379474,85216523.95,2433276230.71
27-03-2021,141.11320569,153.33723465,139.36452626,146.76869281,146974939.5,2524630629.39
26-03-2021,122.10997606,144.36542218,122.07416789,140.95839416,169273843.65,2423930079.37
25-03-2021,120.83766465,125.21768896,116.80110497,122.13545653,88411044.13,2099595399.52
24-03-2021,131.12745429,135.64533502,120.71520055,121.02787485,74676160.25,2079907035.92
23-03-2021,134.93247718,136.78093205,129.13438555,131.306178,74690654.4,2255840003.94
22-03-2021,138.54053011,145.62844692,133.60821714,135.11280028,103456189.3,2320514050.92
21-03-2021,137.26403674,140.04215938,132.43522791,138.4319689,59693651.61,2376085969.57
20-03-2021,133.98922936,148.76402608,133.66065187,137.12864568,104190111.37,2352980893.04
19-03-2021,133.23224324,135.5144129,130.34885427,134.26513313,57754366.52,2303126951.57
18-03-2021,135.74950085,137.95448961,130.97191133,133.04939382,62418769.63,2281559959.33
17-03-2021,130.38740513,137.15996225,127.87465042,135.89547405,73350234.29,2329637181.83
16-03-2021,130.65080622,133.38916824,126.78998725,130.45516448,80884385.01,2235675964.15
15-03-2021,131.90147413,138.23443583,124.98145057,130.70700432,124930060.21,2239291806.57
14-03-2021,140.49197363,141.92675241,131.20481026,132.35393658,94154168.89,2266136592.97
13-03-2021,140.47363137,146.62673626,136.40639863,140.54812265,90225947.55,2405682926.11
12-03-2021,151.0945324,151.83231179,137.72495309,140.3906841,99516760.24,2402236102.65
11-03-2021,150.9454274,156.07800287,146.31293553,150.55565423,116422811.84,2575363263.46
10-03-2021,158.35445609,164.97962936,148.51975306,151.26361331,163163411.77,2586663151.86
09-03-2021,147.29915524,163.80363846,144.90917606,158.84768476,174317226.28,2715502563.06
08-03-2021,145.8816907,149.75111478,141.39586594,147.1745205,106069661.9,2515161324.37
07-03-2021,137.31443677,151.51381344,137.31443677,145.89834529,126345724.46,2491840948.23
06-03-2021,141.49795635,144.8919354,133.23553154,137.29537062,106963111.08,2344172796.84
05-03-2021,150.9156389,150.9156389,139.20204642,141.90369563,166031860.81,2422094952.3
04-03-2021,141.60717372,159.46245681,138.47458748,150.84854148,348067300.21,2573962705.34
03-03-2021,134.12187252,143.5235167,132.1461202,142.04131616,137423002.41,2422922205.64
02-03-2021,138.31633768,144.66150218,127.73920642,134.06799904,146966489.53,2286196276.68
01-03-2021,130.44247413,143.47674778,129.93301092,138.28929995,154492767.96,2357439321.11
28-02-2021,135.59014163,136.35293451,120.8533865,130.27781125,173592435.78,2219517018.59
27-02-2021,124.18731054,151.43339993,122.63702636,135.41226834,346815812.74,2306266440.29
26-02-2021,113.47022247,127.82758186,104.42452238,124.02540384,249691204.94,2111667371.44
25-02-2021,116.76371817,128.45130412,113.15448657,113.25344738,149297371.78,1927656481.77
24-02-2021,109.92250807,129.92961871,104.7438764,116.63410594,183660869.92,1984572988.44
23-02-2021,126.79247835,126.94917773,89.9318483,109.75375506,314916613.04,1866913345.62
22-02-2021,140.67880075,153.08253202,105.91719732,126.82720524,305184564.23,2156653714.27
21-02-2021,139.72648699,144.36836667,136.56719782,140.51440173,121930022.41,2387874319.61
20-02-2021,139.66159055,154.45733974,133.71752152,139.8673928,236418539.51,2376129965.8
19-02-2021,151.68832331,154.18572739,135.94989995,140.03378597,230753011.43,2378206597.62
18-02-2021,145.44571833,166.23011886,143.61922196,152.23735868,321395016.04,2584645454.37
17-02-2021,137.15965888,156.9882626,124.41298315,145.35004403,386929118.77,2466935976.91
16-02-2021,140.03767259,151.44185887,131.5223417,137.02077549,254758585.86,2324834577.54
