Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,2.9113295,3.27607062,2.87419921,3.17650349,516101365.67,2650200559.78
14-04-2021,3.07463593,3.09062931,2.79418564,2.9172912,389869267.6,2433936178.47
13-04-2021,3.00204608,3.22301093,2.95993239,3.07285741,454576973.65,2563727207.24
12-04-2021,3.12907865,3.15833958,2.91772414,3.0009238,426956999.32,2503712011.92
11-04-2021,3.22229384,3.29946348,3.00178407,3.13076853,653087627.3,2612043250.96
10-04-2021,3.43104093,3.5586497,3.14653218,3.22820994,1081694617.5,2693339964.5
09-04-2021,3.26789162,3.99641461,3.132579,3.45422473,2196204888.64,2881907214.19
08-04-2021,2.84326632,3.43258493,2.58719556,3.26841108,2126002539.2,2726880330.62
07-04-2021,2.32833826,2.87414435,2.03393643,2.79999954,1146931767.63,2336078135.97
06-04-2021,2.47355616,2.47657563,2.31120844,2.32942275,355705887.15,1943469442.46
05-04-2021,2.49100319,2.7778514,2.37889923,2.47423506,568112227.32,2064288344.26
04-04-2021,2.39594913,2.52150331,2.36471911,2.49199785,227800851.03,2079108085.41
03-04-2021,2.64137078,2.64777062,2.35190473,2.39001038,264326274.54,1994018534.83
02-04-2021,2.5401605,2.64117653,2.46919234,2.64117653,293325812.76,2203569910.11
01-04-2021,2.59132705,2.6604387,2.49290912,2.54238193,344888617.71,2121144217.63
31-03-2021,2.52725794,2.6824809,2.37834193,2.59034158,546064802.5,2161157614.13
30-03-2021,2.51206678,2.52738955,2.44119961,2.52738955,259565297.02,2108635866.57
29-03-2021,2.54190436,2.58343629,2.41273442,2.51273367,325306779.66,2096408270.32
28-03-2021,2.3246326,2.65470794,2.29265703,2.54239509,533289328.92,2121155200.01
27-03-2021,2.3524241,2.384804,2.2372367,2.32501773,271575840.84,1939794278.94
26-03-2021,2.13267006,2.34666257,2.13267006,2.34666257,379442690.19,1957852865.05
25-03-2021,2.21997296,2.26131233,2.05659299,2.1344322,408116713.42,1780786149.68
24-03-2021,2.06891191,2.58133498,2.0260318,2.23236635,1006781515.9,1862493957.1
