Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,7.67542067,7.92642753,7.31378056,7.8940412,3047268433.51,7519590265.82
14-04-2021,7.37612451,8.07034797,7.07011764,7.68199919,5286448220.35,7317390317.71
13-04-2021,6.47656675,7.53531608,6.42398277,7.3794546,3764887682.84,7029004593.24
12-04-2021,6.74109609,6.86077368,6.31121928,6.48246117,2233970727.16,6174425618.6
11-04-2021,6.6166268,7.05164795,6.56750176,6.74406484,2991045207.71,6423407250.4
10-04-2021,6.21592942,6.74486873,6.16672814,6.61133743,2803164798.53,6296803228.95
09-04-2021,6.43954647,6.56014684,6.10361077,6.21458435,2554566006.73,5918755193.14
08-04-2021,5.9010155,6.45518548,5.83455447,6.43949108,3721053777.24,6132766270.86
07-04-2021,6.66945782,7.04240912,5.76266678,5.87846207,7288183218.65,5598293798.37
06-04-2021,6.70990767,7.09677396,6.31137631,6.66424193,7248071212.44,6346437479.91
05-04-2021,6.35186418,7.13110529,5.96734602,6.7072772,7697985976.33,6387231799.28
04-04-2021,5.45366633,6.34881353,5.41188453,6.34845883,5509488695.48,6045362056.1
03-04-2021,6.29679737,6.47980502,5.32704323,5.45380913,6524790862.19,5193269828.98
02-04-2021,5.62606287,6.35693253,5.430027,6.29863,7616094056.79,5997554542.25
01-04-2021,4.81480925,5.99237295,4.73875266,5.62270839,6677890046.79,5353781818.2
31-03-2021,4.35874227,4.89824099,4.11924254,4.81330505,3728812070.32,4582962333.25
30-03-2021,4.28545647,4.40751782,4.22999678,4.35849733,1621669745.8,4149796525.73
29-03-2021,4.12322577,4.30944616,4.08146237,4.2859643,1568669153.23,4080616074.94
28-03-2021,4.10256818,4.21215904,4.06599447,4.12377384,1510300048.72,3926080377.41
27-03-2021,4.18906866,4.2063404,4.00416534,4.10281412,1511517010.55,3906009989.32
26-03-2021,3.69802658,4.18944816,3.6911319,4.18717602,2520035819.75,3986207196.96
25-03-2021,3.72120079,3.7915154,3.60917416,3.69835467,2217667315.99,3519510564.48
24-03-2021,4.11765402,4.312761,3.58639888,3.72250292,2537516569.75,3542386365.57
23-03-2021,4.10714038,4.28704136,4.07540582,4.11880438,2210949899.24,3919396599.37
22-03-2021,4.17012126,4.36650526,4.02996084,4.10660619,2328404381.9,3907673367.73
21-03-2021,4.34793041,4.43095608,4.13682016,4.17024385,1967888878.28,3968110954.49
20-03-2021,4.16228744,4.51429466,4.15140382,4.34820882,2078834652.83,4137327732.36
19-03-2021,4.1672724,4.26650486,4.05705859,4.16276396,1673424211.7,3960759411.89
18-03-2021,4.07644694,4.31467951,4.02312057,4.1681599,2358251505.59,3965776300.76
17-03-2021,4.06605856,4.09214854,3.87082822,4.07669718,1939272991.85,3878639492.18
16-03-2021,3.82073876,4.12450834,3.68828442,4.06585279,2758464449.08,3868207467.42
15-03-2021,3.9718828,4.03072508,3.73929402,3.82094943,2524305509.69,3635101458.76
14-03-2021,4.28919737,4.3745977,3.97372387,3.97372387,2507425905.39,3780333184.51
13-03-2021,3.79143324,4.37880622,3.69005295,4.28950882,2846279280,4080629114.17
12-03-2021,3.95630493,3.98966124,3.71201514,3.79109185,2278828908.4,3606376209
11-03-2021,3.9930171,4.04413537,3.84126575,3.95602073,2419730820.34,3763158012.66
10-03-2021,4.17307892,4.18593294,3.9209972,3.99433963,2587796812.26,3799496440.53
09-03-2021,3.89522312,4.17630963,3.86193174,4.17295098,2437693149.01,3969277838.51
08-03-2021,3.84207244,3.92486641,3.76131461,3.89515635,2077723482.29,3704932226.59
07-03-2021,3.72807777,3.85497819,3.72376732,3.8442795,3032282251.6,3656431777.5
06-03-2021,3.70182383,3.77262491,3.60875736,3.7280302,1632540981.92,3545761834.4
05-03-2021,3.7565098,3.7565098,3.57908968,3.70249047,2077171137.42,3521365975.52
04-03-2021,3.83790252,3.91661878,3.64933632,3.75721036,2545846595.82,3573302632.28
03-03-2021,3.66832878,4.04225815,3.65528828,3.83845668,2688646708.15,3650463461.5
02-03-2021,3.69569334,3.8189596,3.58088553,3.66786538,2190267121.15,3488123272.78
01-03-2021,3.46547341,3.7368277,3.46547341,3.69548784,1878204091.66,3514287501.38
28-02-2021,3.67384768,3.69666098,3.28080344,3.46425413,2510948747.5,3294294093.03
27-02-2021,3.55525094,3.83561604,3.554272,3.67420709,2273094739.21,3493843264.07
26-02-2021,3.66007525,3.76483255,3.43356471,3.55477351,3030625050.16,3380172407.05
25-02-2021,3.9005634,4.092918,3.64656945,3.6550803,2959237301.12,3475449380.69
24-02-2021,3.83841698,4.12977989,3.69812206,3.90117837,3766364458.84,3709344676.1
23-02-2021,4.70585625,4.70585625,3.23956682,3.83612973,6395663187.61,3647385426.81
22-02-2021,5.11265159,5.27933935,4.23048242,4.7068563,6022886701.31,4475141367.64
21-02-2021,4.86616721,5.31766798,4.74969356,5.11315984,3905821195.08,4861298204.05
20-02-2021,5.24169011,5.42687897,4.56314152,4.87035974,4465280621.38,4630320970.89
19-02-2021,4.83833326,5.34314578,4.67460168,5.24235147,4376486907,4983830522.02
18-02-2021,4.84262755,4.97878654,4.68241515,4.83930326,3004547597.14,4600521271.67
17-02-2021,4.64987219,4.87514366,4.44410427,4.84299411,5744341913.38,4603893423.07
16-02-2021,4.69578019,4.94769643,4.44146521,4.64990409,7243532478.96,4420212540.24
15-02-2021,5.09229622,5.22750328,4.25231269,4.69822376,8201494470.42,4466007959.89
14-02-2021,5.49822683,5.55897682,4.88905658,5.09524007,7686866014.69,4843256697.45
13-02-2021,4.74917285,5.49298129,4.52331285,5.49298129,9702644318.66,5221173147.73
12-02-2021,4.58294199,4.8210073,4.27272586,4.74942018,7164080651.94,4514271264.16
11-02-2021,4.12816698,4.6416273,4.03242655,4.58569782,7366913969.23,4358527494.93
10-02-2021,4.15573878,4.45400514,3.74378318,4.12987029,8487998558.64,3925163435.97
09-02-2021,3.5811334,4.2695052,3.49149048,4.15971874,7117645370.74,3953415439.62
08-02-2021,3.44273355,3.58008451,3.35872789,3.57921026,5350964755.57,3401597027.52
07-02-2021,3.2083295,3.57129273,3.05195267,3.44378226,5982395276.45,3272792711.56
06-02-2021,3.3075883,3.31168244,3.14480975,3.20843193,3002069352.85,3049043286.82
05-02-2021,3.02188906,3.36232834,3.02073684,3.30702481,3690662908.21,3142645440.91
04-02-2021,3.06284073,3.12880174,2.99077997,3.02210726,2999987469.33,2871805209.07
03-02-2021,2.999959,3.12282472,2.99200384,3.06230879,2585205674.78,2909921297.36
02-02-2021,3.05759608,3.05934345,2.95885903,2.99993822,2983378194.55,2850570234.02
01-02-2021,2.91606343,3.26227118,2.91577011,3.05967108,6293241599.41,2907243091.74
31-01-2021,2.92149662,3.05721381,2.82802382,2.91448315,3872903139.67,2769206402.13
30-01-2021,2.72664665,3.07171437,2.69187082,2.92208526,3788166742.72,2776347565.38
29-01-2021,2.73712472,2.88874112,2.65703717,2.72706054,3791567522.48,2563158155.28
28-01-2021,2.50931464,2.78498513,2.48708255,2.71354962,2768404988.03,2550383119.09
27-01-2021,2.62986389,2.62986389,2.47005538,2.50933638,2049692705.7904527,2358378864.377696
26-01-2021,2.65372909,2.67282503,2.5665765,2.63006808,1980843470.4624178,2471774830.454657
25-01-2021,2.7149879,2.75980454,2.63746072,2.65393958,2007252390.3359056,2494135081.1778526
24-01-2021,2.70592084,2.7719242,2.65655267,2.71484034,1860478247.4162965,2551291495.5808797
23-01-2021,2.62868567,2.77135663,2.58224956,2.70617258,2224952796.6581297,2543069974.113342
22-01-2021,2.54539891,2.67546218,2.44495679,2.62964961,2332055160.3266068,2471085301.7333775
21-01-2021,2.77878788,2.77899135,2.50851546,2.54574348,2337193433.7174673,2392167176.1288333
20-01-2021,2.80272677,2.82264188,2.66651776,2.77856908,2179371213.0841937,2610869213.825723
19-01-2021,2.81278523,2.91863013,2.79286071,2.80395142,2474064455.7467318,2634640936.48317
18-01-2021,2.76390217,2.83247005,2.70904214,2.81228728,2125840773.461662,2642394549.674385
17-01-2021,2.78419496,2.80060541,2.69006945,2.76390124,2327878543.310249,2596855040.1632123
16-01-2021,2.76393675,2.87320156,2.71725026,2.78435497,3102534381.697798,2615994708.04138
15-01-2021,2.79959475,2.91928476,2.6104507,2.7642698,3383813556.2789073,2597045199.992242
14-01-2021,2.76957428,2.84930223,2.70404903,2.79825036,2823553009.9775825,2628892905.201235
13-01-2021,2.59056991,2.78574931,2.53884109,2.77023335,2460767319.204179,2602492566.1573234
12-01-2021,2.67014734,2.77075376,2.54377785,2.59069109,3476712898.480745,2433750664.9617143
11-01-2021,3.08612983,3.08612983,2.41133288,2.67222583,6056389193.070815,2510270932.75636
10-01-2021,3.62867905,3.92291987,2.90759361,3.0872878,9057323705.29444,2900090457.825286
09-01-2021,3.12335981,3.73489407,3.02277505,3.6266849,6671849036.855197,3406679764.109542
08-01-2021,3.20400736,3.23829938,2.93166516,3.12334432,5089074481.5924835,2933784876.7953653
07-01-2021,3.37733388,3.45199557,3.08631286,3.20399962,6580130496.803025,3009454935.109395
06-01-2021,2.89783579,3.43596684,2.85788841,3.37675658,5868486394.741725,3171627177.8840976
05-01-2021,2.81121694,2.94718941,2.73014461,2.89780767,3834551808.3638906,2721691876.386251
04-01-2021,2.79746038,3.12005984,2.67055544,2.81030853,4592899151.7407255,2639431729.3568916
03-01-2021,2.62722851,2.84897161,2.58768601,2.7950519,4016977942.2670293,2625024378.6311483
02-01-2021,2.63596558,2.71323008,2.57851264,2.62642571,2647911576.8155537,2466583922.956589
01-01-2021,2.59749402,2.72983148,2.57745651,2.63543894,2202334582.846103,2474974459.4742894
31-12-2020,2.60996681,2.65092605,2.53509664,2.59797698,2183017127.8424225,2439720346.7253356
30-12-2020,2.64203292,2.67046254,2.55134672,2.60992265,2556476004.1937995,2450865309.3413835
29-12-2020,2.76381758,2.78948996,2.5142121,2.64192892,2834518136.456588,2480846270.0730724
28-12-2020,2.71559276,2.88446833,2.70186203,2.7640702,2938832204.01615,2595462894.356083
27-12-2020,2.60687824,2.8421749,2.51067361,2.71469776,4119852397.965611,2549025780.0507517
26-12-2020,2.66108525,2.68650089,2.54654879,2.60622839,3266819601.205998,2447102982.2572145
25-12-2020,2.67164968,2.73881321,2.56908298,2.66060685,4242901903.88816,2498086468.8036804
24-12-2020,2.30609164,2.68801226,2.2802691,2.67170175,4566322003.060865,2508428660.293001
23-12-2020,2.8986703,2.91136047,2.03410278,2.30488706,4774602337.462532,2163966142.714238
22-12-2020,2.94220134,2.94991375,2.79123104,2.8989094,3522942735.628783,2721590032.8912697
21-12-2020,3.13530634,3.27058392,2.90999001,2.9431831,3680267302.8833523,2763071699.5896235
20-12-2020,3.05886677,3.32752495,3.00892074,3.13501251,3117343092.1688957,2943075513.427288
19-12-2020,3.06226864,3.11443864,3.04266703,3.05923953,2025238260.7809234,2871854411.204899
18-12-2020,3.04046782,3.12575188,2.98877862,3.06255313,2252207386.575891,2874880661.2317
17-12-2020,3.09825797,3.24198411,3.00114318,3.04011887,4024130320.550795,2853734485.261488
16-12-2020,2.86447063,3.10189172,2.82352104,3.09792153,2369654229.346693,2907908027.0913434
15-12-2020,2.84287489,2.89081973,2.81184345,2.86449956,1665529164.1882834,2688721506.502292
14-12-2020,2.84826472,2.85647814,2.80489084,2.84259267,1375441336.5061665,2668080628.84388
13-12-2020,2.76822893,2.89839962,2.75451898,2.8480791,1518779145.8530574,2673149023.8964963
12-12-2020,2.69401216,2.78539705,2.69282729,2.76818051,1399303915.7918727,2598080255.09539
11-12-2020,2.74276196,2.74282673,2.65319574,2.69438172,1803556566.7653975,2528740763.016208
10-12-2020,2.80959904,2.81294289,2.70811347,2.74267714,1940078230.0564926,2573991628.143233
09-12-2020,2.79820723,2.83325308,2.67507812,2.80964905,2579251503.078265,2636765760.424617
08-12-2020,2.95186295,2.95976221,2.76272841,2.79838306,2365114721.1906223,2626114450.1752086
