Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,0.59751464,0.66131223,0.58801016,0.65239636,51578798.61,486761848.34
14-04-2021,0.60754645,0.6184167,0.57285861,0.59895579,39307745.43,446889112.94
13-04-2021,0.60889642,0.64414603,0.57810779,0.60757449,47684008.29,453319638.05
12-04-2021,0.63446844,0.66992763,0.60063224,0.60887631,45096837.86,454290946.86
11-04-2021,0.65556981,0.6557083,0.61635312,0.63278021,39160155.95,472125972.13
10-04-2021,0.682848,0.70084178,0.63270165,0.65623828,52921157.91,489628360.24
09-04-2021,0.60914488,0.75958394,0.60389327,0.68313249,150123728.74,509694497.09
08-04-2021,0.59677756,0.65546075,0.58912572,0.60908393,36022631.35,454445851.06
07-04-2021,0.66880933,0.680324,0.55703109,0.59914236,55508306.51,447028314.06
06-04-2021,0.68154143,0.74683719,0.64192297,0.66924795,70289140.25,499335050
05-04-2021,0.72717472,0.73133652,0.66396655,0.68215087,48609848.65,508962098.28
04-04-2021,0.6386993,0.7432188,0.61922873,0.72617668,54372950.22,541810355.56
03-04-2021,0.69703704,0.72014876,0.63767161,0.63862837,46554093.87,476489364.63
02-04-2021,0.71308716,0.75882955,0.68801659,0.69962632,48760500.94,522000767.23
01-04-2021,0.72887518,0.76314373,0.69188788,0.7143519,66359075.72,532987726.93
31-03-2021,0.80954159,0.8785053,0.72224668,0.72992523,101654590.72,544607203.26
30-03-2021,0.82055737,0.83854683,0.76829558,0.80074568,62472554.03,597447303.88
29-03-2021,0.78106057,0.84677363,0.75354325,0.8205622,63402865.52,612232680.95
28-03-2021,0.78872284,0.86132454,0.75263799,0.78030594,89463239.96,582196940.59
27-03-2021,0.70162871,0.815668,0.67010018,0.78813132,77888225.11,588035562.15
26-03-2021,0.61035111,0.72964417,0.60904281,0.69928359,61089117.55,521745056.19
25-03-2021,0.62360578,0.64365535,0.56301833,0.60982955,44274573.4,455002173.16
24-03-2021,0.63101423,0.72729681,0.61479734,0.6252557,51500556.57,466511829.57
23-03-2021,0.67819925,0.71454628,0.60159561,0.63056674,61502610.92,470474470.56
22-03-2021,0.64125225,0.77339543,0.59780695,0.67963346,126995156.69,507083826.02
21-03-2021,0.58756421,0.64979723,0.53077106,0.64238945,57308918.63,479295554.51
20-03-2021,0.60485835,0.64174912,0.58763983,0.58841499,39161548.48,439024471.5
19-03-2021,0.59605607,0.64976911,0.57249762,0.60437777,56385057.48,450934525.02
18-03-2021,0.65790406,0.66522424,0.5855486,0.596237,53636092.86,444860583.17
17-03-2021,0.61583458,0.68097397,0.59642164,0.65862263,57188449.62,491407353.25
16-03-2021,0.64766593,0.65104825,0.56425626,0.61551544,73932464.27,459244488.55
15-03-2021,0.68780257,0.71809718,0.58774354,0.65463782,80837027.73,488434232.15
14-03-2021,0.62051118,0.75156214,0.61155557,0.69035991,136583145.22,515086975.73
13-03-2021,0.52780964,0.64394885,0.50229033,0.61785218,106699191.9,460987964.34
12-03-2021,0.44026151,0.54177992,0.43278997,0.52689608,82447284.32,393124377.39
11-03-2021,0.45584641,0.46924502,0.41715001,0.44080802,43455558.25,328892896.28
10-03-2021,0.42884448,0.49367484,0.39685178,0.4560375,60433167.86,340255814.41
09-03-2021,0.44328872,0.48509137,0.42676192,0.43019671,58922639.97,320975647.55
08-03-2021,0.37415015,0.4470004,0.36914145,0.44264037,60829057.47,330260036.78
07-03-2021,0.38364533,0.38767444,0.35326103,0.37353937,23455025.46,278702831.39
06-03-2021,0.3742362,0.40687485,0.34973195,0.38532418,35498569.4,287495642.54
05-03-2021,0.32375178,0.40007421,0.30269689,0.37590704,74321140.98,280469384.99
04-03-2021,0.36147121,0.37179469,0.3172401,0.32366263,43002955.75,241489119.91
03-03-2021,0.3118178,0.36321659,0.30185154,0.36237892,49578534.14,270375867.07
02-03-2021,0.27933767,0.31587988,0.27024066,0.3118025,32229719,232640111.95
01-03-2021,0.24624377,0.28772127,0.24394083,0.27874256,24489676.73,207973633.98
28-02-2021,0.27559615,0.27817687,0.22441724,0.24481974,25092766.31,182663358.03
27-02-2021,0.22531506,0.29017963,0.22531506,0.27433623,41364966.08,204686016.84
26-02-2021,0.22700786,0.24219427,0.20027336,0.2246578,20312650.05,167620261.02
25-02-2021,0.23293299,0.26175613,0.22519734,0.22575044,19981211.52,168435490.62
24-02-2021,0.2234887,0.2678243,0.20801717,0.23288014,24004028.27,173755061.48
23-02-2021,0.27610419,0.27660931,0.17780758,0.2231327,37327996.82,166482356.48
22-02-2021,0.29662234,0.29874602,0.22469262,0.27461821,43318655.88,204896402.25
21-02-2021,0.28969933,0.31627516,0.27926501,0.29663111,38460329.26,221320526.51
20-02-2021,0.29246539,0.31872055,0.26399442,0.28961154,48035648.97,216083135.37
19-02-2021,0.30655028,0.3166851,0.27704017,0.29211076,43664895.33,217947834.14
18-02-2021,0.23553314,0.3251539,0.23553314,0.30597915,90314499.41,228295233.51
17-02-2021,0.22691831,0.24827232,0.21018673,0.23564286,15000691,175816361.96
16-02-2021,0.23925933,0.25475858,0.21727508,0.22695299,17931246.03,169332733.46
15-02-2021,0.24831116,0.27474587,0.19398944,0.23924895,33034159.45,178506913.67
14-02-2021,0.26441497,0.28642673,0.23599894,0.24860121,30136793.27,185484767.38
13-02-2021,0.25208954,0.28599491,0.22879203,0.2644468,38862711.94,197307373.91
12-02-2021,0.23524701,0.26934965,0.22463265,0.25191326,30262829.29,187955929.89
11-02-2021,0.239598,0.2554131,0.22347065,0.23524728,28000052.23,175521216.75
10-02-2021,0.25117148,0.27570438,0.21060054,0.23914369,36029300.28,178428376.48
09-02-2021,0.21377232,0.26992115,0.20789955,0.25164208,46597629.89,187753595.43
08-02-2021,0.18203885,0.22698988,0.17935465,0.21434974,54125221.13,159929272.64
07-02-2021,0.17025201,0.18806033,0.16036121,0.18197569,23286987.54,135774555.39
06-02-2021,0.1801006,0.1801006,0.15240833,0.17024421,25401871.3,127021537.33
05-02-2021,0.14854325,0.18790709,0.14772284,0.17993356,33859447.93,134250893.99
04-02-2021,0.15803722,0.15803722,0.13137112,0.14855523,23347702.88,110839092.85
03-02-2021,0.10984374,0.1587573,0.10979631,0.15754452,40906403.89,117546120.22
02-02-2021,0.10876643,0.11185925,0.10557632,0.10975676,8907727.87,81891017.87
01-02-2021,0.09821448,0.11280325,0.09528796,0.10876943,11995858.51,81154360.3
31-01-2021,0.10463202,0.10507534,0.0959867,0.09838359,8119189.29,73405343.88
30-01-2021,0.11137701,0.11870512,0.10301163,0.10463617,12074397.4,78070478.8
29-01-2021,0.09101426,0.11436734,0.08898332,0.11000095,17312276.32,82073215.27
28-01-2021,0.09031031,0.09593873,0.08811173,0.08937164,7432930.63,66681402.86
27-01-2021,0.09507885,0.10318771,0.08246368,0.09009522,12295284.46780964,67221273.31021525
26-01-2021,0.08261875,0.0987854,0.08037849,0.09519784,10383766.95821173,71028412.05890034
25-01-2021,0.08835544,0.09116133,0.0810301,0.08266946,6788608.90593043,61680811.47056294
24-01-2021,0.08941076,0.09385203,0.08348145,0.08908394,8154433.3590644,66466747.11154699
23-01-2021,0.0897135,0.09362841,0.08521869,0.0893785,6777163.23947446,66686520.34093075
22-01-2021,0.08047355,0.09531053,0.07417654,0.08989166,9687366.08387168,67069393.62325775
21-01-2021,0.0921408,0.09260003,0.07876236,0.08059616,7438678.17483378,60133898.65122225
20-01-2021,0.09141937,0.09889985,0.08185721,0.09222502,9526177.54165017,68810349.16489904
19-01-2021,0.09681841,0.10391562,0.09028264,0.09167556,11029560.03203207,68400392.05227502
18-01-2021,0.09501713,0.10003189,0.0908619,0.09694766,8931639.12039052,72333977.37977795
17-01-2021,0.08464874,0.10324657,0.07619929,0.09503293,16145623.95252152,70905368.59878585
16-01-2021,0.08808711,0.09225196,0.0812953,0.0847638,12264787.92691316,63243428.8853256
15-01-2021,0.07696984,0.09040731,0.06682944,0.08807421,17446915.38088042,65713376.54429706
14-01-2021,0.06627858,0.07844997,0.06455676,0.07699682,7026864.13498884,57448379.86562786
13-01-2021,0.05864492,0.06686592,0.05625159,0.06627461,5318014.29186901,49448394.07950051
12-01-2021,0.06060458,0.06402066,0.05657829,0.05864476,4270904.21829444,43755654.52461761
