Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,187.90898175,194.22975579,187.90898175,193.25176482,1258904.11,290764093.09
14-04-2021,183.54020982,188.0966136,181.92783438,187.97229029,1500076.65,282820664.33
13-04-2021,175.78740375,185.03112393,175.65838682,183.52726269,1874841.32,276132733.6
12-04-2021,179.49023801,183.16180147,175.45307803,175.84485766,1258004.14,264573886.86
11-04-2021,174.52559563,179.99155934,174.16917334,179.49818623,1238322.55,270070637.53
10-04-2021,170.2935394,177.47560996,170.16301936,174.51521449,1346856.22,262573323.03
09-04-2021,167.07851291,172.44897908,167.03124964,170.29056158,700488.75,256216965.18
08-04-2021,159.64779054,168.77679955,158.32126553,167.05218914,1516417.27,251344552.1
07-04-2021,169.64684617,170.38266298,158.49126075,159.92807774,1584178.28,240625706.71
06-04-2021,170.78852528,172.23302722,165.48043307,169.68031275,1900519.01,255298792.73
05-04-2021,171.48084163,173.17945601,164.26867526,170.63175707,1389395.2,256730323.48
04-04-2021,167.19939542,172.58723033,166.23688847,171.58871837,1652885.32,258170155
03-04-2021,170.58571081,172.84402866,166.17818555,167.30551011,1454160.24,251725695.54
02-04-2021,161.03789199,170.81142434,159.96189545,170.49308411,1280548.17,256521677.94
01-04-2021,158.51210451,161.62301486,158.47544413,160.82088199,1204388.74,241969008.38
31-03-2021,146.9300335,159.75273952,146.52462791,158.61846615,1299491.71,238655282.13
30-03-2021,144.94669055,148.39982634,144.25283329,146.93715824,770169.35,221079738.1
29-03-2021,133.33652597,147.90666566,131.23852911,144.94447834,1501288.93,218081577.83
28-03-2021,132.25642034,137.7666,132.09209909,133.34703278,843087.15,200632212.01
27-03-2021,143.39663313,145.13937095,132.27453711,132.27453711,1098376.19,199018548.98
26-03-2021,137.74455853,143.44950148,137.66057207,143.44950148,1047457.07,215832255.09
25-03-2021,141.69119355,142.02523175,135.81942639,137.76646647,1063531.1,207281634.5
24-03-2021,140.80476647,150.37308823,139.26622226,141.71937841,1207020.58,213229134.41
23-03-2021,141.866671,143.3904423,138.75908511,140.8652051,1015784.14,211943956.34
22-03-2021,147.75024352,150.13647627,141.14051491,141.88252236,1270596.79,213474598.67
21-03-2021,145.53481416,148.97671443,144.40896748,147.72182415,855828.17,222260336.23
20-03-2021,151.31053544,158.30702925,145.56169426,145.59009933,949753.45,219052970.79
19-03-2021,149.09772699,153.21939062,146.98690993,151.26646474,1093373.58,227593556.38
18-03-2021,150.9113071,152.01696383,145.72672095,149.09718855,1168463.52,224329691.64
17-03-2021,150.9462319,152.40621662,148.84367918,150.8988364,1396403.08,227040427.57
16-03-2021,147.84592331,151.11598166,142.6616206,150.98652303,1402243.45,227172359.73
15-03-2021,149.00841276,152.84526718,142.37994489,147.839634,1460070.81,222437591.41
14-03-2021,153.66983158,153.81942543,149.14133695,149.14133695,253921.7,224396116.75
13-03-2021,144.9180802,154.12631242,140.35846637,153.6750503,1203067.21,231217482.91
12-03-2021,148.47506358,148.7157678,142.19180159,144.92863031,933321.48,218057733.1
11-03-2021,149.49725312,149.84048575,142.58931615,148.46991389,1927442.41,223385902.34
10-03-2021,151.45002372,153.45809321,145.12393949,149.55549065,1487094.46,225019247.02
09-03-2021,149.22249136,151.72462086,147.51591103,151.44231147,967924.27,227858133.1
08-03-2021,138.2930692,149.24208646,137.62502129,149.22987137,1397259.99,224529324.49
07-03-2021,137.45504188,139.1190117,136.47104831,138.29618671,970648.61,208078644.68
06-03-2021,127.13670653,137.66613252,127.09058673,137.48060574,1627111.28,206851532.15
05-03-2021,130.47164418,130.47164418,124.42542972,127.11266806,1155465.49,191252067.91
04-03-2021,133.18623145,136.02272891,129.39040632,130.46922907,1277186.81,196302305.96
03-03-2021,124.67408902,134.67095307,122.65300013,133.22852838,1050802.86,200453911.83
02-03-2021,129.79178048,132.3033215,123.54837393,124.66442189,1322803.95,187568468.54
01-03-2021,120.80601638,130.3674947,120.80601638,130.17943231,1174096.99,195866281.53
28-02-2021,126.41291445,126.41291445,114.3985133,120.80423815,1466941.37,181760486.27
27-02-2021,123.06571425,129.42442301,122.90518235,126.42617982,785964.3,190219186.62
26-02-2021,125.7346606,131.01687833,121.60105736,123.02367277,1341415.42,185099818.74
25-02-2021,135.67570512,139.03072162,124.85529123,125.78420192,4975499.43,189253275.03
24-02-2021,128.08624967,141.55635944,125.71947751,135.60875224,1695520.84,204035165.71
23-02-2021,147.88123252,148.15803539,120.09538491,128.34664622,2540801.07,193108695.4
22-02-2021,159.42685798,159.72423702,138.13679241,147.86569065,1246546.42,222476795.91
21-02-2021,161.97451685,162.83528598,157.26876374,159.41795313,489639.04,239858179.85
