Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,15.33166264,15.98918969,14.74618259,15.35299222,17370037.1,1209031075.33
14-04-2021,16.08718671,16.25793496,13.70693578,15.31891417,24440327.3,1204217033.4
13-04-2021,16.22947727,16.51554793,15.54470761,16.15734566,16346438.66,1267798863.54
12-04-2021,17.0770285,17.99783565,16.00488046,16.23187652,18075805.96,1271334662.1
11-04-2021,17.18244079,17.47939715,16.06281643,17.09094994,30237679.74,1336314226
10-04-2021,16.18777247,19.49379515,15.4167396,17.24816438,61653396.58,1345945944
09-04-2021,16.85551344,17.69154861,16.21361855,16.21361855,19957048.5,1262707207.2
08-04-2021,16.63006046,18.40410428,16.50973028,16.85472083,29648045.46,1310329376.14
07-04-2021,18.48203522,21.16873559,16.57885168,16.57885168,67707421.91,1286576758.67
06-04-2021,15.56866314,20.79963937,15.03983096,18.66151912,106357858.19,1445507604.15
05-04-2021,16.66944937,16.90183613,15.30209742,15.57162994,23990697.33,1203479463.39
04-04-2021,15.28010078,18.65755195,14.980475,16.73272103,55074383.23,1290682823.53
03-04-2021,13.53981953,17.3078583,13.43192239,15.33394225,68996694.03,1180491174.33
02-04-2021,13.08994053,15.0956836,12.67214383,13.55916967,72743579.9,1041897585.89
01-04-2021,10.49914028,13.27253685,10.30342045,12.90173424,42669363.83,989589625.39
31-03-2021,10.0516424,10.80306836,9.09003618,10.50148549,19143297.58,803889286.97
30-03-2021,10.28477521,10.42684431,9.91719963,10.05347991,11057079.68,767998070.23
29-03-2021,10.20902757,10.75994883,9.84848008,10.29117994,18597387.04,784628250.79
28-03-2021,10.58951699,11.96962721,9.85457848,10.19923904,34787494.59,776325733.95
27-03-2021,8.28035798,11.76149193,8.04607092,10.54835895,48430390.51,801273744.14
26-03-2021,7.10649547,8.67149223,7.10649547,8.29472008,16291575.61,629037170.45
25-03-2021,7.06303523,7.3579336,6.58856501,7.10144141,11137493.14,537754911.23
24-03-2021,8.04465536,8.6153719,6.85627361,7.09122483,13395100.2,535824349.82
23-03-2021,8.84745852,9.2650846,7.93470754,8.06337151,15935391.1,608081534.11
22-03-2021,9.5828861,9.98905618,8.78720616,8.89982069,19392959.82,669930119.23
21-03-2021,8.35022466,9.77206172,8.26208135,9.59112102,17656825.19,720800537.66
20-03-2021,8.94260779,9.72037312,8.32503022,8.34335832,19950063.57,625821123.15
19-03-2021,7.50265954,9.30700741,7.17396151,8.9431679,31769753.38,669438948.89
18-03-2021,7.60780637,8.10065371,7.05652149,7.49605416,11316701.24,560151801.69
17-03-2021,7.0723932,7.67214084,6.66396908,7.61064795,16735090.89,567672267.57
16-03-2021,6.45240442,7.89901654,6.45240442,7.05875586,8585281.57,525680624.81
15-03-2021,6.49454706,6.80651946,6.07484282,6.45888041,16452712.34,480000376.51
14-03-2021,6.96662409,7.58692645,6.52160554,6.52669698,20571934.21,484075593.9
13-03-2021,5.96395517,7.19178251,5.65998911,6.96451712,20076629.33,515654962.6
12-03-2021,6.34857011,6.48680882,5.83671736,5.97333739,18719201.63,441352279.4
11-03-2021,6.52512312,7.93720336,6.34299454,6.34299454,58579586.55,467261563.33
10-03-2021,4.7759913,6.6207644,4.44157405,6.54266578,28929884.06,480963424.67
09-03-2021,4.562448,4.93077989,4.50443076,4.76945664,3063691.08,349823204.26
08-03-2021,4.29520707,4.68971126,4.24082648,4.56795931,7082061.26,334312307.83
07-03-2021,4.06747498,4.33876532,4.05467028,4.29232853,4515337.01,313780269.89
06-03-2021,4.00893053,4.09606429,3.90183175,4.07021464,1280829.36,297048437.34
05-03-2021,4.22590786,4.2418779,3.89553546,4.0120602,5418519.24,292233251.9
04-03-2021,4.17864528,4.42718077,4.05730464,4.23643661,5453054.97,307987312.27
03-03-2021,4.04449824,4.29814507,4.00422843,4.18048963,3139984.12,303430246.94
02-03-2021,4.19009777,4.25903992,3.90767405,4.04436154,1198334.26,292932528.67
01-03-2021,4.17575366,4.39557001,4.04001723,4.19022779,1678747.81,303199665.37
28-02-2021,3.86161024,4.30982213,3.66387397,4.1757513,3523247.21,301694508.03
27-02-2021,3.94402148,4.09186028,3.78365503,3.85758272,2878464.67,278086877.74
26-02-2021,3.66000743,4.15594593,3.41241948,3.94216382,7627888.26,283645744.41
25-02-2021,3.63853326,4.23670724,3.62902744,3.64810897,7521324.37,261927657.7
24-02-2021,3.25876756,3.64029505,3.06900511,3.62686188,5593180.3,259819781.29
23-02-2021,3.6382161,3.6597559,2.5003885,3.24679703,3425624.34,232124560.74
22-02-2021,4.20615017,4.20615017,2.98101835,3.64076802,5900894.17,259713593.14
21-02-2021,4.11082264,4.32115597,4.01418231,4.2030584,4115388.62,299182147.26
20-02-2021,4.55367113,4.57624391,3.88083404,4.09930951,159797.1,291175837.64
19-02-2021,4.20805591,4.64808461,4.0369077,4.55296475,1829098.06,322684111.03
18-02-2021,4.09447919,4.2869493,3.93335738,4.19803037,6873261.79,296831860.63
17-02-2021,4.13237841,4.23885994,3.82572997,4.09221289,6330761.16,288662214.36
16-02-2021,3.91552041,4.68082686,3.78589675,4.13246632,1758974.94,290815606.51
15-02-2021,4.59487746,4.90968243,3.72627322,3.91535099,1071412.62,274885855.53
14-02-2021,4.3927102,5.14805726,4.16229465,4.60688813,10753145.88,322975136.67
13-02-2021,4.59627177,4.78594428,4.11706608,4.39449123,4749655.77,307447294.62
12-02-2021,4.07711067,4.80688228,3.859919,4.55443381,961523.63,317883083.94
11-02-2021,3.68630242,4.25649375,3.57498644,4.08002176,2800338.39,284129558.85
10-02-2021,3.93949496,4.12112565,3.46153301,3.68822745,2710157.67,256239647.89
09-02-2021,3.7142923,4.05348396,3.58419446,3.94340289,1582031.45,273474462.71
08-02-2021,3.39472226,3.8554144,3.21190055,3.68736985,1529642.1,255146142.34
07-02-2021,3.64936952,3.85558239,3.14648507,3.39475594,1501812.89,234413061.57
06-02-2021,3.14802056,3.9395668,2.79186941,3.6626355,1088506.73,252376091.51
05-02-2021,2.79709659,3.18148489,2.77772417,3.1499405,4547052.09,217050606.34
04-02-2021,2.64145635,2.91196768,2.47544814,2.81962787,6124170.3,193855784.01
03-02-2021,2.35618442,2.71334199,2.34019216,2.64123268,3538495.93,181237155.54
02-02-2021,2.37013534,2.4581532,2.29614019,2.36007373,1919140.15,161607830.37
01-02-2021,2.26367893,2.55770559,2.17715079,2.37564632,4135176.41,162321837.01
31-01-2021,2.33281256,2.5690768,2.23178913,2.26367449,3930528.84,154342454.12
30-01-2021,2.29547179,2.37309851,2.17369147,2.33186085,1043238.8,158714106.11
29-01-2021,2.40913447,2.50433118,2.07823214,2.30411546,5402142.36,156540879.26
28-01-2021,2.06718154,2.57174968,2.02447946,2.4885725,8644520.4,168749697.62
27-01-2021,2.03245133,2.14357542,1.83603694,2.06878173,3777755.88602163,140026332.97902915
26-01-2021,2.09835579,2.25606729,1.88118841,2.03597461,5910379.97891041,137661040.96751723
25-01-2021,1.76422061,2.18540527,1.76345048,2.0982912,8386820.8506768,141606431.76524732
24-01-2021,1.81710025,1.82899651,1.66833329,1.76421218,532677.61386999,118846787.54962768
23-01-2021,1.61501692,1.83095786,1.60412105,1.80833332,1044558.88679414,121556528.34569436
22-01-2021,1.46846571,1.68351578,1.40172209,1.62136768,2455938.24673391,108733161.00129631
21-01-2021,1.75119298,1.75873076,1.46550099,1.46762476,2443134.82531428,98182291.90483181
20-01-2021,1.81729286,1.90265241,1.61242061,1.74927601,2717086.91253228,116758840.63167296
19-01-2021,1.71107969,1.96991981,1.67480711,1.82415702,3457443.12887275,121484996.26735692
18-01-2021,1.71360807,1.82314977,1.63267893,1.71166609,2971552.02712663,113731905.59259164
17-01-2021,1.53344482,1.76062403,1.39607524,1.71359968,4978218.39167934,113609813.33327153
16-01-2021,1.54614216,1.75096928,1.48662294,1.53281412,3199642.91705142,101391936.74883002
15-01-2021,1.42968269,1.56165569,1.39695724,1.54622199,2572500.32568499,102066025.82659194
14-01-2021,1.40513906,1.43352511,1.33766566,1.43071975,1053967.41764519,94209702.73266886
13-01-2021,1.30904275,1.40919783,1.26515972,1.4014373,1035492.76780929,92057322.99167441
12-01-2021,1.26833633,1.37967524,1.25382278,1.32123097,453986.8744308,86575085.36506477
11-01-2021,1.45229953,1.45229953,1.18150922,1.26794901,1737671.33986727,82882530.3046226
10-01-2021,1.53787346,1.60247945,1.33426527,1.45234445,2434657.6296303,94713502.95994446
09-01-2021,1.42660876,1.61235871,1.40175776,1.53804315,2156817.3555496,100075051.92440815
08-01-2021,1.38920827,1.43866362,1.28454917,1.42668561,1361768.330298,92607985.93559363
07-01-2021,1.50145888,1.5093649,1.36717011,1.3895523,871408.37430648,89975964.37550959
06-01-2021,1.47750664,1.60844379,1.35725252,1.5014803,2301888.78822621,97000448.92821358
05-01-2021,1.3430038,1.47750372,1.31993547,1.47750372,1360042.45069702,95236375.34812404
04-01-2021,1.30810928,1.45186508,1.29084334,1.34301637,439385.79034648,86348903.91844323
03-01-2021,1.29213148,1.34326362,1.2408711,1.30878333,1182058.91923106,83964728.15172327
02-01-2021,1.35668328,1.39556399,1.27133753,1.29051023,847257.51945669,82600203.5475952
01-01-2021,1.29535232,1.42137178,1.2856035,1.3566573,358940.59543788,86615259.05181742
31-12-2020,1.2658432,1.342599,1.2358672,1.29541058,459062.65653996,82507666.49469092
30-12-2020,1.27901878,1.33111394,1.23404438,1.26576461,676581.6994249,80456752.0568122
29-12-2020,1.42706946,1.45204488,1.22975345,1.27902167,902923.1199709,81109675.0034738
28-12-2020,1.33819698,1.47754511,1.32680011,1.42690051,1172548.10447857,90264920.44828282
27-12-2020,1.44388989,1.61916015,1.29648361,1.33845266,2236799.81827045,84489674.91832478
26-12-2020,1.27318493,1.44399986,1.25939757,1.44399986,1189157.73485805,90980171.48325588
25-12-2020,1.37445949,1.39279393,1.24968159,1.27757849,506714.85075375,80334304.34113452
