Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,2.51844921,2.68342554,2.4497501,2.56957895,111486327.93,1535466044.07
14-04-2021,2.57680768,2.58388957,2.36600226,2.52993401,102975370.17,1511443243.15
13-04-2021,2.66461758,2.67695993,2.50424799,2.57463386,121871579.45,1537809636.95
12-04-2021,2.58375939,2.84574444,2.49742833,2.6707447,190497392.1,1594867904.55
11-04-2021,2.55763481,2.61549237,2.44905152,2.57977024,88535755.39,1540205106.81
10-04-2021,2.63645069,2.76685492,2.47038783,2.55797443,116431805.26,1526858493.54
09-04-2021,2.48790071,2.71320676,2.48459955,2.63888409,130692557.98,1574809452.29
08-04-2021,2.31859231,2.54354618,2.29988015,2.48814562,118811136.29,1484529647.77
07-04-2021,2.49181459,2.54335302,2.20536653,2.31163122,157437187.63,1378913218.53
06-04-2021,2.53921792,2.6378524,2.36624872,2.49463931,186670653.75,1487754230.55
05-04-2021,2.67628261,2.75700444,2.50368402,2.53975625,149969046.74,1514335723.51
04-04-2021,2.5287283,2.76574938,2.49279009,2.67654704,122508209.69,1595550072.99
03-04-2021,2.81076227,2.81149593,2.48029159,2.52920988,175888917.85,1507391138.02
02-04-2021,2.88225459,2.89170274,2.69944375,2.80761251,196822833.58,1672958228.5
01-04-2021,3.11712299,3.11847493,2.83169178,2.88474632,214604237.69,1718546398.01
31-03-2021,2.70692438,3.25619956,2.70636157,3.1198189,517399264.9,1858184732.98
30-03-2021,2.59446699,2.91012278,2.55701014,2.71811065,258448036.37,1618574061.26
29-03-2021,2.39159603,2.70570238,2.28986569,2.59552144,262563055.76,1545238309.47
28-03-2021,2.20699981,2.69935813,2.20699981,2.38597626,393205760.87,1420176638.66
27-03-2021,2.0604541,2.28820565,1.99733918,2.20596632,191336711.37,1312746627.26
26-03-2021,1.84371327,2.06875778,1.84258547,2.05774529,108363003.21,1224304471.98
25-03-2021,1.94627329,1.95216092,1.78189398,1.84437626,117156697.13,1097115995.69
24-03-2021,1.91040909,2.20416727,1.87844655,1.92938485,228960778.93,1147432572.99
23-03-2021,1.87503058,1.9362145,1.78711645,1.91160973,114265475.94,1136613590.9
22-03-2021,1.95295108,2.03564602,1.85846221,1.87540508,97687156.99,1114723485.07
21-03-2021,1.93536179,1.98762956,1.85378072,1.95107698,88014018.27,1159450145.96
20-03-2021,1.98783875,2.15410981,1.93310739,1.93560505,123339691.25,1150006138.32
19-03-2021,1.88371843,2.08259299,1.83924366,1.98837082,128826743,1181145932.58
18-03-2021,1.89727286,2.00191321,1.85086523,1.88311578,137996518.16,1118378808.78
17-03-2021,1.93199648,1.95749826,1.79899046,1.89646085,133091213.52,1126058793.32
16-03-2021,1.95949644,2.03748062,1.80638675,1.93175884,202969204.24,1146770130.86
15-03-2021,1.75456173,2.14127118,1.60770388,1.96898263,344462975.76,1168611309.22
14-03-2021,1.84448611,1.84448611,1.73886716,1.75528093,73601263.24,1041538095.54
13-03-2021,1.80328327,1.86984219,1.7041942,1.8472238,98887629.42,1095853080.36
12-03-2021,1.89220823,1.89750332,1.7502077,1.80270839,103633176.32,1069215565.54
11-03-2021,1.86268033,1.96061504,1.81665381,1.89260562,125648612.45,1122290000.51
10-03-2021,1.98901049,1.98901049,1.80470485,1.86236973,110717287.66,1104115973.23
09-03-2021,1.8959704,2.04974305,1.840212,1.989222,214488523.3,1179060678.53
