Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,16.76277774,16.78479999,15.67991848,15.78496403,61042283.73,1264669818.81
14-04-2021,16.09762504,17.78730884,16.09762504,16.75701629,102425972.73,1342549322.03
13-04-2021,18.52108836,18.95302746,15.6644028,16.14833276,122510400.31,1293782426.45
12-04-2021,18.77687235,19.89254794,17.58439441,18.56162385,131391023.73,1487132021.91
11-04-2021,17.72907318,19.21599714,15.32292377,18.77958999,174845605.61,1504595171.88
10-04-2021,17.16573457,20.00289811,16.06436407,17.76972251,230590133.59,1423685965.3
09-04-2021,13.78730577,17.49219427,12.64537043,17.08353438,199788048.92,1368709507.12
08-04-2021,10.51692753,14.00674713,10.3725004,13.8153529,102814291.69,1106867257.67
07-04-2021,11.17167543,12.74858939,8.57946167,10.63072462,177319434.13,851719177.12
06-04-2021,9.40300922,11.48504461,8.54334973,11.14550134,101382298.56,892962387.34
05-04-2021,7.48336734,9.39946288,6.97563993,9.39946288,79987084.28,753072163.96
04-04-2021,6.48793459,7.50722972,6.24396606,7.47614164,30362699.58,598978285.6
03-04-2021,7.23414094,7.51753842,6.28675882,6.50560763,36675475.62,521220422.39
02-04-2021,6.46903102,7.40816612,6.19991232,7.23686152,50365094.51,579807488.74
01-04-2021,5.25712016,6.59577694,5.25374951,6.57205311,40934246.78,526543943.64
31-03-2021,5.20082749,5.26355755,4.93440988,5.26022694,13367660.82,421442218.31
30-03-2021,5.11734589,5.26702715,5.05238045,5.20042658,11056498.22,416651094.39
29-03-2021,4.93523921,5.18852908,4.8818916,5.11430882,12358683.97,409751457.26
28-03-2021,4.89747285,5.00729913,4.82274236,4.93570574,10416968.99,395442021.34
27-03-2021,4.97301283,5.02038189,4.78020796,4.91556417,12443456.04,393828305.97
26-03-2021,4.40103399,4.97259031,4.3962527,4.97259031,13020411.28,398397163.04
25-03-2021,4.57765914,4.57899265,4.2164858,4.39955882,15165427.24,352486660.74
24-03-2021,4.89781271,5.12446151,4.12568038,4.57841458,21783019.57,366816340.07
23-03-2021,4.93489221,5.10365803,4.75284799,4.89603178,13179192.25,392263397.57
22-03-2021,5.03578208,5.265003,4.8699264,4.93402188,15638343.16,395307112.64
21-03-2021,4.92341362,5.21062774,4.74903162,5.03301317,14227844.93,403238160.28
20-03-2021,4.96337088,5.29232418,4.89974004,4.93111082,17006092.86,395073883.02
19-03-2021,4.73322756,5.12126342,4.64512752,4.96871273,15814270.85,398086496.67
18-03-2021,4.79896697,4.98685721,4.68682328,4.7390613,13637047.45,379687137.01
17-03-2021,4.63124833,4.80123984,4.53538886,4.80123984,10427533.17,384668796.67
16-03-2021,4.60902394,4.71438667,4.40670238,4.63177097,14362455.13,371091181.95
15-03-2021,4.81056759,4.93755855,4.56864324,4.61941012,15484973.54,370100847.4
14-03-2021,5.22261622,5.22261622,4.76680406,4.81194975,15099880.6,385526860.31
