Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,2.77880383,3.22118139,2.72055663,2.84798435,178256330.96,6991364873.35
14-04-2021,2.90604428,2.91092624,2.58420695,2.787705,146680432.2,6842605848.57
13-04-2021,2.97707878,3.00837985,2.77009978,2.89468822,103219091.68,7086367930.72
12-04-2021,3.03569359,3.0555147,2.46763244,2.98209742,98027545.36,7300350823.55
11-04-2021,3.07047677,3.20738089,2.91361733,3.04014978,98622576.41,7442466414.03
10-04-2021,3.24648483,3.26764144,3.03953064,3.06835664,90458276.11,7511518494.76
09-04-2021,3.24685708,3.3050512,3.16071072,3.24647788,109367165.22,7947569824.49
08-04-2021,3.21389126,3.30795334,3.11077778,3.24698891,122762505.48,7948820856.44
07-04-2021,3.51753309,3.52337542,3.00587521,3.21422833,178064194.17,7868621018.51
06-04-2021,3.30735738,3.55938021,3.17443331,3.50237099,401743613.8,8574011277.97
05-04-2021,3.80909919,3.81328456,3.21674064,3.30656573,342502743.86,8094668427.79
04-04-2021,3.77054911,4.06328256,3.6895298,3.81555226,459654284.92,9340697542.09
03-04-2021,4.04767348,4.11329511,3.62972696,3.756625,469344040.06,9196440119.15
02-04-2021,4.08336603,4.38245456,3.77158804,4.03687773,506225986.94,9882515378.49
01-04-2021,4.10530844,4.21833705,4.01381542,4.08343942,543970797.36,9996501148.11
31-03-2021,4.25158549,4.2684664,3.99597701,4.11423755,340452138.39,10071896808.95
30-03-2021,4.25967413,4.3552312,4.07801517,4.24521285,300708694.37,10392532066.5
29-03-2021,3.71898915,4.2832703,3.7176737,4.25994813,276313425.87,10428604925.18
28-03-2021,3.411842,3.7250426,3.37932746,3.71955938,215136653.88,9105701308.76
27-03-2021,3.27692606,3.46049584,3.13513664,3.41166582,318563133.05,8351959659.51
26-03-2021,2.82790833,3.3081007,2.82307906,3.28777562,182742869.47,8048669130.56
25-03-2021,2.91460951,2.98093714,2.78883665,2.82849108,106863456.42,6924313424.06
24-03-2021,2.99011263,3.06963287,2.85434844,2.91627681,155932190.82,0
23-03-2021,2.99375255,3.04906406,2.68939862,2.98331502,151667835.96,0
22-03-2021,3.10397314,3.10742395,2.97232096,2.99544356,100874334.42,0
21-03-2021,3.05403872,3.15157784,2.98957078,3.09992571,108070158.24,0
20-03-2021,3.15575046,3.18585644,3.04586353,3.04722559,80704605.36,0
19-03-2021,3.12033895,3.24955081,3.09174143,3.15534018,126213848.4,0
18-03-2021,3.26278154,3.29199275,3.12613332,3.12613332,82794998.57,0
17-03-2021,3.23762725,3.33443546,2.79793291,3.26293922,241709414.19,0
16-03-2021,3.33473668,3.441736,3.08760371,3.2341611,241194831.2,0
15-03-2021,2.76452177,3.43889365,2.55698294,3.34613008,410055810.88,0
14-03-2021,2.51940987,2.80444546,2.48696861,2.76535363,150066124.56,0
13-03-2021,2.38390517,2.6271509,2.30292807,2.52217346,187576565.56,0
12-03-2021,1.79405423,2.39778357,1.78545614,2.33080898,102314240.75,0
11-03-2021,1.73406784,1.84539137,1.64173889,1.79386268,107095489.25,0
10-03-2021,1.60678247,1.73046579,1.57417635,1.73046579,86187915.19,0
09-03-2021,1.58416939,1.61159352,1.56824155,1.60515939,52265931.07,0
08-03-2021,1.59000503,1.60578676,1.51551595,1.58464541,46789851.43,0
07-03-2021,1.56003967,1.62687265,1.54391556,1.59445245,83367289.59,0
06-03-2021,1.41715551,1.5693946,1.41571719,1.56057268,67417205.77,0
05-03-2021,1.41708577,1.42830989,1.38680422,1.41804816,36618968.79,0
04-03-2021,1.46332228,1.47287641,1.40683254,1.41708789,38067864.15,0
03-03-2021,1.46605467,1.50543419,1.39240599,1.46130353,55246722.01,0
02-03-2021,1.51470704,1.54508324,1.41821836,1.46485875,50383628.93,0
01-03-2021,1.38254329,1.51352078,1.32823293,1.49758398,67480112.89,0
28-02-2021,1.50474698,1.5052392,1.23160604,1.36858196,112214957.02,0
27-02-2021,1.52256675,1.54288438,1.49360916,1.50325401,34992368.38,0
26-02-2021,1.5262601,1.56111028,1.48736565,1.52256242,59953606.8,0
25-02-2021,1.6389814,1.6477886,1.52747006,1.52766049,76093738.27,0
24-02-2021,1.63904837,1.73475126,1.54788774,1.63888687,114051547.62,0
23-02-2021,1.83651381,1.84861978,1.3840518,1.63420159,252862123.59,0
22-02-2021,1.4323271,1.84697551,1.40686812,1.8387947,264866829.22,0
21-02-2021,1.33664125,1.45799112,1.28005335,1.43221204,77118850.34,0
20-02-2021,1.16040651,1.44747467,1.16040651,1.33675083,118266844.1,0
19-02-2021,1.23769461,1.24820548,1.12813639,1.16064643,60300629.9,0
18-02-2021,1.13772865,1.35380504,1.02626803,1.23379571,154010102.86,0
17-02-2021,0.74435326,1.19046384,0.73605216,1.13794077,138487145.16,0
16-02-2021,0.64931968,0.76291631,0.64764326,0.76291631,33642059.29,0
15-02-2021,0.65465675,0.66588981,0.62191591,0.64945568,22023766.75,0
14-02-2021,0.6513498,0.67837241,0.63603835,0.65528947,25274812.46,0
13-02-2021,0.60547165,0.65347406,0.60326557,0.65236241,25921627.01,0
12-02-2021,0.60026249,0.61054459,0.58876278,0.60465945,13536727.66,0
11-02-2021,0.59772546,0.60336849,0.58865432,0.59985504,12760346.51,0
10-02-2021,0.56619161,0.60294014,0.56453184,0.59762718,21074724.12,0
09-02-2021,0.54704878,0.57456275,0.54509489,0.5661257,18001909.34,0
08-02-2021,0.54612772,0.54938761,0.54049248,0.5472466,11992830.8,0
07-02-2021,0.55109646,0.5525811,0.53985437,0.54613963,9812559.45,0
