Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,3.40333557,3.64431539,3.30739946,3.60433315,18158871.07,451605313.87
14-04-2021,3.7333802,3.7333802,3.17999953,3.39930368,23488742.74,425888014.52
13-04-2021,3.58571439,3.81417249,3.43847372,3.70581956,26586390.8,464259457.84
12-04-2021,3.74461534,3.74461534,3.48613607,3.57953165,41383626.05,448415430.83
11-04-2021,3.92363671,3.94141035,3.49176164,3.74503807,22539382.22,469112175.18
10-04-2021,4.27352968,4.33852919,3.69974976,3.8970248,34390212.64,488106529.51
09-04-2021,4.7074507,4.7074507,4.09565657,4.28500595,81186788.34,536651024.38
08-04-2021,3.90405498,4.70764396,3.46582697,4.70764396,220978298.63,589519263.55
07-04-2021,2.58261227,3.91874081,2.57206396,3.84464702,241442452.06,481318045.94
06-04-2021,2.69440867,2.69741603,2.4647037,2.59506754,35147631.39,324846784.03
05-04-2021,2.80331117,2.932393,2.61625976,2.68826842,44035217.58,336473052.9
04-04-2021,2.67180019,2.81774206,2.61991801,2.79861479,27875876.09,350191881.86
03-04-2021,2.93201073,3.13793079,2.63648474,2.6719445,45236306.17,334135982.7
02-04-2021,2.8244968,2.98550836,2.70011299,2.93221973,36209517.54,366634221.71
01-04-2021,2.8096706,2.95949841,2.70354054,2.83149596,34229710.4,354011400.59
31-03-2021,2.8647239,2.90797307,2.61798322,2.80835488,43364044.09,351066439.89
30-03-2021,2.60805676,3.17129228,2.55562426,2.87174749,140020878.16,358783635.74
29-03-2021,2.23085378,2.76483489,2.12257624,2.60971972,88689005.38,325987492.2
28-03-2021,2.22410146,2.54147866,2.13783322,2.22951992,62206971.87,278469947.76
27-03-2021,1.93643229,2.26142037,1.9023529,2.22309975,38936917.15,277632343.25
26-03-2021,1.7599362,1.96874716,1.74796037,1.9336815,18640225.83,241472135.41
25-03-2021,1.87960377,1.9066474,1.69703203,1.75824536,16277387,219542642.03
24-03-2021,2.24472711,2.24847559,1.87853921,1.88768224,25969499.95,235692725.88
23-03-2021,1.85643354,2.30663262,1.76004989,2.24916475,79725558.93,280807212.15
22-03-2021,1.75923861,2.02943295,1.75553311,1.8462276,47843839.91,230486695.53
21-03-2021,1.71540036,1.768186,1.66036232,1.76112635,16134431.72,219844251.25
20-03-2021,1.79235127,2.0250963,1.71511525,1.71511525,32376861.5,213975301.56
19-03-2021,1.85030309,1.87993936,1.74918526,1.79637318,21287331.56,224088156.06
18-03-2021,1.54125742,1.96813713,1.54125742,1.84441353,93571181.23,230069348.42
17-03-2021,1.47122306,1.5478208,1.39566882,1.54116464,16993343.64,192221478.37
16-03-2021,1.44987123,1.47394081,1.36452185,1.46979677,7791805.24,183310406.28
15-03-2021,1.46846677,1.49988077,1.32656772,1.449045,8356032.67,180713785.08
14-03-2021,1.51316553,1.51896339,1.43751575,1.46838171,11090990.49,183117052.72
13-03-2021,1.4665236,1.51711565,1.40562921,1.51518533,5301034.41,188938665.06
12-03-2021,1.46715962,1.49928446,1.39444702,1.46519683,6239746.6,182695056.14
11-03-2021,1.47546695,1.4917729,1.4007687,1.46522586,4751118.28,182690047.93
10-03-2021,1.55872564,1.55872564,1.44675876,1.48163042,8130456.04,184714845.65
09-03-2021,1.5089712,1.55471241,1.47045761,1.55471241,14573602.93,193802515.51
08-03-2021,1.50910407,1.52805043,1.44400575,1.51000162,10380334.53,188217907.77
07-03-2021,1.5376894,1.5376894,1.45501713,1.50465806,7924112.15,187539376.12
06-03-2021,1.38373805,1.53761161,1.37651992,1.53144466,14102668.68,190865000.34
05-03-2021,1.36321057,1.39767805,1.27051607,1.38317825,5537815.49,172366491.83
04-03-2021,1.40577435,1.45808087,1.31185118,1.36177348,7388076.21,169608981.79
03-03-2021,1.28511434,1.43187724,1.25718542,1.40808253,13950388.77,175360598.71
02-03-2021,1.29606919,1.31426592,1.20247319,1.28295289,11102645.14,159737182.05
01-03-2021,1.21850221,1.30714443,1.21016557,1.30194305,9300225,162086128.48
28-02-2021,1.30989112,1.35237023,1.12724058,1.21656032,16618693.4,151442687.28
27-02-2021,1.23465613,1.35785955,1.22117629,1.31012711,7760086.33,163065698.09
26-02-2021,1.26667665,1.29132208,1.15906718,1.23451969,9527412.24,153639100.56
25-02-2021,1.22469025,1.45108788,1.22227234,1.25580205,27435229.65,156266890.7
