Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,2.17438781,2.2586192,2.16967159,2.25449826,10514467.84,2253368509.93
14-04-2021,2.13061358,2.17721224,2.10850947,2.17415798,5946624.4,2173068498.94
13-04-2021,2.1152195,2.16841187,2.11384291,2.13316542,2838328.35,2132096472.42
12-04-2021,2.11525708,2.15263134,2.10944663,2.11584645,3362460.49,2114786181.54
11-04-2021,2.10865807,2.14746433,2.10865807,2.11551205,2872419.33,2114451951.8
10-04-2021,2.09655248,2.13956362,2.08618056,2.1109442,2867659.98,2109886393.28
09-04-2021,2.09977625,2.11334429,2.08473955,2.09503305,2580102.37,2093983211.17
08-04-2021,2.07276135,2.11914252,2.06827163,2.10012936,2893011.18,2099076969.56
07-04-2021,2.08922964,2.11621432,2.06398266,2.07571196,2800513.09,2074671808.78
06-04-2021,2.02949797,2.09420127,1.99135842,2.09420127,2968779.43,2093151845.88
05-04-2021,2.01818417,2.06191199,1.98310588,2.0234479,2728939.53,2022433931.21
04-04-2021,2.02516094,2.05619775,1.99199138,2.01776586,2628389.06,2016754741.79
03-04-2021,2.03855815,2.05675593,2.00808691,2.02444057,2757202.65,2023426110.48
02-04-2021,2.04685205,2.06648407,2.01769964,2.03835246,2824048.09,2037331024.96
01-04-2021,2.03995528,2.06302409,2.02843309,2.04696395,2936217.6,2045938197.38
31-03-2021,2.06804819,2.09663465,2.03213839,2.03911467,3466137.79,2038092850.45
30-03-2021,2.11395821,2.12888319,2.05038884,2.06811029,3197305.32,2067073948.88
29-03-2021,2.14511493,2.17255219,2.10789094,2.11496914,1011658.5,2113909312.99
28-03-2021,2.15090824,2.18090735,2.11296381,2.15434486,2524678.96,2153265300.1
27-03-2021,2.13666175,2.15670147,2.12299578,2.15123258,3067853.11,2150154583.1
26-03-2021,2.12562793,2.15031987,2.09909438,2.14484027,3576435.27,2143765478.74
25-03-2021,2.10227204,2.15801824,2.08284928,2.11639237,1569651.82,2115331835.22
24-03-2021,2.12332266,2.15940584,2.06872784,2.10209815,2772630.74,2101044775.25
23-03-2021,2.12047831,2.14793257,2.09179093,2.12543093,2631112.29,2124365859.08
22-03-2021,2.12042081,2.15268168,2.08228158,2.12126949,771381.38,2120206504.44
21-03-2021,2.09855283,2.1373833,2.09485129,2.11997395,2852567.13,2118911614.76
20-03-2021,2.12290495,2.13625166,2.09317258,2.1002538,2549584.03,2099201347.02
19-03-2021,2.1165171,2.13585209,2.08936394,2.12441025,2514597.7,2123345691.26
18-03-2021,2.1161751,2.13734509,1.97247304,2.11662263,2918316.24,2115561975.2
17-03-2021,2.05387234,2.13549584,2.04126997,2.11575148,3402160.78,2114691264.07
16-03-2021,2.02608377,2.07863113,1.98750768,2.05385425,2374966.07,2052825045.2
15-03-2021,1.99930658,2.05939516,1.95703769,2.02597459,1769941.21,2024959360.04
14-03-2021,2.00708853,2.0363456,1.94619271,2.00091212,2773690.89,1999909449.76
13-03-2021,1.99766395,2.0995718,1.93895008,2.00149,2313079.66,2000487037.95
12-03-2021,2.05643928,2.09767707,1.94622667,1.99028486,2021189.14,1989287518.38
11-03-2021,2.01555832,2.06888587,2.00800864,2.05608855,581042.1,2055058224.76
10-03-2021,1.99544919,2.02687519,1.95454202,2.01493747,1755778.1,2013927771.92
09-03-2021,1.91615872,1.99530902,1.91356349,1.99530902,1419434.12,1994309157.19
08-03-2021,1.87618659,1.94900904,1.87618659,1.91616127,487591.12,1915201069.2
07-03-2021,1.90862733,1.95481197,1.8424159,1.87654832,1195936.4,1875607970.22
06-03-2021,1.87572547,1.93616931,1.85575721,1.9080221,2069725.31,1907065971.83
05-03-2021,1.90995061,1.91220004,1.84826545,1.87538254,1621834.41,1874442768.99
04-03-2021,1.92291116,1.94082178,1.89399828,1.90937491,938839.08,1908418109.95
03-03-2021,1.9216956,2.04147097,1.91634555,1.91884744,1225062.65,1917885891.46
02-03-2021,2.10396607,2.11693291,1.90654765,1.92144087,2237418.11,1920478017.47
01-03-2021,1.90830672,2.106713,1.90317154,2.10157221,2278009.7,2100519100.39
