Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,1.09508079,1.27616742,1.07309472,1.23837378,508399412.73,1954264670.63
14-04-2021,1.11725931,1.12387705,1.01687744,1.09535095,239131039.13,1728563166.7
13-04-2021,1.12945788,1.14171717,1.04761778,1.11917492,258608419.09,1766161554.35
12-04-2021,1.07391337,1.20144382,1.02747843,1.13091449,494379243.6,1784693122.56
11-04-2021,1.01435987,1.14740354,1.00470425,1.08053422,393604952.5,1705190737.39
10-04-2021,1.03392969,1.04108259,0.97181094,1.01368916,203256567.42,1599704801.25
09-04-2021,0.98953761,1.11772925,0.98953761,1.03329384,368581943.09,1630645878.81
08-04-2021,0.93171175,1.01279708,0.91481598,0.98981539,230827953.44,1562036681.63
07-04-2021,0.96275499,0.97114833,0.83992007,0.93256132,254944898.56,1471686876.46
06-04-2021,1.01063428,1.01449044,0.92239609,0.96444551,241846048.41,1522006132.36
05-04-2021,1.01763053,1.04009503,0.96571137,1.01212648,298860521.79,1597254527.47
04-04-2021,0.95798823,1.02507749,0.93626958,1.01682559,206622601.98,1604675659.92
03-04-2021,1.05054987,1.06807203,0.95395779,0.95741542,305875436.67,1510923809.86
02-04-2021,1.0249526,1.08626171,1.00680269,1.05065354,290180007.05,1658069568.03
01-04-2021,1.02811788,1.075893,1.00586426,1.02492886,327874863.01,1617477764.06
31-03-2021,1.09496382,1.09496382,0.99691893,1.02742616,359155452.85,1621423362.43
30-03-2021,1.09604961,1.13228938,1.05649568,1.0949215,416710940.48,1727942276.55
29-03-2021,1.15376214,1.18244888,1.0566663,1.09346755,663823608.95,1725652878.3
28-03-2021,0.92887447,1.18635925,0.9137421,1.15440026,1111536302.97,1821819321.58
27-03-2021,0.89883371,0.98759329,0.86305067,0.92871553,367611781.37,1465659950.62
26-03-2021,0.82469773,0.91531589,0.82469773,0.89891484,227140450.98,1418640983.11
25-03-2021,0.85758782,0.88516904,0.80934136,0.82461835,262039051.3,1301391747.47
24-03-2021,0.85085577,0.99986566,0.83481149,0.85773842,459378049.52,1353664250.77
23-03-2021,0.92289503,0.92720099,0.82332316,0.85130688,271730784.69,1343522481
22-03-2021,0.98637757,0.98716759,0.89258084,0.92422685,281384501.79,1458609838.27
21-03-2021,0.89798552,1.02818991,0.88912543,0.98618396,401572846.78,1556401551.63
20-03-2021,0.9683962,1.02114169,0.89473304,0.89473304,352831670.08,1412086849.1
19-03-2021,0.98173088,1.02662487,0.94984753,0.96817301,350589378.03,1528000763.57
18-03-2021,1.06409087,1.08237325,0.97143691,0.98208476,638557935.56,1549972725.14
17-03-2021,0.908208,1.07772783,0.77927595,1.06425837,1376197952.63,1679679203.08
16-03-2021,1.05547619,1.07344661,0.84595521,0.90798847,687165740.42,1433060334.56
15-03-2021,1.01989554,1.14091498,0.94203329,1.059028,1131133345.41,1671462206.52
14-03-2021,0.96793383,1.18921382,0.87702394,1.02225064,2484601137.57,1613423411.73
13-03-2021,0.66209754,1.16555153,0.61987625,0.96915661,2866387304.76,1529637145.48
12-03-2021,0.5223716,0.68353052,0.51924175,0.66186084,783983805.46,1044629935.43
11-03-2021,0.48044122,0.56063285,0.47492537,0.52176069,446042200.73,823509454.27
10-03-2021,0.548876,0.56105496,0.48054867,0.48054867,394147148.39,756609633.66
