Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,19.23081841,22.26559627,18.40383718,19.75083024,4226971.88,311941276.8
14-04-2021,22.15753276,24.04423141,17.85684195,19.21037481,5406021.67,303405414.98
13-04-2021,16.3551633,26.81983784,15.21148503,22.16108616,6730518.44,350008451.67
12-04-2021,20.18948404,20.80437934,14.40469491,16.36239675,3444681.33,258424930.55
11-04-2021,16.69231184,25.04142754,15.83968342,20.19131202,6389272.23,318898171.69
10-04-2021,13.56503444,17.9915738,13.21271177,16.6913726,4489248.43,263620719.67
09-04-2021,10.34561318,17.12272209,10.03579245,13.33273901,4195403.64,210575027.9
08-04-2021,9.30314007,14.23850677,9.11797313,10.34844695,3308734.29,163441623.29
07-04-2021,11.76617686,13.44912036,8.34613403,9.30942708,2908134.54,147031518.87
06-04-2021,14.02991151,14.53399843,11.5649741,11.77551837,2683141.62,185980548.15
05-04-2021,19.79832658,19.97342154,12.99619066,13.82061202,6092827.23,218280411.88
04-04-2021,3.67405421,28.5507657,3.67161073,19.88377808,11315956.93,314041032.47
03-04-2021,3.78317032,3.83544523,3.6532889,3.67842622,647910.61,58096442.36
02-04-2021,3.76047627,3.95816558,3.71336532,3.7828474,795867.03,59745652.95
01-04-2021,3.76073494,3.97391045,3.67234358,3.75902794,824088.1,59369452.34
31-03-2021,3.5351412,3.78049255,3.4398112,3.76692004,663179.45,59494098.84
30-03-2021,3.52452437,3.6612248,3.41096645,3.54714387,781692.24,56022991.18
29-03-2021,3.31003218,3.56200806,3.22568332,3.52602847,790344.47,55689498.13
28-03-2021,3.15433941,3.52764416,3.15433941,3.32316078,776568.75,52485440.06
27-03-2021,3.37449168,3.59535458,3.09158711,3.09158711,825577.6,48828004.61
26-03-2021,3.38993577,3.44996278,3.20627297,3.37232744,662475.76,53261970.06
25-03-2021,3.3374054,4.14643792,3.30488105,3.38085097,915582.28,53396589.23
24-03-2021,3.32376966,3.38691869,3.2615336,3.32761948,555980.1,52555860.04
23-03-2021,3.42366168,3.50317142,3.30825213,3.32405767,500650.19,52499605.42
22-03-2021,3.38127115,3.4614526,3.332468,3.41694898,542152.55,53966715.02
21-03-2021,3.35322945,3.45226185,3.31416904,3.38241102,528466.53,53421228.36
20-03-2021,3.43363966,3.46550731,3.33532789,3.35465907,589958.72,52982918.75
19-03-2021,3.3324159,3.48809274,3.31065742,3.43332029,669722.38,54225280.81
18-03-2021,3.31273094,3.41815816,3.27223651,3.32999252,562389.05,52593339.47
17-03-2021,3.32332513,3.44882124,3.23920572,3.30355128,744774.15,52175731.01
16-03-2021,3.45404926,3.50986371,3.238791,3.30954419,441705.21,52270381.97
15-03-2021,3.55140602,3.65489583,2.75436483,3.44593346,532392.23,54424491.04
14-03-2021,3.56669008,3.62645379,3.47963558,3.54879946,406513.96,56049139.24
13-03-2021,3.5521215,3.76304859,3.34468203,3.56458942,569487.66,56298523.21
12-03-2021,0.97176123,5.87346068,0.62077225,3.55002163,476500.58,56068442.04
11-03-2021,1.18509844,1.42152655,0.9717582,0.97176109,0.35,15347830.59
10-03-2021,1.23301233,1.58578765,1.16030212,1.18492039,335.87,18714432.54
09-03-2021,1.22034887,1.48525577,1.14136017,1.2320715,1336.58,19459129.18
08-03-2021,1.49740046,2.07826945,1.03681151,1.2209508,2626.27,19283490.73
07-03-2021,1.2126849,2.08952659,1.2126849,1.4974048,20.76,23649758.48
06-03-2021,3.21759562,3.61844721,1.21337436,1.21357318,151.66,19166969.9
05-03-2021,3.35576746,3.56252159,2.0123214,3.22565596,820057.76,50945465.47
04-03-2021,3.28946179,3.86869191,2.55631081,3.34754035,661375.5,52870486.83
03-03-2021,3.08519461,3.7815016,2.71829015,3.289515,720729.26,51954044.37
02-03-2021,2.91350872,3.44524266,2.81698591,3.07837178,844146.27,48619283.89
01-03-2021,2.76953241,3.24345564,2.72648376,2.94624492,533024.42,46532494.58
28-02-2021,2.79630151,2.82390269,2.7086648,2.76368125,284935.93,43649114.81
27-02-2021,2.74512804,2.81843278,2.70811001,2.79661368,297004.81,44169244.18
26-02-2021,2.74006252,2.8732187,2.70212349,2.76499123,433987.4,43669804.43
25-02-2021,2.86814443,2.88580619,2.72125777,2.74169391,357283.41,43301850.51
24-02-2021,2.89129981,2.96101062,2.75434557,2.87529078,329249.89,45411856.89
23-02-2021,3.29874984,3.29877056,2.69925554,2.87670004,619905.09,45434114.55
22-02-2021,3.31571624,3.32312799,3.08144326,3.29891622,469777.47,52102525.61
21-02-2021,3.24127041,3.87445053,2.74560896,3.31395568,751438.98,52340056.29
20-02-2021,3.30472619,3.50662633,2.84453771,3.23928978,550526.87,51160795.58
19-02-2021,3.91714361,4.10849814,3.17656499,3.30489964,781057.85,52197026.63
18-02-2021,3.51036666,5.91098289,3.50083376,3.91381608,583579.22,61814150.19
17-02-2021,3.03297435,3.67682867,2.98055463,3.51030682,533768.1,55441193.03
16-02-2021,3.13610511,3.26809215,2.8676936,3.03174815,459332.98,47882918.14
15-02-2021,3.24351948,3.41070771,2.65960577,3.1471661,657662.28,49705809.83
14-02-2021,3.16895822,3.36392242,3.09076333,3.24433869,398697.63,51240537.29
13-02-2021,3.027542,3.33074917,2.75529996,3.16903539,425214.2,50051209.71
12-02-2021,2.85034447,3.14378914,2.81871452,3.00855387,321304.26,47516591.64
11-02-2021,2.79180862,2.84530763,2.6812974,2.8363143,231858.15,44796269.06
10-02-2021,2.85082274,2.97840298,2.78300126,2.78990226,313371.43,44063245.14
09-02-2021,2.69235647,2.91210808,2.65917195,2.85069359,332585.81,45023373.05
08-02-2021,2.63947454,2.9013597,2.61508538,2.67311656,457315.84,42218751.42
07-02-2021,2.73354197,2.88758263,2.53868361,2.64152389,442640.95,41719782.13
06-02-2021,2.69305092,2.87425635,2.6553869,2.73187231,429330.84,43146729.83
05-02-2021,2.66637299,2.76176305,2.63947162,2.68907755,308092.35,42470836.57
04-02-2021,2.73322659,2.75144548,2.65100307,2.69461417,328919.92,42558281.01
03-02-2021,2.7307839,2.93365768,2.64649739,2.73029376,550361.94,43121798.44
02-02-2021,2.7495292,3.27092481,2.67767937,2.72742692,544387.58,43076520.1
01-02-2021,2.77316523,2.89312742,2.69363511,2.74976064,455023.06,43429255.1
31-01-2021,2.65964185,2.95292121,2.54950734,2.76651545,703085.86,43693877.67
30-01-2021,2.56319215,2.72529949,2.45555415,2.65879241,545199.13,41992518.23
29-01-2021,2.68947801,2.75930662,2.39958492,2.54970748,500205.36,40269649.35
28-01-2021,2.57721283,2.79684968,2.50395578,2.59845151,673527.73,41039504.22
27-01-2021,2.68740603,2.8949012,2.49057429,2.57171888,797965.2280648,40617293.67950213
26-01-2021,2.767841,2.90939293,2.50844096,2.68873941,785266.52709601,42465496.149026
25-01-2021,3.30248025,3.674457,2.46866816,2.83645421,1098086.67546793,44798478.71852383
24-01-2021,3.0767732,3.75518922,2.98208311,3.30296798,767910.13986629,52166518.3892549
23-01-2021,3.0160361,3.2615888,2.61670448,3.07655314,540073.94004874,48590560.62685927
22-01-2021,2.63029644,3.31097726,2.56230272,3.01610584,362722.74742338,47635866.13394179
21-01-2021,2.69811198,2.81172769,2.56134246,2.62780194,160176.10295995,41503059.97011971
20-01-2021,2.71064361,2.78348561,2.44113531,2.69834876,1073516.16629429,42617264.53237733
19-01-2021,2.82011058,2.82501818,2.66555023,2.73655573,311949.28203913,43220699.00022222
18-01-2021,2.7665172,2.85212976,2.72910253,2.82157849,267100.62704494,44563534.10561288
17-01-2021,2.81224219,2.83957553,2.75918145,2.75938444,229210.37055184,43581251.80723541
16-01-2021,2.76903016,2.82776026,2.6681489,2.81309623,367986.9642106,44429566.6730315
15-01-2021,2.82809729,2.83233755,2.71851936,2.76094246,457444.792215,43605858.87296823
14-01-2021,2.82826144,2.83342537,2.67938611,2.82812709,15214062.6114342,44666961.58246158
13-01-2021,2.64375472,2.83988069,2.6107594,2.82789511,28756601.27555471,44663297.70401713
12-01-2021,2.62648937,2.83401033,2.53110603,2.67126362,39355090.27526859,42189486.41912638
11-01-2021,2.59727767,2.84230335,2.42867157,2.63534068,41935709.26301413,41622125.62640761
10-01-2021,2.69526461,2.88717952,2.47315542,2.59769137,28187347.79976953,41027498.79805492
09-01-2021,2.7137412,2.81056458,2.49778628,2.68430574,27028781.50972129,42395471.4820813
08-01-2021,2.74464203,2.93233442,2.48723987,2.71796742,32321139.80949556,42927118.31485061
07-01-2021,2.35590402,2.8351996,2.3345408,2.75914952,35129113.42261559,43577541.5600155
06-01-2021,2.42955339,2.65797069,2.29207116,2.35790848,22241297.45555108,37240408.19799638
05-01-2021,2.44192321,2.60934064,1.96982248,2.36619947,16986130.38400168,37371354.80347586
04-01-2021,2.48626972,2.56758908,2.13785025,2.3915375,7857632.47599167,37771539.31601033
03-01-2021,2.34788936,2.50753703,2.22518923,2.48442285,12181706.81189013,39238554.86417786
02-01-2021,2.62718405,2.67955963,2.2942879,2.34794994,18920420.34389379,37083124.71666601
01-01-2021,2.30076833,2.78755063,2.22750219,2.63287529,23618922.37303236,41583187.63397327
31-12-2020,2.25438564,2.5326654,2.12096623,2.33220675,16571564.43204713,36834479.45679686
30-12-2020,2.34101314,2.43599232,2.16606088,2.28593004,13386382.56876094,36103593.00176548
29-12-2020,2.36743394,2.49731686,2.2132905,2.34105264,16453619.45423904,36974189.93388974
28-12-2020,2.51837311,2.61641962,2.30489445,2.36749381,26379708.54083613,37391797.32661134
27-12-2020,2.86552316,2.87863666,2.23531015,2.500316,39354830.57714211,39489568.552594
26-12-2020,2.58336541,3.22330265,2.25337255,2.84590827,42835454.92178645,44947794.51195437
25-12-2020,2.32858642,2.67032651,2.21580365,2.57571092,58429041.08916166,40680343.27757584
24-12-2020,2.29705232,2.52486983,2.09216705,2.32086658,84169372.19103356,36655374.81306738
23-12-2020,2.57996364,2.70067119,2.28940691,2.31796036,42545921.81826919,36609474.42631736
22-12-2020,2.59960108,2.68788468,2.50014031,2.58709964,22476587.45918233,40860214.78396368
21-12-2020,2.67913799,2.69927344,2.51722826,2.59976013,17812814.88611779,41060172.42283723
20-12-2020,2.77988403,2.77988403,2.66876459,2.67925643,15689670.4333299,42315723.52942559
19-12-2020,2.83139519,2.93087817,2.62409543,2.76812591,1620320.86532401,43719313.00367001
18-12-2020,2.82028075,2.85336825,2.7561971,2.81699482,1137817.6123625,44491140.37069468
17-12-2020,2.78081932,2.87571559,2.72830225,2.82046144,17062885.64006492,44545891.54889228
16-12-2020,2.83195117,2.84098378,2.65195066,2.78065165,13682503.1590517,43917142.51578221
15-12-2020,2.87351918,2.9445883,2.81105015,2.82274052,11050397.05627367,44581886.96367221
14-12-2020,2.88336033,3.04002968,2.78595131,2.87344518,14370954.04927756,45382707.90056904
13-12-2020,2.7517353,2.90654537,2.72217699,2.89242454,8613069.15112833,45682464.68341673
12-12-2020,2.5754485,2.77812883,2.5754485,2.7613007,21417679.80970773,43611516.87950834
11-12-2020,2.7878193,2.83681846,2.42398215,2.6032843,32029200.91249031,41115832.48172574
10-12-2020,2.76021737,2.93607314,2.30003577,2.79402756,31499312.02044228,44128399.41617424
09-12-2020,2.91272458,2.98002051,2.54161038,2.7417152,46257364.23933263,43302186.70465753
08-12-2020,3.18327524,3.35451699,2.80455004,2.88637403,21307851.21934821,45586903.90317958
07-12-2020,2.49302177,3.83957938,2.49259079,3.21225386,74363454.93330638,50733794.8956022
06-12-2020,2.44177279,2.50409891,2.33504405,2.49293334,22911592.53548162,39372968.06930748
05-12-2020,2.39149914,2.54369571,2.30705536,2.4554531,49591733.96808213,38781011.5267284
04-12-2020,2.42048259,2.61314717,2.30556579,2.40051392,15128292.03576939,37913311.46490015
03-12-2020,2.39285715,2.48917811,2.30288272,2.42909308,42571091.82925288,38364685.85125768
02-12-2020,2.6718413,2.7573473,2.15148377,2.39077629,44865553.2744938,37759516.97279874
01-12-2020,2.78104226,2.99708949,2.62862386,2.6718112,26052068.67684691,42198134.84265191
30-11-2020,2.80361178,2.84466339,2.64616438,2.76675795,35405046.34131216,43697707.7238586
29-11-2020,2.61080008,2.82295451,2.60969644,2.81275305,20242256.06401379,44424146.62686526
28-11-2020,2.61080516,2.88688697,2.60024113,2.61077624,20425454.39765021,41234158.90755782
27-11-2020,2.37411392,2.78304811,2.35450953,2.6107663,38310222.09369746,41234001.96888472
26-11-2020,3.03267703,3.14593676,2.12706561,2.35719239,42332147.36625549,37229098.38958083
25-11-2020,3.34689354,3.38302327,3.02136434,3.03467713,41422698.20715939,47929177.96186893
24-11-2020,3.51076431,3.54282299,2.46786104,3.34687747,29977327.27834405,52860017.47511126
23-11-2020,3.53438241,4.00884323,3.47020043,3.51004498,39542113.4853601,55437057.50901901
22-11-2020,4.18590361,4.18590361,3.0693224,3.53492104,55569494.23858605,55829945.85580837
21-11-2020,2.51453387,4.31586869,2.36914534,4.18583619,95514791.66397402,66110389.74883018
20-11-2020,1.46113498,2.72669196,1.45637564,2.51459654,29903291.41773035,39715113.03173009
19-11-2020,1.40061223,1.4664725,1.3811167,1.46057257,5260873.65054655,23068036.41648058
18-11-2020,1.44418265,1.44418265,1.36985547,1.40084552,7438655.44092583,22124717.52604894
17-11-2020,1.37121612,1.47754814,1.3502982,1.44512237,10081413.32755133,22824018.66797022
16-11-2020,1.40734089,1.4409492,1.33959568,1.39553723,9602224.38732482,22040879.26492131
15-11-2020,1.36504963,1.46096306,1.33258021,1.40752983,11414416.68034022,22230288.35810221
14-11-2020,1.42544662,1.44690715,1.32901376,1.36525495,15297196.20115568,21562606.07575074
13-11-2020,1.36913598,1.45085202,1.33337451,1.42528324,13717247.04838436,22510682.75822136
12-11-2020,1.39157617,1.4217657,1.3236292,1.36930556,11769946.64803168,21626580.77687936
11-11-2020,1.36979807,1.4552476,1.36293575,1.39131228,9025133.660374,21974151.21907489
10-11-2020,1.42462045,1.47271169,1.34837674,1.36974271,15624868.47025128,21633484.99947734
09-11-2020,1.37053933,1.54334571,1.33234971,1.42465452,16722375.9994679,22500752.92154332
08-11-2020,1.41406289,1.5768408,1.3539195,1.3705144,9439896.61448847,21645672.8963498
07-11-2020,1.43262433,1.81668305,1.34159937,1.41405671,11999141.65163152,22333372.79426732
06-11-2020,1.31772075,1.43262511,1.30750203,1.43262511,1891381.31057904,22626639.02182678
05-11-2020,1.35145625,1.46111736,1.29124447,1.31773471,9424107.75086981,20812079.49233541
04-11-2020,1.35074562,1.42081681,1.23005635,1.35145625,9396358.79743383,21344671.71704741
03-11-2020,2.14087696,2.14206319,0.87370419,1.35074562,18636862.97042498,21333448.1019201
02-11-2020,2.2417261,2.29299197,1.9452457,2.14087696,23849400.18972306,33812649.0242295
01-11-2020,3.12093816,3.1349268,2.04282291,2.2417261,18645565.37434199,35405443.33905776
31-10-2020,2.26481287,3.31108537,2.22389341,3.12093816,16406661.86126778,49291570.17235219
30-10-2020,2.46278444,2.55270559,2.24452669,2.26481287,10698132.88540264,35770071.97854209
29-10-2020,2.3966586,2.4823827,2.34533776,2.46278444,12957209.57842209,38896801.53759013
28-10-2020,2.64180029,2.72102073,2.38661101,2.3966586,10419517.67836076,37852421.05271005
27-10-2020,2.62316025,2.7108453,2.60281041,2.64180029,12956444.69645898,41724147.61893447
26-10-2020,2.62317767,2.67317061,2.57273727,2.62316026,14388850.14358975,41429750.08188445
25-10-2020,2.75408383,2.78470169,2.62317767,2.62317767,9796353.65584702,41430025.06611295
24-10-2020,2.62944956,2.8615323,2.61026095,2.75408383,10070113.54155121,43497534.84992231
23-10-2020,2.8278157,2.82984405,2.5632659,2.62944937,6638218.17216993,41529079.28547582
22-10-2020,3.19789475,3.21329499,2.74440068,2.83876421,4359113.52900211,44834962.4775163
21-10-2020,3.46546233,3.46546233,2.9703975,3.19561959,5097664.3631499,50471076.1221082
20-10-2020,3.28869834,3.61215862,3.26697083,3.47766079,2325309.16399618,54925587.19403069
19-10-2020,3.53925057,3.53925057,3.28166228,3.29287114,2099361.18933153,52007050.66908803
18-10-2020,3.77228708,3.792123,3.5856736,3.60721534,1505477.14368196,56971749.79731853
17-10-2020,3.81243282,3.83568422,3.75964852,3.77467177,941781.57482647,59616528.35151674
16-10-2020,4.15142791,4.16663158,3.78484496,3.81342776,1405983.43397683,60228633.88144245
15-10-2020,4.10197995,4.17089029,4.06234481,4.15064744,2066477.53047353,65554624.67354048
14-10-2020,4.24740455,4.26813648,4.09807919,4.10840228,2124870.23148436,64887411.71949908
13-10-2020,4.33270307,4.35543007,4.21269841,4.24739424,1372188.36106599,67082627.28906034
12-10-2020,4.24524554,4.36505926,4.19326633,4.32688612,1483034.98827906,68338108.5973406
11-10-2020,4.25097369,4.32128883,4.23033992,4.24610535,1346876.33011862,67062270.76158111
10-10-2020,4.22393165,4.34934737,4.19307976,4.24205215,1765002.72785165,66998255.17761498
09-10-2020,4.11593715,4.23787762,4.09972301,4.23308212,1377194.57808787,66856584.03731543
08-10-2020,4.046752,4.12151394,3.97551688,4.10713262,1460887.59073494,64867358.85080061
07-10-2020,4.07700585,4.07711019,4.00585875,4.04080299,1318064.85113164,63819759.95329171
06-10-2020,4.13591719,4.14402209,4.02624494,4.07136435,1305319.93905796,64302440.79788375
05-10-2020,4.15781022,4.18429972,4.12611024,4.13603951,1224022.09842481,65323909.44801699
04-10-2020,4.111977,4.16484645,4.08283685,4.16307356,1302783.32252897,65750880.59235824
03-10-2020,4.10603885,4.14207727,4.10281481,4.11542308,1298182.93842003,64998297.08459835
02-10-2020,4.14822248,4.14822248,4.03602919,4.10651566,1359949.95580668,64857614.7173104
01-10-2020,4.21456813,4.2714347,4.08448588,4.14817794,1467304.69649385,65515621.76704363
30-09-2020,4.28482609,4.29214706,4.18562598,4.21284772,1537401.77820988,66537005.25950356
29-09-2020,4.2145989,4.29222472,4.19522992,4.29059443,1350575.36166865,67764923.706202
28-09-2020,4.26912526,4.33148286,4.21695508,4.21985242,1222404.23418376,66647636.30036202
27-09-2020,4.24169969,4.30209261,4.20297167,4.26518634,1269547.0452779,67363632.7014123
26-09-2020,4.32923985,4.36395946,4.20465171,4.24078416,1562967.9308236,66978228.71529001
25-09-2020,4.27639786,4.34465503,4.21488104,4.32593857,1327518.26156111,68323143.05170524
24-09-2020,4.07598815,4.27788147,4.07598815,4.27720476,1275666.41621606,67553449.59296615
23-09-2020,4.30491195,4.30800585,4.06022613,4.07708772,1291931.49452508,64392834.82479749
22-09-2020,4.31658510242,4.34943890576,4.28365570088,4.31478029985,1232023.08679711,68146911.2677025
21-09-2020,4.51634833718,4.5510103694,4.20673146208,4.3224723839,1728510.3505376,68268398.7439565
