Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,2.12209639,2.22488721,2.0678556,2.1853858,142998947.84,6074345999.48
14-04-2021,2.16933775,2.24722504,1.99699577,2.1261024,237189514.46,5909566001.36
13-04-2021,1.99992056,2.20338646,1.95538824,2.16484422,243013333.08,6017250057.63
12-04-2021,2.10547129,2.10547129,1.96298138,1.99917644,148047431.88,5556771449.94
11-04-2021,2.08288886,2.14951858,1.99157034,2.09998985,214149882.76,5836985387.83
10-04-2021,1.86973085,2.10771695,1.85998332,2.07704281,294920099.73,5773203396.07
09-04-2021,1.8926575,2.0031898,1.86115614,1.87018552,238101854.97,5198237279.4
08-04-2021,1.66213791,1.93869798,1.64823049,1.89843445,283779452.21,5276756040.39
07-04-2021,1.80758994,1.82297009,1.57931503,1.65737191,167734928.99,4606715409.74
06-04-2021,1.72322651,1.857588,1.66805405,1.81035797,212320166.11,5031944794.49
05-04-2021,1.60857607,1.79697232,1.56568571,1.72461097,247742956.22,4793608422.21
04-04-2021,1.54357909,1.6107333,1.52470873,1.60786601,80256994.1,4469112264.74
03-04-2021,1.70080939,1.72586371,1.54051336,1.5416244,113918483.11,4284991717.46
02-04-2021,1.6380148,1.71554959,1.59663025,1.701439,127639601.3,4729201226.75
01-04-2021,1.58217693,1.71544308,1.58217693,1.64016881,164348597.43,4558898862.83
31-03-2021,1.58738848,1.61129618,1.49185639,1.57923882,134359846.95,4389542122.24
30-03-2021,1.52675599,1.60743762,1.49418059,1.59006218,139271768.96,4419625983.67
29-03-2021,1.41926602,1.52656726,1.39327345,1.51657709,139460537.25,4215371946.64
28-03-2021,1.40639872,1.46020302,1.39594991,1.41977749,102951807.45,3946314523.45
27-03-2021,1.45335068,1.4804449,1.36550387,1.40653079,117196484.86,3909494931.27
26-03-2021,1.34657763,1.50241502,1.34657763,1.45388164,154833209.05,4041108053.76
25-03-2021,1.4218997,1.43446952,1.30419058,1.34848065,187851893.52,3748142800.42
24-03-2021,1.6794653,1.75450896,1.36650532,1.42915201,249804207,3972371296.93
23-03-2021,1.48430777,1.78257891,1.4731026,1.7092836,608822781.46,4751005525.84
22-03-2021,1.43608421,1.57159917,1.38473598,1.47577076,234524477.61,4101949509.58
21-03-2021,1.44230659,1.46003809,1.36835155,1.43417073,115996901.57,3986320988.91
20-03-2021,1.34467933,1.50397603,1.33978835,1.44762728,202150692.22,4023723867.94
19-03-2021,1.33038759,1.36883318,1.3137593,1.34641892,66857920.87,3742412152.61
18-03-2021,1.35805814,1.37046712,1.27273924,1.33100921,78526764.89,3699580420.01
17-03-2021,1.32969847,1.36834583,1.30384059,1.36024538,91958466.93,3780843238.35
16-03-2021,1.27979224,1.38793413,1.27218038,1.32883033,115576698.84,3693524137.7
15-03-2021,1.31243778,1.35426066,1.2240533,1.28038375,131226854.08,3558865419.53
14-03-2021,1.37613094,1.38772035,1.31490836,1.31490836,68673781.35,3654827603.51
13-03-2021,1.3233396,1.40694242,1.28296321,1.37809498,100001907.15,3830456724.03
12-03-2021,1.39034632,1.43974749,1.2847974,1.3245897,155149915.19,3681737181
11-03-2021,1.30686101,1.52803203,1.27000454,1.39113326,249474323.66,3866697022.77
10-03-2021,1.42101188,1.4240604,1.29842589,1.3116725,119075145.42,3645833421.94
09-03-2021,1.30031142,1.42126712,1.2914995,1.42126712,136816739.23,3950455008.77
08-03-2021,1.31221901,1.34137576,1.28679764,1.29898184,98452479.22,3610559362.56
07-03-2021,1.27935916,1.34614493,1.26568828,1.3133232,107629674.39,3650421615.76
06-03-2021,1.32719761,1.34869426,1.28117073,1.28117073,139665536.79,3561052854.23
05-03-2021,1.26855041,1.45253807,1.19837532,1.33030078,408373464.7,3697611315.62
04-03-2021,1.21546167,1.30822745,1.17446999,1.27048575,221259076.87,3531353611.51
03-03-2021,1.18422319,1.26142979,1.17712507,1.21503036,114348268.31,3377213678.03
02-03-2021,1.21107542,1.23039306,1.12899353,1.18340281,111558889.51,3289303954.06
01-03-2021,1.12516927,1.24592628,1.12071419,1.21111032,108541996.21,3366317797.79
28-02-2021,1.14884891,1.157611,1.03353493,1.11982044,106988945.24,3112574813.81
27-02-2021,1.11624721,1.23417494,1.11624721,1.15116606,126697613.78,3199700912.81
26-02-2021,1.09956286,1.17563837,1.02332087,1.11611424,132629066.37,3102273332.63
25-02-2021,1.19389449,1.24529029,1.09184718,1.09184718,152468930.97,3034822295.4
24-02-2021,1.09063577,1.31023826,1.03231007,1.19475066,279468196.26,3320845647.79
23-02-2021,1.3065056,1.31369137,0.89353965,1.08849648,341557648.11,3025508930.14
22-02-2021,1.40439382,1.40818115,1.0201755,1.30799108,317231033.82,3635600816.14
21-02-2021,1.37735813,1.45738397,1.33536548,1.40225317,156950114.16,3897605146.13
20-02-2021,1.48550646,1.54864562,1.31212417,1.38317335,255013927.79,3844572224.78
19-02-2021,1.49214211,1.57562897,1.4129134,1.48626278,342322930.4,4131112411.19
18-02-2021,1.29737856,1.56462851,1.27907212,1.47607107,408335245.26,4102784225.04
17-02-2021,1.25748567,1.33421008,1.18617949,1.29843875,235064889.02,3609049833.08
16-02-2021,1.26810285,1.3833879,1.2192658,1.25708085,333511576.72,3494094294.86
15-02-2021,1.18592955,1.38022424,0.97452685,1.27245858,496828062.49,3536837164.99
14-02-2021,1.30768512,1.31835417,1.14076132,1.18875916,247297193.93,3304192078.88
13-02-2021,1.23518591,1.4056078,1.19785082,1.3091046,354775522.71,3638695876.01
12-02-2021,1.1725348,1.27723669,1.09055046,1.23554333,376795724.37,3434230112.48
11-02-2021,0.88370467,1.31384494,0.86645391,1.1815198,934230158.8,3284070069.95
10-02-2021,0.74909815,0.91843764,0.71879854,0.88655022,274655754.21,2464193189.94
09-02-2021,0.71721127,0.80575787,0.7089325,0.74904405,241232229.89,2081990633.25
08-02-2021,0.55785479,0.73938401,0.54468311,0.71738633,202840399.45,1993997037.08
07-02-2021,0.56090429,0.59417106,0.52989319,0.55825925,99620628.09,1551698491.07
06-02-2021,0.51403948,0.61344712,0.49776596,0.55955741,205129351.18,1555306764.4
05-02-2021,0.43919566,0.53653231,0.43919566,0.51464433,147996597.68,1430469498.47
04-02-2021,0.4507293,0.45265902,0.42048458,0.43921171,53602577.47,1220802237.25
03-02-2021,0.42822193,0.45409936,0.42651177,0.45092128,48070062.52,1253349353.54
02-02-2021,0.41422045,0.43158913,0.40904319,0.42821866,41494305.11,1190246727.13
01-02-2021,0.40741966,0.42562749,0.39466759,0.41369056,46488076.58,1149865433.53
31-01-2021,0.42757533,0.43824473,0.39519792,0.40709336,43518572.03,1131528330.75
30-01-2021,0.41187699,0.44152639,0.3998889,0.42722185,51518411.73,1187476067.42
29-01-2021,0.41036735,0.42450354,0.39489183,0.41178293,56485963.4,1144563128.67
28-01-2021,0.39288087,0.41475084,0.389444,0.40587155,35353824.61,1128132265.63
27-01-2021,0.43239091,0.43239091,0.3790905,0.39306741,39597306.91708636,1092542757.5465147
26-01-2021,0.43174425,0.43865677,0.41300756,0.43307785,37134884.15701001,1203752986.8283753
25-01-2021,0.4555459,0.46980942,0.42921625,0.43203552,45520330.16901297,1200855810.2166889
24-01-2021,0.44972691,0.47966616,0.44381205,0.45566551,41530394.71136956,1266536082.2928915
23-01-2021,0.45596048,0.47495881,0.44416607,0.44956387,40985252.89879564,1249576383.7584805
22-01-2021,0.42152863,0.47178761,0.39258704,0.45606244,58496921.44211391,1267639359.8239748
21-01-2021,0.47026155,0.49448527,0.41839259,0.42150845,86327768.62389584,1171595496.5464957
20-01-2021,0.46905601,0.48380681,0.43085611,0.46924091,51586970.26201545,1304269309.3326783
19-01-2021,0.47644161,0.50415172,0.46209438,0.46965724,64935905.65932634,1305426529.735741
18-01-2021,0.43559541,0.48590068,0.41784861,0.47585838,78156653.09599032,1322662773.83946
17-01-2021,0.42505559,0.44465135,0.40010143,0.43499446,45209516.36060105,1209080276.5591092
16-01-2021,0.43115057,0.45320413,0.41596236,0.42604128,55033051.1136579,1184194646.775154
15-01-2021,0.42355434,0.45237835,0.38647056,0.43032,68908954.75125107,1196087457.7040203
14-01-2021,0.41461542,0.44896953,0.40224519,0.42300337,48666768.12056311,1175750680.2979448
13-01-2021,0.35914126,0.41648321,0.34733098,0.41508947,52741201.09842069,1153753739.439266
12-01-2021,0.36868549,0.38402005,0.34834241,0.35972354,40350215.36509652,999862459.9021038
11-01-2021,0.42722867,0.42755697,0.32908129,0.3688811,68731536.19177847,1025316188.2608693
10-01-2021,0.43647677,0.47409161,0.38626847,0.42760951,89703670.27338295,1188553571.21622
09-01-2021,0.36964548,0.47443363,0.36964548,0.43632135,168732250.61746126,1212768392.696043
08-01-2021,0.38375483,0.38507078,0.34638328,0.36936985,42792494.07318569,1026674684.4323502
07-01-2021,0.38175115,0.40451948,0.35981012,0.38376473,67880369.77638903,1066685684.9619803
06-01-2021,0.3538095,0.39860425,0.34365658,0.38046037,79394660.0173639,1057501110.8845916
05-01-2021,0.34412393,0.38460323,0.31760857,0.35311743,88086746.51379211,981500603.598396
04-01-2021,0.30968298,0.35110945,0.28019318,0.34471737,60563730.1833405,958152369.7698845
03-01-2021,0.28645046,0.31373473,0.27826131,0.30948928,36641055.9428871,860234815.5200769
02-01-2021,0.29121905,0.2971273,0.27882239,0.28621961,25174949.15857679,795556069.6223966
01-01-2021,0.29689325,0.30310052,0.29056536,0.2913477,15791601.46322931,809809747.6918263
31-12-2020,0.29524894,0.30145964,0.28305261,0.29689304,26769897.52137386,825223190.2456781
30-12-2020,0.30200527,0.30605219,0.28872991,0.29549851,15285444.02084098,821347048.513837
29-12-2020,0.30562431,0.31032501,0.28460965,0.30228606,18297576.60729297,840213261.6711335
28-12-2020,0.29801903,0.31813095,0.29530068,0.30558642,21730246.4029901,849386708.9987832
27-12-2020,0.28562796,0.31438157,0.27278034,0.29806357,34715111.28055045,828476716.469865
26-12-2020,0.29164652,0.30176193,0.28067274,0.28550499,21748448.90814995,793569770.4488585
25-12-2020,0.29372355,0.30740206,0.28807312,0.29149851,19317764.76838462,810228929.4328524
24-12-2020,0.26582871,0.29451246,0.26160804,0.29367871,21414464.61562714,816288879.7781866
23-12-2020,0.30752246,0.3299415,0.25361888,0.26544118,42748028.47540852,737801801.0350078
22-12-2020,0.30504714,0.31119484,0.28732461,0.3075061,17332830.49194645,854722513.4532799
21-12-2020,0.32376288,0.3309193,0.29955702,0.3059814,21409917.09174605,850484574.2000648
20-12-2020,0.34032515,0.34290104,0.31760072,0.32376562,21321682.96331226,899916333.4955523
19-12-2020,0.32377652,0.34559273,0.32308742,0.34045304,21713203.75008994,946299524.9214624
18-12-2020,0.3196584,0.33056746,0.31371695,0.32394368,17510265.36587755,900411261.0852015
17-12-2020,0.32753517,0.34155987,0.31422737,0.31989433,31788052.08352852,889155985.4215412
16-12-2020,0.30449006,0.33098417,0.29715412,0.32755847,21159025.84536753,910458700.6239628
15-12-2020,0.30174731,0.30846329,0.29453757,0.30424674,12064174.68794695,845663028.3445257
14-12-2020,0.3007287,0.30434424,0.29128925,0.30174479,11695970.18138819,838708770.3486122
13-12-2020,0.29031625,0.30464147,0.28618463,0.30054549,11402090.55555097,835375280.0948051
12-12-2020,0.27414485,0.29632749,0.27414485,0.29012169,13558416.45694652,806402026.617433
11-12-2020,0.28482127,0.28482127,0.26783558,0.27455034,16215433.0517406,763120991.857556
10-12-2020,0.30923583,0.30973908,0.28430141,0.28477956,16303251.1934312,791553424.6132491
09-12-2020,0.29911918,0.31104874,0.28646952,0.30925217,15783421.9889881,859575765.6064917
08-12-2020,0.31876296,0.32313434,0.2963688,0.29953597,16320473.28826098,832569294.5987405
07-12-2020,0.33828011,0.33858871,0.31166206,0.3187174,21093891.28337052,885884658.2860568
06-12-2020,0.34165232,0.34592425,0.32652167,0.33832391,9628385.66681196,940381559.0622336
05-12-2020,0.32281247,0.34516023,0.31985327,0.34165679,12285542.03093429,949645403.6946707
04-12-2020,0.34848996,0.35059597,0.31907224,0.32255162,14782203.70316259,896541984.6853693
03-12-2020,0.34491695,0.35618185,0.34103529,0.3484658,15314662.14459028,968571251.9493346
02-12-2020,0.32716051,0.34574761,0.32182546,0.34476766,16075906.0657505,958292156.4761139
01-12-2020,0.35166144,0.36037853,0.3177284,0.32695498,27933097.68839451,908781260.2600296
30-11-2020,0.34294243,0.36467704,0.33447252,0.35147586,27659098.59676201,976937809.4989816
29-11-2020,0.33904752,0.35463592,0.32766358,0.34289553,20497050.98459816,953088504.0828663
28-11-2020,0.31281521,0.35009779,0.30313235,0.33834941,24458399.13347986,940452427.0435914
27-11-2020,0.30415456,0.32434964,0.29199332,0.31271637,23917911.98458463,869204612.1639701
26-11-2020,0.35523111,0.35965025,0.27676026,0.30353637,49823165.09485517,843688528.5834265
25-11-2020,0.38312004,0.40136369,0.33947886,0.35520555,51310507.71909907,987304576.7910041
24-11-2020,0.35890215,0.42251589,0.35000306,0.38303498,82166262.68840814,1064657323.9258769
23-11-2020,0.31770066,0.36210078,0.31295632,0.35877809,50462838.06824372,997234573.0624712
22-11-2020,0.3235017,0.33646107,0.290319,0.31770056,44631384.76762603,883058336.2442725
21-11-2020,0.26529545,0.3235017,0.26529545,0.3235017,44604049.83201371,899182763.9218775
20-11-2020,0.25336386,0.26530515,0.25217141,0.26529544,13834225.32293975,737396706.2147875
19-11-2020,0.25642862,0.25690823,0.25051244,0.25336387,9450622.64477238,704232554.8327131
18-11-2020,0.26562381,0.26770804,0.25099047,0.25642591,13585725.71518951,712743574.5725013
17-11-2020,0.25566641,0.26689046,0.25466769,0.26562898,12113589.56145578,738323780.8091422
16-11-2020,0.24940237,0.25719456,0.24797786,0.25374455,8703462.79388028,705290664.3466212
15-11-2020,0.25270822,0.25691075,0.24475517,0.24940238,6677585.20775398,693221481.6576939
14-11-2020,0.25645307,0.25769005,0.24869858,0.25270825,10959553.73004985,702410241.5946732
13-11-2020,0.24832134,0.25717385,0.24585261,0.25645307,8016837.27854569,712819085.928526
12-11-2020,0.25081741,0.25793022,0.24729101,0.24831973,9537269.63483224,690212202.860037
11-11-2020,0.25447045,0.25894177,0.25042653,0.25081719,9289844.9727588,697153984.6533481
10-11-2020,0.251388,0.25736523,0.24892758,0.25447026,10065005.35749063,707307789.9658039
09-11-2020,0.26606834,0.26805099,0.24553522,0.25138863,18633032.45759248,698742308.7731801
08-11-2020,0.2574855,0.26757578,0.25395346,0.2660683,7680705.95892279,739544908.6094972
07-11-2020,0.26670174,0.27691331,0.2518995,0.25748551,14113961.84210746,715688760.3735114
06-11-2020,0.24930681,0.26869648,0.24865434,0.26670174,13832227.30499747,741305560.5160097
05-11-2020,0.23619374,0.25128678,0.22937882,0.2493184,12278861.4366801,692988033.1892565
04-11-2020,0.24446593,0.24644735,0.22631963,0.23619344,15443850.64587435,656506825.2504439
03-11-2020,0.2461091,0.24766131,0.23684206,0.24446382,11110776.58014678,679494602.8381532
02-11-2020,0.25124781,0.25823766,0.24521769,0.24610987,8869227.19340423,684069838.4936863
01-11-2020,0.25286795,0.25422801,0.24778081,0.25124781,8132346.34527166,698350898.2856543
31-10-2020,0.25731875,0.26168787,0.25226624,0.25286795,7037646.8414608,702854124.1523039
30-10-2020,0.25910269,0.26079049,0.24640458,0.25731874,10089228.05226169,715225234.7517927
29-10-2020,0.26828639,0.27210693,0.25377973,0.25910243,11206851.43847219,720183043.3576927
28-10-2020,0.2770554,0.2790273,0.26371083,0.26829686,11488927.53760988,745739258.9536642
27-10-2020,0.27402922,0.28419587,0.27149164,0.27705514,14792137.31081942,770083150.6767207
26-10-2020,0.27785979,0.28560025,0.26741993,0.2740293,13070862.50137896,761672734.8296543
25-10-2020,0.28761889,0.29075567,0.27595975,0.2778596,10476660.30012227,772319158.9278824
24-10-2020,0.27579884,0.28928908,0.27404582,0.28761889,10000606.44159906,799445420.79893
23-10-2020,0.2822769,0.28250079,0.2713266,0.27579823,13800272.46503241,766589528.8103875
22-10-2020,0.28177013,0.29115312,0.28133308,0.28221205,12483415.4392758,784416942.8792173
21-10-2020,0.26427665,0.28569289,0.26394554,0.28200325,11941582.18162063,783836571.8075194
20-10-2020,0.27701646,0.27721529,0.26384807,0.26451442,9235436.14792619,735225827.4013085
19-10-2020,0.27292354,0.28011869,0.26631268,0.27710361,8104060.7232709,770217867.078408
18-10-2020,0.27004933,0.27391583,0.27004933,0.27299865,4006836.03841797,758808003.1133574
17-10-2020,0.26429226,0.2725348,0.26085188,0.27001818,5286868.19369486,750523721.2481163
16-10-2020,0.27617725,0.28086963,0.26210726,0.26428628,8621259.07384609,734591716.3541696
15-10-2020,0.27434369,0.27644898,0.26561653,0.27618513,9229518.95523148,767664932.6163619
14-10-2020,0.28555647,0.28839828,0.26980186,0.27472216,10892439.70366348,763598556.3361926
