Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,6.34857096,6.76250119,6.26669112,6.53570148,84029088.46,2289685972.34
14-04-2021,6.49829157,6.83516376,6.17043325,6.36178508,114837107.51,2223140454.26
13-04-2021,6.72576455,6.90659585,6.37369614,6.50431367,109665020.83,2267205070.73
12-04-2021,6.7814968,7.34584406,6.58106389,6.73134179,135301758.2,2339375657.55
11-04-2021,6.50798049,7.41784464,6.47877347,6.77654542,148200557.89,2348074233.87
10-04-2021,6.42767961,6.72828965,6.31494968,6.50683884,85380974.04,2247888651.65
09-04-2021,6.77461475,6.91368764,6.32696028,6.42140494,63450083.96,2211730365.33
08-04-2021,6.12658107,6.83744158,6.03891062,6.68925758,126721019.88,2297066153.89
07-04-2021,6.77276089,6.98050229,5.74392174,6.1198102,158300404.73,2095188269.6
06-04-2021,6.13433722,7.3339372,6.1290017,6.79115325,239363320.39,2318004012.73
05-04-2021,6.11058283,6.30106085,5.86737884,6.12806663,75719252.99,2085334322.71
04-04-2021,5.71034077,6.1324136,5.6311227,6.09568485,64729388.77,2068008241.71
03-04-2021,5.99390452,6.39730148,5.61089173,5.71196363,91951538.76,1931918047.3
02-04-2021,5.97886529,6.15677267,5.89132196,5.99977552,60685434.47,2023055097.67
01-04-2021,5.99676584,6.27192689,5.86159195,5.9865709,83417507.07,2012408730.84
31-03-2021,6.35589814,6.39772802,5.7404363,5.9957927,79675212.86,2009305218.54
30-03-2021,5.80817741,6.66242191,5.73987241,6.35600256,162511565.99,2123442307.3
29-03-2021,5.60676521,5.93394507,5.52365141,5.82014272,73924408.12,1938398086.21
28-03-2021,5.33317365,5.98204609,5.2827584,5.60206571,87612279.83,1859971453.88
27-03-2021,5.4871718,5.64528417,5.25832076,5.33168963,61571259.72,1764686111.61
26-03-2021,4.82253082,5.56604547,4.82253082,5.48548467,73843440.48,1809913811.96
25-03-2021,4.86521333,5.0911391,4.48739874,4.8240626,74867881.34,1586689091.14
24-03-2021,5.32112646,5.68499721,4.83599144,4.87872489,81216206.29,1599620435.43
23-03-2021,5.42484081,5.83648797,5.13912985,5.33691503,82197854.99,1744328568.37
22-03-2021,6.0485739,6.0485739,5.32351189,5.44556123,80200143.13,1774204549.45
21-03-2021,6.29099905,6.31850597,5.81194548,6.04565968,81791868.27,1963466058.63
20-03-2021,6.18942792,6.60035591,6.14731935,6.28765207,74291992.24,2035553183.78
19-03-2021,6.05726733,6.43430894,5.89321742,6.19466175,73472881.45,1999039449.22
18-03-2021,6.22970063,6.56838147,6.02475701,6.06520499,91784285.44,1950988012.41
17-03-2021,6.38616872,6.41607111,5.97404908,6.25434735,90496935.85,2005358265.36
16-03-2021,5.89592782,6.85642074,5.61227416,6.38480623,155210649.79,2040581905.19
15-03-2021,6.61911906,6.84766366,5.880662,5.9037125,158744170.04,1880716327.27
14-03-2021,7.37747473,7.39556297,6.63313124,6.63313124,145261944.87,2106220748.32
13-03-2021,6.93205104,7.57156338,6.54946867,7.41157051,213444641.32,2345730603.12
12-03-2021,6.0518188,7.42767693,5.93455824,6.95096453,352373306.94,2191992892.98
11-03-2021,5.31661182,6.27503116,5.11815089,6.03901873,235149342.38,1897496141.76
10-03-2021,5.40995453,6.02723247,4.92545103,5.32118917,260458908.72,1665857750.52
09-03-2021,4.57443064,5.7654224,4.57192414,5.42933467,226275939.26,1693498084.62
08-03-2021,4.27796149,4.62487421,4.13799931,4.5733728,65930575.16,1421273743.46
07-03-2021,4.05310175,4.40137711,4.05310175,4.27962253,47251251.17,1325084976.4
06-03-2021,4.16965082,4.24657202,3.93769814,4.05304814,40698383.54,1250291355.77
05-03-2021,4.51534633,4.55224576,4.06695649,4.17737308,75230256.22,1283860825.62
04-03-2021,4.18089526,4.64566339,4.12943006,4.44553037,116659046.84,1361185946.88
03-03-2021,4.04070856,4.29676635,4.01454566,4.1926822,51661171.73,1278965823.3
02-03-2021,4.19799297,4.23969159,3.87690651,4.04081391,56279056.46,1228012670.45
01-03-2021,3.81756145,4.29578473,3.80674469,4.19661084,69932879.78,1270555189.39
28-02-2021,4.0088771,4.01330497,3.44527133,3.80823545,91631822.5,1148611753.41
27-02-2021,4.23104988,4.43391338,3.90828292,4.00744116,73453021.22,1204106747.22
26-02-2021,3.89219758,4.83890722,3.80138857,4.22017137,229314548.93,1263193814.14
25-02-2021,3.5861175,4.66741797,3.47171199,3.86816937,139316711.25,1153403055.77
24-02-2021,3.37051621,3.64783206,3.17619414,3.59974619,71158606.77,1069243963.91
23-02-2021,3.72639893,3.75317758,2.67054574,3.36005135,147446956.66,994199865.13
22-02-2021,4.09000321,4.09000321,2.98587933,3.73067666,120864499.19,1099592457.91
21-02-2021,4.00759137,4.19161532,3.86850651,4.10229254,63841419.4,1204427253.44
20-02-2021,4.38021948,4.72716682,3.75134539,4.02375747,104327571.97,1176762832.39
19-02-2021,4.44338823,4.51880914,4.11408236,4.38193954,83495084.82,1276497813.34
18-02-2021,4.23031705,4.65323003,4.04164083,4.44309729,81784472.54,1289226886.19
17-02-2021,4.08072559,4.37978351,3.84489798,4.22590556,81244321.55,1221367599.62
16-02-2021,4.01405753,4.43941884,3.86827082,4.0712345,83436961.95,1172003713.57
15-02-2021,4.3235972,4.37696294,3.51555657,4.01637194,90419157.06,1151612013.69
14-02-2021,4.81577103,4.85042806,4.16261315,4.33036362,93946377.01,1236685010.68
13-02-2021,4.71661414,5.5310217,4.54108217,4.8092957,216219955.94,1367954654.8
