Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,3.72808101,3.84095561,3.70122964,3.78949367,16555024.31,2122116494.33
14-04-2021,3.43153819,3.7301375,3.30390344,3.72798335,21484138.69,2087670718.02
13-04-2021,3.22302051,3.49108227,3.21545063,3.43598267,22228500.79,1924150333.83
12-04-2021,2.94204449,3.24557283,2.90965548,3.2241297,17813561.6,1805512668.8
11-04-2021,2.87307422,2.96316239,2.84251416,2.942906,13797957.87,1648027390.93
10-04-2021,2.87236827,2.93740948,2.83055239,2.87304838,12143826.57,1608907124.64
09-04-2021,2.82208892,2.91713203,2.78439514,2.87263899,10847533.76,1608677865.06
08-04-2021,2.69179411,2.84389862,2.68235383,2.8226874,13283186.8,1580704976.64
07-04-2021,2.90186636,2.90761326,2.6426227,2.69719095,13427563.62,1510426962.93
06-04-2021,2.84490892,2.90761789,2.7271604,2.90187238,15448697.65,1625048564.2
05-04-2021,2.77069576,2.87151061,2.72765569,2.84144105,13035379.41,1591207021.88
04-04-2021,2.70208783,2.78710735,2.66104614,2.77103506,11017710.91,1551779662.22
03-04-2021,2.83316235,2.83442687,2.67644392,2.70301095,12276708.84,1513686162.19
02-04-2021,2.78523447,2.83950488,2.76242531,2.83265181,12373896.76,1586285044.23
01-04-2021,2.76101928,2.81096481,2.69842677,2.78394466,12220801.06,1559009038.59
31-03-2021,2.76560107,2.82263645,2.63431932,2.76132287,11772635.15,1546340838.53
30-03-2021,2.67033368,2.8560122,2.63669583,2.76371132,12619361,1547678369.85
29-03-2021,2.52961445,2.68237533,2.49053715,2.67090607,13247349.5,1495707426.38
28-03-2021,2.58595174,2.58595174,2.38658266,2.53018096,10942204.09,1416901362.72
27-03-2021,2.65948604,2.68216637,2.44937142,2.58736708,11583772.99,1448925592.37
26-03-2021,2.44211887,2.66022235,2.43971469,2.66022235,10955032.28,1489724547.17
25-03-2021,2.34766852,2.50059182,2.27051238,2.44369686,12335206.25,1368470266.53
24-03-2021,2.45617095,2.55316991,2.31280046,2.34750746,11337633.7,1314604203.02
