Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,9.3031034,9.85220859,9.13448125,9.73940316,523494240.63,1365906475.54
14-04-2021,9.56972296,9.9900282,8.85305519,9.31746911,602504297.48,1306732166.33
13-04-2021,9.4070867,9.74451385,9.04618642,9.56320307,510316901.57,1341195222.49
12-04-2021,9.66963662,9.77593815,9.18756077,9.41121073,509511614.37,1319878996.63
11-04-2021,10.06659589,10.16676584,9.49320493,9.67508862,526557695.74,1356886656.07
10-04-2021,10.4592564,11.3316466,9.66629045,10.06572555,829811207.69,1411671687.88
09-04-2021,10.17486546,11.03685031,9.53548291,10.45773179,922515351.06,1466648760.07
08-04-2021,9.96721457,10.21350289,9.07015421,10.16749901,1177034063.04,1425944947.6
07-04-2021,9.34652493,11.25031323,8.72486438,9.89024033,2788646849.4,1387060693.43
06-04-2021,8.74399494,9.64501419,8.24209253,9.34416856,1092818280.63,1310476640.89
05-04-2021,7.99748289,8.86715945,7.99748289,8.73535245,918275546.68,1225092983.17
04-04-2021,6.91147239,8.14206527,6.82519759,7.98402274,649611079.03,1119722448.86
03-04-2021,7.64059757,7.68311952,6.88596463,6.91222225,473053496.32,969407362.28
02-04-2021,7.48509109,7.79289503,7.21537299,7.64134338,562211777.27,1071663244.93
01-04-2021,7.92646184,8.10547791,7.45476239,7.50387966,775654275.33,1052384591.79
31-03-2021,6.69992741,8.36605773,6.67143722,7.9015163,1334027871.4,1108151299.59
30-03-2021,6.8333276,7.38636118,6.65519392,6.7018226,740966675.74,939899779.39
29-03-2021,5.91806327,7.16711637,5.89870735,6.83420902,998522993.54,958466365.82
28-03-2021,5.35719656,6.24428591,5.30758797,5.91909909,641249795.4,830126409.67
27-03-2021,5.34442693,5.49563992,5.24821386,5.35870429,324903877.56,751533616.56
26-03-2021,4.9992998,5.35481189,4.99520524,5.3453363,273613204.61,749658818.23
25-03-2021,5.16483564,5.17899271,4.75902494,4.99967533,352436027.52,701181457.42
24-03-2021,5.82490393,5.9280867,5.06368685,5.16864556,425883027.41,724878754.84
23-03-2021,5.38021301,5.82690214,5.26019415,5.82690214,431290593.91,817196210.91
22-03-2021,5.64563734,5.94433891,5.37892953,5.38208077,434666915.44,754812061.51
21-03-2021,5.7222789,5.79525079,5.45288093,5.64466412,363946677.05,791638167.06
20-03-2021,5.96891199,6.08597079,5.71657862,5.71850179,379601296.01,801993560.31
19-03-2021,6.1340804,6.34385186,5.90606795,5.97218012,521140647.28,837570778.89
18-03-2021,5.60205241,6.20281984,5.54419524,6.13163494,626122117.41,859933584.66
17-03-2021,5.20384335,5.63566749,5.08680563,5.60322296,435582236.77,785826235.99
16-03-2021,5.03500536,5.20428598,4.81813067,5.20428598,317411818.32,729877160.17
15-03-2021,5.11579721,5.32893962,4.85421529,5.03408204,428420732.64,706006840.32
14-03-2021,5.33030314,5.43090145,5.11734112,5.11734112,329229742.46,717683543.57
13-03-2021,5.13974542,5.37959293,4.88903017,5.33113377,431123905.35,747666978.94
12-03-2021,5.18570062,5.44345978,5.00248367,5.13876523,568132198.09,720688175.69
11-03-2021,5.07147216,5.1934562,4.82723079,5.17600184,415446034.17,725910439.45
10-03-2021,5.41848868,5.44171932,5.01940937,5.07539814,395213302.82,711801233.74
09-03-2021,5.15527615,5.51337171,5.09932098,5.41608331,438357698.48,759580761.43
08-03-2021,5.12707091,5.23457535,4.927594,5.15071938,307908527.38,722364690.84
07-03-2021,5.08214406,5.23807334,4.92667416,5.12244632,335051441.1,718399523.92
06-03-2021,4.62891037,5.2413842,4.54745986,5.07944154,425960227.77,712368301.67
05-03-2021,4.66988097,4.67896632,4.358946,4.63190183,268354508.14,649602917.36
04-03-2021,4.85013385,4.94021204,4.5477814,4.67059723,320109676.36,655029768.77
03-03-2021,4.66142253,4.97252168,4.62094876,4.8522226,330197721.27,680501891.38
02-03-2021,4.59846595,4.89423699,4.4642505,4.65989818,370769218.72,653529275.7
01-03-2021,4.26262285,4.65428495,4.22271425,4.60255209,303981714.56,645486751.04
28-02-2021,4.49868249,4.5508387,3.97326803,4.25944666,268523896.77,597367792.49
27-02-2021,4.4394331,4.70986652,4.42050031,4.49840077,259942625.82,630880007.19
26-02-2021,4.54742553,4.6604248,4.13818641,4.43684722,322360299.84,622247404.9
25-02-2021,4.74106392,5.08705831,4.53461756,4.53784089,345542442.16,636411302.8
24-02-2021,4.64771151,5.12428052,4.42640672,4.74341422,489994939.29,665242015.78
23-02-2021,5.54655541,5.56337663,3.85004579,4.64368504,827662490.8,651255457.26
22-02-2021,6.33008617,6.33991511,4.70471038,5.54794778,766605965.37,778074145.86
