Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,0.54190571,0.5621253,0.53163751,0.55660795,6060585.5,244850532.72
14-04-2021,0.57709103,0.57709103,0.51543642,0.54069554,13161078.46,237850701.3
13-04-2021,0.53835986,0.59660237,0.53835986,0.57714607,13598867.16,253885203.95
12-04-2021,0.55788049,0.55868348,0.52973989,0.53858643,5690538.31,236922908.4
11-04-2021,0.5734723,0.5734723,0.52652595,0.55914388,14441678.39,245966083.15
10-04-2021,0.58489779,0.66499222,0.55341466,0.57221066,23222451.39,251714129.13
09-04-2021,0.51618406,0.61001361,0.5037257,0.58560198,26189043.65,256345892.84
08-04-2021,0.45925919,0.5163433,0.45131499,0.51616293,7298489.9,225949111.06
07-04-2021,0.62745264,0.63032011,0.42523102,0.45970096,13263709.4,201233016.96
06-04-2021,0.6357515,0.63579077,0.5749666,0.6270339,37203240.21,274482620.09
05-04-2021,0.62327483,0.63522081,0.58104675,0.6326796,38826084.24,276954010.48
04-04-2021,0.58808963,0.62603775,0.57093779,0.62238432,24420767.92,272447277.49
03-04-2021,0.65570921,0.65661044,0.5640531,0.5912534,42720156.59,258819791.05
02-04-2021,0.62391951,0.65716462,0.58639293,0.65716462,55561894.4,287573697.18
01-04-2021,0.64978479,0.65691834,0.60092256,0.62384278,50806133.8,272992137.34
31-03-2021,0.62272708,0.69704171,0.58036721,0.64749288,131260580.38,283017619.85
30-03-2021,0.53350137,0.76484697,0.51190692,0.6248629,214174562.07,273126107.64
29-03-2021,0.45303605,0.6811988,0.43941252,0.53823459,189383802.14,234642107.11
28-03-2021,0.43238251,0.47324661,0.4232241,0.45446648,48793979.79,197896361.26
27-03-2021,0.42121529,0.43385842,0.40386776,0.43223478,22798721.05,188150786.67
26-03-2021,0.38351935,0.42778836,0.38351935,0.42185979,30482719.26,183423645.3
25-03-2021,0.409089,0.41866865,0.36799672,0.38215501,24579962.27,166160100.79
24-03-2021,0.48605342,0.50918642,0.39464967,0.40984275,54347291.31,178198667.4
23-03-2021,0.38885206,0.51537435,0.36127732,0.49071328,195168106.57,213042017.39
22-03-2021,0.37211092,0.41889423,0.3599287,0.38822176,50375913.01,168313022.27
21-03-2021,0.3599181,0.37451799,0.3476139,0.37225076,20039679.48,161295755.25
20-03-2021,0.38319649,0.41351793,0.35579414,0.36000169,37565802.87,155988249.59
19-03-2021,0.36640534,0.38749254,0.35987635,0.38378825,25356096.19,166103421.32
18-03-2021,0.35422758,0.38148266,0.34009253,0.36634719,32800655.49,158554938.53
17-03-2021,0.34529156,0.35867393,0.32022748,0.35365666,25983329.56,153062478.6
16-03-2021,0.34901146,0.35404288,0.32851736,0.34384661,9673261.36,148644771.75
15-03-2021,0.37147564,0.37887177,0.33002693,0.34843816,11396392.23,150629696.35
14-03-2021,0.38091805,0.38431583,0.3569131,0.37201662,10745932.69,160822657.01
13-03-2021,0.38315361,0.40585851,0.35618555,0.38118113,17011719.02,164784471.13
12-03-2021,0.3735547,0.39279447,0.35662015,0.38254127,42388892.77,165372459.17
11-03-2021,0.33560729,0.37849574,0.33314888,0.37214026,45433022.39,160876106.13
10-03-2021,0.35486361,0.35757672,0.32262247,0.33634749,10352330.94,145402904.29
09-03-2021,0.3501785,0.35639637,0.33558745,0.35450671,14854218,153253126.69
08-03-2021,0.32813245,0.37103493,0.32077956,0.34955626,68906259.49,151113048.76
07-03-2021,0.30075527,0.35797915,0.29963672,0.32893904,80258803.98,142200231.33
06-03-2021,0.30106082,0.30852333,0.29070569,0.30095008,6438247.93,130100614.05
05-03-2021,0.30345985,0.30964504,0.27960461,0.30020479,13954593.85,129778427.16
04-03-2021,0.33040746,0.34616469,0.29014891,0.30342327,30226559.82,131169775.14
03-03-2021,0.23310094,0.46841983,0.22788833,0.33019451,449351295.04,141752388.43
02-03-2021,0.24084525,0.24273869,0.22017371,0.23355046,12374218.63,100181388.04
01-03-2021,0.22421181,0.24208082,0.21830067,0.23747079,8530342.79,101863013.56
28-02-2021,0.23130611,0.27069916,0.21278748,0.2239258,30620598.22,96052892.99
27-02-2021,0.20244951,0.24322427,0.20244951,0.23160288,13572218.45,99345974.37
26-02-2021,0.20612484,0.2160063,0.19076672,0.20560792,13577976.67,88195445.18
25-02-2021,0.20668739,0.22652846,0.2030247,0.20494567,17316238.98,87911373.81
24-02-2021,0.19601059,0.23151813,0.1939004,0.20642813,15122567.13,88547273.6
23-02-2021,0.2589801,0.26450112,0.16388428,0.19507439,23215031.81,83677091.49
22-02-2021,0.29881738,0.29887717,0.21883241,0.25900032,32705830.97,111098095.55
21-02-2021,0.26242528,0.31718173,0.25907073,0.29915556,59766247.19,128203010.44
20-02-2021,0.27785544,0.29201633,0.24885401,0.26256139,14789997.25,111995470.09
19-02-2021,0.26039329,0.28170295,0.23586478,0.27705284,19175615.07,118010286.24
18-02-2021,0.22028701,0.27134416,0.22012386,0.25941772,64797200.33,110498629.53
17-02-2021,0.20983492,0.23093116,0.1950069,0.2199029,18563325.74,93667342.4
16-02-2021,0.21965187,0.23036935,0.20322683,0.20947828,19734106.47,89226991.08
15-02-2021,0.19381964,0.25541935,0.16620183,0.21836922,69249208.23,93014077.35
14-02-2021,0.2001365,0.21089338,0.18257519,0.19376888,22335317.26,82535594.2
13-02-2021,0.1880942,0.20090997,0.17434459,0.20048129,24931171.93,85394734.31
12-02-2021,0.18418618,0.18870488,0.1711191,0.18819304,18819756.66,80160573.16
11-02-2021,0.15525862,0.18795441,0.15156659,0.18424584,24539242.87,78396356.4
10-02-2021,0.14675011,0.15580451,0.14060414,0.15471596,17211193.47,65831433.13
09-02-2021,0.13789481,0.14883967,0.13574016,0.14673235,11752281.16,62434417.43
08-02-2021,0.13330657,0.14487737,0.13306901,0.13834316,28004172.72,58864829.32
07-02-2021,0.14105332,0.14105332,0.12519027,0.13316861,14192981.11,56529897.21
06-02-2021,0.13806187,0.16410012,0.13291475,0.14089162,45217861.81,59808300.96
05-02-2021,0.11909415,0.13800045,0.11805643,0.1379948,16893567.86,58508753.87
04-02-2021,0.12450916,0.12723705,0.11581586,0.11947128,8090031.97,50654920.72
03-02-2021,0.11519136,0.12817883,0.11466624,0.12441767,13725745.44,52752152.87
02-02-2021,0.11390283,0.11567473,0.10983432,0.11482812,4986481.91,48686256.5
01-02-2021,0.10599117,0.11561649,0.10429923,0.11355112,6412635.79,48144819.09
31-01-2021,0.11048648,0.11069054,0.10480643,0.10638792,3047394.55,45107678.13
30-01-2021,0.11081393,0.11129776,0.10749263,0.11048008,2971216.59,46842722.74
29-01-2021,0.10822847,0.11400539,0.10521562,0.11041283,4975254.69,46814208.82
28-01-2021,0.10112299,0.1091988,0.09815062,0.10724483,5879378.53,45471000.01
27-01-2021,0.1102381,0.1102381,0.09698543,0.10109,3146215.61700311,42861397.50967244
26-01-2021,0.11257258,0.1145805,0.10599709,0.11024542,3985121.70178014,46743227.03527157
25-01-2021,0.11165878,0.11782106,0.11099759,0.11258368,6053582.90932337,47734633.22339898
24-01-2021,0.11100898,0.1155234,0.109571,0.11161037,5574537.98507144,47321954.37998002
23-01-2021,0.108498,0.11452552,0.10556443,0.11094297,7082410.69733084,47038983.35109751
22-01-2021,0.10602415,0.11151103,0.09569427,0.10852707,8952411.15385564,46014659.78606297
21-01-2021,0.12256313,0.12332239,0.10322823,0.10606241,5068425.35045961,44969664.0795042
20-01-2021,0.12101898,0.12436212,0.11291665,0.12208215,10807075.56486171,51761912.94601698
19-01-2021,0.11781092,0.12642116,0.11733829,0.1216643,7813535.55328733,51584748.18943965
18-01-2021,0.11750284,0.12132153,0.11298187,0.11787727,8064050.99881209,49979072.83342605
17-01-2021,0.11438457,0.13611405,0.10868965,0.11673128,32392310.55843797,49493184.67780738
16-01-2021,0.11207022,0.11775657,0.11029755,0.1138731,5853156.79428246,48281335.79629204
15-01-2021,0.10973887,0.11200738,0.10158264,0.11200738,3566918.8861011,47490287.50421743
14-01-2021,0.10800248,0.11510368,0.10481212,0.1096087,3629142.59730719,46473263.99723718
13-01-2021,0.10005529,0.10869536,0.09565881,0.10750675,1513250.154186,45582050.16773383
