Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,0.03754299,0.03938403,0.03685345,0.03863366,6621369.39,247251839.54
14-04-2021,0.03859371,0.03972061,0.03531359,0.03752582,11288495.75,240161725.4
13-04-2021,0.0392458,0.03971597,0.03741962,0.03844661,7193053.82,246054740.77
12-04-2021,0.04251272,0.0427038,0.0387432,0.0390678,7693659.34,250030288.69
11-04-2021,0.0390986,0.04399662,0.03744587,0.0425099,12613913.46,272059368.72
10-04-2021,0.03932664,0.04166012,0.03802892,0.03909603,9453589.78,250210928.15
09-04-2021,0.03807183,0.04032574,0.03797393,0.03933064,9280228.2,251712404.01
08-04-2021,0.0354893,0.03894537,0.03387051,0.03806837,11907817.53,243634024.37
07-04-2021,0.04544774,0.04544774,0.03251182,0.03556153,16210982.98,227590455.07
06-04-2021,0.0495272,0.04991085,0.04330616,0.04537015,49006597.31,290364727.31
05-04-2021,0.05400036,0.05508765,0.04816438,0.04951051,56348706.62,316862608.91
04-04-2021,0.05024771,0.05447045,0.04888736,0.05401333,61916735.18,345680280.52
03-04-2021,0.06069097,0.06193658,0.04850051,0.05006801,71762707.58,320430554.18
02-04-2021,0.05346819,0.06082416,0.05181183,0.06045698,124437617.02,386919020.82
01-04-2021,0.04831309,0.05379253,0.0454968,0.05340965,77724092.66,341816794.61
31-03-2021,0.04841786,0.04907307,0.04383808,0.04834391,53797246.62,309396507.06
30-03-2021,0.04467812,0.04841416,0.04355804,0.04834329,48357109.52,309392514.92
29-03-2021,0.04338424,0.04493495,0.04252835,0.04460922,30706877.18,285494828.2
28-03-2021,0.0451748,0.0451748,0.04217119,0.04338486,30097989.2,277659033.12
27-03-2021,0.03915895,0.04562336,0.03800321,0.04505234,60445421.8,288330756.49
26-03-2021,0.03673056,0.03913545,0.03585695,0.0390507,20668940.4,249920816.4
25-03-2021,0.03813759,0.03840545,0.03464934,0.03661262,20513405.28,234317366.2
24-03-2021,0.03990578,0.045327,0.03711344,0.03793206,55596239.28,242761630.36
23-03-2021,0.04283395,0.04328699,0.03476823,0.03995154,49460292.75,255686147.84
22-03-2021,0.04746941,0.04937839,0.04082584,0.04230322,58084513.41,270736637.9
21-03-2021,0.04341767,0.0481629,0.04307627,0.04737146,73516955.58,303172911.23
20-03-2021,0.04777382,0.05681605,0.04173291,0.0434794,129101168.85,278264125.54
19-03-2021,0.04319602,0.0498109,0.04036187,0.04769524,110274551.88,305245104.21
18-03-2021,0.04260661,0.04636578,0.03731305,0.04311757,63346482.3,275948443.52
17-03-2021,0.04305962,0.04590441,0.03282968,0.04256351,94841513.57,272402453.97
16-03-2021,0.05082257,0.05377411,0.04024984,0.04278326,28224763.41,273808848.71
15-03-2021,0.03400222,0.05485641,0.03356019,0.05022144,81590566.42,321412489.32
14-03-2021,0.02934293,0.03717848,0.02722213,0.03408126,109005205.84,218116854.89
13-03-2021,0.02754704,0.03184239,0.02489584,0.02934726,77950596.34,187819729.98
12-03-2021,0.02172763,0.02805646,0.02076596,0.02728382,128951985.56,174613917.72
11-03-2021,0.02086041,0.02269669,0.01881086,0.02154622,26687921.39,137893806.01
10-03-2021,0.01622091,0.02249295,0.01562008,0.02090578,43815727.64,133795027.17
09-03-2021,0.01632587,0.01678186,0.01548592,0.01621464,6014234.96,103772178.81
08-03-2021,0.01607739,0.01640477,0.0151857,0.01624695,10743637.7,103978939.72
07-03-2021,0.01614605,0.01618262,0.01555241,0.01603626,8771248.75,102630556.12
06-03-2021,0.01699643,0.01734682,0.0150724,0.01574951,4468806.96,100795386.64
05-03-2021,0.014341,0.01725578,0.01331058,0.01687779,39851656.88,108016246.93
04-03-2021,0.01398288,0.01467599,0.01343761,0.01433787,5390803.92,91761028.13
03-03-2021,0.01328089,0.01410365,0.0131328,0.01398204,10798822.86,89483754.59
02-03-2021,0.01405647,0.01405647,0.01283567,0.01333389,8312237.58,85335662.89
01-03-2021,0.0124693,0.01411809,0.0124693,0.01393967,13418358.41,89212616.56
28-02-2021,0.01279317,0.01349048,0.0115717,0.01244559,5542095.85,79650636.2
27-02-2021,0.01192216,0.01306764,0.01174398,0.01279367,15816741.07,81878287.13
26-02-2021,0.01163191,0.01229749,0.010799,0.01187688,8477593.8,76010903.2
25-02-2021,0.01226533,0.01379718,0.01137839,0.01158346,18690078.21,74133089.01
24-02-2021,0.01104707,0.01242003,0.01038965,0.01220648,11552968.55,78120328.78
23-02-2021,0.01415735,0.01513802,0.00921153,0.01097344,16146175.85,70228971.57
22-02-2021,0.01539824,0.01769394,0.01152509,0.01423033,45545548.7,91072786.02
21-02-2021,0.0146079,0.01588767,0.01425129,0.0153614,19208886.55,98311554.25
20-02-2021,0.01544234,0.01612044,0.01441831,0.01460627,14288484.61,93478750.94
19-02-2021,0.01469309,0.01606941,0.01368577,0.01575494,13932989.54,100830126.06
18-02-2021,0.01302789,0.01474847,0.01272309,0.01462192,17128740.43,93578907.25
17-02-2021,0.01262893,0.0131227,0.01217085,0.0129392,12703650.72,82809682.35
16-02-2021,0.01304551,0.01380813,0.01213712,0.01254102,8342046.52,80261384.37
15-02-2021,0.01233788,0.01359498,0.01016702,0.01308949,15335708.55,83771520.23
14-02-2021,0.01329642,0.01392869,0.01160713,0.01226183,22177102.68,78474586.81
13-02-2021,0.01194353,0.01360347,0.01166691,0.0134005,14646817.07,85761966.23
12-02-2021,0.01039641,0.01209805,0.01005163,0.01194614,17595992.59,76454201.97
11-02-2021,0.00978623,0.01171023,0.00949552,0.01049405,18079949.77,67160946.05
10-02-2021,0.00991283,0.01041206,0.00909207,0.00979491,11397015.02,62686526.27
09-02-2021,0.0090919,0.01003606,0.00885099,0.0098067,10623702.96,62761932.58
08-02-2021,0.00936438,0.00947844,0.00864862,0.00903879,14819295.43,57847439.19
07-02-2021,0.00909948,0.0095908,0.00871051,0.00933792,5216940.88,59761812.53
06-02-2021,0.00922746,0.00931201,0.00872217,0.00909878,5386928.69,58231336.81
05-02-2021,0.0085964,0.00937539,0.00842156,0.00921947,7778840.72,59003723.76
04-02-2021,0.00899886,0.0096031,0.0079869,0.00859384,14866762.96,54999802.99
03-02-2021,0.00868433,0.00942583,0.0082285,0.0089831,39009999.17,57491017.88
02-02-2021,0.00796834,0.01074836,0.00741259,0.00874282,72341599.85,55953221.57
01-02-2021,0.00701854,0.00842052,0.00682872,0.00799833,34759705.86,51188575.49
31-01-2021,0.00717119,0.00742462,0.00632811,0.00701785,3486298.59,44913588.17
30-01-2021,0.00727142,0.00773464,0.0068538,0.00722411,5318501.67,46233610.31
29-01-2021,0.00706488,0.00757409,0.00635328,0.00727209,11175046.26,46540712.3
28-01-2021,0.00611677,0.007161,0.00592198,0.00706967,5300930.46,45245257.83
27-01-2021,0.00628812,0.00639587,0.00564673,0.0061106,3080097.14633221,39107245.92454808
26-01-2021,0.00630015,0.00641862,0.00599793,0.00625106,2841317.21604594,40006203.78784228
25-01-2021,0.00650371,0.00679656,0.00622843,0.0062601,3336413.71609823,40064036.39173663
24-01-2021,0.00628949,0.00671387,0.0060555,0.00650261,2514952.32814132,41616102.19366248
23-01-2021,0.00618632,0.00652927,0.00594633,0.00629554,2981346.5273877,40290891.69848762
22-01-2021,0.00605468,0.00641656,0.00557878,0.00616093,5933580.12016517,39429393.41257886
21-01-2021,0.00672326,0.00691102,0.00588252,0.00605423,3906286.39568581,38746483.19249623
20-01-2021,0.00703659,0.00726307,0.00629823,0.00676045,8433295.17956578,43266236.29912481
19-01-2021,0.00641519,0.00749287,0.00623669,0.0070427,6145014.75559205,45072613.37377243
18-01-2021,0.00601535,0.0065969,0.00582517,0.00641958,4335536.20179602,41084731.79266244
17-01-2021,0.00620593,0.00635407,0.00577428,0.00601198,3666596.65634923,38476080.19065156
16-01-2021,0.00587808,0.00630802,0.00575701,0.00621299,3817275.68482271,39762542.15613666
15-01-2021,0.00588479,0.00602672,0.0054139,0.0058811,3468052.20259028,37638517.9430679
14-01-2021,0.00581749,0.00588553,0.00553143,0.00587842,2896772.19013736,37621309.8859986
13-01-2021,0.00539385,0.00588362,0.00527287,0.0058157,2213852.34868092,37219946.1187782
12-01-2021,0.00551401,0.00567281,0.00512129,0.00542003,2564380.41740647,34687685.92036455
11-01-2021,0.00612578,0.00721337,0.00506416,0.00558147,13998278.68286828,35720894.79606777
10-01-2021,0.00669222,0.00675694,0.00586994,0.00618803,4601240.43227018,39602801.19376925
09-01-2021,0.00642838,0.00680862,0.00606009,0.00668645,7056312.30310301,42792642.82859251
08-01-2021,0.00575114,0.00652418,0.00540094,0.00637271,7108779.17715225,40784776.72311916
07-01-2021,0.00570944,0.00607398,0.00556275,0.00576693,4323945.54695299,36907830.6260674
06-01-2021,0.00542323,0.00571996,0.00532089,0.00571996,3601637.09434458,36607178.0452428
05-01-2021,0.0054677,0.00554826,0.00517245,0.00542503,3466621.9117035,34719675.44339578
04-01-2021,0.00576913,0.00591695,0.0050779,0.00546175,3597838.23076092,34954687.50400014
03-01-2021,0.00562536,0.00638454,0.00544997,0.00577093,19644131.02499965,36933392.29446596
02-01-2021,0.0055426,0.0057762,0.00540392,0.00561034,4768134.21369001,35905640.86222918
01-01-2021,0.00499714,0.00558099,0.00495936,0.00554773,9111344.33025775,35504963.33765473
