Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,15.9236736,17.95978002,15.16604511,17.64940269,856743927.83,1734716173.93
14-04-2021,15.04803347,16.83332867,14.74365091,15.93256976,1073201977.55,1565930208.39
13-04-2021,14.53271804,15.48001456,14.19480037,15.04841678,748822916.68,1478990434.88
12-04-2021,14.98402044,16.11837695,14.41475255,14.55929577,788938798.99,1430879445.18
11-04-2021,15.89829202,15.89829202,14.61778836,15.00979041,685695893.7,1475113220.87
10-04-2021,15.76796928,16.43934156,14.96555597,15.84808723,942038989.84,1557455379.51
09-04-2021,16.77186234,16.77186234,15.13191285,15.77684427,1027953975.9,1550411323.29
08-04-2021,15.71389172,16.77142687,14.40497911,16.77142687,1668562702,1648105321.35
07-04-2021,15.37382835,17.90846166,13.82522679,15.63653267,3811089756.17,1536538466.97
06-04-2021,11.87626766,15.44208553,11.85551668,15.35414537,2644148716.61,1508748144.04
05-04-2021,10.95720351,12.18082028,10.92718702,11.85938207,931361903.83,1165309295.13
04-04-2021,9.93362091,11.11260231,9.83817705,10.95756154,741747410.85,1076666511.41
03-04-2021,10.32007342,11.5427114,9.93042453,9.93164333,914904931.28,975835052.98
02-04-2021,10.20574519,10.57173784,9.90026416,10.32517493,617034418.31,1014473803.3
01-04-2021,9.43243349,11.07295764,9.43243349,10.22371469,1556284355.33,1004477358.69
31-03-2021,8.83898619,9.63617845,8.28954685,9.4303691,799951358.86,926505969.85
30-03-2021,8.73583557,9.08534224,8.71411291,8.84038044,641135001.15,868517525.38
29-03-2021,8.3119416,8.76027157,8.13077431,8.74125526,565980176.23,858755363.5
28-03-2021,8.59381759,8.61324501,8.14133762,8.3144601,473677983.11,816803653.22
27-03-2021,8.6896993,9.23888411,8.2742115,8.59097083,860123637.37,843944782.01
26-03-2021,8.36292653,9.65316471,8.31432318,8.68259816,1507517066.19,852922568.63
25-03-2021,7.37655734,8.86770636,6.91791411,8.36338325,1958856484.87,821542234.55
24-03-2021,7.06914713,8.63770469,6.84063814,7.37175752,1262498263.19,724114123.86
23-03-2021,6.59629133,7.14239697,6.39251265,7.07233278,521306691.83,694683258.8
22-03-2021,6.61921745,7.11005722,6.48459193,6.59523262,566067545.6,647801955.9
21-03-2021,6.6442279,6.82565878,6.44140327,6.61938991,426289760.68,650156985.3
20-03-2021,7.04737076,7.36269783,6.63725803,6.63817693,472425866.57,651984218.59
19-03-2021,6.47155921,7.55000321,6.34464522,7.04988943,930248396.34,692402470.24
18-03-2021,6.21412704,6.70565187,6.11291082,6.47281985,440167949.87,635708173.46
17-03-2021,6.36094384,6.40304906,5.91139414,6.21367301,335761093.82,610240183.33
16-03-2021,5.97356681,6.40628722,5.67984398,6.35959435,404013934.48,624553736.08
15-03-2021,5.86898805,6.17724463,5.51451848,5.97528458,503141772.84,586795942.98
14-03-2021,6.14115354,6.27907196,5.82561997,5.8702793,267674922.61,576468029.38
13-03-2021,5.89733935,6.20473147,5.61020139,6.14059266,330772038.13,602996672.99
12-03-2021,6.12089382,6.16469598,5.7655514,5.89770369,293354396.74,579129358.97
11-03-2021,6.24376918,6.28202406,5.8982678,6.11817251,347292607.43,600761816.01
10-03-2021,6.55861394,6.56364291,6.09617709,6.24658032,424604435.24,613353849.82
09-03-2021,6.30303825,6.60499752,6.19988934,6.55855451,350693908.75,643968836.94
08-03-2021,6.34500348,6.39558756,6.05109968,6.3027801,303821357.91,618837939.48
07-03-2021,6.3445781,6.54200204,6.13105491,6.3432338,350113059,622792932.83
06-03-2021,6.56003147,6.60867295,5.95052692,6.3444615,471489894.5,622896341.89
05-03-2021,5.68787398,6.57027326,5.29771122,6.57027326,688118838.92,645048592.49
04-03-2021,5.37194966,5.89849407,5.25853898,5.68752221,520284341.09,558367537.57
03-03-2021,5.19277767,5.5239888,5.14963157,5.37334253,280977992.62,527508648.96
02-03-2021,5.26647336,5.37562951,4.98266007,5.19140405,308186594.44,509633618.58
01-03-2021,4.84749769,5.27055372,4.84749769,5.26901544,269955605.35,517238426.61
28-02-2021,5.29259438,5.36542159,4.5921995,4.8449728,330009263.88,475598715.39
27-02-2021,5.18606387,5.67002233,5.16015691,5.2924208,361543900.66,519507352.76
26-02-2021,5.11114168,5.35063773,4.72795735,5.18482472,102833012502.24,508931758.93
25-02-2021,5.307279,5.79768695,5.09643773,5.10642619,549699982.74,501222471.34
24-02-2021,5.12138544,5.60894446,4.89944993,5.30759216,678100931.47,520953761.58
23-02-2021,6.4006449,6.40422351,4.3006807,5.11835619,936476017.96,502209223.2
22-02-2021,7.12283486,7.12283486,5.48472252,6.4008107,846115636.2,628221268.75
21-02-2021,6.71179006,7.28258525,6.55529284,7.12196365,707387646.33,698981111.05
20-02-2021,7.26758952,7.35200438,6.48241855,6.71284262,601742279.51,658810060.36
19-02-2021,7.16358404,7.49134377,6.76869095,7.2682362,717100334.52,713297670.34
18-02-2021,6.65570516,7.29346198,6.64505974,7.1637639,751059428.26,703025546.7
17-02-2021,6.44148463,6.75874227,6.02735989,6.65696177,1014132932.36,653271708.23
16-02-2021,6.37190974,6.75625021,6.15849981,6.44319712,1018496405.45,632276942.71
15-02-2021,7.01167779,7.11884113,5.65538553,6.37335152,1246095023.76,625405619.36
14-02-2021,7.70508196,7.72585033,6.84825505,7.01441221,1134692738.76,688292907.17
13-02-2021,7.33092787,7.75021348,6.97287202,7.70575449,1227241836.34,756110366.26
12-02-2021,7.4671264,8.16323068,6.90035173,7.32915593,2206689085.38,719137635.4
11-02-2021,7.47193217,8.73114273,7.22500358,7.46877093,2574446851.6,732816569.24
10-02-2021,4.98930702,7.69557233,4.98930702,7.45178322,3438138153.78,727510886.19
09-02-2021,4.74313887,5.22281279,4.55987516,4.98763599,896035493.1,486925084.43
08-02-2021,4.23328735,4.79113621,4.08872246,4.7443046,995150888.02,463156681.55
07-02-2021,4.41404048,4.42905451,3.96137565,4.23324309,865131977.56,413253540.89
06-02-2021,3.84613698,4.55364122,3.668508,4.41254433,1019438926.72,430745092.71
05-02-2021,3.50568982,3.97079974,3.50160838,3.84617672,626635803.87,375446923.48
04-02-2021,3.68230707,3.71157186,3.35305042,3.50555119,554328086.3,342187058.88
03-02-2021,3.53654184,3.74984275,3.45222421,3.68121213,557261491.95,359323939.38
02-02-2021,3.45450556,3.6035534,3.35487649,3.53628107,501768764.12,345167596.01
01-02-2021,3.27705098,3.50759529,3.18034198,3.45390781,576357428.78,337118076.98
31-01-2021,3.29666958,3.50583506,3.18518294,3.27646981,445676774.66,319790346.04
