Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,1.02322166,1.14331443,1.02024823,1.10514007,234233174.21,1102004846.33
14-04-2021,1.01896455,1.06434598,0.9872187,1.02453286,157481058.08,1021626309.95
13-04-2021,1.02647343,1.04339371,0.99863232,1.01896726,99791470.78,1016076497.02
12-04-2021,1.04774007,1.06880156,1.006615,1.02766145,112768408.47,1024746031.8
11-04-2021,1.06785671,1.09178401,1.04310459,1.04778506,107078613.69,1044812542.62
10-04-2021,1.0484106,1.11946407,1.03829498,1.06699151,172277440.35,1063964507.55
09-04-2021,1.03167743,1.08179316,1.02043262,1.04726442,121494905.94,1044293382.41
08-04-2021,0.98886629,1.04489457,0.98147165,1.03172827,105238311.66,1028801310.36
07-04-2021,1.08152376,1.09302653,0.94088036,0.98727022,179377991.09,984469385.31
06-04-2021,1.03925373,1.18812029,1.02600293,1.08312173,297566627.25,1080048964.66
05-04-2021,1.08514083,1.08926809,1.01394185,1.03846644,157119805.43,1034481897.07
04-04-2021,1.01375822,1.10913865,0.99128868,1.08514388,135819376.16,1080980239.19
03-04-2021,1.10553736,1.12565532,1.01340044,1.01449651,129864865.36,1010603936.47
02-04-2021,1.04820683,1.13501082,1.04026349,1.10538785,155926520.39,1101146537.9
01-04-2021,1.02705908,1.08272106,1.01968912,1.04830469,135110551.46,1044282396.84
31-03-2021,1.07044471,1.0803055,0.98145131,1.0263014,155932312.79,1022363538.44
30-03-2021,1.08701473,1.12196286,1.05846248,1.07054355,121549087,1066435933.33
29-03-2021,1.01189719,1.09843254,0.99489377,1.08664978,156144963.95,1082480364.29
28-03-2021,0.96886631,1.05734712,0.96420823,1.01099142,155533880.24,1007112301
27-03-2021,0.95610912,1.02018052,0.89815645,0.96869871,131007792.71,964981866.61
26-03-2021,0.85165556,0.96942208,0.85165556,0.95531487,99268062.1,951649375.64
25-03-2021,0.88152352,0.88780546,0.81293381,0.85216649,134838814.58,848896766.73
24-03-2021,0.96374131,1.02014278,0.86892393,0.88281259,103590546.55,879425286.73
23-03-2021,1.002598,1.02994857,0.95839716,0.96435322,87831938.18,960653045.22
22-03-2021,1.06878568,1.11350316,0.99363333,1.00439326,110808496.37,1000539455.95
21-03-2021,1.07524615,1.09213479,1.03771008,1.06871145,73311609.58,1064610855.63
20-03-2021,1.10755831,1.15509843,1.07415931,1.07446115,91551504.47,1070338495.19
19-03-2021,1.09763733,1.14516421,1.05965951,1.1076791,90163325.69,1103428995.78
18-03-2021,1.1028255,1.18544508,1.08743119,1.09795086,132612128.22,1093738077.41
17-03-2021,1.09806934,1.11130122,1.02752557,1.10474702,109743944.15,1100508165.04
16-03-2021,1.08756745,1.12397283,1.01630031,1.09791209,116987706.95,1093699457.89
15-03-2021,1.10516211,1.14454812,1.0346928,1.08749239,125068505.38,1083319736.34
14-03-2021,1.19949932,1.19996384,1.10526323,1.10526323,104301668.21,1101022390.07
13-03-2021,1.16203847,1.22464179,1.11112677,1.20124771,117153221.57,1196638582.8
12-03-2021,1.24947471,1.25596921,1.11633867,1.16122757,149292654.26,1156771997.24
11-03-2021,1.23554311,1.31760902,1.20921569,1.24877252,161061095.08,1243981044
10-03-2021,1.33820101,1.36317633,1.20699463,1.23707409,216214256.52,1232327498.14
09-03-2021,1.20787738,1.37870457,1.18419416,1.33759795,270329728.36,1332465658.35
08-03-2021,1.17650638,1.27065701,1.13305444,1.20732342,252691468.51,1202690985.57
07-03-2021,1.07114925,1.19623819,1.05474672,1.17713272,161213104.72,1172616117.13
06-03-2021,1.04816952,1.09113433,1.02169765,1.07063588,74555999,1066527900.84
05-03-2021,1.04519282,1.08747253,0.97712615,1.04908596,113388253.98,1045060665.83
04-03-2021,1.12130709,1.14980928,1.02165752,1.04634833,133898323.16,1042333542.14
03-03-2021,1.10371904,1.16248037,1.08378939,1.12127951,132978692.53,1116977217.85
02-03-2021,1.14970248,1.17725586,1.04370723,1.10299126,144541871.74,1098759138.83
01-03-2021,1.04307594,1.19126988,1.03237554,1.14806786,199647854.51,1142859133.37
28-02-2021,1.07326918,1.07573486,0.89856023,1.0401023,171288016.57,1035279397.65
27-02-2021,1.01618207,1.13628112,1.01618207,1.07235802,168910824.75,1067385554.67
26-02-2021,1.07370436,1.13152195,0.97264062,1.01558336,193177396.8,1010874152.98
25-02-2021,1.14406258,1.25796628,1.06967612,1.06967612,206517164.29,1064716084.09
24-02-2021,1.12018585,1.29165772,1.04603816,1.14374137,294092912.42,1138437895.75
23-02-2021,1.34821248,1.34832991,0.90713923,1.11641658,443074157.46,1111239809.56
22-02-2021,1.38591131,1.39717274,1.03029675,1.34882102,404707950.42,1342566607.05
21-02-2021,1.41205734,1.56582416,1.33699798,1.38566105,309625987.96,1379235806.92
20-02-2021,1.73661201,1.82718691,1.30367381,1.41225849,633889438.11,1405709922.08
19-02-2021,1.19536751,1.72938822,1.09447484,1.72938822,865646729.21,1721369136.25
18-02-2021,1.01520787,1.22506342,0.98194628,1.19438262,306652934.92,1188844325.05
17-02-2021,1.07652774,1.08267801,0.94108111,1.01240164,286173289.16,1007707184.13
16-02-2021,0.90731305,1.1006806,0.87783189,1.07591122,476045205.92,1070922278.48
15-02-2021,0.90157846,0.96515383,0.7352386,0.90892631,329921594.77,904711664.88
14-02-2021,0.99433326,1.00969373,0.87134728,0.90197464,190597752.21,897792227.1
13-02-2021,1.05066408,1.08248185,0.90953562,0.99485012,257418593.77,990237055.58
12-02-2021,0.99399283,1.10084186,0.9292346,1.0534505,294201098.54,1048565698.88
11-02-2021,0.85421117,1.04021004,0.8446012,0.99693271,308399399.52,992309988.84
10-02-2021,0.87412365,0.94727374,0.79899166,0.85449485,249741520.69,850532599.21
09-02-2021,0.80717212,0.91366866,0.77788577,0.87497106,217786432.85,870913859.27
08-02-2021,0.77079815,0.8666453,0.74873996,0.80929445,226236324.18,805541789.06
07-02-2021,0.78052228,0.79429943,0.69802327,0.77178496,196357260.02,768206236.27
06-02-2021,0.84213007,0.91939014,0.77301898,0.78059546,273250887.09,776975882.18
05-02-2021,0.80633414,0.99398697,0.80633414,0.84270827,383685245.52,838800672.41
04-02-2021,0.68533933,0.84844496,0.67715286,0.80352378,269915915.48,799797884.72
03-02-2021,0.66993153,0.69776842,0.63903875,0.68562018,117744755.26,682440993.03
02-02-2021,0.62403558,0.73807114,0.60873294,0.67029129,194195481.27,661335161.55
01-02-2021,0.63034219,0.63193195,0.58347271,0.62400728,114810931.82,552194834.84
31-01-2021,0.58880541,0.66596174,0.58291705,0.63063481,171748113.09,558059649.61
30-01-2021,0.56694228,0.60925567,0.55022624,0.58893328,88165724.98,521157247.42
29-01-2021,0.60306772,0.60550126,0.55348867,0.56683643,112310057.75,501603357.9
28-01-2021,0.52188093,0.60888014,0.5126642,0.58149212,118366533.68,514572435.47
27-01-2021,0.59484896,0.59987163,0.51487954,0.52228103,105906470.73399495,462175511.89862573
26-01-2021,0.57347741,0.60474252,0.53033242,0.59475945,116933758.44686879,526312917.4354767
25-01-2021,0.62945488,0.63663877,0.56964276,0.57359399,107868689.78453183,507583235.47923666
24-01-2021,0.62646167,0.64911772,0.59747656,0.62903253,115197655.73725311,556641758.3981045
23-01-2021,0.63585791,0.68356538,0.60234331,0.62673794,156929319.15128204,554611240.5954541
22-01-2021,0.58308132,0.68769017,0.52651206,0.63603827,172311872.11235818,562841259.8130224
21-01-2021,0.75824341,0.76522701,0.5701079,0.58297264,198607795.58055204,515882571.4871165
20-01-2021,0.68514246,0.77797782,0.63954439,0.75510254,360786264.4307901,668203287.3565117
19-01-2021,0.59394819,0.71016935,0.57556939,0.68569362,196746299.33469698,606782141.1442574
18-01-2021,0.61999099,0.68281208,0.57018105,0.59370993,172470417.16834792,525384179.93501407
17-01-2021,0.53806224,0.64867134,0.5196795,0.61961159,209764078.69524983,548304878.5567985
16-01-2021,0.51964957,0.57860926,0.48936814,0.53942079,146456261.43572515,477342668.0790052
15-01-2021,0.47508506,0.56706378,0.44762303,0.52032042,201960968.81650174,460440420.0110569
14-01-2021,0.43705332,0.49281872,0.41363042,0.47396146,139569790.71008128,419416590.04313785
13-01-2021,0.35855749,0.4366456,0.35055895,0.4366456,93314693.253016,386395145.7938128
12-01-2021,0.36686199,0.39902638,0.34703245,0.35858921,75355221.28145355,317321717.43518615
11-01-2021,0.41254019,0.41257191,0.31159435,0.36722987,107497095.25382659,324967984.1994143
10-01-2021,0.44584783,0.45857031,0.37241316,0.41241288,123462478.26221964,364951202.4740215
09-01-2021,0.38610728,0.47002958,0.36684056,0.44612848,151546647.29912132,394786713.33894324
08-01-2021,0.36409164,0.42339484,0.33135265,0.38605884,132558507.96148592,341630056.0093005
07-01-2021,0.3700617,0.44327024,0.35393742,0.36401865,142135892.65025523,322126322.5097597
06-01-2021,0.34394784,0.38053004,0.33103244,0.36967705,92613974.78925423,326991374.316737
05-01-2021,0.33652898,0.35456909,0.31558376,0.34453335,74509744.55829127,304750957.23825663
04-01-2021,0.33366601,0.36601221,0.30158683,0.33649376,89327151.85572168,297639672.269824
03-01-2021,0.31230454,0.33936786,0.30524882,0.33315485,82186903.41302203,294686303.7953141
02-01-2021,0.31703866,0.32207897,0.30157092,0.31219479,49656175.09233529,276146441.48355114
01-01-2021,0.32154612,0.34324471,0.31042379,0.31702494,58223434.65781093,280418867.1426885
31-12-2020,0.32444339,0.32702957,0.30187167,0.32134134,55234124.98008995,284236865.692362
30-12-2020,0.35512224,0.35873841,0.3163639,0.3245663,102706228.31739889,287089446.4074205
29-12-2020,0.33500707,0.40763797,0.32812636,0.35618934,177774678.7209923,315061055.5631777
28-12-2020,0.28056503,0.369555,0.27881157,0.33501822,130767463.04158466,296334514.22813815
27-12-2020,0.2575499,0.29467047,0.25014511,0.28050025,52288823.5586435,248111591.0023177
26-12-2020,0.26953515,0.27133122,0.25133538,0.25753812,29909119.44217194,227800840.9299258
25-12-2020,0.27046669,0.27678468,0.25972983,0.26958867,28506682.87102952,238459946.0122304
24-12-2020,0.25061807,0.27440983,0.24275819,0.27044267,35090208.54267481,239215337.25206456
23-12-2020,0.28949864,0.29702971,0.23213234,0.2502401,45044137.66995075,221345511.38537535
22-12-2020,0.26741391,0.29552456,0.26353515,0.28948581,42878917.98223063,256059613.1703251
21-12-2020,0.27848935,0.28938378,0.25896034,0.26784219,31141485.94755075,236915132.38305962
20-12-2020,0.29267485,0.29322424,0.27343184,0.27846659,28749509.94138473,246312755.58939776
