Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,15.32348643,15.99513604,14.2306051,14.60547292,211402368.9,3390744681.81
14-04-2021,13.28774754,16.73281124,13.27176514,15.3339285,481367863.76,3547132680.55
13-04-2021,12.09774351,13.39021652,11.69227527,13.2662854,217096235.73,3068833567.93
12-04-2021,11.01733566,12.30216792,10.49960859,12.09909322,154273297.93,2804881494.59
11-04-2021,11.89365762,11.97467499,10.98197672,11.05969807,95756045.32,2560605012.37
10-04-2021,11.87571936,12.8680707,11.32104482,11.91280434,154611223.43,2758121092.52
09-04-2021,10.21725274,12.07214241,10.21725274,11.91722322,210385178,2759144175.2
08-04-2021,9.1620602,10.34573435,9.15488907,10.21366499,100229934.28,2364726559.75
07-04-2021,9.90303592,10.20131181,8.87973517,9.133541,107367684.88,2114650031.91
06-04-2021,9.83537001,10.0381961,9.13040924,9.91151931,123353588.78,2294772051.96
05-04-2021,10.41039792,10.92083128,9.52777942,9.76867702,133854763.39,2261700381.12
04-04-2021,9.23959559,10.47030861,9.12422672,10.39180171,145562389.75,2408567750
03-04-2021,8.41480929,9.45186929,8.222327,9.11609369,101953883.09,2112889552.6
02-04-2021,8.37156401,8.81949469,7.95596108,8.41634154,82747295.04,1950703966.36
01-04-2021,7.94148853,8.92152647,7.94148853,8.42833681,115706548.44,2008268367.59
31-03-2021,7.294262,8.03041591,6.9796658,7.94239005,103055695.75,1892479034.44
30-03-2021,6.73255581,7.30727613,6.64827445,7.29698187,86710265.03,1738693907.87
29-03-2021,6.16662016,6.73736927,6.12795718,6.73038443,52322204.36,1603687472.77
28-03-2021,6.24392188,6.50946457,5.93006416,6.17245534,45465139.71,1470746493.89
27-03-2021,5.93080401,6.4272513,5.75108817,6.24612773,51032312.27,1488300838.74
26-03-2021,4.778403,5.9354859,4.77794522,5.93416565,47457733.44,1413967835.82
25-03-2021,4.66073378,4.92623546,4.52502654,4.78103954,35322427.12,1139205835.05
24-03-2021,5.13266087,5.41240269,4.59848606,4.66183454,47089467.86,1110802173.34
23-03-2021,5.27074332,5.36343712,4.94850463,5.14376126,44186087.06,1225633629.63
22-03-2021,5.63699764,5.66902112,5.02212783,5.27558822,37353218.58,1257044798.93
21-03-2021,5.8052185,5.81612178,5.39572452,5.63491756,26930217.36,1342664270.92
20-03-2021,5.5922121,6.04722647,5.56482044,5.78976698,22833427.15,1379561133.12
19-03-2021,5.64609,5.7005229,5.49918859,5.58716834,23137083.73,1331286787.45
18-03-2021,5.82930049,5.99302953,5.60884939,5.64549917,28974315.59,1345185610.7
17-03-2021,5.57557498,5.88056471,5.41869461,5.82854655,34700391.95,1388801365.69
16-03-2021,5.66942678,5.74982854,5.35087586,5.57285277,34526244.22,1327875735.15
15-03-2021,5.5709907,5.85034207,5.22655265,5.67956178,56673866.66,1353301906.31
14-03-2021,6.11082432,6.14147751,5.57856277,5.57856277,43098475.48,1329236289.09
13-03-2021,5.99308622,6.28587061,5.81924736,6.11379034,30887194.51,1456768045.11
12-03-2021,6.42320238,6.47054768,5.71770262,5.98805712,54793594.18,1426808867.47
11-03-2021,6.32761882,6.76266445,6.13398478,6.42318047,62099271.23,1530488215.29
10-03-2021,6.14458262,6.64566441,5.80361571,6.34352977,72196977.74,1511509382.61
09-03-2021,5.82131746,6.17678528,5.75963078,6.14605792,48257045.04,1464456627.49
08-03-2021,5.70334955,5.84318934,5.36920815,5.8154443,38013122.93,1385679416.64
07-03-2021,5.69863658,5.98509377,5.52498434,5.70426508,39504238.63,1359188102.66
06-03-2021,5.51660178,5.90487129,5.39914947,5.71053678,45664847.97,1360682497.24
05-03-2021,5.26806418,5.65310971,4.96506601,5.53264152,49489057.64,1318294368.25
04-03-2021,5.72672761,5.74649428,5.12537878,5.27787492,56966800.68,1257589661.86
03-03-2021,5.17613515,6.08864496,5.10043754,5.72566955,81979847.89,1364288269.73
02-03-2021,5.17808015,5.65342101,4.92701206,5.18429069,77175567.69,1235290809.59
01-03-2021,4.36286853,5.18411812,4.36202135,5.17889205,50745642.6,1234004444.42
28-02-2021,4.53020317,4.54487029,3.91176137,4.35565776,46804658.91,1037847668.58
27-02-2021,4.40170019,4.79377242,4.39981613,4.53685578,47542059.94,1081022763.23
26-02-2021,4.46379903,4.93772736,4.03271571,4.39924997,61943279.99,1048234633.75
25-02-2021,4.93271409,5.25730147,4.44690131,4.44690131,65092145.96,1059588792.94
24-02-2021,4.90633066,5.58307193,4.46801631,4.93219629,98969669.53,1175222823.44
23-02-2021,4.49588671,4.93428205,3.13843188,4.89970031,166670408.16,1167479820.4
22-02-2021,4.7781187,4.7812379,3.70054871,4.49974477,101557762.1,1072180108.67
21-02-2021,5.12137248,5.26771812,4.65691854,4.77205952,68013676.57,1137066114.42
20-02-2021,4.77162926,5.65926737,4.52721286,5.13451902,188225580.25,1223431426.06
19-02-2021,3.98476606,4.97634986,3.86568076,4.77600302,104179704.17,1138005753.05
18-02-2021,4.00815879,4.26931309,3.94919274,3.98850821,49678368.54,950364829.18
17-02-2021,3.91711268,4.07867958,3.58595385,4.01896862,42287846.95,957622805.49
16-02-2021,3.87164679,4.19324063,3.64343313,3.91283436,40750102.32,619918518.97
15-02-2021,3.98398227,4.36523785,3.44116379,3.88616231,57299364.47,615692809.72
14-02-2021,4.39390049,4.52397031,3.88660689,3.99757241,52611341.64,633343745.4
13-02-2021,4.30573633,4.41498042,3.94359776,4.39331072,92152090.45,696041392.39
12-02-2021,4.50447984,4.51517369,4.12825225,4.30303927,71755203.79,681739498.14
11-02-2021,4.46407193,4.6898999,4.36973878,4.5113345,50638444.28,714740145.44
10-02-2021,4.58103815,4.96836557,4.23593547,4.46583401,76114926.22,707531408.61
09-02-2021,4.59371788,4.75057156,4.3332636,4.58071255,77451416.78,725731856.1
08-02-2021,3.79690251,4.59341933,3.57087654,4.59341933,128762067.52,727745016.48
07-02-2021,3.55765859,3.83552266,3.04565544,3.79710445,102264173.52,601583188.3
06-02-2021,3.9633173,3.99437484,3.43056949,3.55551176,73954471.44,563307153.24
05-02-2021,3.90020007,4.31604641,3.84208175,3.96270341,72755407.31,627819377.39
04-02-2021,3.72857126,4.19292827,3.60544027,3.89933393,68933621.28,617779618.47
03-02-2021,3.80054903,3.89853416,3.6834494,3.72606505,47599132.74,590328267.22
02-02-2021,4.17217699,4.23351832,3.64590458,3.80102583,76521882.61,602204459.44
01-02-2021,3.61722168,4.24939212,3.42929489,4.17314762,113539238.48,661160491.82
31-01-2021,3.87860667,4.02547412,3.38247892,3.61798441,80728086.1,573204825.07
30-01-2021,3.63085603,3.99001738,3.52899362,3.87481301,93501799.79,613894717.33
29-01-2021,3.22309421,3.64553204,3.03961256,3.63067958,101955360.64,575216148.76
28-01-2021,2.52701772,3.3355241,2.4992814,3.16919658,131428651.9,502102432.59
27-01-2021,2.41168789,2.53229914,2.1889607,2.53229914,41978379.40810241,401197441.0219927
26-01-2021,2.38026515,2.46792667,2.20340949,2.40981126,35904659.08726113,381791430.4042581
25-01-2021,2.59467907,2.63783832,2.23532844,2.37960528,45270068.44043226,377005833.7507608
24-01-2021,2.36926409,2.63799914,2.35167582,2.59548071,42071588.55076157,411207428.98718095
23-01-2021,2.13035754,2.5610641,2.09619722,2.36783733,64294081.87204695,375141413.73710203
22-01-2021,1.64238897,2.17080985,1.55992898,2.13155783,49476503.2777243,337707157.87881106
21-01-2021,2.01640891,2.02718331,1.60714754,1.64398738,31225837.46850307,260460354.53140885
20-01-2021,2.00204579,2.05088962,1.80184041,2.01550423,35438542.80214867,319320544.84516877
19-01-2021,2.0711879,2.20354831,1.95841093,2.00692695,39597257.68336297,317961628.34565127
18-01-2021,1.94975101,2.08122677,1.85514377,2.06827517,24542016.50257538,327681154.3057629
