Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,1.17199109,1.26390234,1.16038145,1.26390234,11339591.4,467533358.41
14-04-2021,1.24451003,1.28872229,1.111413,1.17150383,15352881.51,433161836.94
13-04-2021,1.25130291,1.26090679,1.15285273,1.24425214,11037197.46,459778322.5
12-04-2021,1.30942902,1.35174896,1.20869732,1.25392021,11009258.65,463149137.01
11-04-2021,1.41002224,1.41002224,1.20702109,1.31235154,17969433.08,484664651.29
10-04-2021,1.24876535,1.43605475,1.1745473,1.40294909,47377594.09,519806612.03
09-04-2021,1.03385254,1.33034245,1.00663737,1.23874903,35049655.54,459332046.09
08-04-2021,0.90222143,1.05736216,0.88107385,1.03253288,13476033.56,382783270.55
07-04-2021,1.14453866,1.23059084,0.80769042,0.91462359,23433588.83,338676087.59
06-04-2021,1.19840375,1.19840375,1.07749312,1.14021723,45161301.14,421803793.29
05-04-2021,1.23120845,1.24937553,1.14631883,1.19452885,49672136.84,441576427.43
04-04-2021,1.16409379,1.23986346,1.13323207,1.22722769,43188310.96,453400695.88
03-04-2021,1.31369639,1.39623039,1.11596698,1.16861605,81030646.65,431462327.7
02-04-2021,1.26215336,1.41902318,1.15413986,1.30249904,124159128.09,480899379.54
01-04-2021,1.29227126,1.35003749,1.18638768,1.2582032,73938881.66,464521279.79
31-03-2021,1.18953959,1.31957637,1.07835304,1.28467813,143584923.79,475302061.16
30-03-2021,0.98375073,1.38780487,0.95519919,1.18854396,391752808.15,441734249.81
29-03-2021,0.82079861,1.0514401,0.77782331,0.9720103,102355518.54,361497740.24
28-03-2021,0.75464477,0.89739057,0.74891238,0.82408658,164816017.69,307181116.82
27-03-2021,0.72575425,0.76501735,0.70022207,0.75373135,26341604.91,280938062.33
26-03-2021,0.66035842,0.73128807,0.65876499,0.72244884,52027821.73,269178451.66
25-03-2021,0.69181295,0.72406153,0.63024514,0.66040407,34757806.23,245584434.72
24-03-2021,0.81332909,0.81332909,0.68951818,0.69325741,54584491.89,257750270.52
23-03-2021,0.74997442,0.91820894,0.74997442,0.81245076,309925476.92,302535359.78
22-03-2021,0.57564676,0.86573488,0.55655351,0.76019778,475655991.31,284397713.47
21-03-2021,0.56328131,0.58077061,0.53099322,0.57574257,27977009.71,215657977.47
20-03-2021,0.58432046,0.6540802,0.55121337,0.56375167,45568954.89,211712154.71
19-03-2021,0.49505297,0.59967324,0.47416574,0.58151329,44087462.24,218869503.32
18-03-2021,0.49161273,0.51761536,0.46794474,0.49503188,20487724.03,186571800.69
17-03-2021,0.46707907,0.49104325,0.4348091,0.49104325,17930882.71,185028293.25
16-03-2021,0.45375923,0.46855227,0.42865563,0.46787049,17957967,176068115.22
15-03-2021,0.47924287,0.49199933,0.42150311,0.45455485,26021050.05,170978936.61
14-03-2021,0.49345501,0.49345501,0.45493263,0.47930872,16893614.48,180250765.99
13-03-2021,0.47437483,0.49695488,0.4398114,0.4941474,25324015.54,185876970.95
12-03-2021,0.45762471,0.50436677,0.44131414,0.47357017,46344419.28,178115711.53
11-03-2021,0.46214064,0.46214064,0.44200448,0.45742667,14475535.79,172048914.87
10-03-2021,0.47570818,0.47570818,0.43839261,0.46053448,16573799.81,173152016.89
09-03-2021,0.46153572,0.47567292,0.44794486,0.47567292,15306189.32,178837245.77
08-03-2021,0.466881,0.47099748,0.4443067,0.46074647,12474827.95,173305675
07-03-2021,0.45120859,0.49104005,0.4483302,0.4677597,28803509.25,176058837.34
06-03-2021,0.44246156,0.45283355,0.4197176,0.45283355,16046511.12,170418972.79
05-03-2021,0.44388605,0.44592138,0.40188137,0.44328026,12398198.18,166890379.53
04-03-2021,0.44710637,0.46828052,0.41852064,0.4446106,20649195.7,167342939.42
03-03-2021,0.43195957,0.45191953,0.42397955,0.44884095,19254883.96,168992973.04
02-03-2021,0.4445302,0.44917007,0.40050869,0.43032179,13173113.09,162000355.55
01-03-2021,0.42258453,0.44941861,0.40246114,0.44827026,16584109.77,168610953.64
28-02-2021,0.45395522,0.47431158,0.38601209,0.42251145,29860470.91,158975958.92
27-02-2021,0.44987594,0.50504053,0.43410438,0.45642535,55899803.72,171966814.25
26-02-2021,0.37682406,0.45992805,0.3509532,0.45487633,92545453.31,171866741.57
25-02-2021,0.37959942,0.46118336,0.36743707,0.37756256,42919511.51,142624108.29
24-02-2021,0.35471585,0.39231552,0.33875384,0.37959922,25272309.84,142720657.56
23-02-2021,0.46369957,0.4652956,0.2821016,0.35470811,34577388.96,132602298.05
22-02-2021,0.5415053,0.55921393,0.39863811,0.46623137,38188752.35,174148658.55
21-02-2021,0.46854091,0.65317954,0.46814141,0.54403946,105641677.44,203236477.1
20-02-2021,0.52424591,0.52512766,0.45449815,0.48725462,21899994.04,182097848.21
19-02-2021,0.50759058,0.5295946,0.45092857,0.52426986,34258951.42,196254374.21
18-02-2021,0.45735541,0.5144556,0.43084239,0.50838339,40454098.13,190465908.72
17-02-2021,0.44190988,0.45736144,0.39391757,0.45736144,33172145.98,171658050.99
16-02-2021,0.41958795,0.48676416,0.41328305,0.44351589,59752783.71,166696516.57
15-02-2021,0.37412981,0.47112186,0.35129938,0.41957171,80961628.75,158117284.41
14-02-2021,0.38391806,0.39818275,0.3536168,0.37358821,22387907.03,141075926.78
13-02-2021,0.34520818,0.38465819,0.3264339,0.38465819,25613567.82,145594340.33
12-02-2021,0.33599501,0.35500199,0.31268356,0.34593728,19779866.62,131982090.5
11-02-2021,0.28315191,0.34537985,0.27011536,0.33284233,44615117.17,127682806.2
10-02-2021,0.2509911,0.28866867,0.24473535,0.28227699,21031943.86,108742754.07
09-02-2021,0.23568807,0.25207931,0.22990457,0.25174194,11037458.94,97091319.55
08-02-2021,0.21765603,0.23643046,0.21687263,0.23643046,12690751.66,91191377.4
07-02-2021,0.23072274,0.23253125,0.20849269,0.21845579,10782087.51,84457359.73
06-02-2021,0.24925504,0.26053835,0.22242172,0.22916117,14171722.42,89033789.74
05-02-2021,0.20087866,0.26444868,0.19581838,0.25095026,40046585.79,97720373.74
04-02-2021,0.20452055,0.2086202,0.19160996,0.20080136,7028001.74,78352179.87
03-02-2021,0.19601264,0.20675357,0.19268483,0.20386738,10236512,79821558.81
02-02-2021,0.19054166,0.19596348,0.18282352,0.19543046,4150290.64,76566971.17
01-02-2021,0.18281681,0.19077478,0.1789535,0.18915408,5225176.04,74156465.8
31-01-2021,0.18757189,0.19036462,0.179736,0.18282242,3889490.58,71690277.93
30-01-2021,0.1849301,0.19392533,0.17914424,0.18749938,5447135.51,73641811.2
29-01-2021,0.17800357,0.20997932,0.17682328,0.18446042,16032421.52,72534798.46
28-01-2021,0.17097098,0.18096507,0.16781442,0.17729806,3438723.04,69736685.98
27-01-2021,0.18219292,0.18335891,0.16538287,0.17099652,3485018.54277874,67147609.90080102
26-01-2021,0.1835132,0.18483281,0.17591366,0.18213899,2806040.28705851,71441348.6616843
25-01-2021,0.18535684,0.18992474,0.18224772,0.18303132,3394845.65731496,71743019.57411446
24-01-2021,0.18227501,0.18693132,0.17921361,0.18536748,3598099.2060446,72709392.79212709
23-01-2021,0.18461368,0.18542641,0.17594151,0.18161287,3308090.09829123,71221135.03260095
22-01-2021,0.18100173,0.18571339,0.16098095,0.18526356,5468986.2078313,72288888.66957648
21-01-2021,0.20286073,0.20286073,0.1771521,0.18102738,4839208.45162269,70423710.4520637
20-01-2021,0.20297807,0.21005373,0.19030272,0.20287279,6828903.60179656,78904848.8678028
19-01-2021,0.20880273,0.20885547,0.20111029,0.20239176,5726437.8300233,78855886.2579886
18-01-2021,0.20093184,0.22123566,0.18908536,0.20809706,14967076.01152437,81406190.04177298
17-01-2021,0.18363772,0.20977725,0.1782036,0.19931392,19305067.01725961,78023655.28049135
16-01-2021,0.17849724,0.18838755,0.17747715,0.18432972,4262039.38826529,72175225.44582392
15-01-2021,0.18423224,0.18505129,0.16970524,0.17790293,3725939.28447072,69741420.44881822
14-01-2021,0.18327924,0.18905889,0.17607469,0.18350661,4719923.14141983,72098265.43995684
13-01-2021,0.17444984,0.18404868,0.16883633,0.18329057,3433392.05079677,72033981.72406878
12-01-2021,0.17805281,0.18415365,0.16827856,0.17427236,4646811.59180258,68209438.31597283
11-01-2021,0.20609003,0.20698529,0.16309647,0.17737162,9907322.33811161,69219956.98728785
10-01-2021,0.20745933,0.24003774,0.18541237,0.20527745,30533986.78828979,80058024.66539814
09-01-2021,0.19271493,0.21042705,0.18691345,0.20669811,8905035.43327902,80736636.82190482
08-01-2021,0.18840783,0.19454633,0.1737353,0.19409833,7426343.70719797,75973749.9526311
07-01-2021,0.18750312,0.19721318,0.18151601,0.18840802,10239738.91412344,74301001.87086853
06-01-2021,0.16948136,0.18997942,0.16386317,0.18750126,8218552.15886531,74098335.0918317
05-01-2021,0.16520409,0.17015279,0.15593538,0.16943996,4379411.63091265,66985619.76565989
04-01-2021,0.16610969,0.17420203,0.14926394,0.16515121,6254352.30625653,65237340.49704073
03-01-2021,0.16589854,0.16672236,0.15862583,0.16576471,4827645.86784428,65503997.62320521
02-01-2021,0.16284302,0.17567447,0.16214088,0.16588014,6072754.48602962,65535277.02614939
01-01-2021,0.156689,0.16443242,0.15643277,0.16186904,2903340.51614848,64013388.674579
31-12-2020,0.15772356,0.15915146,0.1540492,0.15673198,1782715.35678363,61968316.28348601
30-12-2020,0.16206316,0.16271121,0.15653055,0.15764723,1796728.43602994,62278946.910866
29-12-2020,0.16484447,0.16609303,0.1553728,0.16282217,2636045.8238706,64233068.35580895
28-12-2020,0.15898517,0.16623062,0.1581333,0.16337354,2391045.38142318,64436482.27254502
27-12-2020,0.16155822,0.16752316,0.15430923,0.15951456,3385419.78709691,62937715.21370121
26-12-2020,0.15979416,0.16262557,0.15549387,0.16154677,1956075.18277504,63763547.25416644
25-12-2020,0.16074863,0.16678316,0.15462415,0.15980637,2028942.63635336,63062779.73769954
24-12-2020,0.15028364,0.16211712,0.14693184,0.16139242,2509541.22807035,63350117.08428031
23-12-2020,0.1707899,0.17383184,0.14914607,0.15029354,3366144.67139351,58856554.06045536
22-12-2020,0.17403844,0.17463681,0.16584841,0.17072112,2845780.13509903,66395349.91787853
21-12-2020,0.18378893,0.18698179,0.1674903,0.17338,3481039.50159401,67356871.55344236
20-12-2020,0.19190671,0.19201648,0.18226292,0.18323892,3537403.64503584,71171405.13336137
19-12-2020,0.18273436,0.20330765,0.18262455,0.19189698,7466689.56013561,74787587.8637877
18-12-2020,0.17587654,0.20029936,0.17241708,0.18340824,12228145.12409988,71531645.45070899
17-12-2020,0.17777589,0.17883574,0.17210621,0.17592777,3360526.67734368,68699746.02548085
16-12-2020,0.17778577,0.17840329,0.1676475,0.17755029,3182445.78484906,69387879.73471776
15-12-2020,0.17127209,0.17911115,0.16986786,0.17790006,2258454.62127515,69544938.06150264
14-12-2020,0.16896369,0.17622244,0.16862345,0.17094193,2199606.57421261,66878443.80561369
13-12-2020,0.17007249,0.1733209,0.16605946,0.16893643,1834018.45584009,66150780.83484207
12-12-2020,0.16118833,0.17150225,0.1589639,0.1700649,2342894.92121096,66578170.74740277
11-12-2020,0.16796455,0.16808995,0.15952123,0.16055914,2094844.42753946,62743838.06658323
10-12-2020,0.17534481,0.17534481,0.16506951,0.16795098,1949100.40873881,65485335.33156332
09-12-2020,0.18011426,0.18195995,0.16244698,0.17532086,3525985.46327636,68116249.45452751
08-12-2020,0.18222594,0.19338221,0.17729967,0.17934894,5287632.99492601,69634315.07549883
07-12-2020,0.1828181,0.18451216,0.17785814,0.18219928,2357809.04187887,70725623.27521037
06-12-2020,0.18713793,0.18810188,0.18004186,0.18282866,2412306.83938214,70890954.10577972
05-12-2020,0.18099999,0.18727202,0.17947866,0.18645204,2608042.1023756,72093575.221422
04-12-2020,0.19594255,0.19684755,0.17837468,0.18104278,4900048.38723616,69788196.60813749
03-12-2020,0.20266522,0.20921706,0.19281061,0.19595143,11372048.40276846,75520093.06002717
02-12-2020,0.19530162,0.228844,0.18481392,0.20349473,51617661.2444086,79127496.13672905
01-12-2020,0.17349899,0.24687704,0.16626657,0.19700888,61754940.55904575,76663635.0866889
30-11-2020,0.17131035,0.17433998,0.16424468,0.17289837,2084541.97681675,67367872.0183956
29-11-2020,0.17521561,0.17611128,0.16940319,0.17129794,1574693.3263094,66833534.53565547
28-11-2020,0.16641904,0.17816674,0.16363829,0.1752141,2099175.05797772,68346461.75111786
27-11-2020,0.16852054,0.1748675,0.15993491,0.16628874,2788562.82708905,64620961.69907896
