Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,2.69607119,2.72391265,2.47910903,2.67968679,79564566.01,2914695333.87
14-04-2021,2.30293519,2.70346051,2.17572549,2.70346051,136654478.73,2940121465.58
13-04-2021,2.08386897,2.413519,2.08131076,2.29970932,95414391.51,2500729225.81
12-04-2021,1.88366917,2.30241813,1.88153885,2.0827295,68774575.43,2264516393.01
11-04-2021,1.91044429,1.96565319,1.85288538,1.88002036,26217424.73,2043847228.67
10-04-2021,1.97928365,2.08677361,1.86338069,1.90989646,49055269.12,2076063188.69
09-04-2021,1.90564136,2.13654465,1.86228816,1.97624973,100446296.17,2147896916.6
08-04-2021,1.72919949,1.9241619,1.66537371,1.9069518,63912863.66,2072324583.93
07-04-2021,1.98150238,2.02580569,1.52409787,1.72797195,98941190.63,1877590139.18
06-04-2021,2.57189612,2.62081393,1.86427243,1.98089649,386415582.97,2152129154.4
05-04-2021,1.16091149,2.81616799,1.13360064,2.58330042,1789871993.11,2806293512.19
04-04-2021,1.1200184,1.17281369,1.11684089,1.16144198,10499107.09,1261525770.32
03-04-2021,1.22125271,1.23392355,1.11968424,1.11979273,14795986.06,1216128502.72
02-04-2021,1.26569718,1.30034886,1.21423067,1.22119665,17335291.59,1326106001.44
01-04-2021,1.21905995,1.2804848,1.19713272,1.26166195,16932426.92,1369888584.58
31-03-2021,1.24201996,1.27358898,1.1759398,1.21895152,14506203.66,1323337664.75
30-03-2021,1.24540034,1.28616716,1.23778307,1.24125663,13652397.25,1347376627.07
29-03-2021,1.25362348,1.27151026,1.22821456,1.2454282,13739689.14,1351731730.46
28-03-2021,1.26625006,1.29238427,1.22882318,1.25374414,53156852.82,1360594494.51
27-03-2021,1.22980793,1.29857195,1.16608537,1.2660591,20742821.33,1373758962.51
26-03-2021,1.1799086,1.22939599,1.17610419,1.22802819,12687067.15,1332319723.2
25-03-2021,1.19570913,1.23425743,1.07218313,1.18009655,28737771.46,1280175828.65
24-03-2021,1.27402293,1.32296306,1.19131165,1.19588711,17092556.13,1297092900.14
23-03-2021,1.25528412,1.35490968,1.22289653,1.27291121,28767386.03,1380230412.62
22-03-2021,1.27714595,1.36145435,1.22342385,1.25810328,32189538.16,1363742709.6
21-03-2021,1.25053821,1.30326693,1.20123033,1.27650922,21577899.68,1383256516.78
20-03-2021,1.36418443,1.45007565,1.25157454,1.25157454,27028558.35,1355779831.28
19-03-2021,1.32010456,1.40877044,1.27463647,1.36339008,25605538,1476444382.55
18-03-2021,1.21516039,1.33211307,1.21327258,1.32132055,32392773.55,1430413839.92
17-03-2021,1.12911905,1.21534618,1.12592664,1.21534618,21429756.54,1294799797.07
16-03-2021,1.12324211,1.14807679,1.07023862,1.12892155,18134234.24,1189860329.73
15-03-2021,1.14900519,1.16680025,1.08193008,1.12349813,20364597.81,1183728507.42
14-03-2021,1.26358797,1.26720193,1.14877244,1.14877244,19333811.85,849841048.23
13-03-2021,1.15494466,1.27885339,1.09861955,1.26390463,48904003.51,935013760.33
12-03-2021,1.10077154,1.26250436,1.0828038,1.15565883,34667473.8,854935476.43
11-03-2021,1.11792928,1.14040641,1.07644064,1.10072777,17526398.61,814298476.09
10-03-2021,1.22983084,1.24118961,1.11150253,1.11826419,20898134.97,827271600.26
09-03-2021,1.20331223,1.24979578,1.14858562,1.23006496,30610608.72,909979786.26
08-03-2021,1.20510859,1.21879375,1.13574585,1.2068721,25362028.98,892822126.32
07-03-2021,1.18440128,1.24425562,1.13699925,1.20232295,24381720.39,889456746
06-03-2021,1.21563142,1.24012315,1.11571717,1.18443324,24174364.78,876222267.95
05-03-2021,1.19857039,1.38896298,1.12164189,1.21542035,78033988.73,899145968.26
04-03-2021,1.04727178,1.32010135,0.98220373,1.2004252,76714671.46,888052826.4
03-03-2021,1.01322471,1.1038084,1.00350494,1.04945139,19483147.98,776365138.36
02-03-2021,0.97899136,1.02539109,0.92970493,1.01268915,22605770.17,749169094.76
01-03-2021,0.9318031,1.00015659,0.93002935,0.97893564,18219867.29,724198864.47
28-02-2021,1.00272532,1.03311349,0.87973191,0.93231328,20012013.13,689708482.26
27-02-2021,1.0138722,1.13957622,0.97691974,1.0049105,22630739.54,743414592.54
26-02-2021,1.04233619,1.06225836,0.89117147,1.01377085,32235495.98,749969323.2
25-02-2021,1.09051696,1.18751481,1.00700467,1.04364194,57153265.77,772067409.68
24-02-2021,0.84560474,1.18429927,0.78830459,1.09808113,169807063.79,812340541.46
23-02-2021,0.78194834,0.84609669,0.61467533,0.84372087,47180730.04,624169424.02
22-02-2021,0.81553411,0.81628721,0.63061482,0.78041161,25042086.83,577334376.45
21-02-2021,0.77113744,0.8339473,0.75600417,0.81633095,18582022.31,603906853.56
20-02-2021,0.83587821,0.852184,0.73275246,0.77225121,22427168.16,571297462.44
19-02-2021,0.78614143,0.89549147,0.76392271,0.83581185,19643617.23,618318473.26
18-02-2021,0.71562887,0.79898485,0.70990926,0.78177951,12907748.49,578346330.08
17-02-2021,0.67810318,0.72689686,0.65534942,0.71656918,12489186.85,530104909
16-02-2021,0.69297646,0.73938719,0.65307364,0.67830225,9857331.5,501795722.59
15-02-2021,0.66982601,0.74903457,0.58733554,0.69319123,16105290.57,512810321.2
14-02-2021,0.69994707,0.74336129,0.62910628,0.67009937,13181064.92,495727381.41
13-02-2021,0.73190848,0.78073879,0.66480317,0.70007108,14327156.93,517899907.28
12-02-2021,0.64571812,0.77983296,0.64493205,0.73320295,30638569.4,542410264.49
11-02-2021,0.57115172,0.66487912,0.54537446,0.64620012,26259979.09,478047150.19
10-02-2021,0.53318134,0.58912929,0.49525711,0.57046558,22082895.43,422020104.36
09-02-2021,0.47990731,0.69336783,0.47226161,0.53427398,46379737.34,395246216.43
08-02-2021,0.4696339,0.48781801,0.46050612,0.48001115,10458625.11,355103557.04
07-02-2021,0.44628138,0.48498958,0.43123733,0.47003874,11929958.87,347726150.82
06-02-2021,0.46523841,0.46765038,0.44307146,0.445781,8260047.76,329780710.22
05-02-2021,0.44910642,0.47267342,0.44385622,0.46448942,2868709.33,343620866.19
04-02-2021,0.46180844,0.46590607,0.42989237,0.44907447,7834130.17,332217163.21
03-02-2021,0.46193044,0.49219114,0.45790347,0.46044385,2473334.35,340628023.35
02-02-2021,0.4436192,0.46842046,0.4379354,0.46166234,6000333.16,341529438.49
01-02-2021,0.42778557,0.44902109,0.41065486,0.44348588,7446794.36,328082822.71
31-01-2021,0.42935247,0.44383305,0.41396299,0.4287731,4952659.3,317198576.46
30-01-2021,0.44044557,0.45295875,0.4129108,0.42956339,8429462.14,317783217
29-01-2021,0.44102686,0.45877566,0.42593286,0.4398523,7248203.96,325394767.04
28-01-2021,0.42783529,0.45420815,0.42198039,0.4441653,4098927.78,328585447.54
27-01-2021,0.47132963,0.47485313,0.41873664,0.42740121,3904685.08532176,316183676.80212045
26-01-2021,0.46915263,0.47555064,0.455038,0.47136658,3008360.2458445,348708462.7194531
25-01-2021,0.49579337,0.50119084,0.46582135,0.46804578,5207560.75186871,346251793.3060634
24-01-2021,0.48274427,0.50811604,0.48129991,0.49583319,6631207.74354463,366808414.7577102
23-01-2021,0.47743936,0.49317278,0.47453925,0.48299125,3091564.63424972,357308178.47564596
22-01-2021,0.45309065,0.49453737,0.43509118,0.47773149,4967931.29880117,353417104.61541384
