Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,4.51919606,4.90248479,4.37739478,4.71552998,457411515.7,404295276.35
14-04-2021,4.61062495,4.98002455,4.33615248,4.52883888,532000883.84,388288946.16
13-04-2021,4.7387626,4.85223351,4.44042787,4.60474204,421493019.6,394796653.23
12-04-2021,5.04099914,5.17749398,4.58968897,4.74355088,402762448.62,406697703.56
11-04-2021,5.18144362,5.26660955,4.77740674,5.04157852,365086464.05,432249691.23
10-04-2021,4.77815093,5.4894577,4.72816118,5.17947248,720228947.84,444072302.55
09-04-2021,4.67910594,4.90466598,4.49459143,4.77816517,390394955.78,409665427.5
08-04-2021,4.09364331,4.89412666,4.02872305,4.67960895,462493307.52,401215515.13
07-04-2021,4.64397173,4.85384605,3.87174362,4.08767258,552003080.3,350464682.13
06-04-2021,4.73154606,4.98194189,4.24210525,4.64439128,787592140.93,406555963.76
05-04-2021,4.63205878,5.6399635,4.30980891,4.72919822,1164644654.58,413979706.69
04-04-2021,3.50158813,4.61512606,3.42704038,4.61512606,819402549.39,403994174.67
03-04-2021,3.84388789,4.04916982,3.50064256,3.50437256,331800479.49,306762173.54
02-04-2021,3.75011206,3.88496992,3.66065952,3.8387906,284243911.01,336036117.12
01-04-2021,3.56544912,3.89401162,3.48688171,3.75534809,378685006.2,328731811.79
31-03-2021,3.73391518,3.84013719,3.39666086,3.56451781,367473725.99,312027106.76
30-03-2021,3.3194539,3.93704253,3.27211202,3.73193736,524482622.17,326682507.18
29-03-2021,3.13533198,3.33625179,3.07384119,3.31554862,215808706.13,290233096.34
28-03-2021,3.18772661,3.35449348,3.04576586,3.13297668,250383460.37,274251301.11
27-03-2021,3.06955037,3.19522605,2.94414365,3.18763035,245887146.48,279035518.31
26-03-2021,2.81247399,3.13759175,2.81247399,3.06843013,257782784.26,268601091.57
25-03-2021,2.922928,2.95772775,2.67055312,2.81772605,409415114.03,246655215.1
24-03-2021,3.29721626,3.52351596,2.77954004,2.94059905,417048241.6,257411145.86
23-03-2021,3.42191406,3.53423269,3.18522472,3.30527669,362891041.81,289333922.57
22-03-2021,3.83983132,4.01058517,3.41947382,3.43200404,387619894.04,300427251.44
21-03-2021,3.59129381,3.96981724,3.45125242,3.84088841,451833657.86,336219752.69
20-03-2021,4.00241013,4.16114975,3.57776859,3.57824921,478423053.77,313229111.25
19-03-2021,3.38140116,3.99079562,3.25179553,3.98789628,573450101.94,349088377.13
18-03-2021,3.23426717,3.52775707,3.17221676,3.38257821,393793488.76,296100664.39
17-03-2021,3.16268102,3.29419175,2.9940996,3.24547652,319512298.9,284099196.96
16-03-2021,2.88880476,3.27349553,2.73789134,3.15544651,389622888.18,276218242
15-03-2021,3.06325021,3.21491231,2.80274911,2.89614926,398707967.37,253520145.69
14-03-2021,3.0492414,3.31257353,2.86240562,3.08090389,531186298.18,269693006.42
13-03-2021,3.28660108,3.28660108,2.96188787,3.05171514,461288818.61,267137911.8
12-03-2021,3.42660065,3.68240792,3.09130805,3.28396252,570788691.82,287468145.15
11-03-2021,3.14783112,3.78043004,3.05008926,3.42094332,773229818.77,299459029.94
10-03-2021,2.99451902,3.39754103,2.78231862,3.15723748,560826717.03,276375018.66
09-03-2021,2.85919209,3.12649814,2.82228676,2.99937254,373591890.8,262555998.9
08-03-2021,2.59577152,2.98180685,2.52423747,2.8599529,427883412.74,250351625.24
07-03-2021,2.38338655,2.71508443,2.38186943,2.58955597,286308732.55,226681896.4
06-03-2021,2.38732359,2.41675707,2.26700847,2.38260262,124641362.78,208565826.34
05-03-2021,2.44953355,2.44953355,2.25107464,2.39045683,203103333.7,209253360.06
04-03-2021,2.62329435,2.73474888,2.30614899,2.45375579,403289974.87,214794358.91
03-03-2021,2.23312204,2.76517366,2.20585091,2.62767115,436712009.81,230018383.79
02-03-2021,2.25374033,2.37689762,2.11980679,2.23148108,188710022.79,191320437.51
01-03-2021,1.99529678,2.26057172,1.97940529,2.24649794,202708319.43,192607937.57
28-02-2021,2.22873532,2.24871353,1.83698218,1.98694483,283946069.32,170354638.8
27-02-2021,2.23400049,2.3591057,2.17890656,2.22876565,188502925.5,191087625.03
26-02-2021,2.27236776,2.42819271,2.04373213,2.23387295,327407906.97,191525509.64
25-02-2021,2.32003737,2.73249983,2.25759513,2.26041441,419541995.38,193801094.18
24-02-2021,2.28184201,2.54076079,2.12241826,2.3224635,442062053.18,199120995.2
23-02-2021,2.84186275,2.8493826,1.76973988,2.2703569,558822922.83,194653533.06
22-02-2021,3.10185046,3.10712012,2.3677248,2.84292723,587006477.77,243743981.09
21-02-2021,3.01837925,3.37815426,2.94262881,3.10058627,425658108.27,265834887.94
20-02-2021,3.49511957,3.75300512,2.68907332,3.03344385,543983453.31,260078299.37
19-02-2021,3.12431516,3.7682221,2.95241914,3.49177958,934840309.82,299374618.82
18-02-2021,2.46662281,3.16054162,2.37990148,3.12396217,695887039.48,267839066.08
17-02-2021,2.22647396,2.56182927,2.00527254,2.46546335,296819525.13,211381369.81
16-02-2021,2.19972582,2.39713397,2.11649538,2.22420313,157107884.23,190696447.97
15-02-2021,2.30453807,2.39987349,1.87300602,2.21996409,418505259.48,190333005.6
14-02-2021,2.68971733,2.7044179,2.17857457,2.30879592,440758508.76,197949178.31
13-02-2021,2.81387496,2.91005897,2.50221684,2.68768494,262538900.69,230433976.49
12-02-2021,2.60924555,2.95633526,2.60924555,2.81591037,300162257.23,241427636.63
11-02-2021,2.35386998,2.9327478,2.35386998,2.62073616,556019442.19,224693991
10-02-2021,2.40387773,2.66443358,2.13143684,2.36717881,451691641.49,202954750.15
09-02-2021,2.19045937,2.53355971,2.12697635,2.40947442,327747393.19,206581047.96
08-02-2021,1.98297367,2.41521166,1.97576332,2.18691493,497184143.44,187499470.33
07-02-2021,1.73740678,2.15451256,1.7300752,1.98455655,471055776.23,170149875
06-02-2021,1.754672,1.81409893,1.58073167,1.73471392,227805957.7,148729124.31
05-02-2021,1.71633022,1.91825435,1.69384955,1.75469193,263703644.29,150441977.98
04-02-2021,1.51161401,1.84159259,1.32724731,1.71480091,421680377.84,147021842.67
03-02-2021,1.31365521,1.54072549,1.31058841,1.51047607,223201735.33,129503649.4
02-02-2021,1.27386467,1.37818637,1.20407338,1.31601325,145638727.4,112830995
01-02-2021,1.35186373,1.40141672,1.2360776,1.27426556,155197289.79,109251674.55
31-01-2021,1.24108819,1.45565924,1.24108819,1.34884046,220823784.82,113217587.64
30-01-2021,1.23078781,1.34049077,1.16998716,1.24283781,178280664.8,104320046.23
29-01-2021,1.19261477,1.31561709,1.11467224,1.22667587,223975361.82,102963461.96
28-01-2021,1.26141312,1.36343524,1.20914025,1.21216869,249757288.09,101745772.95
27-01-2021,1.02898515,1.38453375,1.02889767,1.26597132,422202813.6381223,106261802.7071282
26-01-2021,0.98602414,1.05352539,0.95416609,1.0287374,115986755.55449407,86349105.08411251
25-01-2021,0.98789401,1.10469873,0.96464034,0.98606133,160596717.37206352,82767005.17995226
24-01-2021,0.98017648,1.0437092,0.96864114,0.98723632,86562146.40363482,82865630.04653724
23-01-2021,0.88881464,1.03232999,0.8796428,0.97963635,105970768.05039106,82227711.71575262
22-01-2021,0.85059858,0.9413651,0.8033206,0.88967966,69368553.58412074,74677019.10738373
21-01-2021,1.0222557,1.02421749,0.83901607,0.85316013,76482027.31135896,71611680.23625985
20-01-2021,1.01043686,1.03300417,0.93851457,1.02061691,110276963.43514314,85667495.99640867
19-01-2021,1.14576517,1.15379843,0.98529022,1.01105762,131955156.3620285,84865118.56887203
18-01-2021,1.02740482,1.14624995,0.95692721,1.14624995,152326410.2205817,96212753.15086266
17-01-2021,0.95677797,1.03826851,0.90231035,1.02269491,84940451.4548777,85841916.86885649
16-01-2021,0.90866589,1.01171052,0.90820284,0.95783943,99966241.13808557,80398143.9836013
15-01-2021,0.87903874,0.99626965,0.83059846,0.90827334,130248324.95194082,76237716.2194081
14-01-2021,0.88549868,0.90414413,0.84651792,0.87728052,70759210.36519113,73636273.35295263
13-01-2021,0.81913291,0.91021398,0.78979936,0.88614758,57812244.95442674,74380547.19095169
12-01-2021,0.84553219,0.90266811,0.8023204,0.81816202,56132315.99476497,68674045.39945784
11-01-2021,1.01354103,1.01621557,0.75271756,0.84981119,86827777.09669225,71330580.41356689
10-01-2021,1.04462786,1.17658975,0.89850278,1.01366806,109458543.85802731,85084230.65279084
09-01-2021,0.97864649,1.1065845,0.95291173,1.04672997,120443600.79526512,87859347.06988502
08-01-2021,0.87191514,0.98191384,0.78312116,0.96721088,117401814.1437282,81184755.69030198
07-01-2021,0.82600828,0.93732397,0.78489869,0.87397392,91853322.85197376,73358726.98384082
06-01-2021,0.76450402,0.84778492,0.73373321,0.8254712,74313145.3594495,69287555.23882182
05-01-2021,0.73607504,0.78363298,0.70029003,0.76356146,49390181.08738393,64091039.47225845
04-01-2021,0.77216521,0.89643001,0.69392032,0.73672868,92583892.41762796,61838777.05927229
03-01-2021,0.74576633,0.8283662,0.74237663,0.76895417,72381622.82827514,64543686.83270861
02-01-2021,0.71676644,0.75920562,0.69158859,0.74636044,25672467.51338923,62647237.40664185
01-01-2021,0.74391432,0.77209092,0.68499906,0.7167555,31108133.50067749,60162288.10189347
31-12-2020,0.67718548,0.74333513,0.64831244,0.74155294,20889131.48200375,60908915.55176968
30-12-2020,0.64148139,0.68819214,0.63874761,0.67773526,23241895.87268353,52027657.89725104
29-12-2020,0.67306664,0.68190032,0.60791953,0.64193122,28068164.15258602,49279091.22492657
28-12-2020,0.67173668,0.71789431,0.66624019,0.67325235,28586934.58263538,54107227.48781115
27-12-2020,0.69090112,0.71879112,0.65440852,0.67075822,36096924.31961676,53906781.80642142
26-12-2020,0.71160347,0.71160347,0.65519066,0.69048515,25286964.16968977,55492174.79947694
25-12-2020,0.73206569,0.75848312,0.68359337,0.71160701,26558746.02983434,57189673.38050622
24-12-2020,0.62477264,0.73383605,0.60126886,0.73166805,40552678.89744956,58801918.0296891
23-12-2020,0.84058795,0.85228022,0.57702552,0.62289138,52798531.65397288,50059870.20662983
22-12-2020,0.85588107,0.86384998,0.80796852,0.84148867,25456349.50384432,67627864.67162855
21-12-2020,0.91229074,0.92351658,0.8380087,0.8579209,25696397.88000984,68948471.98052901
20-12-2020,0.93022411,0.94494669,0.9000655,0.91122515,23694525.46423258,73232371.47399995
19-12-2020,0.92642651,0.95748873,0.92261214,0.93090179,24361283.99567927,74813722.97855297
18-12-2020,0.91909601,0.93660072,0.90098255,0.92637718,23988300.31725748,74450093.49901517
17-12-2020,0.93201757,0.9779685,0.90188786,0.91905207,53678396.42130924,73861396.93004099
16-12-2020,0.93410531,0.95421206,0.89089035,0.93140756,46733651.46248602,74854369.84000291
15-12-2020,0.85651596,0.95126316,0.84409647,0.93391303,40296317.77742805,75055727.10631683
14-12-2020,0.85112557,0.85834837,0.82322815,0.85665147,20345035.2580798,68846451.92902261
13-12-2020,0.86406079,0.86889114,0.82669616,0.84975393,30831011.79642769,68292118.02687348
12-12-2020,0.80474174,0.8697758,0.80453031,0.862888,16913295.07279936,69347663.07191768
11-12-2020,0.84127947,0.8435758,0.79937894,0.80662912,18576327.79284995,64826308.95144677
10-12-2020,0.85634693,0.8654815,0.82703245,0.84108879,17028069.55410323,67595727.14486796
09-12-2020,0.85438045,0.86376225,0.7890392,0.85535533,36635769.1069872,68742285.17251413
08-12-2020,0.91300945,0.92036022,0.84590633,0.85423062,25400130.50128011,68651896.19509833
07-12-2020,0.90806835,0.92699833,0.89007366,0.91270289,20877160.07875764,73351132.83050524
06-12-2020,0.92099004,0.93230977,0.88754282,0.90732504,19147987.16004733,72918931.94731909
05-12-2020,0.87621766,0.92439547,0.85756149,0.92089895,20762252.04804588,74009825.46532843
04-12-2020,0.96210022,0.96784723,0.86662326,0.87673495,32132506.56925543,70460499.51422039
03-12-2020,0.96672577,0.97664442,0.94997317,0.96240642,27548033.31360278,75613321.77973159
02-12-2020,0.94360387,0.98549439,0.92565677,0.96734843,43224488.93884241,76001600.45470911
01-12-2020,0.9753182,1.03144032,0.93511212,0.94371207,65252016.8443228,74144564.19737029
30-11-2020,0.94605859,1.03914177,0.922221,0.97675977,162333791.78317803,76741020.57287006
29-11-2020,0.96260493,0.96918381,0.9345268,0.94669968,27699061.42081993,74379290.95340581
28-11-2020,0.96915961,0.99085565,0.9261027,0.96167067,45253888.08315108,75555516.36084826
27-11-2020,0.95478407,1.03563394,0.91811014,0.96959323,59136376.60544515,76177967.22065626
26-11-2020,1.12027584,1.15457462,0.83037906,0.95459076,185161795.27867702,74999268.92137581
25-11-2020,1.16972024,1.27003577,1.07913093,1.12190594,121701528.10623267,88144710.31715651
24-11-2020,1.13389727,1.23220018,1.04692843,1.17405067,143141520.49236208,92241561.53962623
23-11-2020,1.025887,1.1512387,1.01816858,1.13598525,79988515.21356966,89250878.24848025
22-11-2020,1.1256005,1.14712343,0.99942695,1.02588687,73894339.55026077,80600785.83652718
21-11-2020,0.97795503,1.13424499,0.977215,1.12560051,85289830.40054587,88434981.23758943
20-11-2020,0.95291394,1.02242694,0.95123907,0.97795502,43069037.17469367,76834927.19026612
19-11-2020,0.97878565,0.98197308,0.92537737,0.95291321,35105908.74499919,74867469.56674847
18-11-2020,1.04107013,1.07089564,0.93595855,0.97878952,57982112.66320591,76900491.70091835
17-11-2020,1.02218665,1.12660016,1.00894284,1.04105993,70441059.63858032,81792886.75138149
16-11-2020,0.92102526,1.04105154,0.90699989,1.02012265,65730958.97312281,80147908.63205726
15-11-2020,0.93766057,0.992207,0.89519076,0.92102567,47783320.68533343,72362163.35818335
14-11-2020,0.95135772,0.95990314,0.88890761,0.93766056,31905511.71569434,73669114.99445999
13-11-2020,0.8998565,0.99312588,0.89975178,0.95135773,43746202.47086985,74745259.7360426
12-11-2020,0.95379399,0.95397966,0.88825673,0.89982444,27316495.32468687,69076763.4695879
11-11-2020,1.01466961,1.0365816,0.95208556,0.95379481,40685845.77606389,73219903.61056145
10-11-2020,0.9527128,1.04125014,0.93537399,1.01466954,51620094.32122078,77893069.8878117
09-11-2020,0.98304761,1.00041852,0.89446508,0.95271805,55013470.31073118,73137243.54750529
08-11-2020,0.99564382,1.06632167,0.94852165,0.98304751,61282228.97753969,75465543.59486254
07-11-2020,0.93883995,1.17063528,0.91777188,0.99564382,137149352.95526764,76432523.38452946
06-11-2020,0.81149757,0.94490394,0.80896327,0.93883995,43271835.14867169,72071864.21497104
05-11-2020,0.76767318,0.8385269,0.76767318,0.81149757,35023378.26996066,62296180.06891687
04-11-2020,0.76766969,0.78906263,0.72667118,0.76767007,29562156.25191655,58931677.51918383
03-11-2020,0.80789617,0.80789617,0.72051676,0.76766415,59915058.60113777,58931223.26066808
02-11-2020,0.82983133,0.88164096,0.8011737,0.80790237,63948370.12192414,62020187.7059321
01-11-2020,0.8209584,0.84270472,0.80719691,0.8298054,31111577.19369349,63701616.60547026
31-10-2020,0.8465153,0.88172315,0.81707627,0.82097472,38303326.06761312,63023712.33908633
30-10-2020,0.87149419,0.89601161,0.78946425,0.84650263,68255704.91318646,64983411.50547385
29-10-2020,0.86721254,0.89318817,0.79904682,0.87150004,92796870.95573583,66902385.99367994
28-10-2020,0.99395897,0.99550416,0.84807111,0.86720703,61731081.12510875,66572824.98246267
27-10-2020,1.01327933,1.03721,0.94238201,0.99395175,64285273.03357912,76302628.3606832
26-10-2020,1.08629257,1.08855434,0.91570981,1.01327925,109178704.51477908,77786341.45805648
25-10-2020,1.12006184,1.12322448,1.08268702,1.0862924,26953425.64843722,83391336.73350766
24-10-2020,1.12951314,1.14531067,1.10380239,1.12006184,31019838.82438405,85983713.34542601
23-10-2020,1.16378148,1.18338311,1.10040646,1.12951287,48474473.80754782,86709239.81667304
22-10-2020,1.15516016,1.1974663,1.13650077,1.16385115,49735215.15733029,89345284.47731858
21-10-2020,1.12919401,1.20570195,1.08715996,1.15477401,94294261.23916227,88648460.54385287
20-10-2020,1.19275154,1.19767938,1.08967847,1.12798483,64226080.91268692,86591936.90908206
19-10-2020,1.22248473,1.22457489,1.18361706,1.19268957,28307396.52550554,91559121.24128006
18-10-2020,1.20889681,1.23156898,1.20285587,1.22235061,27733654.50327698,93836108.82182027
17-10-2020,1.18821925,1.23307424,1.17485445,1.21007927,40809037.02963254,92894075.49739014
16-10-2020,1.20937179,1.23242277,1.16341784,1.18821925,37933201.22308531,91215948.62025999
15-10-2020,1.20871474,1.29030607,1.18197716,1.20873511,59381677.9398914,92790888.1939549
14-10-2020,1.26209663,1.27252056,1.18022668,1.21111798,46705127.09848443,92973814.1774113
13-10-2020,1.30421312,1.30990039,1.24771194,1.26022101,43119373.31344366,96743303.24649784
12-10-2020,1.30681301,1.3421389,1.26325314,1.30451222,84317524.6876617,99360696.1373117
11-10-2020,1.28158766,1.34577628,1.26410949,1.3068265,50595143.94847113,99536967.59080449
10-10-2020,1.35959199,1.41192649,1.26721742,1.28064293,74436387.83133142,97542645.90202086
09-10-2020,1.31011899,1.38246911,1.27270797,1.36075911,70048242.43493213,103644849.11400785
08-10-2020,1.18722322,1.33486945,1.12387892,1.30524188,93117751.13278465,99416272.17297706
