Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,12.16337758,12.6532618,11.91294694,12.6075041,269579526.18,12607504104.85
14-04-2021,12.42176414,12.82876772,11.41721879,12.20252172,480813098.48,12202521716.06
13-04-2021,12.12716201,12.61679053,11.83352427,12.40210657,380885156.62,12402106573.35
12-04-2021,12.22384335,12.36128281,11.83168891,12.12340167,252248423.94,12123401666.48
11-04-2021,12.37804819,12.58417254,12.00807519,12.22685281,256384782.21,12226852812.92
10-04-2021,12.65307184,13.10670729,12.04165262,12.38433676,295892259.33,12384336761.47
09-04-2021,12.9229853,13.14615982,12.33374592,12.65407144,314173019.46,12654071442.68
08-04-2021,12.29929095,13.27090178,11.85885033,12.89948686,527471105.17,12899486859.02
07-04-2021,11.75317713,13.70468649,11.61511396,12.31206657,1302316370.16,12312066567.27
06-04-2021,11.61453232,11.90826278,11.42143054,11.73175858,356000821.24,11731758578.13
05-04-2021,11.93217719,12.01840499,11.45825641,11.60778671,326470931.73,11607786713.18
04-04-2021,11.5333497,12.01218827,11.39945426,11.91986213,272810914.33,11919862125.13
03-04-2021,11.77908579,12.66036765,11.43894073,11.54487232,466873905.48,11544872323.99
02-04-2021,11.6056474,12.33885727,11.31373108,11.77578483,469630333.03,11775784825.21
01-04-2021,12.38897604,12.54752981,11.44875392,11.59534791,576774516.62,11595347911.93
31-03-2021,12.95276196,13.58708975,11.76140466,12.36709544,586038042.66,12367095438.1
30-03-2021,13.16048831,13.31586498,12.74374286,12.97737829,438055767.42,12977378292.51
29-03-2021,12.92531441,13.97657967,12.8939375,13.14391594,771087719.55,13143915944.98
28-03-2021,11.87735333,13.14305615,11.63572978,12.93868124,726488121.18,12938681239.77
27-03-2021,12.6562779,12.6562779,11.57963044,11.87969435,569270355.74,11879694345.56
26-03-2021,13.26726369,13.68880747,11.97255995,12.72760866,1019623798.69,12727608662.96
25-03-2021,11.31281847,13.38414515,10.50971018,13.16665678,1946579089.96,13166656780.79
24-03-2021,12.93139612,14.98824036,10.89661855,11.3977614,2200236098.07,11397761400.21
23-03-2021,10.08037536,14.5324279,10.08037536,12.91032272,2582773623.38,12910322715.89
22-03-2021,9.64757495,10.73901899,9.59433156,10.12617954,936472441.18,10126179535.56
21-03-2021,8.34992378,9.77807716,8.31003294,9.59749886,537971134.6,9597498859.44
20-03-2021,8.25291862,8.59076873,8.089824,8.3500438,285638028.65,8350043795.25
19-03-2021,8.4476486,8.99988456,8.15646427,8.24842063,511270984.39,8248420630.55
18-03-2021,7.8873374,8.58588932,7.48733593,8.45678834,539679277.18,8456788336.61
17-03-2021,7.0153042,7.86716236,6.8133558,7.84123642,320270311.05,7841236419.93
16-03-2021,6.73596792,7.51196788,6.39184961,7.00728208,393096525.54,7007282083.75
15-03-2021,7.35260372,7.60068814,6.63570817,6.75911997,359204819.84,6759119972.59
14-03-2021,6.83417441,7.70469263,6.61187507,7.38643386,595530051.66,7386433864.7
13-03-2021,6.95213914,7.14113367,6.41882987,6.8389389,401550665.04,6838938895.56
12-03-2021,7.03786951,7.57645627,6.27901742,6.96710674,808784082.9,6967106739.03
11-03-2021,6.52997975,8.00713765,6.2572481,7.00454129,1248076394.6,7004541287.04
10-03-2021,5.35928849,6.67256212,5.21961202,6.55609116,544881450.75,6556091157.17
09-03-2021,4.92246528,5.47754883,4.90958763,5.38436857,319370174.22,5384368565.87
08-03-2021,4.34172165,4.98676214,4.26802468,4.91475473,329597485.61,4914754734.34
07-03-2021,4.13283771,4.47921301,4.12442017,4.33965412,157311295.39,4339654124.68
06-03-2021,4.1418531,4.19813717,3.85789822,4.13698136,160730093.99,4136981360.99
05-03-2021,4.46159191,4.71782636,4.05297377,4.15089969,358156344.85,4150899690.16
04-03-2021,3.99677473,4.56644407,3.86240678,4.48018736,454665295.61,4480187361.76
03-03-2021,3.73736735,4.03261493,3.65620177,3.99995208,222263935.76,3999952075.12
02-03-2021,3.27847727,3.87894614,3.250982,3.75006862,366009137.92,3750068618.35
01-03-2021,3.13667451,3.28240298,3.08997384,3.27815808,85526946.74,3278158083.02
28-02-2021,3.15731403,3.19716065,2.83691402,3.13058486,91584764.53,3130584864.73
27-02-2021,3.04866128,3.24855993,3.04866128,3.14897689,84962707.03,3148976887.12
26-02-2021,2.99189084,3.15225722,2.87138144,3.04014964,108004304.2,3040149641.42
25-02-2021,3.31836356,3.42402244,2.97745191,2.97745191,114450999.1,2977451909.17
24-02-2021,3.05311643,3.48586157,2.91416812,3.32140456,173473053.38,3321404563.66
23-02-2021,3.33422351,3.3468567,2.65656754,3.04766106,220145199.09,3047661055.82
22-02-2021,3.5686315,3.57399582,2.88544852,3.33694102,198881968.74,3336941020.46
21-02-2021,3.68066068,3.74586158,3.51700721,3.56518302,106476849.1,3565183023.39
20-02-2021,3.72747533,3.90800702,3.58620511,3.68620439,186856959.15,3686204389.65
19-02-2021,3.56680467,3.77767584,3.50988724,3.71283771,184461994.43,3712837705.67
18-02-2021,3.50233078,3.63092062,3.48216753,3.56404047,122110949.84,3564040472.79
17-02-2021,3.40842871,3.56945824,3.25381543,3.50377032,181780253.98,3503770322.1
16-02-2021,3.3898652,3.5840381,3.23013617,3.40900305,187623097.43,3409003049.12
15-02-2021,3.18651571,3.70874626,3.03944462,3.39086114,412465892.39,3390861144.48
14-02-2021,3.34213983,3.47322618,3.10367572,3.19473607,237062732.72,3194736066.67
13-02-2021,2.99073903,3.44988735,2.98895131,3.34108857,366970911.92,3341088570.97
12-02-2021,2.92343598,3.08055096,2.87670544,2.98804996,177534022.47,2988049957.65
11-02-2021,2.82889654,3.04050805,2.79955925,2.93144907,236584006.76,2931449067
10-02-2021,2.90125863,3.03580423,2.63802511,2.83258515,208989241.77,2832585152.09
09-02-2021,2.90306758,3.03135192,2.75561661,2.90009966,255215740.33,2900099660.39
08-02-2021,2.29126092,2.9261449,2.28641395,2.92313565,360780036.19,2923135648.22
07-02-2021,2.2769822,2.3279759,2.11382025,2.29328425,91161188.15,2293284246.56
06-02-2021,2.42816358,2.44160392,2.19142111,2.27656321,116630272.67,2276563214.28
05-02-2021,2.12424773,2.55906758,2.12022881,2.45000474,233942734.31,2450004740.98
04-02-2021,2.17912014,2.22131573,2.09644012,2.12419824,86100690.6,2124198238.81
03-02-2021,2.14898105,2.2659543,2.12123007,2.18129362,89860258.35,2181293620.82
02-02-2021,2.03735734,2.25028324,2.00187406,2.15484517,158077934.58,2154845167.53
01-02-2021,1.91150043,2.04600947,1.8543481,2.03598169,99952997.53,2035981688.11
31-01-2021,1.9954973,2.02982439,1.88461606,1.91254117,140567087.5,1912541167.59
30-01-2021,2.04832876,2.06357074,1.96279773,1.99430788,66546695.56,1994307882.36
