Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,1.00167758,1.00312144,0.99961439,1.00015597,137390855.52,324012278.05
14-04-2021,0.99898079,1.00298088,0.99877458,1.00160376,189507134.25,303777623.71
13-04-2021,1.00046037,1.00131931,0.9990751,0.9990751,158504337.57,297080422.33
12-04-2021,1.00285512,1.00289064,0.99977098,1.00045594,129873036.89,289990200.38
11-04-2021,1.00069442,1.0035209,0.99944209,1.00303584,109428080.5,294272151.43
10-04-2021,1.00151742,1.00259724,0.99836341,1.00075584,115195218.74,288273198.62
09-04-2021,1.00270497,1.00308199,1.00040701,1.00151439,82111724.96,296041484.21
08-04-2021,1.00222887,1.00378052,1.00060943,1.00266834,107169403.14,314890738.77
07-04-2021,1.00160227,1.0027614,1.00059183,1.00228338,146777427.37,328328190.18
06-04-2021,1.0002444,1.00816123,0.99931779,1.00156849,134367051.76,317073448.88
05-04-2021,1.00781144,1.01416969,0.99990683,1.00007996,111278435.16,323792580.32
04-04-2021,1.00637509,1.01454895,1.00435814,1.0079759,89649905.68,321919727.71
03-04-2021,1.00420851,1.00922968,1.00132948,1.00655639,92279708.88,320090117.57
02-04-2021,1.00390895,1.00605393,0.99975089,1.00392372,88485649.03,327450248.73
01-04-2021,1.00225998,1.00573718,0.99957482,1.004265,82109628.57,322095111.55
31-03-2021,1.0018783,1.00872931,1.0004589,1.00248526,91406044.26,331754687.73
30-03-2021,1.00091877,1.00283266,0.99871832,1.00194724,79149848.62,328775274.08
29-03-2021,1.00193176,1.00362148,0.99365194,1.00103431,86922031.82,342432633.48
28-03-2021,1.00163276,1.00559287,1.00014902,1.00199541,57327429.25,336514272.11
27-03-2021,1.00205034,1.00403952,0.99997856,1.00174661,77681315.05,328993431.92
26-03-2021,1.0031983,1.00423788,0.99844103,1.00190477,103589727.7,326466320.81
25-03-2021,1.00344153,1.00578479,0.99910296,1.00295261,93458746.67,326370944.75
24-03-2021,1.0029665,1.00920254,0.99926073,1.00324853,99857609.15,324243627.69
23-03-2021,1.00256089,1.00450577,1.00030451,1.00295484,91040468.52,307571629.4
22-03-2021,1.00103895,1.00697874,0.9982415,1.00243389,93427422.65,296972815.94
21-03-2021,1.00252007,1.00502676,0.99853825,1.00089449,80040087.04,299868993.4
20-03-2021,1.00373379,1.00629322,1.00205586,1.00363154,92317208.63,300357162.86
19-03-2021,1.00219746,1.00520313,0.99915826,1.00377812,82381979.05,299366280.99
18-03-2021,0.99984067,1.00361701,0.97862156,1.00234614,88238351.07,315384032.82
17-03-2021,0.99986378,1.0034269,0.99891367,0.99998414,113692695.3,308646934.03
16-03-2021,1.00005757,1.00086768,0.99923014,0.99983846,132391675.54,301175566.33
15-03-2021,0.99957225,1.00099014,0.99911499,1.00009024,141636021.68,305592685.62
14-03-2021,0.99988398,0.99988398,0.99848264,0.99959564,91468491.42,300330923.18
13-03-2021,0.99929192,1.00073004,0.99783007,0.9999093,109644397.86,298208034.6
12-03-2021,0.99985651,1.0005246,0.99914959,0.99926456,94758936.84,286528995.12
11-03-2021,1.00048568,1.00068824,0.99947516,0.99980173,107460415.74,284456442.96
10-03-2021,0.99969348,1.00236464,0.99927093,1.00047307,126820580.59,285414604.64
09-03-2021,0.99949249,1.00045321,0.99842485,0.99973431,107165666.74,283188072.31
08-03-2021,0.99984291,1.00028536,0.99875717,0.99948212,87707145.62,289770000
07-03-2021,0.9998069,1.00283051,0.9991294,0.99982971,75212910.76,294667003.67
06-03-2021,1.00039352,1.00074846,0.99758159,0.99978384,76996824.19,293300646.81
05-03-2021,1.00036242,1.00069498,0.99982264,1.0003995,86911596.79,292314154.76
04-03-2021,0.9993239,1.00061962,0.99916487,1.00033732,118004355.35,290633562.11
03-03-2021,0.99990655,1.00036572,0.99640585,0.99932446,85329766.32,294832208.97
02-03-2021,0.99952678,1.00162935,0.99937939,0.99990698,87140983.24,293954885.61
01-03-2021,1.00064399,1.00086419,0.99919247,0.99956509,98194864.42,297503207.46
28-02-2021,1.00008763,1.00106701,0.99963078,1.00061854,97156769.83,308439720.96
27-02-2021,0.99977629,1.00022422,0.99766065,1.0001075,90966457.82,337848191.78
26-02-2021,0.99881455,0.99997765,0.99662379,0.99972857,108516491.5,350651238.2
25-02-2021,1.00023536,1.00050251,0.99795332,0.99875034,100435890,345372411.41
24-02-2021,1.00012797,1.00213556,0.99906318,1.00022548,112725068.9,346593374.32
23-02-2021,0.99983922,1.0013349,0.99806073,1.00010375,153053236.5,345747732.06
22-02-2021,0.99940389,1.00420513,0.99839029,0.99985897,187852498.79,347266656.39
21-02-2021,0.99963697,1.00032013,0.99908461,0.99937157,105077807.73,309438150.2
