Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,2.06411929,2.22892029,1.99841317,2.21795398,3807698.75,332693094.71
14-04-2021,2.13604633,2.16362603,1.97321626,2.06341958,3558557.19,309512935.84
13-04-2021,2.02604501,2.1679799,2.00673947,2.13583157,4377748.94,320374733.68
12-04-2021,2.09590994,2.12069542,2.01937189,2.02674012,3884659.5,304011016.51
11-04-2021,2.07077515,2.11883799,1.9952289,2.0960727,3437575.43,314410902.91
10-04-2021,2.01465746,2.23747974,2.00214021,2.07050834,4636990.62,310576249.01
09-04-2021,1.91741412,2.04369884,1.86477529,2.01471178,2758593.16,302206765.45
08-04-2021,1.95687703,2.02485133,1.82938482,1.91748304,3942528.2,287622455.07
07-04-2021,2.11182701,2.14480863,1.84004878,1.96207006,5530174.21,294310507.4
06-04-2021,2.06426621,2.34559395,1.94964062,2.11229368,11164239.61,316844049.96
05-04-2021,1.62471052,2.06301839,1.59888092,2.06215609,9402813.08,309323412.35
04-04-2021,1.5494534,1.72168851,1.51358979,1.62552597,6472297.4,243828894.89
03-04-2021,1.56903461,1.65228418,1.52756477,1.55194473,5823248.48,232791708.57
02-04-2021,1.45372841,1.57326886,1.40170861,1.56746685,5095157.2,235120026.33
01-04-2021,1.44480749,1.57848165,1.44329015,1.45601257,5772372.37,218401885.01
31-03-2021,1.29059058,1.46158153,1.27994101,1.44673513,3939214.27,217010268.72
30-03-2021,1.35716037,1.40985259,1.27879692,1.28981899,4811594.26,193472847.71
29-03-2021,1.17886494,1.46118086,1.17886494,1.357109,9033027.61,203566349.55
28-03-2021,1.01119594,1.32302613,1.00342947,1.17878426,6960257.87,176817638.39
27-03-2021,0.97648812,1.02151801,0.92983404,1.01050871,2866361.69,151576305.1
26-03-2021,0.90748492,0.99954366,0.90748492,0.97687091,2842491.88,146530635.68
25-03-2021,0.89986031,0.92728625,0.87696533,0.90770074,2651960.02,136155110.76
24-03-2021,0.97904773,1.13751636,0.89398067,0.90057711,3338209.12,135086565.67
23-03-2021,1.04199945,1.07399942,0.96031333,0.97954846,2844118.45,146932268.77
22-03-2021,1.12537364,1.14127249,1.03718023,1.04212753,4161183.22,156319129.37
21-03-2021,1.16391346,1.19993186,1.08043734,1.12400369,4191461.02,168600552.27
20-03-2021,1.18568597,1.2221226,1.13799518,1.16461067,3309347.41,174691600.29
19-03-2021,1.22802472,1.23991442,1.17528169,1.18552949,2911087.57,177829422.68
18-03-2021,1.21819592,1.24937264,1.19243984,1.22807352,2952800.1,184211026.87
17-03-2021,1.21967702,1.28522449,1.21108947,1.21783796,3457535.93,182675692.89
16-03-2021,1.22718971,1.28763522,1.18983679,1.21966739,3588226.95,182950107.15
15-03-2021,1.20760339,1.30510978,1.17519062,1.22720632,4041289.2,184080946.92
14-03-2021,1.19596436,1.28865176,1.17103778,1.20724209,4157872.63,181086313.08
13-03-2021,1.17685167,1.21593959,1.11419596,1.19596013,5996276.81,179394017.88
12-03-2021,1.21229797,1.21934881,1.14216991,1.1772713,4284320.94,176590693.51
11-03-2021,1.2131222,1.25113471,1.15381074,1.21221211,3754069.9,181831815.27
10-03-2021,1.17409177,1.24016359,1.12501057,1.21321042,3518576.07,181981562
09-03-2021,1.19685845,1.20369419,1.148111,1.1735334,3808361.9,176030009.29
08-03-2021,1.14829345,1.21515257,1.089613,1.19693127,3796017.68,179539688.97
07-03-2021,1.15937515,1.21164362,1.10842681,1.14826358,3236551.97,172239535.64
06-03-2021,1.17525134,1.18421239,1.10711239,1.16003362,3579756.78,174005042.21
05-03-2021,1.21172787,1.23482498,1.10009709,1.17527314,4505017.77,176290970.4
04-03-2021,1.31972808,1.3678398,1.19009756,1.21171448,3696656.94,181757171
03-03-2021,1.30914381,1.41883198,1.28140117,1.31985315,4401941.54,197977971.08
02-03-2021,1.23875741,1.31512249,1.15134933,1.30887016,4687855.64,196330523.46
01-03-2021,0.99088058,1.24216135,0.9875259,1.23850769,4096880.65,185776153.26
28-02-2021,1.15414168,1.16889404,0.9713673,0.99060381,3691809.59,148590570.02
27-02-2021,1.13359269,1.240398,1.10609391,1.15429456,3430934.43,173144183.44
26-02-2021,1.18291228,1.2533372,1.08745476,1.13355257,4804359.12,170032884.35
25-02-2021,1.31251303,1.60129533,1.17084694,1.18349501,7922911.27,177524249.97
24-02-2021,1.2048886,1.31107655,1.18740096,1.31107655,4840358.25,196661481.28
23-02-2021,1.38744366,1.39827263,1.08075529,1.20451963,4175795.7,180677942.89
22-02-2021,1.4156364,1.44594691,1.13615092,1.38734218,5555584.76,208101326.2
21-02-2021,1.39537027,1.46782269,1.37138876,1.41567024,4890412.69,212350534.29
20-02-2021,1.53281964,1.6088312,1.3522036,1.39533623,5961319.57,209300432.83
19-02-2021,1.53908532,1.64454916,1.29713118,1.52329622,9979071.46,228494431.72
18-02-2021,1.13691505,1.58193203,1.04201113,1.54402771,16337294.33,231604155.66
17-02-2021,0.78339891,1.16257001,0.77687043,1.13677109,7360295.54,170515662.33
16-02-2021,0.78570738,0.84555448,0.77306553,0.78341186,3615819.61,117511777.97
15-02-2021,0.81024904,0.83344712,0.7574675,0.78561504,3076248.41,117842255.19
14-02-2021,0.82367622,0.842801,0.78870091,0.81030609,3882999.36,121545913.14
13-02-2021,0.85234413,0.87807491,0.79648068,0.82372721,2376011.87,123559080.44
12-02-2021,0.84296199,0.86471918,0.79439986,0.85252983,3971834.06,127879474.57
11-02-2021,0.82672839,0.84917811,0.7927907,0.84282517,2902805.88,126423775.43
10-02-2021,0.88754853,0.91622438,0.79674661,0.82676591,3321380.67,124014885.35
09-02-2021,0.89670513,0.98019806,0.86209923,0.88751938,3875157.15,133127905.6
08-02-2021,0.90913029,0.92103704,0.86208875,0.89732536,3159689.45,134598802.61
07-02-2021,0.92687598,0.92687598,0.84779083,0.90910202,3138244.82,136365302.13
06-02-2021,1.02537656,1.04510285,0.89968969,0.92676005,3086062.37,139014007.26
05-02-2021,0.9246957,1.03427376,0.91061189,1.02336221,3849983.51,153504331.02
04-02-2021,0.95718259,0.98459925,0.9012525,0.92476244,2397848.76,138714364.59
03-02-2021,0.97192943,0.99858177,0.93291782,0.95865944,3055938.85,143798915.49
02-02-2021,0.88372276,1.03762387,0.86078998,0.97206422,4746583.25,145809632.9
01-02-2021,0.791398,0.88961376,0.75762918,0.88329616,3160633.29,131434467.34
