Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,1.0005073,1.00276924,0.99866647,1.00078862,30729446.18,1789847785.69
14-04-2021,0.99959889,1.00291692,0.99711366,1.00010126,34526195.65,1778710962.9
13-04-2021,0.99735646,1.00294879,0.99010012,0.99970988,50501428.59,1767662661.26
12-04-2021,1.00025963,1.02098712,0.99602372,0.99871435,58985726.01,1757495315.76
11-04-2021,0.99748052,1.00103912,0.99390362,1.00029275,28086861.23,1752065806.17
10-04-2021,1.00053573,1.00605144,0.99358709,0.9978788,49204159.03,1738447132.38
09-04-2021,0.9994553,1.00220196,0.98695815,1.00074073,106505516.99,1739258960.53
08-04-2021,0.99330519,1.00182406,0.99208435,0.99962059,45496084.41,1727787388.92
07-04-2021,1.0008268,1.00151899,0.98944167,0.99438775,55075484.93,1709252567.48
06-04-2021,0.99907836,1.00311402,0.99378538,1.00087828,38613398.95,1705668182.85
05-04-2021,1.0032339,1.00618039,0.99684546,0.99886933,28326632.79,1687862919.96
04-04-2021,1.00240908,1.01267703,1.0009497,1.00304979,20920538.04,1684654590.61
03-04-2021,1.00296594,1.00506503,0.99834444,1.00222774,33667005.68,1676941583.49
02-04-2021,1.00338484,1.00485285,0.99893252,1.00315717,46966055.95,1663901599.55
01-04-2021,1.00033826,1.00554485,0.99992437,1.00343795,40709082.91,1648828879.01
31-03-2021,1.00104838,1.00311252,0.99754026,1.00036508,50174094.36,1620401057.99
30-03-2021,1.00188066,1.00254115,1.00004694,1.00105986,44054069.47,1600048687.95
29-03-2021,1.00248441,1.00777232,0.99858648,1.00191291,66566472.2,1579518388.44
28-03-2021,1.00180273,1.0044287,1.00009706,1.002521,35994248.69,1553880831.66
27-03-2021,1.00235196,1.0041223,0.99966903,1.00152557,34708082.43,1515297068.28
26-03-2021,1.00227854,1.00457788,0.99973797,1.00193204,66782492.57,1477164044.91
25-03-2021,1.00296432,1.00362044,0.99914354,1.00218735,53977311.03,1442003036.99
24-03-2021,1.00216721,1.00563093,0.99818325,1.00264585,68108234.75,1419793879.5
23-03-2021,1.0035478,1.00460922,1.00004593,1.00188064,56785001.68,1394426125.76
