Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,0.55676842,0.67495638,0.55329286,0.63858764,46873459.69,287364437.81
14-04-2021,0.57476543,0.6256343,0.51741458,0.5568328,40898168,250574759.79
13-04-2021,0.57923758,0.58759663,0.54971263,0.57534114,19833187.06,258903511.91
12-04-2021,0.62346576,0.62489596,0.57094405,0.57825354,19943535.51,260214093.47
11-04-2021,0.63652689,0.66550764,0.60926224,0.6235396,21361231.14,280592819.4
10-04-2021,0.60381083,0.68014051,0.6008225,0.63738998,32181388.64,286825490.15
09-04-2021,0.63006511,0.66382978,0.60284415,0.60400191,20104773.86,271800858.98
08-04-2021,0.59692951,0.64251285,0.59056302,0.63038944,13628344.6,283675249.67
07-04-2021,0.65502214,0.66869273,0.5765398,0.59792678,21081666.63,269067052.14
06-04-2021,0.72352298,0.73262825,0.64117888,0.65516183,23398179.07,294822823.59
05-04-2021,0.63636172,0.74551383,0.62798865,0.72010869,51848535.89,324048909.84
04-04-2021,0.58883701,0.64624101,0.58185468,0.63709894,18878027.18,286694524.39
03-04-2021,0.61265358,0.6486785,0.58931325,0.58970054,19612502.76,265365245.08
02-04-2021,0.62759237,0.64300824,0.60396713,0.61269557,16438270.27,275713006.2
01-04-2021,0.59988158,0.65064426,0.59660389,0.62822417,16270570.01,282700878.25
31-03-2021,0.64155848,0.64772524,0.59411131,0.59900316,17405591.77,269551422.81
30-03-2021,0.66836687,0.67363811,0.62920847,0.64172368,20460269.34,288775657.72
29-03-2021,0.60749635,0.68469707,0.58655266,0.668126,27270647.22,300656697.96
28-03-2021,0.62432891,0.68895912,0.58272199,0.60863761,41023891,273886924.92
27-03-2021,0.54472828,0.62962115,0.52967201,0.62362386,31922560.34,280630735.36
26-03-2021,0.48891741,0.56053186,0.48807942,0.54395092,14147283.96,244777915.41
25-03-2021,0.53808901,0.54383369,0.47752852,0.48897457,21034401.42,220038554.92
24-03-2021,0.61398676,0.63775706,0.51753207,0.53890245,24430121.53,242506103.08
23-03-2021,0.53528605,0.65877474,0.51130914,0.61333709,37413199.98,276001691.02
22-03-2021,0.57664712,0.61748905,0.53134108,0.53497264,22233006.24,240737688.8
21-03-2021,0.58839835,0.6053878,0.56945284,0.57541783,13630179.41,258938021.59
20-03-2021,0.62999431,0.67544607,0.58872134,0.59130863,23802127.34,266088885.56
19-03-2021,0.57886463,0.66718714,0.5570358,0.62926897,30668478.63,283171037.71
18-03-2021,0.60713212,0.62534596,0.57780997,0.57860024,20149815.23,260370109.4
17-03-2021,0.63031241,0.63031241,0.57101952,0.6066613,25411758.99,272997585.55
16-03-2021,0.67603587,0.7342266,0.62188885,0.63020961,47033908.09,283594326.05
15-03-2021,0.67259703,0.71483825,0.55778498,0.67809533,43828582.63,305142899.15
14-03-2021,0.60623858,0.6979406,0.56716537,0.67330878,37009179.76,302988951
13-03-2021,0.52200087,0.6281225,0.49694035,0.60470748,30870634.97,272118367.23
12-03-2021,0.49873986,0.54839501,0.46569788,0.52234205,25862354.97,235053924.39
11-03-2021,0.42523778,0.51439619,0.41852939,0.49902617,21090932.97,224561776.96
10-03-2021,0.43868586,0.47580907,0.41374108,0.42492645,11894835.5,191216903.89
09-03-2021,0.40848461,0.47127091,0.39616549,0.4385271,16624013.82,197337197.05
08-03-2021,0.40852566,0.41246939,0.37725821,0.40847414,9706107.73,183813363.56
07-03-2021,0.3648281,0.43528868,0.36258213,0.40844069,15972905.27,183798308.35
06-03-2021,0.34878027,0.37932789,0.33073762,0.36490633,6953539.07,164207849.77
05-03-2021,0.34958353,0.36144639,0.32231379,0.34893356,8069734.36,157020102.46
04-03-2021,0.34885218,0.37782987,0.3355623,0.3502395,11272986.78,157607773.55
03-03-2021,0.32846878,0.37377533,0.32489297,0.34932695,7818491.03,157197125.58
02-03-2021,0.34073126,0.34855117,0.31655175,0.32852264,6317053.25,147835186.39
01-03-2021,0.31645512,0.36245115,0.31611179,0.34054899,7180886.03,153247044.82
28-02-2021,0.33480765,0.33646441,0.29012558,0.31665731,7105266.96,142495789.84
27-02-2021,0.32395801,0.3599621,0.32308261,0.33478815,7139227.45,150654668.35
26-02-2021,0.32706806,0.37279823,0.30020026,0.32471297,9619812.85,146120835.49
25-02-2021,0.35347171,0.37898484,0.32725034,0.32725034,7915569.86,147262651.54
24-02-2021,0.33686208,0.40428438,0.33686208,0.35334403,9428017.08,159004814.85
23-02-2021,0.4006192,0.41851225,0.28041798,0.33574197,15581823.65,151083886.12
22-02-2021,0.4249858,0.42523931,0.34351255,0.400349,14950438.86,180157048.46
21-02-2021,0.41760108,0.44692103,0.4129455,0.42504912,9387182.15,191272102.39
20-02-2021,0.46354839,0.48113925,0.41134609,0.41785379,14729581.05,188034206.3
19-02-2021,0.5147388,0.5147388,0.45955912,0.4642749,14555527,208923704.3
18-02-2021,0.4240305,0.54251735,0.42115993,0.51199848,29802481.33,230399317.69
17-02-2021,0.42570113,0.4379848,0.39341092,0.42508259,11451502.08,191287166.41
16-02-2021,0.43875714,0.46992113,0.41954082,0.42598524,9763605.78,191693359.13
15-02-2021,0.48707397,0.49861679,0.41096559,0.43970991,15385623.46,197869461.04
14-02-2021,0.47617461,0.4921072,0.4117298,0.48745576,28633841.7,219355092.81
13-02-2021,0.47664187,0.52618063,0.45197096,0.47562312,19861607.8,214030403.43
12-02-2021,0.42973783,0.55009469,0.4031486,0.47709328,57652686.61,214691976.35
11-02-2021,0.32937803,0.46556784,0.32167049,0.43019639,35698794.73,193588375.14
10-02-2021,0.35668744,0.35919541,0.30426161,0.32902147,10857715.03,148059661.17
09-02-2021,0.3062289,0.38182423,0.29539176,0.35673452,15337145.47,160530534.91
08-02-2021,0.29045689,0.31775412,0.28311782,0.30653795,9701109.63,137942077.61
07-02-2021,0.278731,0.29703078,0.25919533,0.29080572,8807048.24,130862573.23
06-02-2021,0.3097331,0.31473613,0.27488748,0.27872613,8257879.35,125426759.07
05-02-2021,0.30086626,0.31543504,0.29126543,0.30969284,8611772.34,139361779.58
04-02-2021,0.30489865,0.31343671,0.289517,0.30087019,8205814.36,135391584.35
03-02-2021,0.30445045,0.32727314,0.3009843,0.30476005,8692758.34,137142023
02-02-2021,0.27338059,0.30813474,0.26691057,0.30456743,9399326.67,137055343.32
01-02-2021,0.24868469,0.28262624,0.23740323,0.27409885,9620448.99,123344482.94
31-01-2021,0.24753285,0.27921511,0.24247591,0.24896002,8327956.31,112032009.89
30-01-2021,0.23617774,0.27167888,0.22632191,0.24745555,11100867.2,111354998.65
29-01-2021,0.25922343,0.27570893,0.22616156,0.2360528,8413456.03,106223759.2
28-01-2021,0.21440089,0.2633618,0.20708757,0.25106762,8129236.46,112980427.89
27-01-2021,0.23347452,0.24090768,0.20559819,0.21424775,5758542.91813979,96411487.282812
26-01-2021,0.22598333,0.24504059,0.19972504,0.2325422,5564597.2156968,104643991.3112325
25-01-2021,0.22099234,0.23606742,0.21631363,0.22577495,6328116.24315217,101598727.7644335
24-01-2021,0.20561732,0.22742212,0.20548149,0.22107535,4084721.85957447,99483908.9661945
23-01-2021,0.2031719,0.21218029,0.19592824,0.20555429,3906666.56015048,92499428.864925
22-01-2021,0.1862184,0.21046219,0.17605224,0.20326792,4121690.11991396,91470563.4235995
21-01-2021,0.21752681,0.21944823,0.17956839,0.18672515,4542869.16548601,84026318.918094
20-01-2021,0.21439049,0.22210498,0.19532999,0.21791071,6425905.33534323,98059817.674089
19-01-2021,0.22650743,0.23823749,0.21288484,0.21458324,5266592.08546431,96562457.101674
18-01-2021,0.24183581,0.24206961,0.220719,0.22724279,4976358.86525111,102259255.745772
17-01-2021,0.23237394,0.24930214,0.20637105,0.24191329,7097890.14941583,108860981.5935855
16-01-2021,0.20825025,0.24346445,0.20825025,0.23232553,8003760.07321431,104546490.2861445
15-01-2021,0.19327541,0.21092134,0.18496776,0.20837856,5732564.6949621,93770350.953966
14-01-2021,0.20442549,0.20627697,0.18985606,0.19297463,4207722.17440118,86838585.671916
13-01-2021,0.19603275,0.21394998,0.18246128,0.20443482,8402828.72137199,91995669.0480015
12-01-2021,0.1730758,0.21381205,0.16100072,0.19564871,8077451.29138915,88041918.2702625
11-01-2021,0.18879112,0.18927636,0.1460797,0.17311431,5810076.57563847,77901441.55551
10-01-2021,0.2151599,0.21556621,0.17251295,0.18899095,5361920.4838757,85045928.0666535
09-01-2021,0.20008379,0.216044,0.18452219,0.21518214,5631514.07730481,96831962.7833835
08-01-2021,0.22154635,0.22366719,0.18881279,0.1996805,7721148.75324911,89856224.264583
07-01-2021,0.22402369,0.24614209,0.20592246,0.2220123,9354889.82930142,99901314.58206302
