Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,4.99498415,5.03769118,4.66932668,4.88488552,11188043,1085886642.19
14-04-2021,5.19636091,5.24809651,4.60916114,5.00167668,11790606.67,1111848757.51
13-04-2021,4.86007216,5.48171652,4.63508299,5.23922801,17096748.24,1164655281.29
12-04-2021,5.01309465,5.95659554,4.8321862,4.87447065,35037576.91,1083571466.72
11-04-2021,4.10485702,5.04010027,4.06879181,5.02465623,18398801.53,1116957001.34
10-04-2021,4.10565517,4.30374253,4.01388868,4.10463846,7275810.98,912441460.63
09-04-2021,4.13821621,4.26169816,4.02149302,4.09206091,6472501.86,909645531.37
08-04-2021,4.14564527,4.40551751,4.11685896,4.13885892,10708088.64,920048505.1
07-04-2021,3.99835849,4.46608664,3.81290174,4.23402032,14732615.76,941202426.71
06-04-2021,4.23065737,4.28832482,3.94968132,3.99524956,10560764.8,888124832.18
05-04-2021,4.04208504,4.70879131,3.98449858,4.21733769,15623723.18,937493958.66
04-04-2021,3.99734333,4.2265573,3.95119098,4.05557394,9121633.77,901534651.7
03-04-2021,4.13315105,4.45334299,3.8759986,4.00739243,22875338.17,890824132.93
02-04-2021,4.44334546,4.52731154,4.12666586,4.14745329,15288050.25,921958990.71
01-04-2021,4.83097816,4.89325403,4.42472674,4.44613251,9983175.52,988353950.34
31-03-2021,4.65518845,4.9254363,4.50592719,4.83212,9933569.15,1074157120.85
30-03-2021,4.97679379,4.99428162,4.59207111,4.65630446,8695270.09,1035074167.44
29-03-2021,4.84900716,5.0331977,4.69751786,4.97669421,7134749.04,1106295273.5
28-03-2021,5.02363952,5.12007838,4.65216946,4.84595139,7090683.9,1077231772.68
27-03-2021,5.35478234,5.49229059,4.9520387,5.02686017,10416112.61,1117446926.96
26-03-2021,4.25526366,5.39626563,4.23566768,5.37317863,15419353.48,1194431860.97
25-03-2021,4.26262637,4.70874433,4.11503161,4.25944293,11712974.75,946853753.1
24-03-2021,4.04288767,5.25897618,3.91024623,4.25143869,19733047.1,945074447.24
23-03-2021,4.5012218,4.67607038,3.87331123,4.03652011,18482352.91,897299078.11
22-03-2021,4.63681653,4.84110507,4.38902965,4.57792364,11574441.93,1017650488.62
21-03-2021,4.60788265,4.86688883,4.34998744,4.64281825,14176857.03,1032076248.06
20-03-2021,4.84000139,4.88451048,4.59178521,4.6188793,15864369.85,1026754735.07
19-03-2021,4.99065331,5.06557483,4.77704492,4.85177209,10845673.98,1078525686.15
18-03-2021,5.25527978,5.27260807,4.7219866,4.98144324,11090523.71,1107350960.07
17-03-2021,5.04455916,5.40371327,4.76086013,5.24161671,13426722.91,1165186277.41
16-03-2021,5.46957014,5.81138835,4.81953786,5.03732557,18160742.78,1119773335.73
15-03-2021,4.93126453,6.02209468,4.71485598,5.49593823,18762844.27,1221720732.36
14-03-2021,5.09314276,5.41005276,4.77199915,4.94536237,15366295.79,1099330356.28
13-03-2021,5.2461834,5.49026906,5.04854027,5.11040139,15238550.59,1136017740.3
12-03-2021,5.55700403,5.87195914,5.07510851,5.25671106,15023277.56,1168541677.47
11-03-2021,5.79953164,5.89609479,5.47170237,5.56867852,8772632.56,1237890549.47
10-03-2021,6.02011506,6.11254467,5.6385009,5.80219689,10504834.97,1289800564.93
09-03-2021,5.67142466,6.25847854,5.3691176,6.01610515,22685927.12,1337351344.61
08-03-2021,6.08476906,6.14465226,5.64125011,5.65848722,10381007.3,1257854593.35
07-03-2021,5.78248619,6.49857255,5.75699321,6.09023382,10508338.55,1353829794.06
06-03-2021,5.69592708,5.94768457,5.35816347,5.78482288,9311247.2,1285938404.5
05-03-2021,5.73647101,6.54695273,5.24312547,5.68055197,31582663.81,1262759482.56
04-03-2021,6.45872422,6.47109381,5.50014883,5.70243793,18515115.53,1267624625.71
03-03-2021,6.56877808,6.86042134,6.40750033,6.45793865,12864239.45,1435568816.38
02-03-2021,6.95800792,6.97517966,6.39253304,6.58502976,9539709.13,1463820559.93
01-03-2021,6.36663706,7.08190453,6.24650918,6.97039193,18184799.33,1549484724.31
28-02-2021,5.9125456,6.56088928,5.2140087,6.33621293,23537886.62,1408509770.44
27-02-2021,6.43839495,6.52300981,5.6820221,5.93044025,26016946.33,1318308449.05
26-02-2021,6.93522047,7.01357389,6.27274137,6.44041396,19687227.62,1431673160.11
25-02-2021,6.89113032,7.24292863,6.57204545,6.93440687,29964075.09,1541485417.11
24-02-2021,5.94588583,7.26339989,5.60758961,6.87951922,32001720.61,1529284155.55
23-02-2021,6.17096676,6.52751653,4.39340802,5.93612567,49811095.27,1319572290.49
22-02-2021,6.87735489,6.88474721,4.93921924,6.19525676,44515808.08,1377175889.18
21-02-2021,6.90857419,7.20999863,6.34232298,6.82943696,36348314.8,1518151109.43
20-02-2021,5.81375224,7.21504577,5.47951229,6.90234839,64474788.48,1534358970.99
19-02-2021,4.72370286,6.13825393,4.68706236,5.84993808,49952537.21,1300413202.04
18-02-2021,3.91700432,4.72929611,3.86455493,4.72929611,23250905.48,1051299863.07
17-02-2021,3.58356613,3.99856484,3.46467439,3.91658864,11657200.97,870638886.74
16-02-2021,3.54798661,3.72363512,3.44610938,3.59705985,8082414.61,799609167.81
15-02-2021,3.81773185,3.86977005,3.34054152,3.52184096,11142158.87,782888368.1
14-02-2021,3.97533244,3.99674762,3.41396215,3.81329805,13135155.75,847677882.24
13-02-2021,3.45500465,4.22263131,3.29976088,3.98022053,32348900.64,884783951.28
12-02-2021,2.38822265,3.77526082,2.36902719,3.46481675,50414419.07,770212160.72
11-02-2021,2.41890812,2.59607254,2.35757663,2.38753142,8406230.84,530736792.88
10-02-2021,2.3620038,2.60444865,2.32860349,2.41928767,10062040.87,537796054.91
09-02-2021,2.40448754,2.64934246,2.19078112,2.35935087,12060183.99,524472392.32
08-02-2021,2.37589399,2.67244464,2.24159407,2.37501085,17801851.54,527953530.6
07-02-2021,2.29357798,2.48096651,2.15641348,2.37889537,12729390.05,528817041.62
