Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,0.00146527,0.00183451,0.00142407,0.00165195,1117197773.7,518064368.57
14-04-2021,0.00153189,0.00159305,0.00140844,0.00146508,429934116.77,459459418.04
13-04-2021,0.00151601,0.00168969,0.00145445,0.00153031,638703591.64,479915249.5
12-04-2021,0.00170671,0.0018512,0.00148172,0.00151464,792382935.46,475002601.3
11-04-2021,0.00147157,0.00187185,0.00130163,0.00170902,1512266506.75,535960071.53
10-04-2021,0.00166883,0.00168852,0.00132673,0.00146846,764218157.85,460521167.73
09-04-2021,0.00189063,0.00194046,0.00159985,0.00167082,803034088.22,523981928.38
08-04-2021,0.00163707,0.00212191,0.00161212,0.00189157,1379209826.64,593211220.05
07-04-2021,0.00201076,0.00212278,0.00143372,0.00162599,1665185185.15,509924179.12
06-04-2021,0.00268688,0.00288997,0.00182948,0.00201852,2030490770.31,633023435.51
05-04-2021,0.0022649,0.00296486,0.00194869,0.00268225,3019998111.5,841174213.94
04-04-2021,0.00113961,0.00225441,0.00110137,0.00225441,4171985695.36,707000237.43
03-04-2021,0.00063542,0.0014187,0.00059854,0.00114234,1839739661.77,358245292.61
02-04-2021,0.00056271,0.00064043,0.00053588,0.00063162,273797063.62,198081936.27
01-04-2021,0.00065081,0.00066929,0.00052963,0.00056212,491589529.05,176284969.79
31-03-2021,0.0003934,0.00068136,0.00039308,0.0006501,1021253403.12,203876996.5
30-03-2021,0.00037269,0.00041811,0.00037027,0.00039374,165297092.16,123479205.58
29-03-2021,0.00036753,0.00037696,0.00036563,0.00037263,67185979.93,116858892.01
28-03-2021,0.00037634,0.00038244,0.00035702,0.00036729,70261512.93,115183785.31
27-03-2021,0.00038521,0.00042033,0.00037396,0.00037527,147749603.48,117685963.15
26-03-2021,0.00032634,0.0003978,0.00032578,0.00038568,139242302.66,120952988.04
25-03-2021,0.00033091,0.00034452,0.00031228,0.00032634,67894534.35,102342442.16
24-03-2021,0.00035626,0.00039463,0.00032436,0.00033076,91634082.92,103729046.7
23-03-2021,0.00037567,0.00039226,0.00034618,0.00035663,90632927.69,111843228.06
22-03-2021,0.00041306,0.0004366,0.00036286,0.00037629,159198425.2,118008111.29
21-03-2021,0.00034944,0.000443,0.00034234,0.00041307,193425230.69,129540554.8
20-03-2021,0.00034814,0.00046457,0.00034137,0.00034954,269206485.62,109617965.81
19-03-2021,0.00025812,0.00038551,0.00025199,0.00034899,108294255.4,109447384.92
18-03-2021,0.00026979,0.0002716,0.00025314,0.00025761,15385691.6,80788692.47
17-03-2021,0.00026072,0.00027971,0.00025836,0.0002698,21314732.7,84611972.48
16-03-2021,0.00026543,0.0002699,0.00025341,0.00026055,22017896.96,81709816.3
15-03-2021,0.00028282,0.00029093,0.00025176,0.00026547,36130622.37,83254378.87
14-03-2021,0.0002681,0.00032043,0.00026704,0.00028196,77128986.14,88424201.85
13-03-2021,0.00021846,0.00028852,0.00021274,0.00026852,55400798.1,84208506.21
12-03-2021,0.00023086,0.00023274,0.00021454,0.00021847,11251366.81,68512349.6
11-03-2021,0.00023304,0.00023345,0.00022203,0.00023049,9092450.96,72284501.28
10-03-2021,0.00023749,0.00024219,0.00022576,0.00023314,14750231.76,73115657.45
09-03-2021,0.00021697,0.00023776,0.00021475,0.00023757,16788550.23,74503219.08
08-03-2021,0.00021366,0.0002189,0.00020718,0.00021697,9698233.85,68044968.46
07-03-2021,0.0002083,0.00021775,0.0002083,0.0002138,6785561.01,67048396.36
06-03-2021,0.00021195,0.00021347,0.00020433,0.00020833,4830033.49,65333799.74
05-03-2021,0.00021634,0.00021634,0.00020306,0.00021191,9049267.93,66456901.45
04-03-2021,0.00020656,0.00022695,0.00020424,0.00021639,13845221.12,67860819.79
03-03-2021,0.00020221,0.00021642,0.00020025,0.00020661,7772048.31,64794907.49
02-03-2021,0.00020816,0.0002113,0.00019604,0.00020191,6669338.52,63321466.67
01-03-2021,0.00019922,0.0002105,0.00019564,0.00020821,8219166.33,65297239.48
28-02-2021,0.00020663,0.00020663,0.0001888,0.00019918,7597148.83,62462853.6
27-02-2021,0.00019753,0.00021281,0.00019739,0.00020622,7094400.25,64671628.78
26-02-2021,0.00019766,0.00020628,0.00018631,0.00019723,7984996.61,61854087.76
25-02-2021,0.00020646,0.00021789,0.00019771,0.00019771,7797593.22,62003641.89
24-02-2021,0.0001968,0.00021826,0.00018713,0.00020653,15797915.92,64770717.38
23-02-2021,0.0002334,0.00023359,0.00016203,0.00019674,10543482.72,61698364.1
22-02-2021,0.00025734,0.00025899,0.00020072,0.00023339,19497005.16,73191980.54
21-02-2021,0.00024434,0.00026365,0.00023811,0.00025759,40466826.55,80781370.23
20-02-2021,0.0002543,0.00027895,0.00023069,0.00024488,21136848.96,76794718.78
19-02-2021,0.00023895,0.0002618,0.00023238,0.00025479,18791302.16,79904999.43
18-02-2021,0.0002343,0.00024268,0.00022869,0.00023895,23251034.93,74935422.59
17-02-2021,0.00021935,0.00023751,0.00021025,0.00023447,13001301.2,73530620.06
16-02-2021,0.00022153,0.00023932,0.00021048,0.00021892,11751510.99,68656158.4
15-02-2021,0.00024905,0.00025192,0.00019148,0.00022154,21555389.99,69476058.42
14-02-2021,0.00028371,0.00028395,0.000239,0.00024907,20603675.72,78109705.51
13-02-2021,0.00024216,0.00029967,0.00024216,0.0002836,55136131.44,88937972.84
12-02-2021,0.00023625,0.00025723,0.00021693,0.00024261,33876743.14,76083985.2
11-02-2021,0.0001935,0.00024049,0.00018735,0.00023631,31434810.08,74108970.43
10-02-2021,0.00018936,0.00023548,0.00018018,0.0001934,40000210.85,60653007.07
09-02-2021,0.00014032,0.00031179,0.00013946,0.00018935,118174239.05,59382613.72
08-02-2021,0.00012842,0.00014994,0.00012659,0.0001401,14259195.53,43935941.83
07-02-2021,0.00012484,0.00013121,0.00012219,0.00012841,6340860.27,40271546.55
06-02-2021,0.00013185,0.00013202,0.00012389,0.00012492,5193171.42,39177343.65
05-02-2021,0.00012718,0.00013734,0.00012696,0.00013175,7261799.05,41317388.93
04-02-2021,0.00013757,0.00013939,0.00012204,0.00012698,10505813.71,39820548.15
03-02-2021,0.00011246,0.00013979,0.00011246,0.00013738,17202366.41,43084696.03
02-02-2021,0.00010941,0.00011383,0.00010624,0.00011234,5639801.5,35229797.06
01-02-2021,0.00010574,0.00011494,0.00010415,0.0001095,5027367.79,34340693.5
31-01-2021,0.00011214,0.00012041,0.00010406,0.00010577,10060477.25,33169158.61
30-01-2021,0.00010282,0.00011585,9.834e-05,0.00011211,8540406.29,35159300.07
29-01-2021,9.849e-05,0.00014021,9.726e-05,0.00010283,13990012.3,32247284.01
28-01-2021,8.873e-05,0.0001006,8.719e-05,9.826e-05,7351960.89,30815480.87
27-01-2021,9.447e-05,9.556e-05,8.863e-05,8.873e-05,5635794.78348961,27825988.49088611
26-01-2021,9.359e-05,9.541e-05,9.02e-05,9.438e-05,5430590.44694921,29598231.472607
25-01-2021,9.684e-05,0.00010001,9.365e-05,9.366e-05,6162787.72236924,29373930.65689344
24-01-2021,9.158e-05,0.00010543,9.081e-05,9.684e-05,7201308.17366015,30370875.4655869
23-01-2021,8.394e-05,9.287e-05,8.371e-05,9.151e-05,7989798.42358884,28697733.02837363
22-01-2021,7.975e-05,8.514e-05,7.539e-05,8.399e-05,8134963.82704632,26340247.61750853
21-01-2021,8.748e-05,8.76e-05,7.797e-05,7.98e-05,4880774.62173735,25024786.78029982
20-01-2021,8.955e-05,9.139e-05,8.404e-05,8.763e-05,5594597.37264528,27480376.53299735
19-01-2021,9.154e-05,9.377e-05,8.795e-05,8.966e-05,6053589.89299224,28116962.1132006
18-01-2021,8.866e-05,9.246e-05,8.807e-05,9.16e-05,5032071.52891451,28726194.98528697
17-01-2021,9.217e-05,9.217e-05,8.784e-05,8.866e-05,5059211.12126087,27803021.74145885
16-01-2021,8.772e-05,9.242e-05,8.772e-05,9.217e-05,5680730.44440692,28905498.58382254
15-01-2021,8.671e-05,8.802e-05,8.119e-05,8.769e-05,6225597.14540151,27498726.21377131
14-01-2021,8.284e-05,8.883e-05,8.009e-05,8.671e-05,5818650.22326939,27193216.79898506
13-01-2021,7.292e-05,8.291e-05,7.206e-05,8.262e-05,4208555.5535289,25909755.53753797
12-01-2021,7.222e-05,7.713e-05,6.996e-05,7.29e-05,3312639.75096419,22862897.28272153
11-01-2021,8.079e-05,8.079e-05,6.685e-05,7.23e-05,2468670.03752808,22673770.14340149
10-01-2021,8.708e-05,9.057e-05,7.711e-05,8.078e-05,2501457.16513155,25334431.88866159
09-01-2021,7.504e-05,9.426e-05,7.489e-05,8.706e-05,5214198.64944287,27303436.94283172
08-01-2021,7.51e-05,7.766e-05,7.117e-05,7.5e-05,2214835.79790464,23520286.33164424
07-01-2021,7.294e-05,8.037e-05,7.221e-05,7.497e-05,3138571.05720373,23512318.10893247
06-01-2021,6.733e-05,7.313e-05,6.599e-05,7.291e-05,2824006.94879293,22865221.7357685
05-01-2021,7.06e-05,7.074e-05,6.351e-05,6.731e-05,1716575.65967066,21109465.210702
04-01-2021,6.657e-05,7.138e-05,6.029e-05,7.056e-05,2997450.4872258,22126958.75722898
03-01-2021,6.032e-05,6.735e-05,5.965e-05,6.66e-05,2964058.95666462,20887806.12795145
02-01-2021,5.933e-05,6.113e-05,5.821e-05,6.032e-05,2005732.70667837,18917914.03162957
01-01-2021,5.879e-05,6.166e-05,5.87e-05,5.934e-05,1753518.5343649,18608930.26205042
31-12-2020,6.108e-05,6.158e-05,5.852e-05,5.877e-05,1688617.6469723,18431616.52550783
30-12-2020,5.876e-05,6.242e-05,5.76e-05,6.107e-05,1880860.75271387,19152896.93903149
29-12-2020,6.077e-05,6.123e-05,5.622e-05,5.864e-05,1766574.65142726,18390798.14803503
28-12-2020,6.322e-05,6.459e-05,6.038e-05,6.079e-05,1592976.86425483,19064830.28491366
27-12-2020,6.778e-05,6.893e-05,6.015e-05,6.323e-05,3806632.60864688,19829442.73467705
26-12-2020,7.415e-05,7.513e-05,6.589e-05,6.777e-05,3179929.09846426,21254661.93171964
25-12-2020,7.265e-05,7.501e-05,7.207e-05,7.422e-05,1887291.38239197,23274755.7918002
24-12-2020,6.846e-05,7.283e-05,6.673e-05,7.266e-05,2141261.81199054,22786197.34757293
23-12-2020,7.579e-05,7.582e-05,6.665e-05,6.848e-05,2582098.39277682,21474470.53222622
22-12-2020,7.675e-05,7.704e-05,7.488e-05,7.579e-05,2590990.58353308,23766993.2981626
21-12-2020,7.924e-05,8.025e-05,7.551e-05,7.679e-05,1628508.48793193,24081505.32632978
20-12-2020,7.952e-05,8.192e-05,7.824e-05,7.934e-05,2683922.23514264,24881557.53910279
19-12-2020,7.875e-05,8.149e-05,7.863e-05,7.958e-05,2200991.80307264,24958178.15348836
18-12-2020,7.758e-05,7.895e-05,7.649e-05,7.876e-05,1943211.07856547,24698600.4844903
17-12-2020,8.095e-05,8.096e-05,7.729e-05,7.753e-05,2958605.10408308,24313545.60684824
16-12-2020,7.722e-05,8.094e-05,7.559e-05,8.082e-05,3137684.74396123,25347077.80350627
15-12-2020,7.804e-05,7.834e-05,7.655e-05,7.723e-05,1794930.6390286,24219065.45523417
14-12-2020,8.021e-05,8.021e-05,7.708e-05,7.806e-05,2107519.52095654,24480279.91114096
13-12-2020,8.061e-05,8.192e-05,7.951e-05,8.009e-05,2119037.29157951,25116748.27110619
12-12-2020,7.763e-05,8.11e-05,7.737e-05,8.054e-05,2195941.48465399,25259295.61340822
11-12-2020,7.817e-05,8.242e-05,7.675e-05,7.76e-05,2996504.33074751,24336982.73627182
10-12-2020,7.919e-05,7.938e-05,7.656e-05,7.818e-05,1701856.7647562,24516576.37163371
09-12-2020,8.23e-05,8.276e-05,7.626e-05,7.917e-05,2022599.32199781,24827482.33296409
08-12-2020,8.981e-05,8.991e-05,8.192e-05,8.229e-05,2380274.07012575,25807339.57769071
07-12-2020,7.628e-05,9.098e-05,7.546e-05,8.982e-05,3956789.42012704,28168256.67703862
06-12-2020,7.502e-05,7.751e-05,7.382e-05,7.626e-05,1801586.18318614,23916915.77794562
05-12-2020,7.312e-05,7.531e-05,7.198e-05,7.502e-05,1665144.14518608,23525743.65847178
04-12-2020,7.617e-05,7.626e-05,7.267e-05,7.315e-05,2107241.05278981,22941863.33677275
03-12-2020,7.849e-05,7.853e-05,7.425e-05,7.617e-05,2567463.08734984,23887573.72215217
02-12-2020,7.784e-05,7.872e-05,7.679e-05,7.848e-05,1995744.61722004,24612747.92805115
01-12-2020,7.98e-05,8.214e-05,7.755e-05,7.785e-05,2770277.35537277,24412913.2132915
30-11-2020,7.781e-05,8.217e-05,7.781e-05,7.978e-05,2254881.38356761,25020709.04767565
29-11-2020,8.216e-05,8.355e-05,7.624e-05,7.79e-05,1999543.94940646,24428968.02675678
28-11-2020,7.95e-05,8.311e-05,7.873e-05,8.219e-05,1452381.10795964,25776762.62309125
27-11-2020,7.941e-05,8.125e-05,7.764e-05,7.945e-05,1121448.10608212,24915587.5859018
26-11-2020,8.926e-05,9.004e-05,7.678e-05,7.947e-05,1932922.64930011,24921762.04229891
25-11-2020,9.399e-05,9.545e-05,8.794e-05,8.925e-05,2350616.45982994,27988926.25878354
24-11-2020,9.347e-05,0.00010066,9.186e-05,9.397e-05,2780863.77254981,29469865.34551221
23-11-2020,9.21e-05,9.536e-05,9.029e-05,9.352e-05,5629784.90820532,29329206.51037216
22-11-2020,9.913e-05,9.962e-05,9.194e-05,9.21e-05,2612992.7429786,28884417.70098151
