Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,0.04798827,0.04963995,0.04496183,0.04848737,64422844.19,797382805.41
14-04-2021,0.04137222,0.05157419,0.0402749,0.04767134,117125395.17,783950623.64
13-04-2021,0.04063873,0.04215764,0.0391796,0.0414093,52903974.08,680961547.4
12-04-2021,0.04316875,0.04316875,0.04000079,0.04066344,37389126.76,668685733.99
11-04-2021,0.04194309,0.04412113,0.04111584,0.04318155,38125616.59,710083740.86
10-04-2021,0.04396132,0.04601946,0.04015525,0.04224261,47685514.99,694632863.62
09-04-2021,0.04541201,0.04677217,0.04307226,0.04420226,49669445.53,726845878.05
08-04-2021,0.04353807,0.04677409,0.04251368,0.04540493,65633453.43,746610727.51
07-04-2021,0.05080458,0.05137064,0.04150702,0.04331013,90784701.05,712153997.25
06-04-2021,0.05235606,0.05501971,0.04800633,0.05113039,88052521.65,840730495.13
05-04-2021,0.04582753,0.05506148,0.04465697,0.0522555,94291687.88,859217381.32
04-04-2021,0.04465089,0.04886503,0.04362131,0.04609166,62331107.05,757855804.28
03-04-2021,0.04441892,0.04920412,0.04365951,0.04466202,81796208.42,734337724.01
02-04-2021,0.04352927,0.04643877,0.04268779,0.04410626,50175264.81,725188843.83
01-04-2021,0.04414207,0.0470829,0.04215574,0.04353894,55835884.41,715849965.61
31-03-2021,0.03912306,0.04667338,0.03822566,0.04375675,69381367.47,719420176.94
30-03-2021,0.03978631,0.04162544,0.03784166,0.03939042,60237769.2,647621763.07
29-03-2021,0.03389013,0.04118684,0.03291229,0.03941289,78800722.71,647981032.74
28-03-2021,0.03060047,0.03506941,0.03024149,0.03392244,48935810.04,557704619.91
27-03-2021,0.03016029,0.03087447,0.02896102,0.03033543,24279916.98,498724352.51
26-03-2021,0.02779867,0.03064194,0.02749565,0.03017337,26068684.72,496052279.08
25-03-2021,0.02852991,0.02922524,0.02650944,0.02753231,24295315.14,452625938.42
24-03-2021,0.03163242,0.0338807,0.02812578,0.02853194,26319060.72,469052360.67
23-03-2021,0.03042621,0.0333842,0.02802534,0.03163536,32576128.87,520063190.79
22-03-2021,0.03333137,0.03495917,0.02999706,0.03042901,30042644.5,500223700.58
21-03-2021,0.0343082,0.03493041,0.03158568,0.03331577,37794719.03,547670790.63
20-03-2021,0.03507564,0.0376063,0.03402751,0.03430568,50885588.24,563934982.5
19-03-2021,0.0313929,0.03685573,0.03038939,0.03507659,46978171.28,576598693.37
18-03-2021,0.03012842,0.03705582,0.02983826,0.0313821,33165590.15,515859411.21
17-03-2021,0.0297238,0.03135406,0.02874546,0.03011689,33231365.39,495054124.04
16-03-2021,0.03156536,0.03227781,0.02883384,0.02972288,48207384.2,488569983.18
15-03-2021,0.02782096,0.03303094,0.02635925,0.03156275,96605117.18,518804605.69
14-03-2021,0.02551627,0.02937378,0.02510944,0.02782034,48317250.29,457282594.81
13-03-2021,0.02441735,0.02633362,0.02339249,0.02551465,25866811.32,419377431.77
12-03-2021,0.02540947,0.02589178,0.02382512,0.02447832,24576739.47,402337212.8
11-03-2021,0.02503969,0.02630112,0.02433774,0.02572566,35563343.11,422832294.83
10-03-2021,0.02282667,0.02713712,0.02070073,0.02472071,53259861.11,406308460.03
09-03-2021,0.02157926,0.02298738,0.02110739,0.02255874,19502774.47,370768601.44
08-03-2021,0.02212176,0.02250844,0.02125839,0.02184163,11519433.92,358976761.04
07-03-2021,0.02137292,0.02236708,0.0210462,0.02217404,13765757.78,364434438.74
06-03-2021,0.02228793,0.02264827,0.0205407,0.02138202,18710484.84,351411947.16
05-03-2021,0.02004217,0.02247494,0.01844344,0.02229059,28195628.37,366338575.99
04-03-2021,0.01892847,0.0213793,0.01872623,0.02031545,17636866.8,333872564.77
03-03-2021,0.0183967,0.02019192,0.01827292,0.01911097,10716084.76,314072719.25
02-03-2021,0.01918115,0.01929108,0.01763838,0.0183911,9879795.57,302237353.25
01-03-2021,0.01743077,0.01921268,0.01714095,0.01917496,10822257.52,315114270.12
28-02-2021,0.01829516,0.01852699,0.01569634,0.01742793,22189839.82,286399795.3
27-02-2021,0.01745979,0.01915298,0.01731826,0.01824789,14687423.64,299869821.02
26-02-2021,0.01796749,0.0187654,0.01588978,0.01745814,16852747.2,286887194.73
25-02-2021,0.01987181,0.02114033,0.01594605,0.01798132,16173531.31,295479881.77
24-02-2021,0.01941864,0.02175374,0.01864789,0.01986868,16595292.45,326489038.62
23-02-2021,0.02238587,0.02278531,0.01660832,0.01941106,31077480.71,318964311.26
22-02-2021,0.02566532,0.02598868,0.01899518,0.02239552,32714684.74,367999293.59
21-02-2021,0.02633711,0.02754228,0.02516399,0.02566731,22267365.68,421754311.32
20-02-2021,0.02536785,0.02860698,0.024344,0.0263339,30305540.69,432700625.61
19-02-2021,0.02584629,0.02706537,0.02445332,0.02536851,29559701.09,416831291.86
18-02-2021,0.02467964,0.02724645,0.0246409,0.02584785,26707142.07,424700656.63
17-02-2021,0.02154747,0.02491681,0.02029674,0.02467192,26818167.38,405372776.36
16-02-2021,0.02221463,0.02441789,0.02099051,0.02154833,30471730.76,354044548.89
15-02-2021,0.02600693,0.02709102,0.02127406,0.02248093,51512895.49,369367500.25
14-02-2021,0.02876425,0.02917146,0.02524683,0.02600682,43815964.25,427293153.09
13-02-2021,0.02530853,0.02890603,0.02485633,0.02876393,61508970.05,472585294.92
12-02-2021,0.02295564,0.02575393,0.02236051,0.02530052,67714706.32,415675726.56
11-02-2021,0.01946394,0.02481346,0.01896837,0.02295173,51822852.55,377080330.79
10-02-2021,0.02050596,0.02149703,0.01806599,0.01946614,35599983.86,319809574.93
09-02-2021,0.01731274,0.02218403,0.01705003,0.02050471,48925577.36,336866935.15
08-02-2021,0.01653239,0.01741004,0.01597056,0.01731185,31374136.52,284407745.04
07-02-2021,0.01690179,0.01720801,0.01564593,0.01653256,29348351.76,271601001.64
06-02-2021,0.01742357,0.01777115,0.01572667,0.01690127,31101071.34,277653869.01
05-02-2021,0.01696619,0.01769013,0.01654935,0.01742388,29300190.78,286234837.99
