Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,47286.22885239,53176.02537452,47061.92244383,50513.57685943,695656660.62,1850561889.51
14-04-2021,44769.81356416,47939.87708862,42925.37974807,47330.96354186,458439551.11,1733967039.56
13-04-2021,43077.97091955,46416.42615145,42028.57030121,44788.79001327,380766418.57,1640834663.26
12-04-2021,45135.67694276,45343.47584579,41816.00928698,43066.56804365,364584772.92,1577741163.64
11-04-2021,44619.12545541,46907.18794394,44448.26676239,45127.29683283,327729169.22,1653235840.5
10-04-2021,45820.54433088,46141.04100759,43278.85377998,44656.43956472,331782358.31,1635986012.43
09-04-2021,47244.47016527,48641.03822454,45279.32520788,45825.63043885,356210263.12,1678819250.7
08-04-2021,44005.66107531,48980.15896916,43990.30928571,47230.32680156,616299404.48,1730280218.55
07-04-2021,41368.99092254,44402.9755065,38275.63060471,43871.27825789,488453818.87,1607221674.57
06-04-2021,38488.63375772,42979.68017943,38488.63375772,41485.49343568,491973594.86,1519818589.24
05-04-2021,37862.83946589,38843.99392034,36292.78667963,38447.60195931,247764546.27,1408525615.34
04-04-2021,36125.24452964,38082.93912031,35784.17715412,37877.27238808,209632369.35,1387631625.36
03-04-2021,39439.68162143,39868.49617542,36138.7879897,36138.7879897,255832494.92,1323942352.63
02-04-2021,36693.30168137,40006.43775104,36122.71770649,39450.46734112,339028955.47,1445265529.07
01-04-2021,36146.29498195,37291.77905622,35751.140724,36700.37839813,246060239.41,1344516183.9
31-03-2021,35574.98071366,36600.04220294,34035.62657379,36133.54059042,247256966.35,1323750114.47
30-03-2021,35421.82394201,36814.04537354,35153.08783234,35579.47247636,228286419.02,1303451862
29-03-2021,32675.54705605,36097.59739617,32455.37113721,35422.45067835,237919435.57,1297699377.75
28-03-2021,32681.15151291,33795.72018691,32167.29009684,32676.94285771,175453902.66,1197117861.73
27-03-2021,33241.1847971,33421.4430146,31827.46176474,32682.79524105,162008781.85,1197332263.45
26-03-2021,31966.85281891,33377.81431145,31897.41929562,33244.09172259,181933233.31,1217895326.73
25-03-2021,31094.75559544,32564.05959653,29984.18511156,31973.34597869,240445081.1,1171341631.84
24-03-2021,33844.62379064,34729.84993663,30406.07643319,31117.51936266,216018445.08,1139988474.57
23-03-2021,33419.07369165,34273.26185251,33057.77677625,33851.85815771,194938256.73,1240160814
22-03-2021,35432.20352123,35908.629211,33139.60339386,33428.38164095,187605335.24,1224646776.95
21-03-2021,35131.48970593,36012.50831225,34364.59774683,35430.40404867,194747546.27,1297990749
20-03-2021,36093.96501695,37402.71166514,35117.50168895,35124.37394283,201194083.36,1286779354.24
19-03-2021,35753.3702746,36709.59762703,34890.25015744,36109.30280992,197828663.23,1322862164.82
18-03-2021,35108.59571936,37468.50571216,34864.64686663,35761.29068609,296945488.94,1310112761.32
17-03-2021,34918.09972698,35433.43754814,33381.26988101,35120.02382594,199789554.13,1286619987.97
16-03-2021,34618.84899815,35287.9360928,33391.66340941,34915.78578561,208216262.99,1279137739.49
15-03-2021,35916.74053838,36524.59582557,33838.54405048,34627.11190561,246909817.71,1268562189.03
14-03-2021,38227.65270329,38567.49161159,35776.4244488,35941.81444379,234483181.64,1316726238.47
13-03-2021,36040.64036449,38714.09159351,35025.46972606,38232.58362228,272666393.62,1400648431.33
12-03-2021,37850.08865831,38089.78812387,35207.18165519,36049.98999667,225498686.73,1320689243.43
