Date,Open,High,Low,Close,Volume,Market Cap
15-04-2021,3.19395518,3.28194878,3.15030163,3.22071366,54764555.12,635897705.34
14-04-2021,3.18960947,3.2872313,3.10612055,3.19783531,45198230.95,631380604.15
13-04-2021,3.30269582,3.37204556,3.16339149,3.1910528,46178537.55,630041465.23
12-04-2021,3.47147339,3.48465408,3.29187932,3.31054835,50809795.57,653634666.9
11-04-2021,3.51223606,3.5251442,3.40973349,3.4686068,47624370.43,684841726.52
10-04-2021,3.52171117,3.64215419,3.38942567,3.51608735,59135156.34,694216287.03
09-04-2021,3.35227714,3.58831564,3.34674758,3.513769,72034527.79,693758552.29
08-04-2021,3.14980599,3.3877007,3.12753772,3.35335656,54902756.25,662086718.47
07-04-2021,3.35484654,3.5702186,3.00683277,3.15107195,78597584.8,622147645.71
06-04-2021,3.45593062,3.78060502,3.28248753,3.36482359,95400156.03,664350769.89
05-04-2021,3.57328232,3.65029708,3.35872527,3.46218267,68471886.83,683573345.5
04-04-2021,3.35578593,3.6857025,3.24507848,3.56947281,74924954.02,704756710.78
03-04-2021,3.52502455,3.98378887,3.33651534,3.34997192,107014698.68,661418455.13
02-04-2021,3.13137352,3.83843316,3.05882805,3.54092599,226646126.84,699120426.76
01-04-2021,2.78020182,3.50563119,2.76668464,3.13179905,100307863.24,618342404.29
31-03-2021,3.00166103,3.00228375,2.54503218,2.78231839,48724265.23,549340943.64
30-03-2021,2.96896842,3.07861368,2.92681905,2.99253381,43252769.1,590845875.83
29-03-2021,2.776897,2.99552416,2.70985995,2.95739693,36781511.16,583908449.94
28-03-2021,2.79302308,3.06457767,2.66055618,2.76812014,47586014.29,546537640.58
27-03-2021,2.3996497,2.78923266,2.39640277,2.78923266,39180844.03,550706095.79
26-03-2021,2.33214712,2.47593485,2.31661923,2.39998382,21311621.9,473852805.91
25-03-2021,2.34918656,2.39344643,2.27949058,2.33266262,27817494.36,460560908.39
24-03-2021,2.60396086,2.74754815,2.23515857,2.35665805,33650775.95,465298566.25
23-03-2021,2.58941556,2.74450057,2.47800054,2.60773801,30931571.7,514871792.66
22-03-2021,2.90674779,2.90674779,2.59427678,2.59427678,32640732.18,512214007.3
21-03-2021,3.02637775,3.14209279,2.88002214,2.90651302,66408530.74,573861930.99
20-03-2021,3.14052787,3.22214257,2.90286783,3.02754352,84742764.99,597758192.66
19-03-2021,3.43619932,3.4692467,3.11816815,3.14945865,86024633.09,621829115.74
18-03-2021,2.81726741,3.49674191,2.79392009,3.43342177,97115778.95,677894793.75
17-03-2021,2.70744033,3.01442924,2.67640258,2.82763976,89305301.02,558289194.39
16-03-2021,2.67510632,2.81612439,2.51157156,2.70942112,74992920.61,534948106.59
15-03-2021,2.37695265,2.84419928,2.36046328,2.67818668,99551754.59,528781178.22
14-03-2021,2.44295764,2.58818588,2.34596663,2.37526058,78070150.69,468971449.16
13-03-2021,2.34132931,2.55813908,2.22946548,2.44259659,90784486.01,482266270.71
12-03-2021,2.6293036,2.63091867,2.29960583,2.34627576,82136744.67,463248686.89
11-03-2021,2.73759371,2.77558547,2.51436369,2.62991382,93636316.87,519250185.09
10-03-2021,2.80186049,2.84679889,2.65914058,2.73413613,98015353.33,539827837.89
09-03-2021,2.71475092,2.99081202,2.67803034,2.81088293,135139512,554980725.61
08-03-2021,2.83198696,2.97329462,2.62733295,2.70311009,138357454.79,533702055.37
07-03-2021,3.1162528,3.23909384,2.81954908,2.81954908,156978024.86,556691770.71
06-03-2021,3.28937126,3.45982085,2.88339778,3.10821844,143345023.69,613686649.53
05-03-2021,3.79401224,3.86379212,3.09313392,3.29706322,167111861.77,650972162.14
04-03-2021,2.61971701,3.97922375,2.52803661,3.79377152,209794556,749042248.93
03-03-2021,2.17472825,2.81540466,2.11101353,2.63133991,105998256.56,519531751.35
02-03-2021,2.44338336,2.47158151,2.0926804,2.18027512,35228904.82,430473519.22
01-03-2021,2.47531563,2.64217831,2.33223745,2.4457196,38070395.95,482882877.94
28-02-2021,2.33023142,2.70195951,2.05929837,2.47451499,81698298.72,197961199.31
27-02-2021,3.09257702,3.40495246,2.29928977,2.33150328,60948228.74,186520262.12
26-02-2021,3.7413135,3.92656373,2.91553488,3.08856504,71195020.67,247085203.57
25-02-2021,9.65513506,11.36650842,3.76003344,3.76003344,247929998.87,300802675.07
24-02-2021,8.44789065,9.85564866,8.22431343,9.65151944,147702047.92,772121555.2
23-02-2021,9.16432942,9.16432942,6.96174546,8.46353267,107175945.24,677082613.53
22-02-2021,8.42677756,10.31876804,7.45463305,9.0924811,55235151.89,727398487.91
21-02-2021,8.31018728,8.83622723,7.35939953,8.42692629,33004559.46,674154103.6
20-02-2021,3.84775577,8.91532122,3.70886781,8.27158435,209444526.94,661726748.23
19-02-2021,4.00451291,4.23301895,3.79634195,3.83523236,42987487.46,306818588.48
18-02-2021,2.96160036,4.54280853,2.90103274,4.01231418,120356202.93,320985134.44
17-02-2021,2.51888085,3.13710929,2.49502229,2.96483707,7884946.32,237186965.22
16-02-2021,2.35208071,2.63982352,2.29582366,2.518558,6087087.58,201484639.78
15-02-2021,2.60181806,2.62124739,2.24172517,2.35633323,4727997.32,188506658.5
14-02-2021,3.44677996,3.50726679,2.19444516,2.59451664,10479756.92,207561331.52
13-02-2021,2.38242232,3.45147592,2.36454885,3.42328373,17919612.57,273862698.09
12-02-2021,2.28669452,2.49581727,2.01067473,2.38133107,9304594.05,190506485.59
11-02-2021,1.98263589,2.30917602,1.95077894,2.28696946,4712609.14,182957556.64
10-02-2021,1.67082269,2.009117,1.60480387,1.9849124,11574175.09,158792992.15
09-02-2021,1.47261801,1.68861783,1.41514832,1.67017488,4797199.61,66806995.07
08-02-2021,1.53601748,1.95469497,1.0485041,1.47265439,13725230.93,58906175.58
07-02-2021,2.66235592,2.66235592,1.44961515,1.53603736,2050297.95,61441494.36
06-02-2021,2.84871316,3.04033551,1.81489844,2.6799637,2679400.87,107198547.81
05-02-2021,1.58858002,2.93168084,1.57921488,2.84884678,2572387.93,113953871.25
04-02-2021,1.48877514,1.78089921,1.43943756,1.58857434,5425308.51,63542973.73
03-02-2021,1.52666944,1.53282559,1.42962942,1.48878801,1768095.51,59551520.44
02-02-2021,1.57156293,1.5947052,1.50538126,1.53493338,1591561.85,61397335.1
01-02-2021,1.89033612,1.89242669,1.31068198,1.57175005,9177481.47,62870001.87
31-01-2021,1.90566168,1.94817182,1.83224143,1.89027689,2079509.22,75611075.7
30-01-2021,1.89607322,2.17196939,1.82481999,1.90573157,7118536.01,76229262.84
29-01-2021,1.72553834,2.03396641,1.59054241,1.89562998,7293285.94,75825199.02
28-01-2021,1.20973736,1.74450739,1.19868683,1.67185909,1946194.16,66874363.52
27-01-2021,0.85178139,1.21274859,0.84177147,1.20728406,9171481.8384836,48291362.542684
26-01-2021,0.84342782,0.85828392,0.83979491,0.85195363,3353877.67088356,34078145.3830476
25-01-2021,0.86565191,0.89107908,0.84061506,0.84353299,3280200.6204554,33741319.7579752
24-01-2021,0.87260134,0.88061398,0.86477702,0.86564986,592448.10112196,0
23-01-2021,0.94955913,0.96299551,0.8458529,0.87220483,1783163.32676795,0
22-01-2021,0.87441871,0.96418168,0.85220367,0.9497245,2586297.8856084,0
21-01-2021,0.96818598,0.97165763,0.80654157,0.87441353,5969528.09678213,0
20-01-2021,0.71106495,0.97799203,0.68959241,0.9640065,7730295.80931546,0
19-01-2021,0.51058462,0.75538683,0.50032604,0.7110981,4858096.26322023,0
18-01-2021,0.30296429,0.52098313,0.30125354,0.50729702,6749611.40989139,0
17-01-2021,0.29739092,0.30714626,0.29439663,0.30296558,138543.71012299,0
16-01-2021,0.30271032,0.30712955,0.29265896,0.29738962,416740.80307792,0
15-01-2021,0.30382252,0.30847983,0.29467495,0.3027198,304005.04442043,0
