time,open,close,high,low,volume
2021-05-11 09:00:00,6.1098,6.1196,6.1196,6.1,704.28404608
2021-05-11 09:15:00,6.1161,6.1108,6.1161,6.1108,64.8326688
2021-05-11 09:30:00,6.1026,6.1808,6.1808,6.1026,267.4454787
2021-05-11 09:45:00,6.1769,6.2819,6.2942,6.1255,610.9506725699999
2021-05-11 10:00:00,6.2784,6.2686,6.2855,6.2677,3.90016599
2021-05-11 10:15:00,6.2725,6.28,6.28,6.2725,59.76584781
2021-05-11 10:30:00,6.2718,6.218,6.2718,6.2032,172.59417771
2021-05-11 10:45:00,6.2304,6.2465,6.2465,6.2304,798.3204042699999
2021-05-11 11:00:00,6.245,6.2176,6.2672,6.2169,494.29250131000003
2021-05-11 11:30:00,6.1887,6.166,6.1887,6.166,1022.29051955
2021-05-11 11:45:00,6.1268,6.0931,6.1268,6.0896,8.75908897
2021-05-11 12:00:00,6.0205,6.0774,6.0774,6.0205,319.8225769
2021-05-11 12:15:00,6.0324,5.9558,6.0324,5.9558,636.82026337
2021-05-11 12:30:00,5.938,5.9939,6.0041,5.938,22.84657828
2021-05-11 12:45:00,6.0127,6.035,6.035,6.0127,8.07088858
2021-05-11 13:00:00,6.1077,6.096,6.1298,6.096,982.34019787
2021-05-11 13:15:00,6.1011,6.0428,6.1089,6.0365,588.96117321
2021-05-11 13:30:00,6.0306,6.103,6.103,6.0306,786.20500396
2021-05-11 13:45:00,6.0891,6.1009,6.1009,6.0851,16.08024875
2021-05-11 14:00:00,6.1337,6.1576,6.1576,6.1314,17.78012274
2021-05-11 14:15:00,6.1694,6.1901,6.1901,6.1694,149.7190727
2021-05-11 14:30:00,6.1744,6.2274,6.229,6.1714,1131.36488354
2021-05-11 14:45:00,6.2246,6.2336,6.2534,6.2246,7.78719383
2021-05-11 15:00:00,6.2574,6.2532,6.2574,6.1863,64.61051859999999
2021-05-11 15:15:00,6.2495,6.2684,6.2684,6.2416,225.36368192
2021-05-11 15:30:00,6.287,6.287,6.287,6.287,1.93061096
2021-05-11 15:45:00,6.2947,6.2947,6.2947,6.2947,0.007492
2021-05-11 16:00:00,6.3682,6.3287,6.3682,6.3287,95.62437621000001
2021-05-11 16:15:00,6.3485,6.407,6.4095,6.3236,2253.47797972
2021-05-11 16:30:00,6.3991,6.354,6.3996,6.354,1584.52220466
2021-05-11 16:45:00,6.3018,6.3028,6.3028,6.2725,27.83468757
2021-05-11 17:00:00,6.3824,6.3388,6.3824,6.3323,15.318938880000001
2021-05-11 17:15:00,6.3582,6.3883,6.3883,6.342,66.57637748
2021-05-11 17:30:00,6.3539,6.3577,6.3771,6.3325,171.3866344
2021-05-11 17:45:00,6.3428,6.3635,6.3635,6.3428,117.02788672
2021-05-11 18:00:00,6.3531,6.4,6.4,6.3531,60.019651089999996
2021-05-11 18:15:00,6.4141,6.4425,6.4425,6.4141,13.19808588
2021-05-11 18:30:00,6.4429,6.4006,6.4429,6.38,456.50309737000003
2021-05-11 18:45:00,6.4396,6.4044,6.4396,6.3951,12.10401829
2021-05-11 19:00:00,6.4266,6.4226,6.4802,6.4226,195.83348357
2021-05-11 19:15:00,6.4352,6.4491,6.4491,6.4285,0.13807718
2021-05-11 19:30:00,6.4125,6.3849,6.4181,6.3745,215.67061817
2021-05-11 19:45:00,6.3973,6.5131,6.5131,6.3973,260.62746536
2021-05-11 20:00:00,6.5015,6.4832,6.5145,6.4832,407.31053286
2021-05-11 20:15:00,6.4742,6.4595,6.4757,6.4553,215.50580576
2021-05-11 20:30:00,6.4789,6.4858,6.4858,6.4789,67.22702787
2021-05-11 20:45:00,6.4434,6.4902,6.4902,6.4434,6.04125455
2021-05-11 21:15:00,6.4741,6.4829,6.4829,6.4741,15.0
2021-05-11 21:30:00,6.4381,6.4474,6.4474,6.438,86.069824
2021-05-11 21:45:00,6.3877,6.4111,6.4111,6.3873,588.2379793700001
2021-05-11 22:15:00,6.3935,6.3869,6.4334,6.382,7126.3655121599995
2021-05-11 22:30:00,6.3823,6.3922,6.3922,6.3823,3.8587747400000003
2021-05-11 22:45:00,6.3932,6.3755,6.3932,6.348,15.74868068
2021-05-11 23:00:00,6.4043,6.4075,6.4075,6.4043,11.354099999999999
2021-05-11 23:15:00,6.4329,6.4652,6.4706,6.4329,75.18831369
2021-05-11 23:45:00,6.4716,6.4716,6.4716,6.4716,5.0
2021-05-12 00:00:00,6.5118,6.4614,6.5118,6.4614,1010.19252979
2021-05-12 00:15:00,6.4546,6.4779,6.4779,6.4546,0.07679898
2021-05-12 00:30:00,6.452,6.4848,6.5012,6.452,111.65022938
2021-05-12 00:45:00,6.4727,6.5505,6.5505,6.467,3533.50676186
2021-05-12 01:00:00,6.5863,6.5952,6.604,6.5863,262.87164798
2021-05-12 01:15:00,6.6137,6.6312,6.6312,6.6137,259.1638
2021-05-12 02:00:00,6.665,6.6571,6.665,6.6571,25.91252543
2021-05-12 02:30:00,6.6547,6.6562,6.6562,6.6518,15.06035481
2021-05-12 02:45:00,6.664,6.7329,6.7329,6.664,53.62082518
2021-05-12 03:00:00,6.7528,6.7758,6.7792,6.7528,260.71503858
2021-05-12 03:15:00,6.7629,6.71,6.7629,6.671,135.72779367
2021-05-12 03:30:00,6.7898,6.8462,6.8646,6.7898,134.11461065999998
2021-05-12 03:45:00,6.7823,6.7789,6.7823,6.7789,10.69301202
2021-05-12 04:00:00,6.8053,6.8298,6.8298,6.7389,9.85394281
2021-05-12 04:30:00,6.742,6.7209,6.7468,6.7167,0.82153436
2021-05-12 04:45:00,6.7064,6.6763,6.7197,6.6729,106.85831169
2021-05-12 05:00:00,6.7051,6.7328,6.7457,6.7051,53.72607689
2021-05-12 05:15:00,6.7615,6.7612,6.7682,6.7268,79.12728103
2021-05-12 05:30:00,6.7396,6.7381,6.7396,6.7298,0.32205293
2021-05-12 05:45:00,6.7244,6.8157,6.8157,6.7244,18.00234949
2021-05-12 06:00:00,6.8166,6.7901,6.8166,6.7887,5.7766737
2021-05-12 06:15:00,6.827,6.891,6.891,6.827,99.82032874999999
2021-05-12 06:30:00,6.9,6.8169,6.9139,6.7959,326.91588014
2021-05-12 06:45:00,6.8354,6.7293,6.8354,6.7293,17.813484850000002
2021-05-12 07:00:00,6.7741,6.7393,6.8003,6.7393,1012.86552668
2021-05-12 07:15:00,6.8048,6.7902,6.8104,6.7902,378.25721989
2021-05-12 07:45:00,6.8001,6.8001,6.8001,6.8001,1.78171506
2021-05-12 08:00:00,6.8634,6.7869,6.8634,6.7869,131.90474607
2021-05-12 08:15:00,6.7909,6.6927,6.8405,6.6922,894.5366289799999
2021-05-12 08:30:00,6.6883,6.6976,6.7175,6.6883,32.51222945
2021-05-12 08:45:00,6.7458,6.7458,6.7458,6.7458,1.3654037300000001
2021-05-12 09:00:00,6.7201,6.6805,6.7201,6.6778,124.36433729
2021-05-12 09:15:00,6.7245,6.7245,6.7245,6.7245,0.15162991
2021-05-12 09:30:00,6.7163,6.7262,6.7262,6.7154,3.61564383
2021-05-12 09:45:00,6.7282,6.6898,6.7282,6.6898,331.6489186
2021-05-12 10:00:00,6.6514,6.5674,6.6514,6.5427,5145.12864548
2021-05-12 10:15:00,6.544,6.5531,6.5866,6.5298,2250.68096817
2021-05-12 10:30:00,6.5497,6.4536,6.5497,6.4536,2930.01376819
2021-05-12 10:45:00,6.4876,6.4767,6.5177,6.4764,1223.57316337
2021-05-12 11:00:00,6.5093,6.5611,6.5661,6.5093,503.23511109000003
2021-05-12 11:15:00,6.5556,6.5837,6.5871,6.5556,1567.9423465099999
2021-05-12 11:30:00,6.5795,6.5879,6.5879,6.5795,5.549287
2021-05-12 11:45:00,6.6129,6.6031,6.6346,6.6012,1451.0640039
2021-05-12 12:00:00,6.5919,6.5522,6.5919,6.5453,214.28492533
2021-05-12 12:15:00,6.5195,6.5502,6.5663,6.5162,22.29933069
2021-05-12 12:30:00,6.5482,6.5085,6.5482,6.467,2399.20503923
2021-05-12 12:45:00,6.5202,6.4636,6.5522,6.4636,869.75883013
2021-05-12 13:00:00,6.4563,6.4471,6.5113,6.42,1684.21470095
2021-05-12 13:15:00,6.4441,6.375,6.4441,6.35,2471.78611035
2021-05-12 13:30:00,6.3557,6.5055,6.5055,6.341,1059.99845473
2021-05-12 13:45:00,6.5312,6.5141,6.5386,6.5009,887.96744482
2021-05-12 14:00:00,6.5104,6.556,6.556,6.5104,14.79755632
2021-05-12 14:15:00,6.5901,6.6914,6.6955,6.582,1750.237967
2021-05-12 14:30:00,6.7331,6.7207,6.7523,6.6777,5917.98730808
2021-05-12 14:45:00,6.7062,6.8132,6.8556,6.6759,3636.52918536
2021-05-12 15:00:00,6.8221,6.7677,6.8396,6.6873,1123.7800162
2021-05-12 15:15:00,6.8074,6.6134,6.8074,6.5975,412.18632999
2021-05-12 15:30:00,6.6382,6.5876,6.6382,6.47,1193.26133073
2021-05-12 15:45:00,6.5933,6.4761,6.5933,6.4761,2194.43653469
2021-05-12 16:00:00,6.4766,6.4057,6.5202,6.3325,4758.63101174
2021-05-12 16:15:00,6.3658,6.3864,6.398,6.2684,451.54062051
2021-05-12 16:30:00,6.3679,6.2091,6.3679,6.1616,10328.79020676
2021-05-12 16:45:00,6.2091,6.2743,6.3093,6.1482,4121.93464203
2021-05-12 17:00:00,6.3662,6.3366,6.3662,6.3366,172.26453179
2021-05-12 17:15:00,6.3018,6.2854,6.3044,6.2285,1008.8997801400001
2021-05-12 17:30:00,6.3077,6.3243,6.3531,6.2847,40.21980124
2021-05-12 17:45:00,6.2867,6.2706,6.3014,6.2459,231.22741575
2021-05-12 18:00:00,6.2538,6.1754,6.3029,6.1638,598.51573718
2021-05-12 18:15:00,6.1714,6.2159,6.2159,6.0939,5578.77335747
2021-05-12 18:30:00,6.196,6.0384,6.196,6.01,3126.92864779
2021-05-12 18:45:00,6.0934,6.1321,6.1571,6.0934,1561.58372931
2021-05-12 19:00:00,6.1253,6.0084,6.1369,6.0,97.67049277000001
2021-05-12 19:15:00,6.0818,6.1484,6.1484,6.0818,51.17665617
2021-05-12 19:30:00,6.1228,6.2067,6.2067,6.1038,237.08262261000002
2021-05-12 19:45:00,6.1836,6.1847,6.1847,6.1798,3.93337775
2021-05-12 20:00:00,6.1844,6.2197,6.2454,6.1786,87.64415847
2021-05-12 20:15:00,6.2153,6.1381,6.2153,6.1223,4053.93466994
2021-05-12 20:30:00,6.1983,6.2179,6.2552,6.1983,712.48292793
2021-05-12 20:45:00,6.2011,6.2255,6.2273,6.1984,771.86006244
2021-05-12 21:00:00,6.2237,6.2049,6.2237,6.1934,2995.92037207
2021-05-12 21:15:00,6.2094,6.2626,6.2749,6.2047,163.33920187
2021-05-12 21:30:00,6.2695,6.2682,6.2714,6.2317,1232.47768924
2021-05-12 21:45:00,6.2572,6.2416,6.2572,6.2346,161.12180259
2021-05-12 22:00:00,6.2852,6.0161,6.2852,5.921,2780.52115969
2021-05-12 22:15:00,6.0972,6.0418,6.11,5.98,1207.76976923
2021-05-12 22:30:00,6.0409,5.9759,6.0409,5.8904,2911.4741437
2021-05-12 22:45:00,6.0547,6.1371,6.1379,6.0424,4973.87435949
2021-05-12 23:00:00,6.117,6.065,6.117,6.0429,1450.5361085
2021-05-12 23:15:00,6.0588,5.9178,6.0961,5.9178,2212.59683878
2021-05-12 23:30:00,5.8999,5.8187,5.9874,5.7392,2706.04214892
2021-05-12 23:45:00,5.8461,5.6004,5.8521,5.4864,8274.70820982
2021-05-13 00:00:00,5.6032,5.3433,5.6098,5.276,15428.33461665
2021-05-13 00:15:00,5.399,5.6461,5.6461,5.399,1838.79174401
2021-05-13 00:30:00,5.776,5.7583,5.8173,5.6916,7089.85932369
2021-05-13 00:45:00,5.8019,5.8186,5.9105,5.8019,747.3812869999999
2021-05-13 01:00:00,5.7923,5.8223,5.8982,5.7923,3083.23505521
2021-05-13 01:15:00,5.8071,5.9053,5.9098,5.8004,2620.44382536
2021-05-13 01:30:00,5.915,5.8609,5.915,5.7953,1834.52932399
2021-05-13 01:45:00,5.8954,5.8889,5.9287,5.8567,490.66490498
2021-05-13 02:00:00,5.8871,5.9296,5.9296,5.8521,374.98436276
2021-05-13 02:15:00,5.9388,5.8825,6.0652,5.8527,525.52688927
2021-05-13 02:30:00,5.873,5.8598,5.8734,5.8097,375.56621894
2021-05-13 02:45:00,5.8865,5.8745,6.031,5.8693,378.27159251
2021-05-13 03:00:00,5.8619,5.7769,5.8778,5.7769,530.47875488
2021-05-13 03:15:00,5.8028,5.7571,5.8356,5.7563,440.87751684
2021-05-13 03:30:00,5.7405,5.7192,5.8123,5.7192,2701.03259349
2021-05-13 03:45:00,5.7101,5.8252,5.8252,5.707,332.50137585
2021-05-13 04:00:00,5.826,5.8553,5.877,5.826,398.25807186
2021-05-13 04:15:00,5.8529,5.8679,5.868,5.8309,459.68146463
2021-05-13 04:30:00,5.8629,5.829,5.8629,5.8234,414.28500714
2021-05-13 04:45:00,5.8283,5.8921,5.8981,5.8133,2311.76126788
2021-05-13 05:00:00,5.8659,5.9297,5.9484,5.8649,4138.98293987
2021-05-13 05:15:00,5.9271,5.9692,5.9719,5.9191,504.51078203000003
2021-05-13 05:30:00,5.9633,5.959,5.9698,5.933,108.20212396
2021-05-13 05:45:00,5.9493,5.93,5.9519,5.9246,132.03265661
2021-05-13 06:00:00,5.9304,5.986,5.995,5.9304,414.76706572
2021-05-13 06:15:00,5.979,5.9255,6.0031,5.9255,676.88715211
2021-05-13 06:30:00,5.9294,5.9422,5.9422,5.911,61.58594356
2021-05-13 06:45:00,5.9451,6.0377,6.0501,5.9451,114.05855395
2021-05-13 07:00:00,6.0007,6.0311,6.0311,6.0007,874.49989022
2021-05-13 07:15:00,6.0565,5.9528,6.0565,5.9528,2505.7347082
2021-05-13 07:30:00,5.9354,5.8972,5.9402,5.8897,462.74889016000003
2021-05-13 07:45:00,5.9092,5.9124,5.9291,5.8942,927.5720164999999
2021-05-13 08:00:00,5.9169,5.8121,5.9639,5.7983,4648.2852183899995
2021-05-13 08:15:00,5.8137,5.8008,5.826,5.7641,7586.34754562
2021-05-13 08:30:00,5.7835,5.7533,5.8124,5.743,194.45828851000002
2021-05-13 08:45:00,5.731,5.7062,5.7614,5.6995,741.20386623
2021-05-13 09:00:00,5.6986,5.667,5.7503,5.667,161.84233768
2021-05-13 09:15:00,5.6524,5.5092,5.7023,5.5092,2349.6175925
